transaction_id,source_account_id,destination_account_id,timestamp,amount,transaction_type,location_id,reference,network_id,synthetic_flag
TXN-000122,ACCT-001599,ACCT-006834,2023-12-18T14:10:00,32933.48,CASH_WITHDRAWAL,LOC-001855,SYNREF-00000122,NET-000023,true
TXN-000123,ACCT-004973,ACCT-005600,2023-08-03T12:17:00,19766.02,BILL_PAYMENT,LOC-001174,SYNREF-00000123,NET-000026,true
TXN-000124,ACCT-004077,ACCT-004407,2023-05-09T07:23:00,5963.84,CASH_DEPOSIT,LOC-002346,SYNREF-00000124,NET-000015,true
TXN-000125,ACCT-002459,ACCT-004373,2023-09-02T19:33:00,4329.91,CASH_WITHDRAWAL,LOC-001044,SYNREF-00000125,NET-000021,true
TXN-000126,ACCT-005993,ACCT-007112,2023-06-29T12:06:00,13125.77,TRANSFER,LOC-001474,SYNREF-00000126,NET-000014,true
TXN-000127,ACCT-002297,ACCT-007459,2023-01-24T12:26:00,1399869.05,CASH_WITHDRAWAL,LOC-002621,SYNREF-00000127,NET-000027,true
TXN-000128,ACCT-006297,ACCT-003540,2023-03-01T19:31:00,37236.6,REFUND,LOC-000177,SYNREF-00000128,NET-000015,true
TXN-000129,ACCT-002596,ACCT-000406,2022-12-23T21:19:00,12812.53,BILL_PAYMENT,LOC-002524,SYNREF-00000129,NET-000013,true
TXN-000130,ACCT-006575,ACCT-008743,2023-12-15T08:13:00,14400.7,CASH_WITHDRAWAL,LOC-000888,SYNREF-00000130,NET-000010,true
TXN-000131,ACCT-000188,ACCT-010656,2022-11-12T22:56:00,87848.14,BILL_PAYMENT,LOC-002095,SYNREF-00000131,,true
TXN-000132,ACCT-002962,ACCT-000589,2022-12-16T16:05:00,4334.17,CASH_DEPOSIT,LOC-000023,SYNREF-00000132,NET-000009,true
TXN-000133,ACCT-007665,ACCT-008714,2023-12-21T02:56:00,2835.92,MERCHANT_PAYMENT,LOC-002767,SYNREF-00000133,NET-000024,true
TXN-000134,ACCT-007858,ACCT-000928,2022-12-09T00:16:00,10555.73,REFUND,LOC-000284,SYNREF-00000134,NET-000010,true
TXN-000135,ACCT-003398,ACCT-007858,2023-03-30T22:22:00,16671.88,CASH_WITHDRAWAL,LOC-002078,SYNREF-00000135,NET-000010,true
TXN-000136,ACCT-003767,ACCT-009015,2022-11-27T04:19:00,17028.8,MERCHANT_PAYMENT,LOC-000590,SYNREF-00000136,NET-000019,true
TXN-000137,ACCT-005508,ACCT-006447,2023-02-21T01:41:00,39773.69,CASH_DEPOSIT,LOC-001262,SYNREF-00000137,NET-000025,true
TXN-000138,ACCT-003630,ACCT-000026,2023-05-05T15:44:00,27414.03,CASH_WITHDRAWAL,LOC-000090,SYNREF-00000138,NET-000024,true
TXN-000139,ACCT-005406,ACCT-005242,2023-01-26T21:39:00,4934.77,MERCHANT_PAYMENT,LOC-002769,SYNREF-00000139,,true
TXN-000140,ACCT-008592,ACCT-002233,2023-06-25T15:18:00,26728.73,MERCHANT_PAYMENT,LOC-001170,SYNREF-00000140,,true
TXN-000141,ACCT-007865,ACCT-001237,2023-08-05T18:31:00,20524.84,BILL_PAYMENT,LOC-000872,SYNREF-00000141,NET-000024,true
TXN-000142,ACCT-002436,ACCT-007617,2023-03-31T02:52:00,11884.5,BILL_PAYMENT,LOC-002346,SYNREF-00000142,,true
TXN-000143,ACCT-005118,ACCT-004065,2023-04-27T07:28:00,25249.59,BILL_PAYMENT,LOC-000194,SYNREF-00000143,NET-000001,true
TXN-000144,ACCT-008538,ACCT-002447,2023-07-03T08:27:00,7706.31,CASH_DEPOSIT,LOC-000793,SYNREF-00000144,NET-000005,true
TXN-000145,ACCT-001035,ACCT-003388,2023-10-09T03:58:00,11463.98,BILL_PAYMENT,LOC-000748,SYNREF-00000145,NET-000008,true
TXN-000146,ACCT-000656,ACCT-000693,2024-01-11T02:51:00,5723.87,CASH_WITHDRAWAL,LOC-001333,SYNREF-00000146,NET-000002,true
TXN-000147,ACCT-002061,ACCT-001699,2023-08-30T11:13:00,4524.16,MERCHANT_PAYMENT,LOC-000562,SYNREF-00000147,NET-000024,true
TXN-000148,ACCT-008356,ACCT-008021,2023-12-04T11:45:00,20631.71,CASH_DEPOSIT,LOC-000429,SYNREF-00000148,NET-000016,true
TXN-000149,ACCT-004144,ACCT-000935,2023-01-03T23:52:00,19098.64,MERCHANT_PAYMENT,LOC-001802,SYNREF-00000149,NET-000010,true
TXN-000150,ACCT-001104,ACCT-009202,2022-10-08T04:42:00,8270.88,CASH_WITHDRAWAL,LOC-000160,SYNREF-00000150,NET-000026,true
TXN-000151,ACCT-005698,ACCT-007747,2023-12-30T05:36:00,1029494.44,CASH_DEPOSIT,LOC-000803,SYNREF-00000151,NET-000007,true
TXN-000152,ACCT-005574,ACCT-004081,2023-04-06T08:53:00,18062.89,MERCHANT_PAYMENT,LOC-000865,SYNREF-00000152,NET-000015,true
TXN-000153,ACCT-003947,ACCT-007507,2022-10-01T10:11:00,16519.52,BILL_PAYMENT,LOC-000557,SYNREF-00000153,NET-000027,true
TXN-000154,ACCT-001945,ACCT-002459,2022-07-14T00:33:00,4100.5,REFUND,LOC-001880,SYNREF-00000154,NET-000021,true
TXN-000155,ACCT-001637,ACCT-003662,2023-12-09T23:27:00,5390.0,REFUND,LOC-000856,SYNREF-00000155,NET-000023,true
TXN-000156,ACCT-006773,ACCT-006695,2023-11-06T15:55:00,2797.91,CASH_DEPOSIT,LOC-001776,SYNREF-00000156,NET-000008,true
TXN-000157,ACCT-001088,ACCT-000797,2022-09-10T11:13:00,472.73,CASH_WITHDRAWAL,LOC-000406,SYNREF-00000157,,true
TXN-000158,ACCT-006204,ACCT-006550,2023-03-22T08:24:00,13744.45,BILL_PAYMENT,LOC-000985,SYNREF-00000158,NET-000017,true
TXN-000159,ACCT-003140,ACCT-001546,2022-07-17T13:29:00,25199.11,TRANSFER,LOC-001097,SYNREF-00000159,NET-000002,true
TXN-000160,ACCT-000379,ACCT-005951,2023-08-13T20:41:00,6718.51,MERCHANT_PAYMENT,LOC-000449,SYNREF-00000160,NET-000010,true
TXN-000161,ACCT-002124,ACCT-000217,2023-04-12T01:45:00,3830.49,BILL_PAYMENT,LOC-001915,SYNREF-00000161,NET-000024,true
TXN-000162,ACCT-008011,ACCT-006382,2023-08-03T17:04:00,7559.75,TRANSFER,LOC-000586,SYNREF-00000162,NET-000026,true
TXN-000163,ACCT-003830,ACCT-005256,2022-11-06T05:44:00,11790.51,MERCHANT_PAYMENT,LOC-001192,SYNREF-00000163,NET-000017,true
TXN-000164,ACCT-007249,ACCT-001590,2022-12-31T15:26:00,24544.73,REFUND,LOC-001589,SYNREF-00000164,NET-000023,true
TXN-000165,ACCT-007463,ACCT-005179,2023-01-25T03:31:00,9296.51,TRANSFER,LOC-002419,SYNREF-00000165,NET-000027,true
TXN-000166,ACCT-001637,ACCT-006872,2023-03-25T00:30:00,4392.77,TRANSFER,LOC-000806,SYNREF-00000166,NET-000014,true
TXN-000167,ACCT-008553,ACCT-002951,2022-11-07T03:06:00,23283.56,CASH_DEPOSIT,LOC-002347,SYNREF-00000167,NET-000005,true
TXN-000168,ACCT-004763,ACCT-006766,2023-10-22T02:12:00,12378.38,CASH_DEPOSIT,LOC-003028,SYNREF-00000168,NET-000025,true
TXN-000169,ACCT-005347,ACCT-001048,2023-04-30T19:49:00,26395.06,BILL_PAYMENT,LOC-002055,SYNREF-00000169,NET-000004,true
TXN-000170,ACCT-003305,ACCT-008012,2023-06-03T07:49:00,41261.3,REFUND,LOC-001571,SYNREF-00000170,,true
TXN-000171,ACCT-003196,ACCT-006916,2023-04-23T22:00:00,5210.18,MERCHANT_PAYMENT,LOC-001365,SYNREF-00000171,NET-000024,true
TXN-000172,ACCT-003599,ACCT-003621,2023-08-30T11:33:00,12553.72,CASH_DEPOSIT,LOC-002671,SYNREF-00000172,NET-000025,true
TXN-000173,ACCT-003810,ACCT-008295,2022-09-21T10:03:00,18058.11,CASH_WITHDRAWAL,LOC-002893,SYNREF-00000173,NET-000011,true
TXN-000174,ACCT-008130,ACCT-004577,2023-06-09T02:16:00,2674.79,TRANSFER,LOC-001416,SYNREF-00000174,NET-000016,true
TXN-000175,ACCT-001093,ACCT-011423,2023-11-25T05:02:00,3211.04,CASH_DEPOSIT,LOC-001510,SYNREF-00000175,,true
TXN-000176,ACCT-008921,ACCT-001971,2023-07-07T00:56:00,51776.12,REFUND,LOC-002772,SYNREF-00000176,NET-000011,true
TXN-000177,ACCT-001524,ACCT-008094,2023-07-12T22:17:00,1785.4,CASH_DEPOSIT,LOC-002295,SYNREF-00000177,NET-000017,true
TXN-000178,ACCT-004138,ACCT-001908,2023-03-31T06:28:00,18853.52,CASH_WITHDRAWAL,LOC-002704,SYNREF-00000178,NET-000020,true
TXN-000179,ACCT-006018,ACCT-005687,2023-04-25T22:17:00,7070.37,CASH_DEPOSIT,LOC-001208,SYNREF-00000179,NET-000002,true
TXN-000180,ACCT-002390,ACCT-002247,2023-01-26T00:47:00,6337.59,CASH_DEPOSIT,LOC-002883,SYNREF-00000180,,true
TXN-000181,ACCT-004062,ACCT-003801,2022-12-08T02:41:00,4084.11,CASH_WITHDRAWAL,LOC-002982,SYNREF-00000181,NET-000003,true
TXN-000182,ACCT-002060,ACCT-003680,2023-08-14T23:45:00,3866.28,REFUND,LOC-001153,SYNREF-00000182,NET-000015,true
TXN-000183,ACCT-003762,ACCT-005037,2023-05-09T23:23:00,4817.45,BILL_PAYMENT,LOC-000339,SYNREF-00000183,NET-000016,true
