device_id,device_type,person_id,os,first_seen,last_seen,synthetic_flag
DEVICE-000042,Tablet,PERSON-002082,Android,2023-12-16,2023-12-16,true
DEVICE-000043,Smartphone,PERSON-001830,iOS,2023-12-16,2023-12-16,true
DEVICE-000044,Smartphone,PERSON-001615,Android,2023-07-16,2023-07-16,true
DEVICE-000045,Feature Phone,PERSON-000342,iOS,2023-07-16,2023-07-16,true
DEVICE-000046,Smartphone,PERSON-000144,Android,2023-07-16,2023-07-16,true
DEVICE-000047,Feature Phone,PERSON-000144,Android,2023-07-16,2023-07-16,true
DEVICE-000048,Tablet,PERSON-000302,Android,2023-07-16,2023-07-16,true
DEVICE-000049,Feature Phone,PERSON-001880,Android,2023-07-16,2023-07-16,true
DEVICE-000050,Feature Phone,PERSON-000001,iOS,2023-07-16,2023-07-16,true
DEVICE-000051,Tablet,PERSON-002122,Android,2023-07-16,2023-07-16,true
DEVICE-000052,Smartphone,PERSON-002122,iOS,2023-07-16,2023-07-16,true
DEVICE-000053,Tablet,PERSON-001830,Android,2023-07-16,2023-07-16,true
DEVICE-000054,Feature Phone,PERSON-000648,iOS,2023-11-12,2023-11-12,true
DEVICE-000055,Tablet,PERSON-001536,iOS,2023-11-12,2023-11-12,true
DEVICE-000056,Tablet,PERSON-000647,iOS,2023-11-12,2023-11-12,true
DEVICE-000057,Tablet,PERSON-001788,iOS,2023-11-12,2023-11-12,true
DEVICE-000058,Tablet,PERSON-001788,Android,2023-11-12,2023-11-12,true
DEVICE-000059,Smartphone,PERSON-000259,iOS,2023-11-12,2023-11-12,true
DEVICE-000060,Tablet,PERSON-000898,Android,2023-11-12,2023-11-12,true
DEVICE-000061,Feature Phone,PERSON-000895,Android,2023-11-12,2023-11-12,true
DEVICE-000062,Tablet,PERSON-000568,Android,2023-11-12,2023-11-12,true
DEVICE-000063,Smartphone,PERSON-001318,iOS,2023-11-12,2023-11-12,true
DEVICE-000064,Feature Phone,PERSON-000106,iOS,2023-11-12,2023-11-12,true
DEVICE-000065,Tablet,PERSON-001880,Android,2023-11-12,2023-11-12,true
DEVICE-000066,Feature Phone,PERSON-002737,Android,2023-01-07,2023-01-07,true
DEVICE-000067,Feature Phone,PERSON-000682,iOS,2023-01-07,2023-01-07,true
DEVICE-000068,Tablet,PERSON-000473,iOS,2023-01-07,2023-01-07,true
DEVICE-000069,Smartphone,PERSON-000042,Android,2023-01-07,2023-01-07,true
DEVICE-000070,Tablet,PERSON-000042,Android,2023-01-07,2023-01-07,true
DEVICE-000071,Tablet,PERSON-001807,Android,2023-01-07,2023-01-07,true
DEVICE-000072,Tablet,PERSON-000165,Android,2023-01-07,2023-01-07,true
DEVICE-000073,Feature Phone,PERSON-000275,Android,2023-01-07,2023-01-07,true
DEVICE-000074,Smartphone,PERSON-001481,iOS,2023-01-07,2023-01-07,true
DEVICE-000075,Smartphone,PERSON-001481,iOS,2023-01-07,2023-01-07,true
DEVICE-000076,Smartphone,PERSON-002068,Android,2023-01-07,2023-01-07,true
DEVICE-000077,Smartphone,PERSON-000032,iOS,2023-01-07,2023-01-07,true
DEVICE-000078,Feature Phone,PERSON-002821,iOS,2023-05-22,2023-05-22,true
DEVICE-000079,Tablet,PERSON-002821,iOS,2023-05-22,2023-05-22,true
DEVICE-000080,Feature Phone,PERSON-001474,iOS,2023-05-22,2023-05-22,true
DEVICE-000081,Smartphone,PERSON-001474,Android,2023-05-22,2023-05-22,true
DEVICE-000082,Feature Phone,PERSON-001115,Android,2023-05-22,2023-05-22,true
DEVICE-000083,Smartphone,PERSON-001610,iOS,2023-05-22,2023-05-22,true
DEVICE-000084,Feature Phone,PERSON-000267,iOS,2023-05-22,2023-05-22,true
DEVICE-000085,Tablet,PERSON-000267,Android,2023-05-22,2023-05-22,true
DEVICE-000086,Tablet,PERSON-000792,iOS,2023-05-22,2023-05-22,true
DEVICE-000087,Smartphone,PERSON-000106,Android,2023-05-22,2023-05-22,true
DEVICE-000088,Feature Phone,PERSON-002900,Android,2023-05-22,2023-05-22,true
DEVICE-000089,Tablet,PERSON-002618,iOS,2023-05-22,2023-05-22,true
DEVICE-000090,Smartphone,PERSON-002618,iOS,2023-05-22,2023-05-22,true
DEVICE-000091,Tablet,PERSON-002639,Android,2023-03-03,2023-03-03,true
DEVICE-000092,Tablet,PERSON-002839,iOS,2023-03-03,2023-03-03,true
DEVICE-000093,Smartphone,PERSON-002839,Android,2023-03-03,2023-03-03,true
DEVICE-000094,Feature Phone,PERSON-000274,iOS,2023-03-03,2023-03-03,true
DEVICE-000095,Feature Phone,PERSON-000274,iOS,2023-03-03,2023-03-03,true
DEVICE-000096,Smartphone,PERSON-001610,iOS,2023-03-03,2023-03-03,true
DEVICE-000097,Smartphone,PERSON-001610,Android,2023-03-03,2023-03-03,true
DEVICE-000098,Tablet,PERSON-002368,iOS,2023-03-03,2023-03-03,true
DEVICE-000099,Feature Phone,PERSON-001705,iOS,2023-03-03,2023-03-03,true
DEVICE-000100,Tablet,PERSON-000911,Android,2023-03-03,2023-03-03,true
DEVICE-000101,Smartphone,PERSON-000232,iOS,2023-03-03,2023-03-03,true
DEVICE-000102,Smartphone,PERSON-001691,Android,2023-03-03,2023-03-03,true
DEVICE-000103,Smartphone,PERSON-000842,Android,2023-04-06,2023-04-06,true
DEVICE-000104,Smartphone,PERSON-001012,Android,2023-04-06,2023-04-06,true
DEVICE-000105,Tablet,PERSON-000175,iOS,2023-04-06,2023-04-06,true
DEVICE-000106,Feature Phone,PERSON-001782,Android,2023-04-06,2023-04-06,true
DEVICE-000107,Feature Phone,PERSON-002256,iOS,2023-04-06,2023-04-06,true
DEVICE-000108,Tablet,PERSON-001206,iOS,2023-04-06,2023-04-06,true
DEVICE-000109,Feature Phone,PERSON-002788,iOS,2023-04-06,2023-04-06,true
DEVICE-000110,Smartphone,PERSON-000710,Android,2023-04-06,2023-04-06,true
DEVICE-000111,Smartphone,PERSON-000072,iOS,2023-04-06,2023-04-06,true
DEVICE-000112,Smartphone,PERSON-001769,Android,2023-07-25,2023-07-25,true
DEVICE-000113,Smartphone,PERSON-002106,iOS,2023-07-25,2023-07-25,true
DEVICE-000114,Tablet,PERSON-001803,Android,2023-07-25,2023-07-25,true
DEVICE-000115,Feature Phone,PERSON-002197,Android,2023-07-25,2023-07-25,true
DEVICE-000116,Smartphone,PERSON-002197,iOS,2023-07-25,2023-07-25,true
DEVICE-000117,Tablet,PERSON-002965,iOS,2023-07-25,2023-07-25,true
DEVICE-000118,Feature Phone,PERSON-000703,Android,2023-07-25,2023-07-25,true
DEVICE-000119,Tablet,PERSON-001492,iOS,2023-07-25,2023-07-25,true
DEVICE-000120,Feature Phone,PERSON-001544,iOS,2023-09-24,2023-09-24,true
DEVICE-000121,Smartphone,PERSON-001898,Android,2023-09-24,2023-09-24,true
DEVICE-000122,Smartphone,PERSON-000621,Android,2023-09-24,2023-09-24,true
DEVICE-000123,Tablet,PERSON-000083,iOS,2023-09-24,2023-09-24,true
DEVICE-000124,Smartphone,PERSON-001543,iOS,2023-09-24,2023-09-24,true
DEVICE-000125,Smartphone,PERSON-001873,Android,2023-09-24,2023-09-24,true
DEVICE-000126,Smartphone,PERSON-001873,iOS,2023-09-24,2023-09-24,true
DEVICE-000127,Smartphone,PERSON-002745,Android,2023-09-24,2023-09-24,true
DEVICE-000128,Smartphone,PERSON-001205,Android,2023-09-24,2023-09-24,true
DEVICE-000129,Smartphone,PERSON-000260,Android,2023-03-10,2023-03-10,true
DEVICE-000130,Smartphone,PERSON-000499,iOS,2023-03-10,2023-03-10,true
DEVICE-000131,Feature Phone,PERSON-000499,iOS,2023-03-10,2023-03-10,true
DEVICE-000132,Feature Phone,PERSON-001780,Android,2023-03-10,2023-03-10,true
DEVICE-000133,Smartphone,PERSON-002397,Android,2023-03-10,2023-03-10,true
DEVICE-000134,Smartphone,PERSON-002397,iOS,2023-03-10,2023-03-10,true
DEVICE-000135,Smartphone,PERSON-002646,iOS,2023-03-10,2023-03-10,true
DEVICE-000136,Tablet,PERSON-001747,iOS,2023-03-10,2023-03-10,true
DEVICE-000137,Tablet,PERSON-001747,Android,2023-03-10,2023-03-10,true
DEVICE-000138,Tablet,PERSON-002846,iOS,2023-03-10,2023-03-10,true
DEVICE-000139,Tablet,PERSON-000374,iOS,2023-03-10,2023-03-10,true
DEVICE-000140,Tablet,PERSON-002304,iOS,2023-03-10,2023-03-10,true
DEVICE-000141,Feature Phone,PERSON-002304,Android,2023-03-10,2023-03-10,true
DEVICE-000142,Feature Phone,PERSON-001691,iOS,2023-03-10,2023-03-10,true
DEVICE-000143,Smartphone,PERSON-001691,Android,2023-03-10,2023-03-10,true
DEVICE-000144,Feature Phone,PERSON-001847,Android,2023-03-10,2023-03-10,true
DEVICE-000145,Smartphone,PERSON-000260,iOS,2023-10-23,2023-10-23,true
DEVICE-000146,Smartphone,PERSON-000499,Android,2023-10-23,2023-10-23,true
DEVICE-000147,Feature Phone,PERSON-000943,iOS,2023-10-23,2023-10-23,true
DEVICE-000148,Feature Phone,PERSON-001747,iOS,2023-10-23,2023-10-23,true
DEVICE-000149,Tablet,PERSON-001747,iOS,2023-10-23,2023-10-23,true
DEVICE-000150,Tablet,PERSON-001479,iOS,2023-10-23,2023-10-23,true
DEVICE-000151,Smartphone,PERSON-002846,iOS,2023-10-23,2023-10-23,true
DEVICE-000152,Smartphone,PERSON-000374,Android,2023-10-23,2023-10-23,true
DEVICE-000153,Tablet,PERSON-000374,Android,2023-10-23,2023-10-23,true
DEVICE-000154,Tablet,PERSON-001578,iOS,2023-10-23,2023-10-23,true
DEVICE-000155,Feature Phone,PERSON-002393,Android,2023-10-23,2023-10-23,true
DEVICE-000156,Smartphone,PERSON-000842,Android,2023-02-15,2023-02-15,true
DEVICE-000157,Tablet,PERSON-002954,iOS,2023-02-15,2023-02-15,true
DEVICE-000158,Tablet,PERSON-000710,Android,2023-02-15,2023-02-15,true
DEVICE-000159,Feature Phone,PERSON-001769,Android,2023-02-15,2023-02-15,true
DEVICE-000160,Smartphone,PERSON-000238,Android,2023-11-13,2023-11-13,true
DEVICE-000161,Smartphone,PERSON-002343,iOS,2023-11-13,2023-11-13,true
DEVICE-000162,Smartphone,PERSON-002343,Android,2023-11-13,2023-11-13,true
DEVICE-000163,Tablet,PERSON-001007,iOS,2023-11-13,2023-11-13,true
DEVICE-000164,Feature Phone,PERSON-001331,iOS,2023-11-13,2023-11-13,true
DEVICE-000165,Smartphone,PERSON-001642,iOS,2023-11-13,2023-11-13,true
DEVICE-000166,Feature Phone,PERSON-000524,Android,2023-11-13,2023-11-13,true
DEVICE-000167,Feature Phone,PERSON-001547,iOS,2023-11-13,2023-11-13,true
DEVICE-000168,Tablet,PERSON-000081,iOS,2023-01-27,2023-01-27,true
DEVICE-000169,Smartphone,PERSON-001259,iOS,2023-01-27,2023-01-27,true
DEVICE-000170,Tablet,PERSON-000850,iOS,2023-01-27,2023-01-27,true
DEVICE-000171,Tablet,PERSON-001861,Android,2023-01-27,2023-01-27,true
DEVICE-000172,Feature Phone,PERSON-002574,iOS,2023-01-27,2023-01-27,true
DEVICE-000173,Feature Phone,PERSON-000863,Android,2023-01-27,2023-01-27,true
DEVICE-000174,Tablet,PERSON-000863,iOS,2023-01-27,2023-01-27,true
DEVICE-000175,Feature Phone,PERSON-000063,Android,2023-01-27,2023-01-27,true
DEVICE-000176,Tablet,PERSON-000927,Android,2023-01-27,2023-01-27,true
DEVICE-000177,Feature Phone,PERSON-001589,iOS,2023-01-27,2023-01-27,true
DEVICE-000178,Smartphone,PERSON-000863,iOS,2023-11-09,2023-11-09,true
DEVICE-000179,Smartphone,PERSON-000081,Android,2023-11-09,2023-11-09,true
DEVICE-000180,Smartphone,PERSON-000845,Android,2023-11-09,2023-11-09,true
DEVICE-000181,Feature Phone,PERSON-002020,iOS,2023-09-16,2023-09-16,true
DEVICE-000182,Smartphone,PERSON-002517,Android,2023-09-16,2023-09-16,true
DEVICE-000183,Tablet,PERSON-000062,Android,2023-09-16,2023-09-16,true
DEVICE-000184,Feature Phone,PERSON-000921,iOS,2023-09-16,2023-09-16,true
DEVICE-000185,Smartphone,PERSON-000357,iOS,2023-09-16,2023-09-16,true
DEVICE-000186,Tablet,PERSON-000357,iOS,2023-09-16,2023-09-16,true
DEVICE-000187,Feature Phone,PERSON-000682,iOS,2023-10-29,2023-10-29,true
DEVICE-000188,Smartphone,PERSON-002737,Android,2023-10-29,2023-10-29,true
DEVICE-000189,Feature Phone,PERSON-000473,Android,2023-10-29,2023-10-29,true
DEVICE-000190,Tablet,PERSON-000042,Android,2023-10-29,2023-10-29,true
DEVICE-000191,Smartphone,PERSON-002068,Android,2023-10-29,2023-10-29,true
DEVICE-000192,Feature Phone,PERSON-000165,Android,2023-10-29,2023-10-29,true
DEVICE-000193,Tablet,PERSON-001481,Android,2023-10-29,2023-10-29,true
DEVICE-000194,Feature Phone,PERSON-001481,iOS,2023-10-29,2023-10-29,true
DEVICE-000195,Smartphone,PERSON-000275,Android,2023-10-29,2023-10-29,true
DEVICE-000196,Feature Phone,PERSON-000275,Android,2023-10-29,2023-10-29,true
DEVICE-000197,Feature Phone,PERSON-000032,Android,2023-10-29,2023-10-29,true
DEVICE-000198,Tablet,PERSON-000703,iOS,2023-10-29,2023-10-29,true
DEVICE-000199,Tablet,PERSON-001558,iOS,2023-02-23,2023-02-23,true
DEVICE-000200,Tablet,PERSON-001474,iOS,2023-02-23,2023-02-23,true
DEVICE-000201,Tablet,PERSON-001474,iOS,2023-02-23,2023-02-23,true
DEVICE-000202,Feature Phone,PERSON-002900,Android,2023-02-23,2023-02-23,true
DEVICE-000203,Feature Phone,PERSON-002900,iOS,2023-02-23,2023-02-23,true
DEVICE-000204,Smartphone,PERSON-001115,Android,2023-02-23,2023-02-23,true
DEVICE-000205,Tablet,PERSON-001610,iOS,2023-02-23,2023-02-23,true
DEVICE-000206,Tablet,PERSON-001610,iOS,2023-02-23,2023-02-23,true
DEVICE-000207,Smartphone,PERSON-000792,iOS,2023-02-23,2023-02-23,true
DEVICE-000208,Smartphone,PERSON-002060,Android,2023-02-23,2023-02-23,true
DEVICE-000209,Tablet,PERSON-002618,iOS,2023-02-23,2023-02-23,true
DEVICE-000210,Smartphone,PERSON-001757,iOS,2023-02-23,2023-02-23,true
DEVICE-000211,Smartphone,PERSON-002277,Android,2023-03-24,2023-03-24,true
DEVICE-000212,Tablet,PERSON-002277,Android,2023-03-24,2023-03-24,true
DEVICE-000213,Smartphone,PERSON-000449,Android,2023-03-24,2023-03-24,true
DEVICE-000214,Tablet,PERSON-001617,iOS,2023-03-24,2023-03-24,true
DEVICE-000215,Tablet,PERSON-001194,Android,2023-03-24,2023-03-24,true
DEVICE-000216,Smartphone,PERSON-000341,iOS,2023-03-24,2023-03-24,true
DEVICE-000217,Feature Phone,PERSON-002930,Android,2023-03-24,2023-03-24,true
DEVICE-000218,Tablet,PERSON-002930,iOS,2023-03-24,2023-03-24,true
DEVICE-000219,Smartphone,PERSON-000009,iOS,2023-03-24,2023-03-24,true
DEVICE-000220,Tablet,PERSON-000009,iOS,2023-03-24,2023-03-24,true
DEVICE-000221,Tablet,PERSON-001899,iOS,2023-03-24,2023-03-24,true
DEVICE-000222,Feature Phone,PERSON-001899,iOS,2023-03-24,2023-03-24,true
DEVICE-000223,Smartphone,PERSON-000106,Android,2023-03-24,2023-03-24,true
DEVICE-000224,Smartphone,PERSON-000106,Android,2023-03-24,2023-03-24,true
DEVICE-000225,Feature Phone,PERSON-002633,Android,2023-03-24,2023-03-24,true
DEVICE-000226,Smartphone,PERSON-002633,iOS,2023-03-24,2023-03-24,true
DEVICE-000227,Tablet,PERSON-002246,Android,2023-03-24,2023-03-24,true
DEVICE-000228,Smartphone,PERSON-000538,Android,2023-02-17,2023-02-17,true
DEVICE-000229,Feature Phone,PERSON-000120,Android,2023-02-17,2023-02-17,true
DEVICE-000230,Feature Phone,PERSON-000921,Android,2023-02-17,2023-02-17,true
DEVICE-000231,Tablet,PERSON-000863,iOS,2023-02-17,2023-02-17,true
DEVICE-000232,Smartphone,PERSON-000895,Android,2023-02-17,2023-02-17,true
DEVICE-000233,Tablet,PERSON-002999,Android,2023-02-17,2023-02-17,true
DEVICE-000234,Smartphone,PERSON-001210,Android,2023-11-10,2023-11-10,true
DEVICE-000235,Smartphone,PERSON-001558,iOS,2023-11-10,2023-11-10,true
DEVICE-000236,Feature Phone,PERSON-000351,iOS,2023-11-10,2023-11-10,true
DEVICE-000237,Tablet,PERSON-002750,iOS,2023-11-10,2023-11-10,true
DEVICE-000238,Tablet,PERSON-001041,iOS,2023-11-10,2023-11-10,true
DEVICE-000239,Feature Phone,PERSON-001041,Android,2023-11-10,2023-11-10,true
DEVICE-000240,Smartphone,PERSON-001589,iOS,2023-11-10,2023-11-10,true
DEVICE-000241,Feature Phone,PERSON-001670,iOS,2023-11-10,2023-11-10,true
DEVICE-000242,Smartphone,PERSON-002517,iOS,2023-04-24,2023-04-24,true
DEVICE-000243,Tablet,PERSON-002517,iOS,2023-04-24,2023-04-24,true
DEVICE-000244,Feature Phone,PERSON-002132,iOS,2023-04-24,2023-04-24,true
DEVICE-000245,Feature Phone,PERSON-002132,Android,2023-04-24,2023-04-24,true
DEVICE-000246,Tablet,PERSON-000621,iOS,2023-04-24,2023-04-24,true
DEVICE-000247,Tablet,PERSON-000621,Android,2023-04-24,2023-04-24,true
DEVICE-000248,Tablet,PERSON-002745,Android,2023-04-24,2023-04-24,true
DEVICE-000249,Feature Phone,PERSON-002999,iOS,2023-04-24,2023-04-24,true
DEVICE-000250,Tablet,PERSON-001205,Android,2023-04-24,2023-04-24,true
DEVICE-000251,Smartphone,PERSON-001558,iOS,2023-09-08,2023-09-08,true
DEVICE-000252,Feature Phone,PERSON-002821,iOS,2023-09-08,2023-09-08,true
DEVICE-000253,Smartphone,PERSON-001474,Android,2023-09-08,2023-09-08,true
DEVICE-000254,Tablet,PERSON-002900,Android,2023-09-08,2023-09-08,true
DEVICE-000255,Smartphone,PERSON-001115,iOS,2023-09-08,2023-09-08,true
DEVICE-000256,Tablet,PERSON-001115,iOS,2023-09-08,2023-09-08,true
DEVICE-000257,Feature Phone,PERSON-001262,Android,2023-09-08,2023-09-08,true
DEVICE-000258,Tablet,PERSON-001262,Android,2023-09-08,2023-09-08,true
DEVICE-000259,Feature Phone,PERSON-001610,iOS,2023-09-08,2023-09-08,true
DEVICE-000260,Smartphone,PERSON-000180,Android,2023-09-08,2023-09-08,true
DEVICE-000261,Smartphone,PERSON-000792,Android,2023-09-08,2023-09-08,true
DEVICE-000262,Feature Phone,PERSON-002060,Android,2023-09-08,2023-09-08,true
DEVICE-000263,Feature Phone,PERSON-002618,Android,2023-09-08,2023-09-08,true
DEVICE-000264,Tablet,PERSON-002618,iOS,2023-09-08,2023-09-08,true
DEVICE-000265,Tablet,PERSON-002453,Android,2023-04-09,2023-04-09,true
DEVICE-000266,Smartphone,PERSON-002197,Android,2023-04-09,2023-04-09,true
DEVICE-000267,Feature Phone,PERSON-001705,iOS,2023-04-09,2023-04-09,true
DEVICE-000268,Feature Phone,PERSON-000232,Android,2023-04-09,2023-04-09,true
DEVICE-000269,Feature Phone,PERSON-000789,Android,2023-04-09,2023-04-09,true
DEVICE-000270,Smartphone,PERSON-001210,Android,2023-05-07,2023-05-07,true
DEVICE-000271,Smartphone,PERSON-000146,Android,2023-05-07,2023-05-07,true
DEVICE-000272,Tablet,PERSON-001667,iOS,2023-05-07,2023-05-07,true
DEVICE-000273,Tablet,PERSON-000351,iOS,2023-05-07,2023-05-07,true
DEVICE-000274,Smartphone,PERSON-000717,Android,2023-05-07,2023-05-07,true
DEVICE-000275,Tablet,PERSON-002750,iOS,2023-05-07,2023-05-07,true
DEVICE-000276,Tablet,PERSON-001041,Android,2023-05-07,2023-05-07,true
DEVICE-000277,Smartphone,PERSON-001041,Android,2023-05-07,2023-05-07,true
DEVICE-000278,Smartphone,PERSON-001589,Android,2023-05-07,2023-05-07,true
DEVICE-000279,Smartphone,PERSON-001670,iOS,2023-05-07,2023-05-07,true
DEVICE-000280,Feature Phone,PERSON-002998,Android,2023-02-23,2023-02-23,true
DEVICE-000281,Smartphone,PERSON-000948,iOS,2023-02-23,2023-02-23,true
DEVICE-000282,Tablet,PERSON-000948,Android,2023-02-23,2023-02-23,true
DEVICE-000283,Tablet,PERSON-002757,iOS,2023-02-23,2023-02-23,true
DEVICE-000284,Smartphone,PERSON-002757,iOS,2023-02-23,2023-02-23,true
DEVICE-000285,Smartphone,PERSON-000584,Android,2023-02-23,2023-02-23,true
DEVICE-000286,Tablet,PERSON-000697,iOS,2023-02-23,2023-02-23,true
DEVICE-000287,Smartphone,PERSON-000697,iOS,2023-02-23,2023-02-23,true
DEVICE-000288,Tablet,PERSON-000230,Android,2023-02-23,2023-02-23,true
DEVICE-000289,Tablet,PERSON-002715,Android,2023-02-23,2023-02-23,true
DEVICE-000290,Smartphone,PERSON-001667,Android,2023-04-30,2023-04-30,true
DEVICE-000291,Smartphone,PERSON-001667,iOS,2023-04-30,2023-04-30,true
DEVICE-000292,Smartphone,PERSON-000146,Android,2023-04-30,2023-04-30,true
DEVICE-000293,Smartphone,PERSON-001210,Android,2023-04-30,2023-04-30,true
DEVICE-000294,Tablet,PERSON-001210,iOS,2023-04-30,2023-04-30,true
DEVICE-000295,Tablet,PERSON-001558,Android,2023-04-30,2023-04-30,true
DEVICE-000296,Tablet,PERSON-001041,Android,2023-04-30,2023-04-30,true
DEVICE-000297,Feature Phone,PERSON-001589,iOS,2023-04-30,2023-04-30,true
DEVICE-000298,Tablet,PERSON-001880,iOS,2023-04-30,2023-04-30,true
DEVICE-000299,Feature Phone,PERSON-001880,Android,2023-04-30,2023-04-30,true
DEVICE-000300,Smartphone,PERSON-001670,iOS,2023-04-30,2023-04-30,true
DEVICE-000301,Feature Phone,PERSON-001210,Android,2023-07-14,2023-07-14,true
DEVICE-000302,Smartphone,PERSON-001210,iOS,2023-07-14,2023-07-14,true
DEVICE-000303,Feature Phone,PERSON-000146,Android,2023-07-14,2023-07-14,true
DEVICE-000304,Feature Phone,PERSON-001573,Android,2023-07-14,2023-07-14,true
DEVICE-000305,Tablet,PERSON-001558,iOS,2023-07-14,2023-07-14,true
DEVICE-000306,Feature Phone,PERSON-000351,Android,2023-07-14,2023-07-14,true
DEVICE-000307,Feature Phone,PERSON-000351,Android,2023-07-14,2023-07-14,true
DEVICE-000308,Feature Phone,PERSON-002750,Android,2023-07-14,2023-07-14,true
DEVICE-000309,Tablet,PERSON-001041,iOS,2023-07-14,2023-07-14,true
DEVICE-000310,Tablet,PERSON-001667,iOS,2023-06-06,2023-06-06,true
DEVICE-000311,Tablet,PERSON-001210,iOS,2023-06-06,2023-06-06,true
DEVICE-000312,Tablet,PERSON-000351,Android,2023-06-06,2023-06-06,true
DEVICE-000313,Feature Phone,PERSON-002750,iOS,2023-06-06,2023-06-06,true
DEVICE-000314,Feature Phone,PERSON-002930,Android,2023-06-06,2023-06-06,true
DEVICE-000315,Smartphone,PERSON-001041,iOS,2023-06-06,2023-06-06,true
DEVICE-000316,Smartphone,PERSON-001589,Android,2023-06-06,2023-06-06,true
DEVICE-000317,Smartphone,PERSON-001589,Android,2023-06-06,2023-06-06,true
DEVICE-000318,Tablet,PERSON-000506,Android,2023-04-03,2023-04-03,true
DEVICE-000319,Smartphone,PERSON-000597,Android,2023-04-03,2023-04-03,true
DEVICE-000320,Feature Phone,PERSON-000597,Android,2023-04-03,2023-04-03,true
DEVICE-000321,Tablet,PERSON-000062,Android,2023-04-03,2023-04-03,true
DEVICE-000322,Tablet,PERSON-002576,iOS,2023-04-03,2023-04-03,true
DEVICE-000323,Tablet,PERSON-002576,Android,2023-04-03,2023-04-03,true
DEVICE-000324,Feature Phone,PERSON-000046,Android,2023-04-03,2023-04-03,true
DEVICE-000325,Feature Phone,PERSON-000647,Android,2023-04-03,2023-04-03,true
DEVICE-000326,Smartphone,PERSON-000927,iOS,2023-04-03,2023-04-03,true
DEVICE-000327,Tablet,PERSON-000390,iOS,2023-04-03,2023-04-03,true
DEVICE-000328,Feature Phone,PERSON-001326,iOS,2023-04-03,2023-04-03,true
