evidence_id,case_id,evidence_type,source,collected_at,location_id,related_person_id,related_vehicle_id,related_device_id,description,reliability,integrity_sha256,synthetic_flag
EVID-000015,CASE-000002,DIGITAL,Synthetic Source,2023-08-19T11:17:00,LOC-000005,PERSON-001847,,DEVICE-000012,Synthetic evidence record,0.94,94c9ff3e295252d456a622fba94c70de3a5c2d139e7551c59950b408dd144653,true
EVID-000016,CASE-000002,DIGITAL,Synthetic Source,2023-08-19T11:17:00,LOC-000005,PERSON-000245,VEH-000004,DEVICE-000006,Synthetic evidence record,0.61,9914f0a1a0095da0ab6dd4289939554a218d04d76b4a1f7421240ebb4064c758,true
EVID-000017,CASE-000002,FINANCIAL,Synthetic Source,2023-08-19T11:17:00,LOC-000005,PERSON-001941,VEH-000005,DEVICE-000007,Synthetic evidence record,0.86,3d011a769b36dd7969be31bc1aa9c72a2f7803a66c6bad42aa20c14ccc7fc987,true
EVID-000018,CASE-000003,SURVEILLANCE,Synthetic Source,2023-11-03T11:21:00,LOC-000006,PERSON-001431,VEH-000010,DEVICE-000015,Synthetic evidence record,0.85,14233feb2dcd2eac7624591b814c5c8e753611824b6590db149e11e27befaf03,true
EVID-000019,CASE-000003,CCTV,Synthetic Source,2023-11-03T11:21:00,LOC-000007,PERSON-000599,VEH-000014,DEVICE-000021,Synthetic evidence record,0.68,4573e840474e9ad253c253d60624cf41899f5eff03e0c65874b824ace90fabd0,true
EVID-000020,CASE-000003,SURVEILLANCE,Synthetic Source,2023-11-03T11:21:00,LOC-000007,PERSON-001701,,DEVICE-000016,Synthetic evidence record,0.67,db35ff0c814a1c77387dab8b7cee906a16bd6f0f9d7c94a1ff7f660474f22408,true
EVID-000021,CASE-000003,CCTV,Synthetic Source,2023-11-03T11:21:00,LOC-000007,PERSON-000599,VEH-000014,DEVICE-000021,Synthetic evidence record,0.67,5129159572441fd39567a8b03f79c83063e8a71258721ea58833f0b23b04e165,true
EVID-000022,CASE-000003,DIGITAL,Synthetic Source,2023-11-03T11:21:00,LOC-000006,PERSON-001431,VEH-000010,DEVICE-000015,Synthetic evidence record,0.74,2ce72d6583ed81962842faa8e11bf2ce6ccb308e2e178a14b88e7df06517f4bd,true
EVID-000023,CASE-000003,PHONE,Synthetic Source,2023-11-03T11:21:00,LOC-000006,PERSON-000484,VEH-000013,DEVICE-000020,Synthetic evidence record,0.86,8836b0993a8c11afd7fcd6ae7ca0d4e4f9f3abdb5db3379a704207b0ff92367e,true
EVID-000024,CASE-000004,DIGITAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-001648,VEH-000019,DEVICE-000027,Synthetic evidence record,0.62,16cc015cec03e2d16d3d9635894c853cf8b69d1861d1d50441a8f49c0ec0ddb0,true
EVID-000025,CASE-000004,FINANCIAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-001648,VEH-000019,DEVICE-000027,Synthetic evidence record,0.65,e5ac3ecaecb1222e0a19b4cb29763207ff87bfca3fd701a61c69d51163030151,true
EVID-000026,CASE-000004,DIGITAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-001262,VEH-000018,DEVICE-000026,Synthetic evidence record,0.67,928c1bdb14be7fea475d54d0ffb71a1aabb2f8ee33a969fcf24cfd438c0f7a97,true
EVID-000027,CASE-000004,PHONE,Synthetic Source,2023-02-12T22:25:00,LOC-000008,PERSON-001648,VEH-000019,DEVICE-000027,Synthetic evidence record,0.66,dced663c0183df53c2455f72c9f7b0fffbd470795bec9ffa521c1ef5cf08ae74,true
EVID-000028,CASE-000004,FINANCIAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-000341,VEH-000016,DEVICE-000024,Synthetic evidence record,0.68,7a504e1afd86723e5f26718bff4b3f4b451fb68f560e7d14c02d7916d0b1fe8c,true
EVID-000029,CASE-000004,DOCUMENT,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-000341,VEH-000016,DEVICE-000024,Synthetic evidence record,0.92,26a0ce4b7fdb7132760315905b38320313ded8cc00cbddbb6a0c49ddda513186,true
EVID-000030,CASE-000004,PHYSICAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-000341,VEH-000016,DEVICE-000024,Synthetic evidence record,0.8,81d7f0574e451765a677af59ecfe8fc6feb960e90e5d383862d1b1be0add9c60,true
EVID-000031,CASE-000004,SURVEILLANCE,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-000342,VEH-000017,DEVICE-000025,Synthetic evidence record,0.8,06d78ec8f1093d637cdf4a9a40fd6395f0b445cc0f26bc1ba7ce1fed9ee1f626,true
EVID-000032,CASE-000004,FINANCIAL,Synthetic Source,2023-02-12T22:25:00,LOC-000009,PERSON-000342,VEH-000017,DEVICE-000025,Synthetic evidence record,0.96,db5af2544851eca9ab2cd6f1dbd848778b242f93e65fd8c0bef6a9118815e550,true
EVID-000033,CASE-000005,PHONE,Synthetic Source,2023-09-26T11:53:00,LOC-000010,PERSON-001768,VEH-000024,DEVICE-000034,Synthetic evidence record,0.71,23d2a4fe860a28d576d46ada0910a18e83d3426ccc93645bb6f030bacb471e0f,true
EVID-000034,CASE-000005,DOCUMENT,Synthetic Source,2023-09-26T11:53:00,LOC-000011,PERSON-000217,,DEVICE-000033,Synthetic evidence record,0.71,0137a6d798915991723da2713c8bc6057cc9b42b02d188d03293ca5e7a928c8d,true
EVID-000035,CASE-000005,DOCUMENT,Synthetic Source,2023-09-26T11:53:00,LOC-000011,PERSON-000217,,DEVICE-000033,Synthetic evidence record,0.66,727cb80cc96525fb309748a18c041e4715315ff257a5062888a410472e73b41c,true
EVID-000036,CASE-000005,DOCUMENT,Synthetic Source,2023-09-26T11:53:00,LOC-000012,PERSON-000906,VEH-000023,DEVICE-000032,Synthetic evidence record,0.84,6e76e1cfae16fbca339b202c3087805af5eb1d9f0dcf68204a8a356dc1c54f21,true
EVID-000037,CASE-000005,FINANCIAL,Synthetic Source,2023-09-26T11:53:00,LOC-000012,PERSON-002609,VEH-000022,DEVICE-000031,Synthetic evidence record,0.92,38b6dab2ef07809093cb846b14f731befef9d9066cdfb4d752175168a2a6ed4c,true
EVID-000038,CASE-000005,DOCUMENT,Synthetic Source,2023-09-26T11:53:00,LOC-000011,PERSON-002964,VEH-000025,DEVICE-000035,Synthetic evidence record,0.88,14cd553806265562970e9725c95c46484953697cdbe605cf2f0d29ae7e6cee55,true
EVID-000039,CASE-000006,PHONE,Synthetic Source,2023-12-16T13:11:00,LOC-000017,PERSON-000144,VEH-000029,DEVICE-000040,Synthetic evidence record,0.73,f25a7faa55847e1981cc4845bc455adb8fccc4deb151d137d26eaef721c4b4d9,true
EVID-000040,CASE-000006,SURVEILLANCE,Synthetic Source,2023-12-16T13:11:00,LOC-000017,PERSON-000920,VEH-000028,DEVICE-000038,Synthetic evidence record,0.99,ec53175597c73bfc29ebce77bf6523093545cd1d16ecce37799a13ecb38bd9df,true
EVID-000041,CASE-000006,FINANCIAL,Synthetic Source,2023-12-16T13:11:00,LOC-000016,PERSON-000492,VEH-000026,DEVICE-000036,Synthetic evidence record,0.7,4d94659da15cbefb8708f26ece6ad0a3296b1254fa704196454319949b05f46e,true
EVID-000042,CASE-000006,PHYSICAL,Synthetic Source,2023-12-16T13:11:00,LOC-000017,PERSON-000920,VEH-000028,DEVICE-000039,Synthetic evidence record,0.69,bae0ed8b6a3a6476b80f5a8bad482e0499401828ea2e20690285fbcf18a784d1,true
EVID-000043,CASE-000006,DIGITAL,Synthetic Source,2023-12-16T13:11:00,LOC-000014,PERSON-001830,VEH-000032,DEVICE-000043,Synthetic evidence record,0.99,719f9254927ee4e5f0bc7784e786f0e09261bdd36b3066b15e7847e5746f581e,true
EVID-000044,CASE-000006,FINANCIAL,Synthetic Source,2023-12-16T13:11:00,LOC-000014,PERSON-001059,VEH-000027,DEVICE-000037,Synthetic evidence record,0.9,1ab13a61306603b4c5d43b3be20c15dcc918eae3724dd7927d3fc934c468d45f,true
EVID-000045,CASE-000007,PHONE,Synthetic Source,2023-07-16T23:58:00,LOC-000018,PERSON-000302,VEH-000035,DEVICE-000048,Synthetic evidence record,0.9,e909181b87bd572c84368d79412613d810b91a77868b8323454dc5f66a8b04c6,true
EVID-000046,CASE-000007,FINANCIAL,Synthetic Source,2023-07-16T23:58:00,LOC-000019,PERSON-002122,VEH-000037,DEVICE-000051,Synthetic evidence record,0.69,51c25d938d179125c5b1c6b2275657aa7a96b7c69a59f4f358098d9dec3a0709,true
EVID-000047,CASE-000007,SURVEILLANCE,Synthetic Source,2023-07-16T23:58:00,LOC-000019,PERSON-000342,VEH-000033,DEVICE-000045,Synthetic evidence record,0.72,e925c89e5d3003943158363add64c7cf73d7352d6bb5334add94847d47b178f1,true
EVID-000048,CASE-000007,DIGITAL,Synthetic Source,2023-07-16T23:58:00,LOC-000020,PERSON-000001,VEH-000036,DEVICE-000050,Synthetic evidence record,0.63,ec6dd1458844d10dfe88bc9ee5dd7beacae9bd562376705754308cfcb1e063a3,true
EVID-000049,CASE-000007,DIGITAL,Synthetic Source,2023-07-16T23:58:00,LOC-000018,PERSON-002122,VEH-000037,DEVICE-000052,Synthetic evidence record,0.74,a25d756afe8377f939aab052fccdbbf97e09e0f1ba45cfc512a45795c92321b0,true
EVID-000050,CASE-000007,DIGITAL,Synthetic Source,2023-07-16T23:58:00,LOC-000019,PERSON-001880,,DEVICE-000049,Synthetic evidence record,0.65,a56dd991cf3f012c868da2625eaa48767ff29389108367b2f0ea0c55163799e0,true
EVID-000051,CASE-000007,CCTV,Synthetic Source,2023-07-16T23:58:00,LOC-000019,PERSON-001615,,DEVICE-000044,Synthetic evidence record,0.96,e450ac3cb26594d8afdbe227c01cc3a30a78a57a2c9f0d63b11022bdccda2c44,true
EVID-000052,CASE-000007,CCTV,Synthetic Source,2023-07-16T23:58:00,LOC-000019,PERSON-000144,VEH-000029,DEVICE-000046,Synthetic evidence record,0.85,39a0418108578c2e1a1b2f740a95d6be6fe7b1eeec7ddcad89f4afd4efc70355,true
EVID-000053,CASE-000008,DOCUMENT,Synthetic Source,2023-11-12T12:26:00,LOC-000022,PERSON-000895,,DEVICE-000061,Synthetic evidence record,0.71,96974c4bccf9f10aa062b4a68d003fc2d49465e87ca12d9e81884591f6bf6037,true
EVID-000054,CASE-000008,PHONE,Synthetic Source,2023-11-12T12:26:00,LOC-000021,PERSON-000647,VEH-000039,DEVICE-000056,Synthetic evidence record,0.98,ba713bd6fb1adaad69143a2a93afbb5f9f217bd5be1e72743500923a10bb7dc8,true
EVID-000055,CASE-000008,CCTV,Synthetic Source,2023-11-12T12:26:00,LOC-000021,PERSON-000647,VEH-000039,DEVICE-000056,Synthetic evidence record,0.96,c40611677c7013754928991ac63290cf17cb3bdfb3c1243169ba0183c0f77792,true
EVID-000056,CASE-000008,PHYSICAL,Synthetic Source,2023-11-12T12:26:00,LOC-000024,PERSON-000898,,DEVICE-000060,Synthetic evidence record,0.97,736df9cf3539d7cbd638a88b08f4aab0fb8919584c495a38cc7ddb36c6ab7f45,true
EVID-000057,CASE-000008,SURVEILLANCE,Synthetic Source,2023-11-12T12:26:00,LOC-000024,PERSON-000106,VEH-000042,DEVICE-000064,Synthetic evidence record,0.68,0d6c80801349d39a82ddfc5058e0f5dc3e30ac8a935b4d04e659449c405550af,true
EVID-000058,CASE-000009,PHONE,Synthetic Source,2023-01-07T20:09:00,LOC-000025,PERSON-000473,,DEVICE-000068,Synthetic evidence record,0.65,871243d417e6eaf647645090870ac47ec4e2b37a3c48ea5bff1cc6bbe71d2718,true
EVID-000059,CASE-000009,FINANCIAL,Synthetic Source,2023-01-07T20:09:00,LOC-000026,PERSON-000275,VEH-000047,DEVICE-000073,Synthetic evidence record,0.84,1ebfa611701b58aaae504d7a50fe92887e0eab59c7613a670ab7eed80bb58762,true
EVID-000060,CASE-000009,PHONE,Synthetic Source,2023-01-07T20:09:00,LOC-000025,PERSON-000275,VEH-000047,DEVICE-000073,Synthetic evidence record,0.81,77b0cc6e47a386c1c170743aa46f7c056486a54747494424f5d5aaab05a174a5,true
EVID-000061,CASE-000009,PHONE,Synthetic Source,2023-01-07T20:09:00,LOC-000025,PERSON-002068,VEH-000049,DEVICE-000076,Synthetic evidence record,0.72,6333f129812d1881992567386d85a3d16321364f0ec96dc7c6281a59ad66057e,true
EVID-000062,CASE-000009,PHYSICAL,Synthetic Source,2023-01-07T20:09:00,LOC-000025,PERSON-001807,VEH-000046,DEVICE-000071,Synthetic evidence record,0.83,a732509eb69be8167043982f570757364f6ae076f0ff644f39cf037505db3378,true
EVID-000063,CASE-000009,DIGITAL,Synthetic Source,2023-01-07T20:09:00,LOC-000026,PERSON-000473,,DEVICE-000068,Synthetic evidence record,0.79,7029911e9fd4f5c68d7e4a672a49e9ece9d49b0b4eb1d503d3e274a2320dd00b,true
EVID-000064,CASE-000009,FINANCIAL,Synthetic Source,2023-01-07T20:09:00,LOC-000025,PERSON-000275,VEH-000047,DEVICE-000073,Synthetic evidence record,0.65,d882cfedcf4a4478e733ddcac5452184d45fa621b69ca4b70a8c3fac5c718153,true
EVID-000065,CASE-000010,SURVEILLANCE,Synthetic Source,2023-05-22T14:50:00,LOC-000030,PERSON-001115,VEH-000053,DEVICE-000082,Synthetic evidence record,0.61,53169307227af7c5d4c8eddc34a2afa4f95031cc5c537029c6b08e4d99864688,true
EVID-000066,CASE-000010,FINANCIAL,Synthetic Source,2023-05-22T14:50:00,LOC-000027,PERSON-000267,,DEVICE-000084,Synthetic evidence record,0.78,3f066ab3318c8ea97864babda1ad07d2393cef137f4b77599a2d15ad49915bcc,true
EVID-000067,CASE-000010,CCTV,Synthetic Source,2023-05-22T14:50:00,LOC-000027,PERSON-000106,VEH-000042,DEVICE-000064,Synthetic evidence record,0.73,7c01fb9718b3a744364d56405796340068498ae395cc975707b3a7ad5c065595,true
EVID-000068,CASE-000010,PHONE,Synthetic Source,2023-05-22T14:50:00,LOC-000030,PERSON-002821,VEH-000051,DEVICE-000079,Synthetic evidence record,0.73,cc1484012e0203c10c8d6d0fb191e1d454a8545baa1b71278722c6f4957dbf9e,true
EVID-000069,CASE-000010,FINANCIAL,Synthetic Source,2023-05-22T14:50:00,LOC-000030,PERSON-002821,VEH-000051,DEVICE-000079,Synthetic evidence record,0.89,13e54329184be1bb7018c5bd61cbde14b9b90ed2d75cb176683fc8b2bfd76ad1,true
EVID-000070,CASE-000010,FINANCIAL,Synthetic Source,2023-05-22T14:50:00,LOC-000029,PERSON-002821,VEH-000051,DEVICE-000078,Synthetic evidence record,0.91,392975ec56118b301428ce0e81319e16425ee9a95321eb69c9fd04a1652a624e,true
EVID-000071,CASE-000010,DOCUMENT,Synthetic Source,2023-05-22T14:50:00,LOC-000028,PERSON-002618,VEH-000056,DEVICE-000089,Synthetic evidence record,0.69,ee752ef35d069634e4b76c3a78dcc8b5f64d415248a39d4a8be590585d8167fc,true
EVID-000072,CASE-000010,DOCUMENT,Synthetic Source,2023-05-22T14:50:00,LOC-000027,PERSON-000106,VEH-000042,DEVICE-000087,Synthetic evidence record,0.81,e5348e7b96df732832926f32fc7632bdb77a6906c7faf730216e99e73ce9f32d,true
EVID-000073,CASE-000011,CCTV,Synthetic Source,2023-03-03T09:51:00,LOC-000034,PERSON-002839,VEH-000058,DEVICE-000092,Synthetic evidence record,0.74,4c6d114a15a04125d3faea01e491192b5e4516ee789da7bb5b69fc0e7a406ca8,true
EVID-000074,CASE-000011,SURVEILLANCE,Synthetic Source,2023-03-03T09:51:00,LOC-000032,PERSON-002368,VEH-000061,DEVICE-000098,Synthetic evidence record,0.83,1c92325fc2e82741890cf8b269592176117f032996e4c7119e1992e985c8b8a4,true
EVID-000075,CASE-000011,PHONE,Synthetic Source,2023-03-03T09:51:00,LOC-000033,PERSON-000232,VEH-000063,DEVICE-000101,Synthetic evidence record,0.99,3a97d7e379751be3837b1ff46f0c00ddf282d509c6aef75fc5e824503f5f43d0,true
EVID-000076,CASE-000011,PHYSICAL,Synthetic Source,2023-03-03T09:51:00,LOC-000034,PERSON-002368,VEH-000061,DEVICE-000098,Synthetic evidence record,0.75,8994571c9f3deb9eeceec594aa6bd55d0440fbb802cacf97778edccd5259d22f,true
EVID-000077,CASE-000011,PHYSICAL,Synthetic Source,2023-03-03T09:51:00,LOC-000034,PERSON-001610,VEH-000060,DEVICE-000096,Synthetic evidence record,0.87,4314dec98904d7697eff9aa40764e3d50eb5b368688aa5fc636d047ea271e0fe,true
EVID-000078,CASE-000011,DOCUMENT,Synthetic Source,2023-03-03T09:51:00,LOC-000032,PERSON-000274,VEH-000059,DEVICE-000095,Synthetic evidence record,0.95,130a4e043b4b9af1b6a9cdb1d995c29842a7a7136ed1a3c19935c942d578722e,true
EVID-000079,CASE-000011,CCTV,Synthetic Source,2023-03-03T09:51:00,LOC-000032,PERSON-000274,VEH-000059,DEVICE-000094,Synthetic evidence record,0.84,79ee93512b0ddf7be880ce97f78a01acc4ab44c6f8cd97b1dc64b9c6bce68b20,true
EVID-000080,CASE-000012,PHYSICAL,Synthetic Source,2023-04-06T07:49:00,LOC-000037,PERSON-002256,VEH-000067,DEVICE-000107,Synthetic evidence record,0.89,b185887c04bd9ba1917312465afdc35c6cb41abb4b425fc8816a52c74a06b982,true
EVID-000081,CASE-000012,CCTV,Synthetic Source,2023-04-06T07:49:00,LOC-000036,PERSON-001012,VEH-000065,DEVICE-000104,Synthetic evidence record,0.71,e2d12c43253080735602086aeb638986966295c0a89dcd59452e9c9da5fada61,true
EVID-000082,CASE-000012,PHONE,Synthetic Source,2023-04-06T07:49:00,LOC-000038,PERSON-002256,VEH-000067,DEVICE-000107,Synthetic evidence record,0.87,0b6ea6be92f712cc856bd33e4571674f385a9964335dfbd215591c77f3e314b1,true
EVID-000083,CASE-000012,DIGITAL,Synthetic Source,2023-04-06T07:49:00,LOC-000035,PERSON-000175,,DEVICE-000105,Synthetic evidence record,0.85,732212fdafdef1391bb6e5ef563bd9f4d75bf1c0107e7b5a0a73dd7773fe4eb9,true
EVID-000084,CASE-000012,DOCUMENT,Synthetic Source,2023-04-06T07:49:00,LOC-000038,PERSON-000842,,DEVICE-000103,Synthetic evidence record,0.89,8647fbe0e503c1feaf9a271855959491d91b9e182e777149827e79dcdbb59d3a,true
EVID-000085,CASE-000012,DOCUMENT,Synthetic Source,2023-04-06T07:49:00,LOC-000038,PERSON-002788,VEH-000069,DEVICE-000109,Synthetic evidence record,0.93,6a934967f0cb7797ee29a9a387ede7229bd193bbf862552f129f4d0cf4258445,true
EVID-000086,CASE-000013,PHYSICAL,Synthetic Source,2023-07-25T03:08:00,LOC-000041,PERSON-001492,,DEVICE-000119,Synthetic evidence record,0.86,9dc0dac28b8e8bb29ebe316cf4f756036ca427de3d89d25d465ece5c4d3733cd,true
EVID-000087,CASE-000013,SURVEILLANCE,Synthetic Source,2023-07-25T03:08:00,LOC-000039,PERSON-000703,,DEVICE-000118,Synthetic evidence record,0.97,96c15e383b69201c699c35147e38b25ac4f1efd9ad8e597aa370aabd87013764,true
EVID-000088,CASE-000013,FINANCIAL,Synthetic Source,2023-07-25T03:08:00,LOC-000040,PERSON-001803,VEH-000074,DEVICE-000114,Synthetic evidence record,0.93,f9f284688248fecd962d2418d24fd023a890f909d76e7571dace50038c28725e,true
EVID-000089,CASE-000013,PHONE,Synthetic Source,2023-07-25T03:08:00,LOC-000039,PERSON-000703,,DEVICE-000118,Synthetic evidence record,0.7,941dad09d42a7bdfe9fa9f68904503108a6b9c6ca2dd6f9731d8792c76f97ed8,true
EVID-000090,CASE-000013,DOCUMENT,Synthetic Source,2023-07-25T03:08:00,LOC-000040,PERSON-001803,VEH-000074,DEVICE-000018,Synthetic evidence record,0.82,c5f65174e799571a463487674c11a1f29d7c25ec67ba87bd23bf7a120925dfe0,true
EVID-000091,CASE-000013,FINANCIAL,Synthetic Source,2023-07-25T03:08:00,LOC-000041,PERSON-002197,,DEVICE-000116,Synthetic evidence record,0.64,a114c4d00eae3dc026e573054e1968af222bb7da09a40c78339c877798be218a,true
EVID-000092,CASE-000013,PHYSICAL,Synthetic Source,2023-07-25T03:08:00,LOC-000040,PERSON-002965,VEH-000075,DEVICE-000117,Synthetic evidence record,0.62,fdd8a2896d62438336ab4700ea3592272bf0a5f40244c2e338ad398be3304625,true
EVID-000093,CASE-000014,DOCUMENT,Synthetic Source,2023-09-24T21:22:00,LOC-000045,PERSON-001873,VEH-000080,DEVICE-000126,Synthetic evidence record,0.67,fbda373ec6014fabb10488f4b984b769acd08e5ffc18c7194fa8c6b9c18aa341,true
EVID-000094,CASE-000014,DOCUMENT,Synthetic Source,2023-09-24T21:22:00,LOC-000042,PERSON-002745,,DEVICE-000127,Synthetic evidence record,0.76,abbe237aecafe2424eacd2bdc22fdb0333eff2871231d50728909b3a91d30c78,true
EVID-000095,CASE-000014,PHYSICAL,Synthetic Source,2023-09-24T21:22:00,LOC-000045,PERSON-000083,VEH-000078,DEVICE-000123,Synthetic evidence record,0.65,cf051025ef5b3a7322067bc8bbc207c60ac26e097bd1c200d9f92fda56076817,true
EVID-000096,CASE-000014,DIGITAL,Synthetic Source,2023-09-24T21:22:00,LOC-000043,PERSON-000621,VEH-000077,DEVICE-000122,Synthetic evidence record,0.62,404dd190d3e510750e41bd591224a944b9668df1df7640abd6e817c301a89204,true
EVID-000097,CASE-000014,CCTV,Synthetic Source,2023-09-24T21:22:00,LOC-000044,PERSON-000083,VEH-000078,DEVICE-000123,Synthetic evidence record,0.71,7da4e01cdb36e912f523b41caec842578c0cee3a93a456451ed6e9ed36524b9f,true
EVID-000098,CASE-000014,DOCUMENT,Synthetic Source,2023-09-24T21:22:00,LOC-000043,PERSON-001873,VEH-000080,DEVICE-000126,Synthetic evidence record,0.89,43948a8322625c0e6ac8d46390ffb3236263e90170a35ce1fe42d4ed614935e7,true
EVID-000099,CASE-000014,DIGITAL,Synthetic Source,2023-09-24T21:22:00,LOC-000044,PERSON-001543,VEH-000079,DEVICE-000124,Synthetic evidence record,0.87,d158e3d28e34cd442a071025b7b5d2f183ee9463b30505621aaf26205ab6fb7a,true
EVID-000100,CASE-000014,SURVEILLANCE,Synthetic Source,2023-09-24T21:22:00,LOC-000045,PERSON-000621,VEH-000077,DEVICE-000122,Synthetic evidence record,0.96,2201f2ca1547a59dac1ea787528b03c089c6489cdbe68e279a2177a2b980c8f2,true
EVID-000101,CASE-000014,FINANCIAL,Synthetic Source,2023-09-24T21:22:00,LOC-000042,PERSON-001898,,DEVICE-000121,Synthetic evidence record,0.67,04b8ed85e8f2af1d78808ad78177dbee3d3c4c1a0fa6eded333301d24c589023,true
EVID-000102,CASE-000015,PHONE,Synthetic Source,2023-03-10T05:07:00,LOC-000048,PERSON-000260,VEH-000082,DEVICE-000129,Synthetic evidence record,0.79,1bcff375dafd0edee2cb7ff8eb27e7d95358de97861d4ea06e773496ee3555aa,true
EVID-000103,CASE-000015,FINANCIAL,Synthetic Source,2023-03-10T05:07:00,LOC-000047,PERSON-001691,VEH-000089,DEVICE-000142,Synthetic evidence record,0.65,0532c47ab0afb17cf8cf9ded86ab459005d8213f96c9bc29ef6d15fd1c3267ce,true
EVID-000104,CASE-000015,DOCUMENT,Synthetic Source,2023-03-10T05:07:00,LOC-000049,PERSON-001780,VEH-000084,DEVICE-000132,Synthetic evidence record,0.81,36319350cd5ce258fda61623f1eca34435524a01bfaff87e277e5e813cbce7bd,true
EVID-000105,CASE-000015,FINANCIAL,Synthetic Source,2023-03-10T05:07:00,LOC-000048,PERSON-001847,,DEVICE-000012,Synthetic evidence record,0.88,c995da705bcceaab97ab9cb9cfe6642031240b03f4936017089f5a4da75d7d35,true
EVID-000106,CASE-000015,DOCUMENT,Synthetic Source,2023-03-10T05:07:00,LOC-000048,PERSON-002646,VEH-000086,DEVICE-000135,Synthetic evidence record,0.65,63309620b1c8908f31d59ab38d85cd6a44eae54f8e1df93ce1c09d95834444a5,true
