organization_id,name,organization_type,location_id,network_type,status,synthetic_flag
ORG-000041,Aster Solutions 041,Hospitality Business,LOC-000119,ORGANIZED_CRIME,Active,true
ORG-000042,Harbor Services 042,Logistics Company,LOC-000123,ORGANIZED_CRIME,Active,true
ORG-000043,Harbor Trading 043,Transport Company,LOC-000125,HUMAN_TRAFFICKING,Active,true
ORG-000044,Lotus Solutions 044,Shell-like Synthetic Entity,LOC-000126,HUMAN_TRAFFICKING,Active,true
ORG-000045,Falcon Transport 045,Front Company,LOC-000131,MIXED_CRIME,Inactive,true
ORG-000046,Cedar Transport 046,Construction Firm,LOC-000133,CYBERCRIME,Inactive,true
ORG-000047,Northstar Solutions 047,Transport Company,LOC-000137,MIXED_CRIME,Active,true
ORG-000048,Blue Trading 048,Construction Firm,LOC-000139,ORGANIZED_CRIME,Active,true
ORG-000049,Everest Logistics 049,Logistics Company,LOC-000140,ROBBERY_DACOITY,Active,true
ORG-000050,Cedar Logistics 050,Logistics Company,LOC-000144,ORGANIZED_CRIME,Inactive,true
ORG-000051,Blue Solutions 051,Construction Firm,LOC-000147,NARCOTICS,Inactive,true
ORG-000052,Indigo Solutions 052,Hospitality Business,LOC-000149,ORGANIZED_CRIME,Active,true
ORG-000053,Lotus Transport 053,Hospitality Business,LOC-000152,MIXED_CRIME,Active,true
ORG-000054,Lotus Enterprises 054,Transport Company,LOC-000155,ORGANIZED_CRIME,Active,true
ORG-000055,Harbor Services 055,Legitimate Business,LOC-000159,MIXED_CRIME,Active,true
ORG-000056,Falcon Solutions 056,Trading Company,LOC-000162,ORGANIZED_CRIME,Active,true
ORG-000057,Cedar Transport 057,Transport Company,LOC-000164,ORGANIZED_CRIME,Inactive,true
ORG-000058,Blue Enterprises 058,Front Company,LOC-000167,ROBBERY_DACOITY,Active,true
ORG-000059,Orion Transport 059,Hospitality Business,LOC-000169,NARCOTICS,Active,true
ORG-000060,Aster Solutions 060,Transport Company,LOC-000173,FINANCIAL_FRAUD,Active,true
ORG-000061,Cedar Logistics 061,Legitimate Business,LOC-000177,ORGANIZED_CRIME,Active,true
ORG-000062,Everest Enterprises 062,Shell-like Synthetic Entity,LOC-000181,MIXED_CRIME,Active,true
ORG-000063,Everest Transport 063,Front Company,LOC-000182,NARCOTICS,Active,true
ORG-000064,Harbor Logistics 064,Construction Firm,LOC-000185,NARCOTICS,Active,true
ORG-000065,Aster Trading 065,Digital Services Firm,LOC-000188,MIXED_CRIME,Inactive,true
ORG-000066,Pioneer Transport 066,Transport Company,LOC-000190,ORGANIZED_CRIME,Inactive,true
ORG-000067,Blue Trading 067,Logistics Company,LOC-000194,ORGANIZED_CRIME,Active,true
ORG-000068,Aster Enterprises 068,Logistics Company,LOC-000196,NARCOTICS,Inactive,true
ORG-000069,Pioneer Solutions 069,Hospitality Business,LOC-000200,MIXED_CRIME,Active,true
ORG-000070,Indigo Enterprises 070,Transport Company,LOC-000202,ORGANIZED_CRIME,Inactive,true
ORG-000071,Cedar Enterprises 071,Logistics Company,LOC-000205,NARCOTICS,Active,true
ORG-000072,Blue Services 072,Legitimate Business,LOC-000209,ORGANIZED_CRIME,Inactive,true
ORG-000073,Orion Enterprises 073,Logistics Company,LOC-000213,MIXED_CRIME,Active,true
ORG-000074,Orion Solutions 074,Legitimate Business,LOC-000215,ORGANIZED_CRIME,Active,true
ORG-000075,Northstar Services 075,Logistics Company,LOC-000220,MIXED_CRIME,Active,true
ORG-000076,Orion Services 076,Transport Company,LOC-000223,CYBERCRIME,Inactive,true
ORG-000077,Delta Solutions 077,Digital Services Firm,LOC-000227,FINANCIAL_FRAUD,Active,true
ORG-000078,Orion Logistics 078,Trading Company,LOC-000230,KIDNAPPING,Inactive,true
ORG-000079,Northstar Solutions 079,Trading Company,LOC-000233,ROBBERY_DACOITY,Inactive,true
ORG-000080,Pioneer Trading 080,Trading Company,LOC-000234,ROBBERY_DACOITY,Inactive,true
ORG-000081,Falcon Trading 081,Digital Services Firm,LOC-000239,ORGANIZED_CRIME,Active,true
ORG-000082,Harbor Enterprises 082,Transport Company,LOC-000243,MIXED_CRIME,Inactive,true
ORG-000083,Delta Enterprises 083,Shell-like Synthetic Entity,LOC-000246,ROBBERY_DACOITY,Active,true
ORG-000084,Pioneer Transport 084,Logistics Company,LOC-000248,ROBBERY_DACOITY,Active,true
ORG-000085,Lotus Solutions 085,Hospitality Business,LOC-000251,FINANCIAL_FRAUD,Active,true
ORG-000086,Blue Solutions 086,Shell-like Synthetic Entity,LOC-000253,ORGANIZED_CRIME,Inactive,true
ORG-000087,Everest Trading 087,Front Company,LOC-000257,MIXED_CRIME,Inactive,true
ORG-000088,Northstar Enterprises 088,Hospitality Business,LOC-000259,MIXED_CRIME,Active,true
ORG-000089,Northstar Trading 089,Legitimate Business,LOC-000263,MIXED_CRIME,Inactive,true
ORG-000090,Orion Services 090,Shell-like Synthetic Entity,LOC-000268,ORGANIZED_CRIME,Inactive,true
ORG-000091,Delta Solutions 091,Legitimate Business,LOC-000272,MIXED_CRIME,Inactive,true
ORG-000092,Everest Transport 092,Logistics Company,LOC-000275,FINANCIAL_FRAUD,Active,true
ORG-000093,Lotus Solutions 093,Hospitality Business,LOC-000277,NARCOTICS,Inactive,true
ORG-000094,Pioneer Trading 094,Trading Company,LOC-000280,ORGANIZED_CRIME,Active,true
ORG-000095,Delta Trading 095,Shell-like Synthetic Entity,LOC-000282,ORGANIZED_CRIME,Active,true
ORG-000096,Pioneer Transport 096,Transport Company,LOC-000284,HUMAN_TRAFFICKING,Active,true
ORG-000097,Harbor Trading 097,Construction Firm,LOC-000287,ROBBERY_DACOITY,Inactive,true
ORG-000098,Aster Enterprises 098,Construction Firm,LOC-000290,MIXED_CRIME,Active,true
ORG-000099,Pioneer Solutions 099,Digital Services Firm,LOC-000291,ORGANIZED_CRIME,Inactive,true
ORG-000100,Blue Enterprises 100,Construction Firm,LOC-000295,FINANCIAL_FRAUD,Active,true
ORG-000101,Pioneer Services 101,Hospitality Business,LOC-000298,ORGANIZED_CRIME,Active,true
ORG-000102,Blue Logistics 102,Hospitality Business,LOC-000305,KIDNAPPING,Active,true
ORG-000103,Indigo Enterprises 103,Transport Company,LOC-000308,MIXED_CRIME,Inactive,true
ORG-000104,Orion Trading 104,Construction Firm,LOC-000310,MIXED_CRIME,Inactive,true
ORG-000105,Everest Enterprises 105,Digital Services Firm,LOC-000312,ORGANIZED_CRIME,Active,true
ORG-000106,Pioneer Logistics 106,Front Company,LOC-000315,HUMAN_TRAFFICKING,Active,true
ORG-000107,Cedar Trading 107,Trading Company,LOC-000319,ROBBERY_DACOITY,Active,true
ORG-000108,Harbor Trading 108,Hospitality Business,LOC-000321,MIXED_CRIME,Active,true
ORG-000109,Northstar Logistics 109,Legitimate Business,LOC-000324,MIXED_CRIME,Active,true
ORG-000110,Lotus Services 110,Front Company,LOC-000327,ROBBERY_DACOITY,Active,true
ORG-000111,Northstar Enterprises 111,Construction Firm,LOC-000328,ROBBERY_DACOITY,Inactive,true
ORG-000112,Indigo Solutions 112,Trading Company,LOC-000333,NARCOTICS,Active,true
ORG-000113,Everest Services 113,Transport Company,LOC-000335,MIXED_CRIME,Active,true
ORG-000114,Everest Solutions 114,Trading Company,LOC-000339,CYBERCRIME,Active,true
ORG-000115,Falcon Enterprises 115,Construction Firm,LOC-000341,NARCOTICS,Inactive,true
ORG-000116,Delta Trading 116,Trading Company,LOC-000346,ROBBERY_DACOITY,Inactive,true
ORG-000117,Indigo Enterprises 117,Shell-like Synthetic Entity,LOC-000350,NARCOTICS,Inactive,true
ORG-000118,Blue Logistics 118,Digital Services Firm,LOC-000353,ORGANIZED_CRIME,Inactive,true
ORG-000119,Falcon Trading 119,Shell-like Synthetic Entity,LOC-000354,ORGANIZED_CRIME,Active,true
ORG-000120,Pioneer Services 120,Trading Company,LOC-000356,NARCOTICS,Active,true
ORG-000121,Harbor Logistics 121,Transport Company,LOC-000359,MIXED_CRIME,Active,true
ORG-000122,Everest Logistics 122,Transport Company,LOC-000363,MIXED_CRIME,Inactive,true
ORG-000123,Orion Services 123,Trading Company,LOC-000366,MIXED_CRIME,Active,true
ORG-000124,Delta Solutions 124,Logistics Company,LOC-000368,ORGANIZED_CRIME,Inactive,true
ORG-000125,Indigo Services 125,Transport Company,LOC-000373,MIXED_CRIME,Active,true
ORG-000126,Lotus Solutions 126,Construction Firm,LOC-000374,FINANCIAL_FRAUD,Active,true
ORG-000127,Delta Enterprises 127,Hospitality Business,LOC-000378,HUMAN_TRAFFICKING,Active,true
ORG-000128,Orion Enterprises 128,Hospitality Business,LOC-000381,ORGANIZED_CRIME,Inactive,true
ORG-000129,Falcon Transport 129,Legitimate Business,LOC-000382,MIXED_CRIME,Active,true
ORG-000130,Lotus Solutions 130,Legitimate Business,LOC-000386,NARCOTICS,Active,true
ORG-000131,Indigo Services 131,Front Company,LOC-000389,ORGANIZED_CRIME,Active,true
ORG-000132,Harbor Enterprises 132,Legitimate Business,LOC-000392,MIXED_CRIME,Active,true
ORG-000133,Cedar Services 133,Construction Firm,LOC-000394,MIXED_CRIME,Active,true
ORG-000134,Harbor Solutions 134,Logistics Company,LOC-000397,ORGANIZED_CRIME,Inactive,true
ORG-000135,Blue Services 135,Front Company,LOC-000400,ORGANIZED_CRIME,Active,true
ORG-000136,Northstar Enterprises 136,Hospitality Business,LOC-000402,ORGANIZED_CRIME,Active,true
ORG-000137,Lotus Logistics 137,Shell-like Synthetic Entity,LOC-000406,CYBERCRIME,Active,true
ORG-000138,Delta Logistics 138,Trading Company,LOC-000408,MIXED_CRIME,Active,true
ORG-000139,Delta Logistics 139,Legitimate Business,LOC-000410,ORGANIZED_CRIME,Active,true
ORG-000140,Harbor Transport 140,Legitimate Business,LOC-000413,MIXED_CRIME,Inactive,true
ORG-000141,Indigo Logistics 141,Trading Company,LOC-000415,FINANCIAL_FRAUD,Inactive,true
ORG-000142,Northstar Enterprises 142,Digital Services Firm,LOC-000417,ORGANIZED_CRIME,Inactive,true
ORG-000143,Blue Logistics 143,Trading Company,LOC-000420,NARCOTICS,Active,true
ORG-000144,Aster Services 144,Shell-like Synthetic Entity,LOC-000424,ORGANIZED_CRIME,Active,true
ORG-000145,Cedar Solutions 145,Transport Company,LOC-000425,ORGANIZED_CRIME,Inactive,true
ORG-000146,Pioneer Logistics 146,Logistics Company,LOC-000431,ORGANIZED_CRIME,Inactive,true
ORG-000147,Orion Enterprises 147,Construction Firm,LOC-000433,KIDNAPPING,Active,true
ORG-000148,Cedar Services 148,Legitimate Business,LOC-000434,MIXED_CRIME,Active,true
ORG-000149,Aster Trading 149,Logistics Company,LOC-000437,MIXED_CRIME,Active,true
ORG-000150,Delta Services 150,Trading Company,LOC-000440,FINANCIAL_FRAUD,Active,true
ORG-000151,Indigo Services 151,Front Company,LOC-000443,ORGANIZED_CRIME,Active,true
ORG-000152,Everest Logistics 152,Construction Firm,LOC-000445,ORGANIZED_CRIME,Inactive,true
ORG-000153,Cedar Logistics 153,Front Company,LOC-000452,CYBERCRIME,Active,true
ORG-000154,Everest Trading 154,Legitimate Business,LOC-000453,ORGANIZED_CRIME,Active,true
ORG-000155,Delta Transport 155,Trading Company,LOC-000458,NARCOTICS,Active,true
ORG-000156,Pioneer Enterprises 156,Logistics Company,LOC-000459,ROBBERY_DACOITY,Inactive,true
ORG-000157,Lotus Services 157,Front Company,LOC-000461,MIXED_CRIME,Active,true
ORG-000158,Lotus Services 158,Hospitality Business,LOC-000463,MIXED_CRIME,Inactive,true
ORG-000159,Orion Trading 159,Hospitality Business,LOC-000466,ORGANIZED_CRIME,Inactive,true
ORG-000160,Northstar Enterprises 160,Legitimate Business,LOC-000470,MIXED_CRIME,Inactive,true
ORG-000161,Orion Transport 161,Hospitality Business,LOC-000475,FINANCIAL_FRAUD,Active,true
ORG-000162,Pioneer Enterprises 162,Digital Services Firm,LOC-000479,ORGANIZED_CRIME,Active,true
ORG-000163,Orion Enterprises 163,Hospitality Business,LOC-000480,MIXED_CRIME,Active,true
ORG-000164,Northstar Transport 164,Trading Company,LOC-000484,ORGANIZED_CRIME,Active,true
ORG-000165,Orion Enterprises 165,Logistics Company,LOC-000487,NARCOTICS,Active,true
ORG-000166,Cedar Services 166,Front Company,LOC-000494,ORGANIZED_CRIME,Active,true
ORG-000167,Harbor Services 167,Construction Firm,LOC-000497,MIXED_CRIME,Active,true
ORG-000168,Blue Logistics 168,Legitimate Business,LOC-000500,NARCOTICS,Active,true
ORG-000169,Northstar Trading 169,Front Company,LOC-000504,NARCOTICS,Inactive,true
ORG-000170,Everest Transport 170,Legitimate Business,LOC-000506,ORGANIZED_CRIME,Active,true
ORG-000171,Everest Solutions 171,Hospitality Business,LOC-000507,MIXED_CRIME,Active,true
ORG-000172,Pioneer Trading 172,Logistics Company,LOC-000510,NARCOTICS,Inactive,true
ORG-000173,Falcon Enterprises 173,Trading Company,LOC-000513,NARCOTICS,Active,true
ORG-000174,Indigo Solutions 174,Transport Company,LOC-000515,MIXED_CRIME,Inactive,true
ORG-000175,Northstar Solutions 175,Legitimate Business,LOC-000517,FINANCIAL_FRAUD,Active,true
ORG-000176,Everest Logistics 176,Digital Services Firm,LOC-000520,ROBBERY_DACOITY,Active,true
ORG-000177,Northstar Transport 177,Digital Services Firm,LOC-000523,HUMAN_TRAFFICKING,Active,true
ORG-000178,Aster Enterprises 178,Hospitality Business,LOC-000526,KIDNAPPING,Active,true
ORG-000179,Northstar Solutions 179,Trading Company,LOC-000527,MIXED_CRIME,Inactive,true
ORG-000180,Northstar Logistics 180,Front Company,LOC-000529,KIDNAPPING,Active,true
ORG-000181,Orion Transport 181,Front Company,LOC-000532,MIXED_CRIME,Active,true
ORG-000182,Falcon Logistics 182,Hospitality Business,LOC-000536,ORGANIZED_CRIME,Active,true
ORG-000183,Cedar Enterprises 183,Shell-like Synthetic Entity,LOC-000538,KIDNAPPING,Active,true
ORG-000184,Indigo Logistics 184,Shell-like Synthetic Entity,LOC-000539,ORGANIZED_CRIME,Active,true
ORG-000185,Orion Transport 185,Transport Company,LOC-000541,FINANCIAL_FRAUD,Active,true
ORG-000186,Falcon Enterprises 186,Shell-like Synthetic Entity,LOC-000548,ORGANIZED_CRIME,Inactive,true
ORG-000187,Aster Services 187,Front Company,LOC-000550,FINANCIAL_FRAUD,Inactive,true
ORG-000188,Orion Transport 188,Logistics Company,LOC-000555,HUMAN_TRAFFICKING,Active,true
ORG-000189,Northstar Enterprises 189,Trading Company,LOC-000558,NARCOTICS,Active,true
ORG-000190,Orion Trading 190,Construction Firm,LOC-000559,ROBBERY_DACOITY,Active,true
ORG-000191,Delta Trading 191,Transport Company,LOC-000565,NARCOTICS,Active,true
ORG-000192,Cedar Services 192,Transport Company,LOC-000567,ORGANIZED_CRIME,Active,true
ORG-000193,Everest Solutions 193,Construction Firm,LOC-000571,MIXED_CRIME,Inactive,true
ORG-000194,Northstar Transport 194,Legitimate Business,LOC-000573,MIXED_CRIME,Inactive,true
ORG-000195,Pioneer Services 195,Transport Company,LOC-000576,ORGANIZED_CRIME,Active,true
ORG-000196,Aster Transport 196,Hospitality Business,LOC-000578,ROBBERY_DACOITY,Active,true
ORG-000197,Orion Services 197,Shell-like Synthetic Entity,LOC-000581,FINANCIAL_FRAUD,Active,true
ORG-000198,Cedar Enterprises 198,Digital Services Firm,LOC-000583,FINANCIAL_FRAUD,Active,true
ORG-000199,Pioneer Solutions 199,Shell-like Synthetic Entity,LOC-000587,KIDNAPPING,Inactive,true
ORG-000200,Everest Solutions 200,Trading Company,LOC-000592,KIDNAPPING,Inactive,true
ORG-000201,Indigo Solutions 201,Legitimate Business,LOC-000596,MIXED_CRIME,Active,true
ORG-000202,Everest Transport 202,Hospitality Business,LOC-000598,NARCOTICS,Active,true
ORG-000203,Everest Enterprises 203,Digital Services Firm,LOC-000601,MIXED_CRIME,Active,true
ORG-000204,Indigo Solutions 204,Construction Firm,LOC-000604,MIXED_CRIME,Active,true
ORG-000205,Lotus Trading 205,Transport Company,LOC-000605,MIXED_CRIME,Inactive,true
ORG-000206,Delta Enterprises 206,Hospitality Business,LOC-000612,FINANCIAL_FRAUD,Inactive,true
ORG-000207,Delta Solutions 207,Shell-like Synthetic Entity,LOC-000613,ORGANIZED_CRIME,Active,true
ORG-000208,Aster Logistics 208,Digital Services Firm,LOC-000615,HUMAN_TRAFFICKING,Active,true
ORG-000209,Cedar Services 209,Transport Company,LOC-000617,ORGANIZED_CRIME,Active,true
ORG-000210,Falcon Enterprises 210,Logistics Company,LOC-000621,FINANCIAL_FRAUD,Active,true
ORG-000211,Northstar Logistics 211,Transport Company,LOC-000626,ORGANIZED_CRIME,Inactive,true
ORG-000212,Cedar Trading 212,Digital Services Firm,LOC-000628,MIXED_CRIME,Active,true
ORG-000213,Everest Solutions 213,Front Company,LOC-000631,KIDNAPPING,Inactive,true
ORG-000214,Delta Transport 214,Construction Firm,LOC-000634,MIXED_CRIME,Inactive,true
ORG-000215,Cedar Solutions 215,Digital Services Firm,LOC-000637,HUMAN_TRAFFICKING,Active,true
ORG-000216,Orion Logistics 216,Shell-like Synthetic Entity,LOC-000642,NARCOTICS,Active,true
ORG-000217,Delta Enterprises 217,Logistics Company,LOC-000646,MIXED_CRIME,Active,true
ORG-000218,Blue Services 218,Digital Services Firm,LOC-000650,MIXED_CRIME,Inactive,true
ORG-000219,Aster Trading 219,Shell-like Synthetic Entity,LOC-000654,MIXED_CRIME,Active,true
ORG-000220,Delta Logistics 220,Front Company,LOC-000656,MIXED_CRIME,Inactive,true
ORG-000221,Blue Enterprises 221,Logistics Company,LOC-000658,MIXED_CRIME,Active,true
ORG-000222,Northstar Services 222,Legitimate Business,LOC-000662,ROBBERY_DACOITY,Active,true
ORG-000223,Orion Logistics 223,Front Company,LOC-000666,FINANCIAL_FRAUD,Active,true
ORG-000224,Blue Services 224,Construction Firm,LOC-000670,ORGANIZED_CRIME,Active,true
ORG-000225,Orion Logistics 225,Transport Company,LOC-000674,MIXED_CRIME,Active,true
ORG-000226,Orion Logistics 226,Transport Company,LOC-000677,CYBERCRIME,Inactive,true
ORG-000227,Harbor Trading 227,Trading Company,LOC-000678,ORGANIZED_CRIME,Active,true
ORG-000228,Falcon Logistics 228,Front Company,LOC-000683,ORGANIZED_CRIME,Inactive,true
ORG-000229,Northstar Trading 229,Digital Services Firm,LOC-000686,ROBBERY_DACOITY,Active,true
ORG-000230,Harbor Services 230,Transport Company,LOC-000690,ORGANIZED_CRIME,Inactive,true
ORG-000231,Northstar Trading 231,Front Company,LOC-000693,MIXED_CRIME,Inactive,true
ORG-000232,Blue Enterprises 232,Hospitality Business,LOC-000696,MIXED_CRIME,Active,true
ORG-000233,Indigo Logistics 233,Hospitality Business,LOC-000699,CYBERCRIME,Active,true
ORG-000234,Orion Transport 234,Legitimate Business,LOC-000701,KIDNAPPING,Inactive,true
ORG-000235,Delta Logistics 235,Trading Company,LOC-000705,ROBBERY_DACOITY,Active,true
ORG-000236,Aster Transport 236,Digital Services Firm,LOC-000707,ORGANIZED_CRIME,Inactive,true
ORG-000237,Blue Transport 237,Construction Firm,LOC-000708,FINANCIAL_FRAUD,Active,true
ORG-000238,Lotus Services 238,Logistics Company,LOC-000714,ORGANIZED_CRIME,Active,true
ORG-000239,Harbor Logistics 239,Hospitality Business,LOC-000716,NARCOTICS,Active,true
ORG-000240,Northstar Enterprises 240,Digital Services Firm,LOC-000721,FINANCIAL_FRAUD,Inactive,true
ORG-000241,Everest Trading 241,Transport Company,LOC-000725,ORGANIZED_CRIME,Active,true
ORG-000242,Pioneer Services 242,Trading Company,LOC-000726,MIXED_CRIME,Active,true
ORG-000243,Northstar Services 243,Digital Services Firm,LOC-000729,ORGANIZED_CRIME,Inactive,true
ORG-000244,Northstar Transport 244,Front Company,LOC-000731,NARCOTICS,Active,true
ORG-000245,Falcon Trading 245,Logistics Company,LOC-000736,MIXED_CRIME,Inactive,true
ORG-000246,Northstar Logistics 246,Construction Firm,LOC-000737,MIXED_CRIME,Active,true
ORG-000247,Harbor Transport 247,Hospitality Business,LOC-000741,ORGANIZED_CRIME,Inactive,true
ORG-000248,Cedar Solutions 248,Hospitality Business,LOC-000744,KIDNAPPING,Active,true
ORG-000249,Lotus Transport 249,Transport Company,LOC-000747,ORGANIZED_CRIME,Active,true
ORG-000250,Blue Transport 250,Trading Company,LOC-000752,MIXED_CRIME,Active,true
ORG-000251,Everest Transport 251,Transport Company,LOC-000753,MIXED_CRIME,Active,true
ORG-000252,Pioneer Trading 252,Hospitality Business,LOC-000758,NARCOTICS,Active,true
ORG-000253,Harbor Logistics 253,Shell-like Synthetic Entity,LOC-000763,HUMAN_TRAFFICKING,Active,true
ORG-000254,Pioneer Solutions 254,Logistics Company,LOC-000764,MIXED_CRIME,Inactive,true
ORG-000255,Blue Transport 255,Logistics Company,LOC-000768,FINANCIAL_FRAUD,Inactive,true
ORG-000256,Everest Enterprises 256,Legitimate Business,LOC-000771,ROBBERY_DACOITY,Inactive,true
ORG-000257,Falcon Solutions 257,Shell-like Synthetic Entity,LOC-000773,ORGANIZED_CRIME,Active,true
ORG-000258,Lotus Solutions 258,Construction Firm,LOC-000779,MIXED_CRIME,Active,true
ORG-000259,Pioneer Services 259,Construction Firm,LOC-000780,ROBBERY_DACOITY,Active,true
ORG-000260,Aster Transport 260,Hospitality Business,LOC-000783,NARCOTICS,Active,true
ORG-000261,Indigo Solutions 261,Digital Services Firm,LOC-000790,MIXED_CRIME,Inactive,true
ORG-000262,Indigo Services 262,Transport Company,LOC-000793,MIXED_CRIME,Active,true
ORG-000263,Harbor Services 263,Logistics Company,LOC-000794,KIDNAPPING,Inactive,true
ORG-000264,Northstar Enterprises 264,Trading Company,LOC-000798,MIXED_CRIME,Inactive,true
ORG-000265,Falcon Services 265,Front Company,LOC-000802,MIXED_CRIME,Inactive,true
ORG-000266,Everest Solutions 266,Construction Firm,LOC-000805,HUMAN_TRAFFICKING,Active,true
ORG-000267,Lotus Services 267,Construction Firm,LOC-000806,KIDNAPPING,Inactive,true
ORG-000268,Aster Services 268,Front Company,LOC-000808,MIXED_CRIME,Inactive,true
ORG-000269,Lotus Services 269,Construction Firm,LOC-000812,ORGANIZED_CRIME,Inactive,true
ORG-000270,Blue Services 270,Logistics Company,LOC-000814,ORGANIZED_CRIME,Inactive,true
ORG-000271,Harbor Trading 271,Trading Company,LOC-000817,FINANCIAL_FRAUD,Active,true
ORG-000272,Northstar Solutions 272,Trading Company,LOC-000822,MIXED_CRIME,Active,true
ORG-000273,Cedar Services 273,Front Company,LOC-000824,MIXED_CRIME,Active,true
ORG-000274,Northstar Trading 274,Trading Company,LOC-000828,ORGANIZED_CRIME,Inactive,true
ORG-000275,Harbor Services 275,Trading Company,LOC-000831,NARCOTICS,Inactive,true
ORG-000276,Harbor Trading 276,Trading Company,LOC-000835,ORGANIZED_CRIME,Active,true
ORG-000277,Indigo Trading 277,Logistics Company,LOC-000838,MIXED_CRIME,Inactive,true
ORG-000278,Northstar Trading 278,Legitimate Business,LOC-000841,KIDNAPPING,Active,true
ORG-000279,Aster Enterprises 279,Trading Company,LOC-000844,ORGANIZED_CRIME,Active,true
ORG-000280,Harbor Enterprises 280,Front Company,LOC-000848,MIXED_CRIME,Active,true
ORG-000281,Northstar Enterprises 281,Hospitality Business,LOC-000851,ORGANIZED_CRIME,Active,true
ORG-000282,Lotus Trading 282,Trading Company,LOC-000854,KIDNAPPING,Active,true
ORG-000283,Cedar Trading 283,Construction Firm,LOC-000857,HUMAN_TRAFFICKING,Inactive,true
ORG-000284,Blue Transport 284,Logistics Company,LOC-000858,MIXED_CRIME,Active,true
ORG-000285,Falcon Services 285,Hospitality Business,LOC-000861,MIXED_CRIME,Active,true
