event_id,case_id,event_type,timestamp,location_id,person_id,vehicle_id,phone_id,description,source,confidence,synthetic_flag
EVENT-000017,CASE-000002,REPORT,2023-08-19T09:30:00,LOC-000004,PERSON-001941,VEH-000005,PHONE-000007,Synthetic timeline event,synthetic,0.91,true
EVENT-000018,CASE-000002,DIGITAL_ACTIVITY,2023-08-19T15:56:00,LOC-000004,PERSON-001847,,PHONE-000012,Synthetic timeline event,synthetic,0.7,true
EVENT-000019,CASE-000002,TRANSPORT,2023-08-19T16:16:00,LOC-000004,PERSON-001578,VEH-000007,PHONE-000010,Synthetic timeline event,synthetic,0.76,true
EVENT-000020,CASE-000002,MEETING,2023-08-19T10:51:00,LOC-000005,PERSON-002304,VEH-000008,PHONE-000011,Synthetic timeline event,synthetic,0.77,true
EVENT-000021,CASE-000003,DIGITAL_ACTIVITY,2023-11-03T15:34:00,LOC-000007,PERSON-000838,VEH-000015,PHONE-000022,Synthetic timeline event,synthetic,0.99,true
EVENT-000022,CASE-000003,DIGITAL_ACTIVITY,2023-11-03T06:07:00,LOC-000007,PERSON-000862,VEH-000009,PHONE-000013,Synthetic timeline event,synthetic,0.89,true
EVENT-000023,CASE-000003,MEETING,2023-11-03T10:07:00,LOC-000007,PERSON-001431,VEH-000010,PHONE-000015,Synthetic timeline event,synthetic,0.79,true
EVENT-000024,CASE-000003,DIGITAL_ACTIVITY,2023-11-03T13:59:00,LOC-000006,PERSON-000862,VEH-000009,PHONE-000014,Synthetic timeline event,synthetic,0.74,true
EVENT-000025,CASE-000003,TRANSPORT,2023-11-03T18:08:00,LOC-000006,PERSON-001431,VEH-000010,PHONE-000015,Synthetic timeline event,synthetic,0.94,true
EVENT-000026,CASE-000003,CONTACT,2023-11-03T18:05:00,LOC-000006,PERSON-001431,VEH-000010,PHONE-000015,Synthetic timeline event,synthetic,0.77,true
EVENT-000027,CASE-000003,MEETING,2023-11-03T03:25:00,LOC-000006,PERSON-001701,,PHONE-000016,Synthetic timeline event,synthetic,0.85,true
EVENT-000028,CASE-000003,OBSERVATION,2023-11-03T06:57:00,LOC-000007,PERSON-000862,VEH-000009,PHONE-000014,Synthetic timeline event,synthetic,0.96,true
EVENT-000029,CASE-000004,TRANSPORT,2023-02-12T17:58:00,LOC-000009,PERSON-000342,VEH-000017,PHONE-000025,Synthetic timeline event,synthetic,0.65,true
EVENT-000030,CASE-000004,CONTACT,2023-02-12T20:27:00,LOC-000008,PERSON-002900,VEH-000020,PHONE-000028,Synthetic timeline event,synthetic,0.96,true
EVENT-000031,CASE-000004,REPORT,2023-02-12T18:23:00,LOC-000009,PERSON-000342,VEH-000017,PHONE-000025,Synthetic timeline event,synthetic,0.83,true
EVENT-000032,CASE-000004,MOVEMENT,2023-02-12T18:25:00,LOC-000009,PERSON-002246,VEH-000021,PHONE-000030,Synthetic timeline event,synthetic,0.9,true
EVENT-000033,CASE-000004,OBSERVATION,2023-02-12T18:09:00,LOC-000008,PERSON-002900,VEH-000020,PHONE-000028,Synthetic timeline event,synthetic,0.78,true
EVENT-000034,CASE-000004,OBSERVATION,2023-02-13T02:17:00,LOC-000009,PERSON-002246,VEH-000021,PHONE-000030,Synthetic timeline event,synthetic,0.82,true
EVENT-000035,CASE-000004,CONTACT,2023-02-13T01:41:00,LOC-000008,PERSON-000341,VEH-000016,PHONE-000024,Synthetic timeline event,synthetic,0.86,true
EVENT-000036,CASE-000004,TRANSPORT,2023-02-13T02:46:00,LOC-000008,PERSON-002900,VEH-000020,PHONE-000029,Synthetic timeline event,synthetic,0.8,true
EVENT-000037,CASE-000004,MEETING,2023-02-12T23:06:00,LOC-000008,PERSON-001262,VEH-000018,PHONE-000026,Synthetic timeline event,synthetic,0.79,true
EVENT-000038,CASE-000004,MOVEMENT,2023-02-12T19:13:00,LOC-000009,PERSON-002900,VEH-000020,PHONE-000028,Synthetic timeline event,synthetic,0.82,true
EVENT-000039,CASE-000004,MEETING,2023-02-13T04:42:00,LOC-000008,PERSON-002246,VEH-000021,PHONE-000030,Synthetic timeline event,synthetic,0.9,true
EVENT-000040,CASE-000004,MOVEMENT,2023-02-12T23:56:00,LOC-000008,PERSON-000341,VEH-000016,PHONE-000024,Synthetic timeline event,synthetic,0.62,true
EVENT-000041,CASE-000004,DIGITAL_ACTIVITY,2023-02-12T22:11:00,LOC-000008,PERSON-002900,VEH-000020,PHONE-000028,Synthetic timeline event,synthetic,0.81,true
EVENT-000042,CASE-000005,DIGITAL_ACTIVITY,2023-09-26T10:16:00,LOC-000012,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.78,true
EVENT-000043,CASE-000005,REPORT,2023-09-26T05:30:00,LOC-000012,PERSON-002609,VEH-000022,PHONE-000031,Synthetic timeline event,synthetic,0.88,true
EVENT-000044,CASE-000005,OBSERVATION,2023-09-26T08:04:00,LOC-000012,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.61,true
EVENT-000045,CASE-000005,CONTACT,2023-09-26T05:25:00,LOC-000013,PERSON-002609,VEH-000022,PHONE-000031,Synthetic timeline event,synthetic,0.82,true
EVENT-000046,CASE-000005,REPORT,2023-09-26T17:46:00,LOC-000013,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.77,true
EVENT-000047,CASE-000005,MEETING,2023-09-26T05:13:00,LOC-000012,PERSON-000217,,PHONE-000033,Synthetic timeline event,synthetic,0.7,true
EVENT-000048,CASE-000005,MEETING,2023-09-26T19:03:00,LOC-000011,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.65,true
EVENT-000049,CASE-000005,OBSERVATION,2023-09-26T13:30:00,LOC-000010,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.6,true
EVENT-000050,CASE-000005,MOVEMENT,2023-09-26T14:28:00,LOC-000012,PERSON-000906,VEH-000023,PHONE-000032,Synthetic timeline event,synthetic,0.66,true
EVENT-000051,CASE-000005,TRANSPORT,2023-09-26T17:47:00,LOC-000012,PERSON-001768,VEH-000024,PHONE-000034,Synthetic timeline event,synthetic,0.66,true
EVENT-000052,CASE-000005,MOVEMENT,2023-09-26T05:18:00,LOC-000011,PERSON-002609,VEH-000022,PHONE-000031,Synthetic timeline event,synthetic,0.95,true
EVENT-000053,CASE-000005,OBSERVATION,2023-09-26T04:29:00,LOC-000012,PERSON-002964,VEH-000025,PHONE-000035,Synthetic timeline event,synthetic,0.91,true
EVENT-000054,CASE-000006,REPORT,2023-12-16T09:42:00,LOC-000016,PERSON-000920,VEH-000028,PHONE-000038,Synthetic timeline event,synthetic,0.8,true
EVENT-000055,CASE-000006,DIGITAL_ACTIVITY,2023-12-16T16:26:00,LOC-000016,PERSON-000920,VEH-000028,PHONE-000039,Synthetic timeline event,synthetic,0.7,true
EVENT-000056,CASE-000006,CONTACT,2023-12-16T18:43:00,LOC-000015,PERSON-002082,VEH-000031,PHONE-000042,Synthetic timeline event,synthetic,0.72,true
EVENT-000057,CASE-000006,OBSERVATION,2023-12-16T06:58:00,LOC-000014,PERSON-000144,VEH-000029,PHONE-000040,Synthetic timeline event,synthetic,0.82,true
EVENT-000058,CASE-000006,CONTACT,2023-12-16T11:01:00,LOC-000017,PERSON-000492,VEH-000026,PHONE-000036,Synthetic timeline event,synthetic,0.92,true
EVENT-000059,CASE-000006,TRANSPORT,2023-12-16T15:29:00,LOC-000014,PERSON-001830,VEH-000032,PHONE-000043,Synthetic timeline event,synthetic,0.68,true
EVENT-000060,CASE-000006,REPORT,2023-12-16T08:01:00,LOC-000016,PERSON-000144,VEH-000029,PHONE-000040,Synthetic timeline event,synthetic,0.74,true
EVENT-000061,CASE-000006,CONTACT,2023-12-16T07:05:00,LOC-000015,PERSON-001059,VEH-000027,PHONE-000037,Synthetic timeline event,synthetic,0.87,true
EVENT-000062,CASE-000007,OBSERVATION,2023-07-17T04:16:00,LOC-000019,PERSON-000001,VEH-000036,PHONE-000050,Synthetic timeline event,synthetic,0.76,true
EVENT-000063,CASE-000007,REPORT,2023-07-17T01:02:00,LOC-000019,PERSON-000302,VEH-000035,PHONE-000048,Synthetic timeline event,synthetic,0.72,true
EVENT-000064,CASE-000007,TRANSPORT,2023-07-16T20:49:00,LOC-000019,PERSON-002122,VEH-000037,PHONE-000052,Synthetic timeline event,synthetic,0.83,true
EVENT-000065,CASE-000007,MOVEMENT,2023-07-17T03:21:00,LOC-000018,PERSON-001880,,PHONE-000049,Synthetic timeline event,synthetic,0.67,true
EVENT-000066,CASE-000007,CONTACT,2023-07-17T01:45:00,LOC-000018,PERSON-000342,VEH-000017,PHONE-000045,Synthetic timeline event,synthetic,0.96,true
EVENT-000067,CASE-000007,REPORT,2023-07-17T07:19:00,LOC-000018,PERSON-001615,,PHONE-000044,Synthetic timeline event,synthetic,0.63,true
EVENT-000068,CASE-000007,DIGITAL_ACTIVITY,2023-07-17T04:41:00,LOC-000020,PERSON-000144,VEH-000034,PHONE-000040,Synthetic timeline event,synthetic,0.91,true
EVENT-000069,CASE-000007,OBSERVATION,2023-07-17T02:01:00,LOC-000019,PERSON-000302,VEH-000035,PHONE-000048,Synthetic timeline event,synthetic,0.65,true
EVENT-000070,CASE-000007,DIGITAL_ACTIVITY,2023-07-16T20:00:00,LOC-000018,PERSON-000144,VEH-000034,PHONE-000047,Synthetic timeline event,synthetic,0.9,true
EVENT-000071,CASE-000007,OBSERVATION,2023-07-17T06:07:00,LOC-000019,PERSON-001880,,PHONE-000049,Synthetic timeline event,synthetic,0.8,true
EVENT-000072,CASE-000007,MOVEMENT,2023-07-16T22:48:00,LOC-000019,PERSON-000302,VEH-000035,PHONE-000048,Synthetic timeline event,synthetic,0.63,true
EVENT-000073,CASE-000008,DIGITAL_ACTIVITY,2023-11-12T06:24:00,LOC-000023,PERSON-000568,VEH-000041,PHONE-000062,Synthetic timeline event,synthetic,0.9,true
EVENT-000074,CASE-000008,REPORT,2023-11-12T14:19:00,LOC-000024,PERSON-000259,VEH-000040,PHONE-000059,Synthetic timeline event,synthetic,0.78,true
EVENT-000075,CASE-000008,CONTACT,2023-11-12T07:03:00,LOC-000022,PERSON-000898,,PHONE-000060,Synthetic timeline event,synthetic,0.67,true
EVENT-000076,CASE-000008,MOVEMENT,2023-11-12T14:45:00,LOC-000024,PERSON-000898,,PHONE-000060,Synthetic timeline event,synthetic,0.94,true
EVENT-000077,CASE-000008,REPORT,2023-11-12T18:24:00,LOC-000024,PERSON-000898,,PHONE-000060,Synthetic timeline event,synthetic,0.83,true
EVENT-000078,CASE-000008,REPORT,2023-11-12T04:53:00,LOC-000022,PERSON-000568,VEH-000041,PHONE-000062,Synthetic timeline event,synthetic,0.83,true
EVENT-000079,CASE-000008,REPORT,2023-11-12T16:02:00,LOC-000023,PERSON-000895,,PHONE-000061,Synthetic timeline event,synthetic,0.82,true
EVENT-000080,CASE-000008,MOVEMENT,2023-11-12T12:39:00,LOC-000021,PERSON-000106,VEH-000042,PHONE-000064,Synthetic timeline event,synthetic,0.83,true
EVENT-000081,CASE-000008,DIGITAL_ACTIVITY,2023-11-12T09:01:00,LOC-000021,PERSON-000568,VEH-000041,PHONE-000062,Synthetic timeline event,synthetic,0.69,true
EVENT-000082,CASE-000008,REPORT,2023-11-12T13:41:00,LOC-000021,PERSON-001536,,PHONE-000055,Synthetic timeline event,synthetic,0.81,true
EVENT-000083,CASE-000008,DIGITAL_ACTIVITY,2023-11-12T04:27:00,LOC-000021,PERSON-000895,,PHONE-000061,Synthetic timeline event,synthetic,0.89,true
EVENT-000084,CASE-000009,REPORT,2023-01-07T14:35:00,LOC-000025,PERSON-002068,VEH-000049,PHONE-000076,Synthetic timeline event,synthetic,0.62,true
EVENT-000085,CASE-000009,MEETING,2023-01-07T23:45:00,LOC-000025,PERSON-000042,VEH-000045,PHONE-000070,Synthetic timeline event,synthetic,0.63,true
EVENT-000086,CASE-000009,MOVEMENT,2023-01-07T16:22:00,LOC-000026,PERSON-001807,VEH-000046,PHONE-000071,Synthetic timeline event,synthetic,0.97,true
EVENT-000087,CASE-000009,MEETING,2023-01-07T21:48:00,LOC-000025,PERSON-000165,,PHONE-000072,Synthetic timeline event,synthetic,0.97,true
EVENT-000088,CASE-000009,MOVEMENT,2023-01-07T22:02:00,LOC-000025,PERSON-000473,,PHONE-000068,Synthetic timeline event,synthetic,0.61,true
EVENT-000089,CASE-000009,MEETING,2023-01-08T00:17:00,LOC-000026,PERSON-000165,,PHONE-000072,Synthetic timeline event,synthetic,0.65,true
EVENT-000090,CASE-000009,REPORT,2023-01-07T19:21:00,LOC-000026,PERSON-000682,VEH-000044,PHONE-000067,Synthetic timeline event,synthetic,0.62,true
EVENT-000091,CASE-000010,DIGITAL_ACTIVITY,2023-05-22T14:24:00,LOC-000029,PERSON-000106,VEH-000042,PHONE-000087,Synthetic timeline event,synthetic,0.98,true
EVENT-000092,CASE-000010,OBSERVATION,2023-05-22T17:49:00,LOC-000028,PERSON-001115,VEH-000053,PHONE-000082,Synthetic timeline event,synthetic,0.8,true
EVENT-000093,CASE-000010,DIGITAL_ACTIVITY,2023-05-22T13:17:00,LOC-000030,PERSON-001610,,PHONE-000083,Synthetic timeline event,synthetic,0.65,true
EVENT-000094,CASE-000010,CONTACT,2023-05-22T13:28:00,LOC-000029,PERSON-002900,VEH-000055,PHONE-000088,Synthetic timeline event,synthetic,0.87,true
EVENT-000095,CASE-000010,OBSERVATION,2023-05-22T12:51:00,LOC-000029,PERSON-001115,VEH-000053,PHONE-000082,Synthetic timeline event,synthetic,0.71,true
EVENT-000096,CASE-000010,MEETING,2023-05-22T14:35:00,LOC-000030,PERSON-001610,,PHONE-000083,Synthetic timeline event,synthetic,0.75,true
EVENT-000097,CASE-000010,MOVEMENT,2023-05-22T16:27:00,LOC-000029,PERSON-002618,VEH-000056,PHONE-000090,Synthetic timeline event,synthetic,0.85,true
EVENT-000098,CASE-000010,MOVEMENT,2023-05-22T18:39:00,LOC-000030,PERSON-000792,VEH-000054,PHONE-000086,Synthetic timeline event,synthetic,0.89,true
EVENT-000099,CASE-000010,CONTACT,2023-05-22T13:11:00,LOC-000027,PERSON-000792,VEH-000054,PHONE-000086,Synthetic timeline event,synthetic,0.81,true
EVENT-000100,CASE-000011,OBSERVATION,2023-03-03T05:40:00,LOC-000034,PERSON-000911,VEH-000062,PHONE-000100,Synthetic timeline event,synthetic,0.83,true
EVENT-000101,CASE-000011,REPORT,2023-03-03T08:04:00,LOC-000034,PERSON-002639,VEH-000057,PHONE-000091,Synthetic timeline event,synthetic,0.62,true
EVENT-000102,CASE-000011,MOVEMENT,2023-03-03T10:57:00,LOC-000031,PERSON-000232,VEH-000063,PHONE-000101,Synthetic timeline event,synthetic,0.83,true
EVENT-000103,CASE-000011,MOVEMENT,2023-03-03T04:24:00,LOC-000032,PERSON-002839,VEH-000058,PHONE-000093,Synthetic timeline event,synthetic,0.72,true
EVENT-000104,CASE-000011,DIGITAL_ACTIVITY,2023-03-03T13:12:00,LOC-000031,PERSON-001705,,PHONE-000099,Synthetic timeline event,synthetic,0.94,true
EVENT-000105,CASE-000011,DIGITAL_ACTIVITY,2023-03-03T04:58:00,LOC-000034,PERSON-002368,VEH-000061,PHONE-000098,Synthetic timeline event,synthetic,0.78,true
EVENT-000106,CASE-000011,MOVEMENT,2023-03-03T07:22:00,LOC-000034,PERSON-000232,VEH-000063,PHONE-000101,Synthetic timeline event,synthetic,0.99,true
EVENT-000107,CASE-000011,DIGITAL_ACTIVITY,2023-03-03T10:30:00,LOC-000031,PERSON-001705,,PHONE-000099,Synthetic timeline event,synthetic,0.9,true
EVENT-000108,CASE-000011,OBSERVATION,2023-03-03T05:37:00,LOC-000033,PERSON-000911,VEH-000062,PHONE-000100,Synthetic timeline event,synthetic,0.64,true
EVENT-000109,CASE-000012,CONTACT,2023-04-06T15:16:00,LOC-000036,PERSON-000842,,PHONE-000103,Synthetic timeline event,synthetic,0.66,true
EVENT-000110,CASE-000012,CONTACT,2023-04-06T12:14:00,LOC-000035,PERSON-001012,VEH-000065,PHONE-000104,Synthetic timeline event,synthetic,0.87,true
EVENT-000111,CASE-000012,MOVEMENT,2023-04-06T13:28:00,LOC-000038,PERSON-001012,VEH-000065,PHONE-000104,Synthetic timeline event,synthetic,0.98,true
EVENT-000112,CASE-000012,TRANSPORT,2023-04-06T03:14:00,LOC-000038,PERSON-002788,VEH-000069,PHONE-000109,Synthetic timeline event,synthetic,0.89,true
EVENT-000113,CASE-000012,TRANSPORT,2023-04-06T06:50:00,LOC-000035,PERSON-001012,VEH-000065,PHONE-000104,Synthetic timeline event,synthetic,0.84,true
EVENT-000114,CASE-000012,TRANSPORT,2023-04-06T14:40:00,LOC-000035,PERSON-000842,,PHONE-000103,Synthetic timeline event,synthetic,0.77,true
EVENT-000115,CASE-000012,REPORT,2023-04-06T01:26:00,LOC-000036,PERSON-000710,VEH-000070,PHONE-000110,Synthetic timeline event,synthetic,0.62,true
EVENT-000116,CASE-000012,DIGITAL_ACTIVITY,2023-04-06T00:36:00,LOC-000037,PERSON-002788,VEH-000069,PHONE-000109,Synthetic timeline event,synthetic,0.89,true
EVENT-000117,CASE-000012,MOVEMENT,2023-04-06T15:49:00,LOC-000036,PERSON-002788,VEH-000069,PHONE-000109,Synthetic timeline event,synthetic,0.67,true
EVENT-000118,CASE-000012,OBSERVATION,2023-04-06T07:46:00,LOC-000036,PERSON-000072,VEH-000071,PHONE-000111,Synthetic timeline event,synthetic,0.97,true
EVENT-000119,CASE-000012,TRANSPORT,2023-04-06T12:25:00,LOC-000035,PERSON-001012,VEH-000065,PHONE-000104,Synthetic timeline event,synthetic,0.86,true
EVENT-000120,CASE-000012,REPORT,2023-04-06T10:54:00,LOC-000036,PERSON-000175,,PHONE-000105,Synthetic timeline event,synthetic,0.72,true
EVENT-000121,CASE-000013,CONTACT,2023-07-25T02:20:00,LOC-000040,PERSON-002106,VEH-000011,PHONE-000017,Synthetic timeline event,synthetic,0.9,true
EVENT-000122,CASE-000013,MEETING,2023-07-25T02:18:00,LOC-000040,PERSON-002106,VEH-000073,PHONE-000113,Synthetic timeline event,synthetic,0.82,true
EVENT-000123,CASE-000013,CONTACT,2023-07-25T02:22:00,LOC-000039,PERSON-001803,VEH-000074,PHONE-000114,Synthetic timeline event,synthetic,0.63,true
EVENT-000124,CASE-000013,TRANSPORT,2023-07-25T03:07:00,LOC-000040,PERSON-001769,VEH-000072,PHONE-000112,Synthetic timeline event,synthetic,0.97,true
EVENT-000125,CASE-000013,REPORT,2023-07-24T21:38:00,LOC-000041,PERSON-001769,VEH-000072,PHONE-000112,Synthetic timeline event,synthetic,0.82,true
EVENT-000126,CASE-000013,DIGITAL_ACTIVITY,2023-07-25T04:23:00,LOC-000040,PERSON-002106,VEH-000011,PHONE-000017,Synthetic timeline event,synthetic,0.67,true
EVENT-000127,CASE-000013,MOVEMENT,2023-07-25T06:49:00,LOC-000039,PERSON-001492,,PHONE-000119,Synthetic timeline event,synthetic,0.78,true
EVENT-000128,CASE-000013,MEETING,2023-07-24T22:32:00,LOC-000040,PERSON-001769,VEH-000072,PHONE-000112,Synthetic timeline event,synthetic,0.95,true
EVENT-000129,CASE-000014,MOVEMENT,2023-09-24T17:03:00,LOC-000045,PERSON-002745,,PHONE-000127,Synthetic timeline event,synthetic,0.78,true
EVENT-000130,CASE-000014,REPORT,2023-09-25T03:00:00,LOC-000042,PERSON-002745,,PHONE-000127,Synthetic timeline event,synthetic,0.74,true
EVENT-000131,CASE-000014,REPORT,2023-09-25T04:25:00,LOC-000044,PERSON-001205,VEH-000081,PHONE-000128,Synthetic timeline event,synthetic,0.8,true
EVENT-000132,CASE-000014,MOVEMENT,2023-09-24T19:11:00,LOC-000042,PERSON-001205,VEH-000081,PHONE-000128,Synthetic timeline event,synthetic,0.71,true
EVENT-000133,CASE-000014,TRANSPORT,2023-09-24T17:37:00,LOC-000044,PERSON-000083,VEH-000078,PHONE-000123,Synthetic timeline event,synthetic,0.85,true
EVENT-000134,CASE-000014,REPORT,2023-09-25T01:44:00,LOC-000044,PERSON-000621,VEH-000077,PHONE-000122,Synthetic timeline event,synthetic,0.75,true
EVENT-000135,CASE-000014,MOVEMENT,2023-09-25T03:22:00,LOC-000044,PERSON-001898,,PHONE-000121,Synthetic timeline event,synthetic,0.77,true
EVENT-000136,CASE-000014,OBSERVATION,2023-09-24T18:11:00,LOC-000043,PERSON-001873,VEH-000080,PHONE-000125,Synthetic timeline event,synthetic,0.67,true
EVENT-000137,CASE-000014,REPORT,2023-09-24T14:29:00,LOC-000044,PERSON-001205,VEH-000081,PHONE-000128,Synthetic timeline event,synthetic,0.75,true
EVENT-000138,CASE-000015,DIGITAL_ACTIVITY,2023-03-10T01:51:00,LOC-000047,PERSON-002397,VEH-000006,PHONE-000134,Synthetic timeline event,synthetic,0.9,true
EVENT-000139,CASE-000015,REPORT,2023-03-10T03:06:00,LOC-000048,PERSON-001780,VEH-000084,PHONE-000132,Synthetic timeline event,synthetic,0.94,true
EVENT-000140,CASE-000015,CONTACT,2023-03-10T02:59:00,LOC-000049,PERSON-001780,VEH-000084,PHONE-000132,Synthetic timeline event,synthetic,0.8,true
EVENT-000141,CASE-000015,REPORT,2023-03-10T06:35:00,LOC-000048,PERSON-000499,VEH-000083,PHONE-000130,Synthetic timeline event,synthetic,0.61,true
EVENT-000142,CASE-000015,DIGITAL_ACTIVITY,2023-03-10T08:28:00,LOC-000046,PERSON-002646,VEH-000086,PHONE-000135,Synthetic timeline event,synthetic,0.79,true
EVENT-000143,CASE-000015,CONTACT,2023-03-10T11:08:00,LOC-000049,PERSON-002304,VEH-000088,PHONE-000011,Synthetic timeline event,synthetic,0.7,true
EVENT-000144,CASE-000015,CONTACT,2023-03-10T01:38:00,LOC-000047,PERSON-001847,,PHONE-000012,Synthetic timeline event,synthetic,0.88,true
EVENT-000145,CASE-000015,TRANSPORT,2023-03-09T22:37:00,LOC-000049,PERSON-001747,,PHONE-000136,Synthetic timeline event,synthetic,0.88,true
EVENT-000146,CASE-000015,DIGITAL_ACTIVITY,2023-03-10T10:19:00,LOC-000046,PERSON-001780,VEH-000084,PHONE-000132,Synthetic timeline event,synthetic,0.85,true
EVENT-000147,CASE-000015,CONTACT,2023-03-10T10:12:00,LOC-000046,PERSON-002846,VEH-000087,PHONE-000138,Synthetic timeline event,synthetic,0.94,true
EVENT-000148,CASE-000015,CONTACT,2023-03-10T05:59:00,LOC-000047,PERSON-002397,VEH-000085,PHONE-000009,Synthetic timeline event,synthetic,0.92,true
EVENT-000149,CASE-000015,MOVEMENT,2023-03-10T06:01:00,LOC-000047,PERSON-001747,,PHONE-000137,Synthetic timeline event,synthetic,0.78,true
EVENT-000150,CASE-000015,OBSERVATION,2023-03-10T08:44:00,LOC-000046,PERSON-002646,VEH-000086,PHONE-000135,Synthetic timeline event,synthetic,0.87,true
EVENT-000151,CASE-000016,OBSERVATION,2023-10-23T14:04:00,LOC-000050,PERSON-001479,VEH-000093,PHONE-000150,Synthetic timeline event,synthetic,0.84,true
EVENT-000152,CASE-000016,MOVEMENT,2023-10-23T17:48:00,LOC-000051,PERSON-001747,VEH-000092,PHONE-000136,Synthetic timeline event,synthetic,0.84,true
EVENT-000153,CASE-000016,CONTACT,2023-10-23T18:16:00,LOC-000053,PERSON-000260,VEH-000082,PHONE-000145,Synthetic timeline event,synthetic,0.8,true
EVENT-000154,CASE-000016,MOVEMENT,2023-10-23T06:20:00,LOC-000052,PERSON-001578,VEH-000007,PHONE-000154,Synthetic timeline event,synthetic,0.71,true
EVENT-000155,CASE-000016,OBSERVATION,2023-10-23T14:15:00,LOC-000050,PERSON-002393,,PHONE-000155,Synthetic timeline event,synthetic,0.91,true
EVENT-000156,CASE-000016,CONTACT,2023-10-23T16:34:00,LOC-000051,PERSON-001479,VEH-000093,PHONE-000150,Synthetic timeline event,synthetic,0.88,true
EVENT-000157,CASE-000016,TRANSPORT,2023-10-23T20:52:00,LOC-000052,PERSON-001747,VEH-000092,PHONE-000148,Synthetic timeline event,synthetic,0.95,true
EVENT-000158,CASE-000016,DIGITAL_ACTIVITY,2023-10-23T21:15:00,LOC-000050,PERSON-000943,VEH-000091,PHONE-000147,Synthetic timeline event,synthetic,0.91,true
EVENT-000159,CASE-000016,MOVEMENT,2023-10-23T15:27:00,LOC-000052,PERSON-000260,VEH-000090,PHONE-000129,Synthetic timeline event,synthetic,0.78,true
EVENT-000160,CASE-000016,DIGITAL_ACTIVITY,2023-10-23T09:00:00,LOC-000053,PERSON-001479,VEH-000093,PHONE-000150,Synthetic timeline event,synthetic,0.84,true
EVENT-000161,CASE-000017,MEETING,2023-02-14T21:52:00,LOC-000054,PERSON-001769,VEH-000072,PHONE-000112,Synthetic timeline event,synthetic,0.7,true
EVENT-000162,CASE-000017,TRANSPORT,2023-02-15T01:14:00,LOC-000056,PERSON-000842,VEH-000095,PHONE-000156,Synthetic timeline event,synthetic,0.78,true
