vehicle_id,vehicle_type,registration_alias,owner_person_id,color,make,model,status,synthetic_flag
VEH-000077,Truck,SYN-TE-00077,PERSON-000621,Silver,Mahindra,Scorpio,Transferred,true
VEH-000078,Car,SYN-TE-00078,PERSON-000083,Grey,Mahindra,XUV,Transferred,true
VEH-000079,Motorcycle,SYN-TA-00079,PERSON-001543,Silver,Hyundai,Venue,Transferred,true
VEH-000080,Motorcycle,SYN-UT-00080,PERSON-001873,Blue,Mahindra,Scorpio,Active,true
VEH-000081,Auto,SYN-WE-00081,PERSON-001205,Silver,Hyundai,Venue,Active,true
VEH-000082,Motorcycle,SYN-KE-00082,PERSON-000260,Grey,Mahindra,Bolero,Active,true
VEH-000083,Motorcycle,SYN-KA-00083,PERSON-000499,Grey,Hyundai,i20,Transferred,true
VEH-000084,Truck,SYN-TE-00084,PERSON-001780,White,Maruti,Baleno,Transferred,true
VEH-000085,Motorcycle,SYN-TA-00085,PERSON-002397,White,Toyota,Urban Cruiser,Transferred,true
VEH-000086,Auto,SYN-KA-00086,PERSON-002646,Grey,Mahindra,Scorpio,Active,true
VEH-000087,Van,SYN-KE-00087,PERSON-002846,Grey,Tata,Nexon,Transferred,true
VEH-000088,Truck,SYN-TE-00088,PERSON-002304,Black,Hyundai,Creta,Active,true
VEH-000089,Truck,SYN-TE-00089,PERSON-001691,Grey,Toyota,Innova,Transferred,true
VEH-000090,Motorcycle,SYN-KE-00090,PERSON-000260,Grey,Mahindra,Scorpio,Transferred,true
VEH-000091,Truck,SYN-GU-00091,PERSON-000943,Black,Toyota,Urban Cruiser,Active,true
VEH-000092,Motorcycle,SYN-WE-00092,PERSON-001747,Grey,Tata,Punch,Active,true
VEH-000093,Van,SYN-TA-00093,PERSON-001479,Red,Hyundai,Venue,Active,true
VEH-000094,Truck,SYN-TE-00094,PERSON-000374,White,Mahindra,XUV,Active,true
VEH-000095,Van,SYN-KA-00095,PERSON-000842,Black,Toyota,Urban Cruiser,Transferred,true
VEH-000096,SUV,SYN-GU-00096,PERSON-002954,Blue,Toyota,Urban Cruiser,Active,true
VEH-000097,SUV,SYN-MA-00097,PERSON-000710,Blue,Toyota,Urban Cruiser,Active,true
VEH-000098,Van,SYN-KE-00098,PERSON-001769,Silver,Tata,Altroz,Active,true
VEH-000099,Auto,SYN-MA-00099,PERSON-000238,Blue,Maruti,Baleno,Active,true
VEH-000100,Van,SYN-RA-00100,PERSON-002343,Blue,Tata,Altroz,Active,true
VEH-000101,Auto,SYN-MA-00101,PERSON-001007,Grey,Maruti,Baleno,Transferred,true
VEH-000102,Motorcycle,SYN-TE-00102,PERSON-001331,Black,Toyota,Innova,Active,true
VEH-000103,Van,SYN-TA-00103,PERSON-001642,Grey,Toyota,Innova,Active,true
VEH-000104,Motorcycle,SYN-KA-00104,PERSON-000524,Blue,Maruti,Baleno,Transferred,true
VEH-000105,Truck,SYN-MA-00105,PERSON-001547,White,Maruti,Ertiga,Active,true
VEH-000106,Van,SYN-KA-00106,PERSON-001259,Silver,Mahindra,XUV,Active,true
VEH-000107,Truck,SYN-GU-00107,PERSON-000850,Black,Toyota,Innova,Active,true
VEH-000108,Truck,SYN-RA-00108,PERSON-002574,Grey,Hyundai,Venue,Active,true
VEH-000109,Auto,SYN-GU-00109,PERSON-000863,Black,Tata,Punch,Active,true
VEH-000110,Truck,SYN-GU-00110,PERSON-000063,Blue,Hyundai,Creta,Transferred,true
VEH-000111,Truck,SYN-MA-00111,PERSON-001589,Blue,Mahindra,Bolero,Transferred,true
VEH-000112,Truck,SYN-GU-00112,PERSON-000863,Blue,Toyota,Innova,Active,true
VEH-000113,Van,SYN-GU-00113,PERSON-000081,Black,Toyota,Innova,Active,true
VEH-000114,Truck,SYN-WE-00114,PERSON-000845,Silver,Tata,Nexon,Active,true
VEH-000115,Car,SYN-KE-00115,PERSON-002020,White,Tata,Nexon,Active,true
VEH-000116,Van,SYN-RA-00116,PERSON-002517,Grey,Toyota,Innova,Transferred,true
VEH-000117,SUV,SYN-GU-00117,PERSON-000062,Grey,Tata,Nexon,Transferred,true
VEH-000118,Motorcycle,SYN-MA-00118,PERSON-000921,Blue,Hyundai,i20,Active,true
VEH-000119,Truck,SYN-DE-00119,PERSON-000682,White,Mahindra,XUV,Active,true
VEH-000120,Truck,SYN-TE-00120,PERSON-002737,White,Mahindra,Bolero,Active,true
VEH-000121,Motorcycle,SYN-KE-00121,PERSON-000165,Blue,Toyota,Urban Cruiser,Active,true
VEH-000122,SUV,SYN-RA-00122,PERSON-000275,Silver,Toyota,Innova,Transferred,true
VEH-000123,Truck,SYN-WE-00123,PERSON-000703,White,Toyota,Urban Cruiser,Active,true
VEH-000124,Motorcycle,SYN-TE-00124,PERSON-001558,Black,Maruti,Swift,Active,true
VEH-000125,Motorcycle,SYN-GU-00125,PERSON-001115,Silver,Mahindra,Bolero,Active,true
VEH-000126,Car,SYN-WE-00126,PERSON-001610,White,Tata,Nexon,Active,true
VEH-000127,SUV,SYN-TE-00127,PERSON-002618,Black,Maruti,Baleno,Active,true
VEH-000128,Car,SYN-KA-00128,PERSON-001757,Grey,Toyota,Innova,Transferred,true
VEH-000129,Truck,SYN-UT-00129,PERSON-002277,Red,Tata,Punch,Transferred,true
VEH-000130,Car,SYN-TA-00130,PERSON-001617,Red,Toyota,Urban Cruiser,Transferred,true
VEH-000131,Truck,SYN-UT-00131,PERSON-001194,Silver,Tata,Altroz,Transferred,true
VEH-000132,Van,SYN-TE-00132,PERSON-000341,White,Toyota,Innova,Active,true
VEH-000133,Truck,SYN-UT-00133,PERSON-001899,Red,Toyota,Innova,Active,true
VEH-000134,Car,SYN-MA-00134,PERSON-000106,Grey,Hyundai,i20,Active,true
VEH-000135,Car,SYN-MA-00135,PERSON-002633,Silver,Hyundai,i20,Active,true
VEH-000136,Auto,SYN-KE-00136,PERSON-002246,Black,Tata,Punch,Transferred,true
VEH-000137,Truck,SYN-WE-00137,PERSON-000120,White,Maruti,Baleno,Active,true
VEH-000138,Auto,SYN-GU-00138,PERSON-000863,Red,Tata,Altroz,Active,true
VEH-000139,Auto,SYN-RA-00139,PERSON-002999,Grey,Mahindra,Bolero,Transferred,true
VEH-000140,Truck,SYN-GU-00140,PERSON-002750,Black,Tata,Nexon,Transferred,true
VEH-000141,Car,SYN-TA-00141,PERSON-001041,Grey,Toyota,Innova,Active,true
VEH-000142,Truck,SYN-MA-00142,PERSON-001589,Silver,Toyota,Innova,Transferred,true
VEH-000143,Car,SYN-KE-00143,PERSON-001670,Black,Toyota,Innova,Active,true
VEH-000144,Truck,SYN-RA-00144,PERSON-002132,Blue,Hyundai,Creta,Active,true
VEH-000145,Truck,SYN-TE-00145,PERSON-000621,White,Toyota,Innova,Active,true
VEH-000146,Truck,SYN-GU-00146,PERSON-001115,Grey,Toyota,Urban Cruiser,Transferred,true
VEH-000147,Auto,SYN-DE-00147,PERSON-000180,White,Hyundai,i20,Active,true
VEH-000148,SUV,SYN-TE-00148,PERSON-000792,Black,Tata,Altroz,Active,true
VEH-000149,Motorcycle,SYN-KA-00149,PERSON-002453,Grey,Maruti,Swift,Transferred,true
VEH-000150,Motorcycle,SYN-KE-00150,PERSON-002197,Blue,Hyundai,Creta,Transferred,true
VEH-000151,SUV,SYN-WE-00151,PERSON-001705,Black,Tata,Altroz,Active,true
VEH-000152,Van,SYN-TA-00152,PERSON-000789,Grey,Hyundai,i20,Active,true
VEH-000153,SUV,SYN-RA-00153,PERSON-000351,Red,Mahindra,Scorpio,Active,true
VEH-000154,SUV,SYN-KA-00154,PERSON-000717,Grey,Mahindra,Bolero,Active,true
VEH-000155,SUV,SYN-KA-00155,PERSON-002998,Red,Toyota,Urban Cruiser,Active,true
VEH-000156,Car,SYN-KE-00156,PERSON-002757,Grey,Toyota,Innova,Active,true
VEH-000157,Motorcycle,SYN-WE-00157,PERSON-000584,Blue,Hyundai,Venue,Active,true
VEH-000158,Motorcycle,SYN-DE-00158,PERSON-000697,Blue,Hyundai,i20,Active,true
VEH-000159,SUV,SYN-MA-00159,PERSON-002715,Blue,Hyundai,i20,Transferred,true
VEH-000160,Motorcycle,SYN-TE-00160,PERSON-001667,Grey,Hyundai,Venue,Active,true
VEH-000161,Motorcycle,SYN-DE-00161,PERSON-000146,Red,Hyundai,Creta,Transferred,true
VEH-000162,Car,SYN-TE-00162,PERSON-001558,Grey,Maruti,Ertiga,Active,true
VEH-000163,Car,SYN-TA-00163,PERSON-001041,Black,Hyundai,i20,Active,true
VEH-000164,Van,SYN-MA-00164,PERSON-001210,Red,Hyundai,i20,Active,true
VEH-000165,Van,SYN-DE-00165,PERSON-000146,Red,Toyota,Urban Cruiser,Transferred,true
VEH-000166,Auto,SYN-RA-00166,PERSON-000351,White,Mahindra,XUV,Transferred,true
VEH-000167,SUV,SYN-GU-00167,PERSON-002750,White,Tata,Nexon,Active,true
VEH-000168,Motorcycle,SYN-TA-00168,PERSON-001041,Blue,Maruti,Baleno,Active,true
VEH-000169,Car,SYN-TE-00169,PERSON-001667,White,Maruti,Swift,Active,true
VEH-000170,SUV,SYN-MA-00170,PERSON-001210,Grey,Toyota,Urban Cruiser,Active,true
VEH-000171,Van,SYN-RA-00171,PERSON-000351,Blue,Toyota,Urban Cruiser,Active,true
VEH-000172,Truck,SYN-GU-00172,PERSON-002750,Silver,Hyundai,i20,Transferred,true
VEH-000173,Motorcycle,SYN-TA-00173,PERSON-001041,White,Tata,Punch,Active,true
VEH-000174,Truck,SYN-TA-00174,PERSON-000506,White,Maruti,Swift,Transferred,true
VEH-000175,Truck,SYN-DE-00175,PERSON-000597,Silver,Toyota,Urban Cruiser,Transferred,true
VEH-000176,Truck,SYN-GU-00176,PERSON-000062,Grey,Toyota,Urban Cruiser,Transferred,true
VEH-000177,SUV,SYN-DE-00177,PERSON-000046,Grey,Toyota,Urban Cruiser,Active,true
VEH-000178,Car,SYN-UT-00178,PERSON-000647,Blue,Hyundai,i20,Active,true
VEH-000179,Motorcycle,SYN-TE-00179,PERSON-000927,Red,Hyundai,Venue,Active,true
VEH-000180,Truck,SYN-TE-00180,PERSON-001326,Silver,Mahindra,XUV,Active,true
VEH-000181,Auto,SYN-TA-00181,PERSON-002873,Grey,Hyundai,i20,Active,true
VEH-000182,Truck,SYN-TE-00182,PERSON-001898,Black,Mahindra,XUV,Active,true
VEH-000183,Car,SYN-TE-00183,PERSON-000083,Silver,Hyundai,i20,Active,true
VEH-000184,Motorcycle,SYN-WE-00184,PERSON-002964,White,Tata,Altroz,Transferred,true
VEH-000185,SUV,SYN-KE-00185,PERSON-000611,White,Tata,Altroz,Active,true
VEH-000186,Auto,SYN-RA-00186,PERSON-002438,White,Hyundai,Venue,Transferred,true
VEH-000187,Auto,SYN-WE-00187,PERSON-000060,Silver,Tata,Nexon,Active,true
VEH-000188,Auto,SYN-TE-00188,PERSON-001480,White,Tata,Altroz,Active,true
VEH-000189,Van,SYN-RA-00189,PERSON-001768,Grey,Hyundai,Creta,Active,true
VEH-000190,SUV,SYN-UT-00190,PERSON-002847,Blue,Tata,Nexon,Active,true
VEH-000191,Car,SYN-KA-00191,PERSON-002998,Grey,Hyundai,i20,Active,true
VEH-000192,SUV,SYN-TA-00192,PERSON-000948,Red,Hyundai,Creta,Active,true
VEH-000193,Auto,SYN-RA-00193,PERSON-001315,Black,Toyota,Urban Cruiser,Transferred,true
VEH-000194,Truck,SYN-DE-00194,PERSON-000904,Silver,Mahindra,Scorpio,Active,true
VEH-000195,SUV,SYN-DE-00195,PERSON-000697,Silver,Tata,Altroz,Active,true
VEH-000196,Van,SYN-DE-00196,PERSON-000919,Grey,Tata,Altroz,Active,true
VEH-000197,Car,SYN-GU-00197,PERSON-000132,Red,Mahindra,Scorpio,Transferred,true
VEH-000198,Auto,SYN-MA-00198,PERSON-002653,Grey,Mahindra,Bolero,Transferred,true
VEH-000199,Truck,SYN-TA-00199,PERSON-002764,Red,Hyundai,i20,Active,true
VEH-000200,SUV,SYN-KA-00200,PERSON-001478,Grey,Hyundai,i20,Active,true
VEH-000201,Motorcycle,SYN-TE-00201,PERSON-002507,Grey,Mahindra,Scorpio,Active,true
VEH-000202,Auto,SYN-RA-00202,PERSON-000676,Silver,Toyota,Innova,Transferred,true
VEH-000203,Van,SYN-WE-00203,PERSON-000393,Blue,Hyundai,i20,Transferred,true
VEH-000204,Auto,SYN-MA-00204,PERSON-002124,Blue,Mahindra,Bolero,Active,true
VEH-000205,Motorcycle,SYN-UT-00205,PERSON-000507,Red,Toyota,Innova,Transferred,true
VEH-000206,Truck,SYN-KA-00206,PERSON-001664,White,Tata,Altroz,Transferred,true
VEH-000207,Car,SYN-MA-00207,PERSON-000181,Red,Tata,Nexon,Active,true
VEH-000208,Truck,SYN-TA-00208,PERSON-000948,Red,Toyota,Urban Cruiser,Transferred,true
VEH-000209,Motorcycle,SYN-KE-00209,PERSON-002757,White,Hyundai,Venue,Active,true
VEH-000210,Van,SYN-DE-00210,PERSON-000904,Silver,Maruti,Swift,Transferred,true
VEH-000211,Van,SYN-DE-00211,PERSON-000697,Blue,Mahindra,Bolero,Transferred,true
VEH-000212,Truck,SYN-MA-00212,PERSON-002715,Red,Maruti,Baleno,Transferred,true
VEH-000213,SUV,SYN-TA-00213,PERSON-002675,Black,Hyundai,i20,Active,true
VEH-000214,Auto,SYN-KA-00214,PERSON-001343,Silver,Mahindra,Bolero,Active,true
VEH-000215,Van,SYN-KA-00215,PERSON-002998,Silver,Mahindra,XUV,Transferred,true
VEH-000216,Truck,SYN-WE-00216,PERSON-002835,Blue,Tata,Punch,Active,true
VEH-000217,Van,SYN-WE-00217,PERSON-000584,Silver,Mahindra,Scorpio,Transferred,true
VEH-000218,Car,SYN-DE-00218,PERSON-000697,Grey,Mahindra,XUV,Active,true
VEH-000219,Truck,SYN-MA-00219,PERSON-002715,Black,Mahindra,XUV,Active,true
VEH-000220,Van,SYN-TE-00220,PERSON-001667,Red,Hyundai,Creta,Transferred,true
VEH-000221,Truck,SYN-GU-00221,PERSON-002279,Grey,Maruti,Ertiga,Active,true
VEH-000222,Car,SYN-GU-00222,PERSON-002750,Silver,Maruti,Ertiga,Active,true
VEH-000223,Van,SYN-TA-00223,PERSON-001041,Black,Toyota,Innova,Active,true
VEH-000224,Car,SYN-TE-00224,PERSON-000916,White,Toyota,Innova,Transferred,true
VEH-000225,Car,SYN-MA-00225,PERSON-000238,White,Mahindra,XUV,Transferred,true
VEH-000226,Truck,SYN-TE-00226,PERSON-000950,Silver,Tata,Altroz,Active,true
VEH-000227,Truck,SYN-RA-00227,PERSON-002017,Red,Tata,Punch,Active,true
VEH-000228,SUV,SYN-KA-00228,PERSON-000092,Black,Maruti,Baleno,Active,true
VEH-000229,SUV,SYN-RA-00229,PERSON-002920,Silver,Maruti,Baleno,Transferred,true
VEH-000230,Van,SYN-TE-00230,PERSON-001455,Grey,Hyundai,i20,Active,true
VEH-000231,SUV,SYN-RA-00231,PERSON-001474,Red,Toyota,Urban Cruiser,Transferred,true
VEH-000232,SUV,SYN-GU-00232,PERSON-001115,White,Tata,Altroz,Transferred,true
VEH-000233,SUV,SYN-WE-00233,PERSON-001610,Red,Toyota,Innova,Active,true
VEH-000234,Auto,SYN-DE-00234,PERSON-000267,Blue,Hyundai,i20,Transferred,true
VEH-000235,Auto,SYN-UT-00235,PERSON-002900,Grey,Tata,Punch,Transferred,true
VEH-000236,Auto,SYN-WE-00236,PERSON-001668,Blue,Tata,Nexon,Active,true
VEH-000237,Van,SYN-DE-00237,PERSON-001397,Black,Toyota,Innova,Active,true
VEH-000238,Van,SYN-KA-00238,PERSON-002689,Silver,Mahindra,Scorpio,Transferred,true
VEH-000239,SUV,SYN-TE-00239,PERSON-001423,Blue,Mahindra,XUV,Active,true
VEH-000240,SUV,SYN-TA-00240,PERSON-000479,Silver,Mahindra,Bolero,Active,true
VEH-000241,Motorcycle,SYN-GU-00241,PERSON-000081,Grey,Hyundai,Venue,Active,true
VEH-000242,Car,SYN-GU-00242,PERSON-000850,Blue,Maruti,Baleno,Transferred,true
VEH-000243,Auto,SYN-RA-00243,PERSON-002574,White,Tata,Altroz,Transferred,true
VEH-000244,Car,SYN-GU-00244,PERSON-000063,Red,Maruti,Baleno,Active,true
VEH-000245,Truck,SYN-GU-00245,PERSON-000863,White,Toyota,Innova,Transferred,true
VEH-000246,Van,SYN-KE-00246,PERSON-002757,Red,Toyota,Urban Cruiser,Active,true
VEH-000247,Car,SYN-TA-00247,PERSON-002675,Blue,Toyota,Urban Cruiser,Transferred,true
VEH-000248,SUV,SYN-KA-00248,PERSON-002998,Red,Mahindra,XUV,Transferred,true
VEH-000249,Auto,SYN-KA-00249,PERSON-000576,Grey,Tata,Nexon,Active,true
VEH-000250,SUV,SYN-DE-00250,PERSON-000904,Grey,Toyota,Innova,Active,true
VEH-000251,Truck,SYN-MA-00251,PERSON-000106,Red,Maruti,Swift,Transferred,true
VEH-000252,SUV,SYN-WE-00252,PERSON-000584,Blue,Toyota,Innova,Transferred,true
VEH-000253,SUV,SYN-GU-00253,PERSON-002954,Red,Toyota,Urban Cruiser,Active,true
VEH-000254,Car,SYN-KA-00254,PERSON-000842,Blue,Tata,Punch,Active,true
VEH-000255,Auto,SYN-TE-00255,PERSON-000245,White,Tata,Nexon,Active,true
VEH-000256,Truck,SYN-DE-00256,PERSON-000222,Blue,Toyota,Innova,Active,true
VEH-000257,Truck,SYN-KE-00257,PERSON-001769,Red,Toyota,Innova,Active,true
VEH-000258,SUV,SYN-RA-00258,PERSON-001385,Grey,Toyota,Innova,Transferred,true
VEH-000259,Motorcycle,SYN-KA-00259,PERSON-001664,White,Tata,Punch,Transferred,true
VEH-000260,Auto,SYN-TA-00260,PERSON-002675,Grey,Hyundai,Venue,Active,true
VEH-000261,Car,SYN-KA-00261,PERSON-001343,White,Hyundai,Creta,Transferred,true
VEH-000262,Van,SYN-DE-00262,PERSON-000146,Silver,Hyundai,i20,Active,true
VEH-000263,Motorcycle,SYN-WE-00263,PERSON-000047,Blue,Hyundai,Creta,Active,true
VEH-000264,SUV,SYN-WE-00264,PERSON-000279,Silver,Tata,Altroz,Active,true
VEH-000265,Car,SYN-MA-00265,PERSON-000217,Silver,Mahindra,Scorpio,Active,true
VEH-000266,Car,SYN-KE-00266,PERSON-000556,Blue,Maruti,Swift,Active,true
VEH-000267,Truck,SYN-WE-00267,PERSON-002964,Silver,Mahindra,Scorpio,Active,true
VEH-000268,SUV,SYN-TA-00268,PERSON-000948,Red,Hyundai,Creta,Active,true
VEH-000269,Auto,SYN-DE-00269,PERSON-001182,Blue,Toyota,Innova,Active,true
VEH-000270,Van,SYN-RA-00270,PERSON-001315,Grey,Toyota,Innova,Active,true
VEH-000271,Car,SYN-WE-00271,PERSON-000584,Blue,Hyundai,Venue,Active,true
VEH-000272,Motorcycle,SYN-RA-00272,PERSON-002574,White,Mahindra,Bolero,Active,true
VEH-000273,Motorcycle,SYN-GU-00273,PERSON-000863,Silver,Toyota,Urban Cruiser,Active,true
VEH-000274,Car,SYN-GU-00274,PERSON-000063,Black,Hyundai,i20,Active,true
VEH-000275,Motorcycle,SYN-MA-00275,PERSON-001589,Blue,Toyota,Innova,Transferred,true
VEH-000276,Car,SYN-UT-00276,PERSON-001578,Blue,Tata,Punch,Transferred,true
VEH-000277,Van,SYN-KA-00277,PERSON-001664,White,Mahindra,Bolero,Active,true
VEH-000278,Motorcycle,SYN-KA-00278,PERSON-001343,Silver,Hyundai,i20,Active,true
VEH-000279,Car,SYN-DE-00279,PERSON-000697,Grey,Tata,Punch,Transferred,true
VEH-000280,Motorcycle,SYN-KE-00280,PERSON-000230,White,Tata,Nexon,Active,true
VEH-000281,Car,SYN-TE-00281,PERSON-000635,Grey,Tata,Altroz,Active,true
VEH-000282,Auto,SYN-KE-00282,PERSON-002020,Grey,Hyundai,Venue,Active,true
VEH-000283,Auto,SYN-TA-00283,PERSON-002873,Blue,Toyota,Urban Cruiser,Active,true
VEH-000284,Motorcycle,SYN-MA-00284,PERSON-000921,Blue,Tata,Altroz,Active,true
VEH-000285,Auto,SYN-WE-00285,PERSON-001965,Black,Hyundai,i20,Active,true
VEH-000286,Van,SYN-TA-00286,PERSON-001992,White,Mahindra,Bolero,Active,true
VEH-000287,Car,SYN-TE-00287,PERSON-000083,Silver,Maruti,Ertiga,Transferred,true
