cdr_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,call_type,cell_tower_id,location_id,network_id,synthetic_flag
CDR-000043,PHONE-011596,PHONE-011631,2023-12-07T08:16:00,422,VOICE,TOWER-0769,LOC-001988,,true
CDR-000044,PHONE-011367,PHONE-011672,2023-04-21T03:34:00,273,SMS,TOWER-0497,LOC-001636,,true
CDR-000045,PHONE-010710,PHONE-010572,2023-08-12T02:00:00,887,SMS,TOWER-0217,LOC-000046,,true
CDR-000046,PHONE-004199,PHONE-002676,2023-02-02T17:09:00,673,SMS,TOWER-0173,LOC-002952,NET-000027,true
CDR-000047,PHONE-005255,PHONE-011368,2022-09-14T06:36:00,178,VOICE,TOWER-0372,LOC-002506,NET-000005,true
CDR-000048,PHONE-003285,PHONE-001988,2023-01-28T06:38:00,562,SMS,TOWER-0581,LOC-002427,NET-000013,true
CDR-000049,PHONE-004968,PHONE-006254,2023-02-27T09:23:00,808,VOICE,TOWER-0774,LOC-000293,NET-000025,true
CDR-000050,PHONE-009149,PHONE-006474,2023-10-20T06:55:00,899,VOICE,TOWER-0423,LOC-002603,NET-000028,true
CDR-000051,PHONE-005828,PHONE-001873,2023-08-31T16:08:00,53,SMS,TOWER-0756,LOC-002047,NET-000008,true
CDR-000052,PHONE-011784,PHONE-011455,2023-05-27T17:22:00,274,VOICE,TOWER-0291,LOC-000526,,true
CDR-000053,PHONE-009012,PHONE-009016,2023-09-13T11:19:00,322,SMS,TOWER-0147,LOC-000068,NET-000021,true
CDR-000054,PHONE-005658,PHONE-000165,2023-08-04T08:10:00,646,VOICE,TOWER-0647,LOC-000804,NET-000013,true
CDR-000055,PHONE-010089,PHONE-009945,2023-08-18T23:01:00,608,SMS,TOWER-0189,LOC-001443,,true
CDR-000056,PHONE-006931,PHONE-005051,2023-09-03T22:54:00,108,VOICE,TOWER-0032,LOC-001588,NET-000014,true
CDR-000057,PHONE-001001,PHONE-001712,2023-12-06T12:46:00,396,VOICE,TOWER-0706,LOC-002786,NET-000019,true
CDR-000058,PHONE-010107,PHONE-000210,2023-02-04T14:26:00,446,SMS,TOWER-0643,LOC-000925,,true
CDR-000059,PHONE-009307,PHONE-005233,2022-11-14T01:01:00,308,SMS,TOWER-0254,LOC-002335,NET-000027,true
CDR-000060,PHONE-003101,PHONE-003094,2023-05-10T10:10:00,421,SMS,TOWER-0163,LOC-001835,NET-000027,true
CDR-000061,PHONE-003461,PHONE-009018,2023-06-16T06:37:00,444,SMS,TOWER-0604,LOC-001190,NET-000021,true
CDR-000062,PHONE-001038,PHONE-003620,2023-05-13T03:42:00,311,VOICE,TOWER-0787,LOC-003027,NET-000028,true
CDR-000063,PHONE-006816,PHONE-000035,2023-07-18T20:13:00,871,VOICE,TOWER-0048,LOC-001667,NET-000003,true
CDR-000064,PHONE-006428,PHONE-007343,2023-04-18T16:12:00,871,VOICE,TOWER-0200,LOC-001163,NET-000024,true
CDR-000065,PHONE-005425,PHONE-002729,2023-08-31T15:53:00,490,SMS,TOWER-0185,LOC-001223,NET-000028,true
CDR-000066,PHONE-007863,PHONE-003550,2023-07-16T19:45:00,876,SMS,TOWER-0186,LOC-002404,NET-000013,true
CDR-000067,PHONE-011870,PHONE-004814,2023-01-03T16:25:00,147,VOICE,TOWER-0595,LOC-001569,,true
CDR-000068,PHONE-006600,PHONE-007067,2023-04-15T09:59:00,129,VOICE,TOWER-0529,LOC-002113,NET-000004,true
CDR-000069,PHONE-004768,PHONE-003601,2023-12-27T04:07:00,355,SMS,TOWER-0501,LOC-002734,NET-000019,true
CDR-000070,PHONE-000615,PHONE-000656,2023-04-07T02:40:00,571,VOICE,TOWER-0190,LOC-001381,NET-000023,true
CDR-000071,PHONE-010045,PHONE-009655,2023-05-07T00:41:00,425,SMS,TOWER-0081,LOC-002854,,true
CDR-000072,PHONE-005834,PHONE-002824,2023-08-27T19:21:00,136,VOICE,TOWER-0132,LOC-002382,NET-000004,true
CDR-000073,PHONE-011798,PHONE-011491,2023-09-26T03:25:00,87,SMS,TOWER-0598,LOC-001775,,true
CDR-000074,PHONE-006194,PHONE-007418,2023-01-14T05:46:00,131,SMS,TOWER-0642,LOC-001742,NET-000016,true
CDR-000075,PHONE-007172,PHONE-006634,2023-08-12T18:55:00,359,VOICE,TOWER-0132,LOC-000692,NET-000026,true
CDR-000076,PHONE-007381,PHONE-001019,2023-10-03T08:53:00,584,VOICE,TOWER-0318,LOC-001682,NET-000017,true
CDR-000077,PHONE-001439,PHONE-007267,2022-10-18T19:35:00,288,SMS,TOWER-0013,LOC-000707,NET-000006,true
CDR-000078,PHONE-005998,PHONE-007532,2023-05-01T20:56:00,283,VOICE,TOWER-0485,LOC-001391,NET-000027,true
CDR-000079,PHONE-008687,PHONE-007968,2024-01-27T05:00:00,316,SMS,TOWER-0792,LOC-001458,NET-000003,true
CDR-000080,PHONE-006636,PHONE-000359,2023-03-28T06:00:00,503,VOICE,TOWER-0221,LOC-002193,NET-000026,true
CDR-000081,PHONE-002913,PHONE-005922,2023-06-16T14:50:00,184,SMS,TOWER-0034,LOC-001169,NET-000009,true
CDR-000082,PHONE-010719,PHONE-005294,2023-06-11T07:25:00,650,SMS,TOWER-0763,LOC-000927,,true
CDR-000083,PHONE-002945,PHONE-007349,2023-04-26T16:16:00,113,VOICE,TOWER-0737,LOC-001844,NET-000017,true
CDR-000084,PHONE-000934,PHONE-005647,2023-04-03T18:28:00,539,SMS,TOWER-0088,LOC-001405,NET-000013,true
CDR-000085,PHONE-009605,PHONE-010640,2022-12-11T16:49:00,114,VOICE,TOWER-0686,LOC-001062,,true
CDR-000086,PHONE-011820,PHONE-003410,2023-06-24T15:05:00,823,SMS,TOWER-0199,LOC-000622,,true
CDR-000087,PHONE-005253,PHONE-007763,2023-12-19T17:33:00,557,SMS,TOWER-0468,LOC-002826,NET-000005,true
CDR-000088,PHONE-001888,PHONE-001883,2023-02-12T23:27:00,548,SMS,TOWER-0457,LOC-001412,NET-000022,true
CDR-000089,PHONE-006070,PHONE-007980,2023-07-03T05:37:00,810,VOICE,TOWER-0053,LOC-002274,NET-000014,true
CDR-000090,PHONE-011224,PHONE-010672,2023-08-30T16:39:00,333,SMS,TOWER-0514,LOC-002695,,true
CDR-000091,PHONE-000345,PHONE-009378,2023-09-13T20:31:00,594,VOICE,TOWER-0774,LOC-001449,NET-000018,true
CDR-000092,PHONE-000348,PHONE-003210,2023-10-14T00:36:00,544,SMS,TOWER-0072,LOC-000966,NET-000003,true
CDR-000093,PHONE-003482,PHONE-005900,2023-12-03T03:09:00,444,VOICE,TOWER-0185,LOC-002320,NET-000010,true
CDR-000094,PHONE-006935,PHONE-005025,2023-12-18T04:13:00,779,SMS,TOWER-0264,LOC-001829,NET-000017,true
CDR-000095,PHONE-006714,PHONE-005629,2022-12-24T22:15:00,130,SMS,TOWER-0169,LOC-000914,NET-000022,true
CDR-000096,PHONE-007575,PHONE-004154,2023-04-15T12:28:00,663,SMS,TOWER-0452,LOC-000380,NET-000014,true
CDR-000097,PHONE-000215,PHONE-001218,2023-09-30T13:34:00,682,VOICE,TOWER-0353,LOC-001427,NET-000024,true
CDR-000098,PHONE-004439,PHONE-009234,2023-02-28T07:27:00,241,VOICE,TOWER-0662,LOC-002531,NET-000015,true
CDR-000099,PHONE-004228,PHONE-005114,2023-05-09T17:28:00,115,SMS,TOWER-0327,LOC-002383,NET-000015,true
CDR-000100,PHONE-003491,PHONE-004220,2023-09-05T19:58:00,188,SMS,TOWER-0238,LOC-002930,NET-000013,true
CDR-000101,PHONE-002153,PHONE-009026,2023-09-03T20:16:00,496,SMS,TOWER-0129,LOC-000094,NET-000021,true
CDR-000102,PHONE-006324,PHONE-002635,2023-01-02T15:51:00,485,VOICE,TOWER-0146,LOC-001924,NET-000018,true
CDR-000103,PHONE-001373,PHONE-003404,2023-12-17T00:02:00,702,SMS,TOWER-0216,LOC-000746,NET-000008,true
CDR-000104,PHONE-001845,PHONE-006754,2023-06-17T13:57:00,178,SMS,TOWER-0320,LOC-000135,NET-000005,true
CDR-000105,PHONE-007165,PHONE-000847,2023-07-16T14:40:00,196,SMS,TOWER-0765,LOC-002025,NET-000001,true
CDR-000106,PHONE-002230,PHONE-007203,2023-08-31T23:19:00,408,SMS,TOWER-0015,LOC-000849,NET-000014,true
CDR-000107,PHONE-002418,PHONE-003836,2023-10-15T13:29:00,636,SMS,TOWER-0667,LOC-001862,NET-000003,true
CDR-000108,PHONE-002491,PHONE-007246,2023-04-05T22:16:00,412,VOICE,TOWER-0380,LOC-003009,NET-000014,true
CDR-000109,PHONE-003564,PHONE-008362,2023-04-03T10:34:00,487,SMS,TOWER-0539,LOC-002136,NET-000006,true
CDR-000110,PHONE-001621,PHONE-002303,2023-12-31T06:49:00,271,VOICE,TOWER-0522,LOC-002016,NET-000023,true
CDR-000111,PHONE-008128,PHONE-006102,2023-04-26T16:53:00,303,VOICE,TOWER-0025,LOC-000564,NET-000011,true
CDR-000112,PHONE-003670,PHONE-007338,2023-09-05T15:14:00,506,SMS,TOWER-0726,LOC-000386,NET-000024,true
CDR-000113,PHONE-006815,PHONE-010079,2023-05-06T06:45:00,713,VOICE,TOWER-0416,LOC-002481,NET-000005,true
CDR-000114,PHONE-004587,PHONE-001930,2023-03-27T10:18:00,376,VOICE,TOWER-0582,LOC-002336,NET-000019,true
CDR-000115,PHONE-010527,PHONE-011273,2023-07-06T06:51:00,796,SMS,TOWER-0586,LOC-000322,,true
CDR-000116,PHONE-009122,PHONE-002565,2023-12-06T14:04:00,495,SMS,TOWER-0497,LOC-001065,NET-000019,true
CDR-000117,PHONE-011538,PHONE-009913,2023-03-06T03:05:00,233,VOICE,TOWER-0596,LOC-000906,,true
CDR-000118,PHONE-007233,PHONE-000265,2023-04-13T18:54:00,571,SMS,TOWER-0299,LOC-002439,NET-000021,true
CDR-000119,PHONE-008055,PHONE-002114,2023-09-12T04:54:00,291,VOICE,TOWER-0443,LOC-002682,NET-000008,true
CDR-000120,PHONE-006334,PHONE-009244,2023-08-05T04:40:00,376,VOICE,TOWER-0503,LOC-000199,NET-000015,true
CDR-000121,PHONE-004676,PHONE-006209,2023-04-20T21:45:00,744,SMS,TOWER-0180,LOC-002485,NET-000016,true
CDR-000122,PHONE-007681,PHONE-003943,2023-10-20T13:32:00,452,SMS,TOWER-0507,LOC-000754,NET-000010,true
CDR-000123,PHONE-011985,PHONE-011479,2023-06-04T13:35:00,106,VOICE,TOWER-0292,LOC-000786,,true
CDR-000124,PHONE-011985,PHONE-003277,2024-02-13T09:14:00,219,VOICE,TOWER-0666,LOC-001990,,true
CDR-000125,PHONE-011112,PHONE-011904,2024-01-26T02:36:00,421,SMS,TOWER-0373,LOC-001964,,true
CDR-000126,PHONE-004076,PHONE-005610,2023-11-14T19:16:00,379,VOICE,TOWER-0281,LOC-000955,NET-000018,true
CDR-000127,PHONE-001631,PHONE-005496,2022-12-27T07:37:00,289,SMS,TOWER-0250,LOC-001008,NET-000023,true
CDR-000128,PHONE-006346,PHONE-010230,2023-10-30T01:38:00,149,VOICE,TOWER-0062,LOC-002719,,true
CDR-000129,PHONE-007758,PHONE-007760,2023-01-25T05:02:00,899,SMS,TOWER-0679,LOC-000060,NET-000005,true
CDR-000130,PHONE-000679,PHONE-006468,2022-12-24T17:59:00,626,VOICE,TOWER-0781,LOC-001936,NET-000024,true
CDR-000131,PHONE-010653,PHONE-011062,2023-07-28T01:32:00,504,SMS,TOWER-0218,LOC-001756,,true
CDR-000132,PHONE-006057,PHONE-004694,2023-05-02T07:10:00,881,SMS,TOWER-0662,LOC-000114,NET-000012,true
CDR-000133,PHONE-001687,PHONE-004639,2023-12-09T00:07:00,542,SMS,TOWER-0373,LOC-001986,NET-000022,true
CDR-000134,PHONE-001521,PHONE-005369,2024-03-26T02:33:00,287,VOICE,TOWER-0259,LOC-000524,NET-000017,true
CDR-000135,PHONE-001055,PHONE-001827,2023-10-05T11:00:00,649,VOICE,TOWER-0210,LOC-002208,NET-000012,true
CDR-000136,PHONE-010193,PHONE-010443,2023-07-19T00:29:00,776,VOICE,TOWER-0428,LOC-001575,,true
CDR-000137,PHONE-009392,PHONE-007303,2023-09-23T19:09:00,595,SMS,TOWER-0313,LOC-001312,NET-000010,true
CDR-000138,PHONE-010646,PHONE-011148,2023-11-16T16:23:00,498,VOICE,TOWER-0657,LOC-000538,,true
CDR-000139,PHONE-005068,PHONE-005977,2023-05-06T14:50:00,385,VOICE,TOWER-0098,LOC-001375,NET-000023,true
CDR-000140,PHONE-006231,PHONE-007347,2023-06-15T11:01:00,896,SMS,TOWER-0569,LOC-001104,NET-000024,true
CDR-000141,PHONE-009359,PHONE-003564,2023-05-06T11:17:00,294,VOICE,TOWER-0084,LOC-001165,NET-000006,true
CDR-000142,PHONE-001038,PHONE-002770,2023-03-25T04:11:00,603,SMS,TOWER-0540,LOC-001176,NET-000028,true
CDR-000143,PHONE-003061,PHONE-005702,2023-04-29T18:38:00,872,SMS,TOWER-0770,LOC-002411,NET-000011,true
CDR-000144,PHONE-011020,PHONE-010068,2023-08-09T09:57:00,228,VOICE,TOWER-0614,LOC-000100,,true
CDR-000145,PHONE-005954,PHONE-004528,2022-11-05T09:43:00,444,VOICE,TOWER-0287,LOC-002811,NET-000008,true
CDR-000146,PHONE-005900,PHONE-000021,2023-07-29T01:13:00,601,VOICE,TOWER-0174,LOC-000886,NET-000010,true
CDR-000147,PHONE-006852,PHONE-009231,2024-01-19T03:30:00,714,SMS,TOWER-0075,LOC-001182,NET-000015,true
CDR-000148,PHONE-006796,PHONE-000558,2023-10-03T07:48:00,277,VOICE,TOWER-0751,LOC-001437,NET-000008,true
CDR-000149,PHONE-010598,PHONE-012022,2024-02-11T07:10:00,782,SMS,TOWER-0630,LOC-001190,,true
CDR-000150,PHONE-001040,PHONE-003414,2023-07-20T13:12:00,617,SMS,TOWER-0597,LOC-002805,NET-000008,true
CDR-000151,PHONE-010031,PHONE-011620,2023-04-04T08:39:00,313,SMS,TOWER-0305,LOC-000795,,true
CDR-000152,PHONE-007163,PHONE-009140,2023-01-03T05:39:00,498,VOICE,TOWER-0019,LOC-000979,NET-000004,true
CDR-000153,PHONE-006207,PHONE-003781,2022-12-17T10:28:00,846,SMS,TOWER-0723,LOC-002891,NET-000016,true
CDR-000154,PHONE-001037,PHONE-008393,2023-11-10T19:47:00,507,VOICE,TOWER-0456,LOC-001183,NET-000028,true
CDR-000155,PHONE-008448,PHONE-001984,2023-03-06T04:21:00,249,VOICE,TOWER-0549,LOC-000762,NET-000019,true
CDR-000156,PHONE-004258,PHONE-007780,2024-03-02T06:14:00,366,VOICE,TOWER-0644,LOC-002232,NET-000018,true
CDR-000157,PHONE-011298,PHONE-011309,2023-07-19T02:36:00,616,SMS,TOWER-0502,LOC-002761,,true
CDR-000158,PHONE-005348,PHONE-010728,2024-02-16T22:28:00,17,SMS,TOWER-0073,LOC-000092,,true
CDR-000159,PHONE-007543,PHONE-001011,2023-05-14T12:27:00,575,VOICE,TOWER-0620,LOC-001106,NET-000017,true
CDR-000160,PHONE-006646,PHONE-008345,2022-12-08T04:07:00,407,VOICE,TOWER-0269,LOC-002982,NET-000025,true
CDR-000161,PHONE-003605,PHONE-011082,2023-10-29T04:16:00,230,VOICE,TOWER-0800,LOC-000505,,true
CDR-000162,PHONE-005606,PHONE-002636,2023-11-03T03:23:00,220,VOICE,TOWER-0524,LOC-001413,NET-000018,true
CDR-000163,PHONE-008753,PHONE-003758,2023-11-19T01:28:00,219,VOICE,TOWER-0595,LOC-002637,NET-000001,true
CDR-000164,PHONE-009703,PHONE-010846,2023-03-25T11:48:00,869,VOICE,TOWER-0713,LOC-000145,,true
CDR-000165,PHONE-009950,PHONE-003719,2023-09-02T09:44:00,547,VOICE,TOWER-0492,LOC-001606,,true
CDR-000166,PHONE-010427,PHONE-001868,2023-07-11T17:22:00,838,VOICE,TOWER-0034,LOC-002037,,true
CDR-000167,PHONE-006712,PHONE-009226,2023-05-20T08:43:00,462,VOICE,TOWER-0744,LOC-003025,NET-000015,true
CDR-000168,PHONE-006537,PHONE-002007,2023-12-11T00:32:00,23,VOICE,TOWER-0126,LOC-002614,NET-000022,true
CDR-000169,PHONE-001446,PHONE-005462,2023-11-19T10:12:00,261,VOICE,TOWER-0710,LOC-000537,NET-000001,true
CDR-000170,PHONE-008013,PHONE-007933,2023-08-27T01:42:00,689,VOICE,TOWER-0664,LOC-002792,NET-000020,true
CDR-000171,PHONE-007117,PHONE-004011,2022-12-08T15:17:00,837,VOICE,TOWER-0219,LOC-002471,NET-000020,true
CDR-000172,PHONE-010403,PHONE-010124,2022-12-15T11:04:00,74,VOICE,TOWER-0453,LOC-001357,,true
CDR-000173,PHONE-010959,PHONE-011521,2023-03-10T12:41:00,879,VOICE,TOWER-0486,LOC-000857,,true
CDR-000174,PHONE-006414,PHONE-002852,2023-12-17T15:11:00,200,VOICE,TOWER-0570,LOC-000964,NET-000009,true
CDR-000175,PHONE-005175,PHONE-007539,2023-04-03T11:22:00,15,SMS,TOWER-0178,LOC-000747,NET-000017,true
CDR-000176,PHONE-004947,PHONE-005825,2023-11-15T08:26:00,262,SMS,TOWER-0281,LOC-000299,NET-000016,true
CDR-000177,PHONE-003014,PHONE-003050,2023-10-29T14:52:00,243,SMS,TOWER-0221,LOC-001383,NET-000022,true
CDR-000178,PHONE-007758,PHONE-005254,2023-09-28T04:13:00,215,SMS,TOWER-0786,LOC-002979,NET-000005,true
CDR-000179,PHONE-004085,PHONE-002221,2024-02-14T21:43:00,616,SMS,TOWER-0695,LOC-000603,NET-000025,true
CDR-000180,PHONE-000014,PHONE-003789,2023-06-10T18:38:00,487,VOICE,TOWER-0328,LOC-001422,NET-000019,true
CDR-000181,PHONE-006473,PHONE-007024,2023-07-31T08:13:00,461,SMS,TOWER-0250,LOC-002681,NET-000028,true
CDR-000182,PHONE-001140,PHONE-007757,2022-10-29T07:24:00,895,VOICE,TOWER-0102,LOC-001273,NET-000005,true
CDR-000183,PHONE-000910,PHONE-007155,2024-01-20T05:06:00,774,SMS,TOWER-0131,LOC-002890,NET-000016,true
CDR-000184,PHONE-001600,PHONE-001621,2023-01-09T22:19:00,322,VOICE,TOWER-0672,LOC-001200,NET-000023,true
CDR-000185,PHONE-001600,PHONE-001638,2023-05-21T12:39:00,296,SMS,TOWER-0540,LOC-000503,NET-000023,true
CDR-000186,PHONE-004476,PHONE-007110,2023-04-17T11:50:00,405,VOICE,TOWER-0222,LOC-000905,NET-000016,true
CDR-000187,PHONE-000298,PHONE-005896,2023-06-14T19:41:00,688,SMS,TOWER-0483,LOC-002457,NET-000010,true
CDR-000188,PHONE-010802,PHONE-011198,2023-10-19T08:27:00,435,SMS,TOWER-0462,LOC-002347,,true
CDR-000189,PHONE-003031,PHONE-008325,2023-07-26T19:11:00,496,SMS,TOWER-0268,LOC-000510,NET-000021,true
CDR-000190,PHONE-008766,PHONE-003047,2024-02-08T23:28:00,722,VOICE,TOWER-0521,LOC-002811,NET-000022,true
CDR-000191,PHONE-001195,PHONE-000876,2024-01-29T17:28:00,819,VOICE,TOWER-0632,LOC-000013,NET-000017,true
CDR-000192,PHONE-006161,PHONE-009100,2023-06-22T08:22:00,67,VOICE,TOWER-0559,LOC-000129,NET-000012,true
CDR-000193,PHONE-007658,PHONE-003476,2023-04-30T07:06:00,839,SMS,TOWER-0709,LOC-002744,NET-000012,true
CDR-000194,PHONE-004684,PHONE-001153,2023-05-13T08:21:00,604,SMS,TOWER-0421,LOC-002667,NET-000016,true
CDR-000195,PHONE-002258,PHONE-007503,2022-11-08T13:20:00,585,SMS,TOWER-0232,LOC-001838,NET-000006,true
CDR-000196,PHONE-004477,PHONE-000567,2023-01-21T15:43:00,531,SMS,TOWER-0540,LOC-001767,NET-000016,true
CDR-000197,PHONE-004212,PHONE-006064,2023-05-29T03:17:00,893,VOICE,TOWER-0778,LOC-000479,NET-000014,true
CDR-000198,PHONE-001046,PHONE-009480,2023-03-15T17:53:00,532,VOICE,TOWER-0223,LOC-000040,NET-000013,true
CDR-000199,PHONE-005709,PHONE-006590,2023-04-07T16:42:00,615,VOICE,TOWER-0023,LOC-001031,NET-000011,true
CDR-000200,PHONE-008296,PHONE-008842,2023-08-05T03:27:00,375,SMS,TOWER-0642,LOC-002591,NET-000009,true
CDR-000201,PHONE-004089,PHONE-004551,2023-11-23T08:25:00,257,SMS,TOWER-0576,LOC-000220,NET-000025,true
CDR-000202,PHONE-004092,PHONE-001388,2023-02-02T20:24:00,361,SMS,TOWER-0530,LOC-001137,NET-000005,true
CDR-000203,PHONE-009047,PHONE-001129,2023-06-28T22:25:00,872,VOICE,TOWER-0247,LOC-002803,NET-000023,true
CDR-000204,PHONE-007637,PHONE-000924,2023-07-25T05:51:00,219,VOICE,TOWER-0304,LOC-000858,NET-000007,true
CDR-000205,PHONE-003417,PHONE-008408,2023-03-02T15:26:00,545,SMS,TOWER-0145,LOC-000712,NET-000010,true
CDR-000206,PHONE-011270,PHONE-000125,2023-07-13T01:13:00,189,VOICE,TOWER-0031,LOC-000211,,true
CDR-000207,PHONE-004377,PHONE-006211,2023-09-10T09:15:00,771,SMS,TOWER-0629,LOC-002977,NET-000014,true
CDR-000208,PHONE-004804,PHONE-007312,2023-11-09T18:06:00,34,VOICE,TOWER-0315,LOC-002474,NET-000025,true
CDR-000209,PHONE-009609,PHONE-010741,2023-03-11T16:23:00,181,VOICE,TOWER-0057,LOC-001706,,true
CDR-000210,PHONE-005434,PHONE-006477,2023-12-23T21:29:00,418,SMS,TOWER-0228,LOC-001547,NET-000028,true
CDR-000211,PHONE-000370,PHONE-008128,2023-02-27T03:15:00,550,VOICE,TOWER-0732,LOC-002737,NET-000011,true
CDR-000212,PHONE-010293,PHONE-009911,2023-03-13T19:24:00,269,VOICE,TOWER-0188,LOC-001774,,true
CDR-000213,PHONE-006586,PHONE-002991,2023-05-22T22:51:00,806,SMS,TOWER-0084,LOC-001347,NET-000011,true
CDR-000214,PHONE-001322,PHONE-007763,2023-06-20T16:27:00,486,VOICE,TOWER-0506,LOC-001016,NET-000005,true
CDR-000215,PHONE-007338,PHONE-009303,2022-12-15T07:45:00,298,VOICE,TOWER-0278,LOC-000126,NET-000024,true
