account_id,person_id,institution_type,account_type,masked_identifier,opened_date,status,synthetic_flag
ACCT-000029,PERSON-002609,Synthetic Cooperative Bank,Current,SYN-XXXX-0029,2022-06-28,Active,true
ACCT-000030,PERSON-000906,Synthetic Bank B,Savings,SYN-XXXX-0030,2023-04-27,Dormant,true
ACCT-000031,PERSON-000217,Synthetic Cooperative Bank,Savings,SYN-XXXX-0031,2023-08-05,Dormant,true
ACCT-000032,PERSON-001768,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0032,2023-01-25,Active,true
ACCT-000033,PERSON-002964,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0033,2022-06-15,Dormant,true
ACCT-000034,PERSON-000492,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0034,2023-08-14,Dormant,true
ACCT-000035,PERSON-000492,Synthetic Bank B,Savings,SYN-XXXX-0035,2023-07-16,Dormant,true
ACCT-000036,PERSON-001059,Synthetic Bank C,Digital Wallet,SYN-XXXX-0036,2023-01-23,Dormant,true
ACCT-000037,PERSON-000920,Synthetic Bank B,Savings,SYN-XXXX-0037,2023-03-28,Active,true
ACCT-000038,PERSON-000144,Synthetic Bank C,Digital Wallet,SYN-XXXX-0038,2023-09-06,Active,true
ACCT-000039,PERSON-002999,Synthetic Bank C,Savings,SYN-XXXX-0039,2023-08-06,Dormant,true
ACCT-000040,PERSON-002082,Synthetic Bank A,Digital Wallet,SYN-XXXX-0040,2023-04-27,Dormant,true
ACCT-000041,PERSON-001830,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0041,2023-01-28,Dormant,true
ACCT-000042,PERSON-001615,Synthetic Bank B,Savings,SYN-XXXX-0042,2022-09-18,Dormant,true
ACCT-000043,PERSON-001615,Synthetic Bank C,Current,SYN-XXXX-0043,2022-09-18,Active,true
ACCT-000044,PERSON-000342,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0044,2022-03-14,Active,true
ACCT-000045,PERSON-000144,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0045,2022-08-01,Active,true
ACCT-000046,PERSON-000144,Synthetic Bank B,Digital Wallet,SYN-XXXX-0046,2022-05-11,Active,true
ACCT-000047,PERSON-000302,Synthetic Bank A,Digital Wallet,SYN-XXXX-0047,2022-11-12,Dormant,true
ACCT-000048,PERSON-001880,Synthetic Bank B,Digital Wallet,SYN-XXXX-0048,2023-05-29,Active,true
ACCT-000049,PERSON-000001,Synthetic Bank A,Savings,SYN-XXXX-0049,2022-04-01,Active,true
ACCT-000050,PERSON-002122,Synthetic Bank B,Savings,SYN-XXXX-0050,2023-01-06,Dormant,true
ACCT-000051,PERSON-001830,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0051,2022-04-28,Dormant,true
ACCT-000052,PERSON-001830,Synthetic Bank A,Current,SYN-XXXX-0052,2022-12-14,Active,true
ACCT-000053,PERSON-000648,Synthetic Cooperative Bank,Current,SYN-XXXX-0053,2022-11-08,Active,true
ACCT-000054,PERSON-001536,Synthetic Bank C,Current,SYN-XXXX-0054,2022-09-26,Dormant,true
ACCT-000055,PERSON-000647,Synthetic Bank B,Savings,SYN-XXXX-0055,2022-07-29,Dormant,true
ACCT-000056,PERSON-001788,Synthetic Cooperative Bank,Current,SYN-XXXX-0056,2022-08-19,Dormant,true
ACCT-000057,PERSON-000259,Synthetic Cooperative Bank,Current,SYN-XXXX-0057,2023-11-06,Dormant,true
ACCT-000058,PERSON-000898,Synthetic Bank C,Current,SYN-XXXX-0058,2023-05-21,Dormant,true
ACCT-000059,PERSON-000895,Synthetic Bank B,Digital Wallet,SYN-XXXX-0059,2023-03-28,Dormant,true
ACCT-000060,PERSON-000568,Synthetic Bank A,Savings,SYN-XXXX-0060,2022-11-22,Active,true
ACCT-000061,PERSON-001318,Synthetic Bank B,Savings,SYN-XXXX-0061,2023-04-03,Active,true
ACCT-000062,PERSON-000106,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0062,2023-01-25,Active,true
ACCT-000063,PERSON-001880,Synthetic Cooperative Bank,Savings,SYN-XXXX-0063,2023-08-08,Active,true
ACCT-000064,PERSON-001880,Synthetic Digital Bank,Current,SYN-XXXX-0064,2023-01-08,Dormant,true
ACCT-000065,PERSON-002737,Synthetic Bank B,Current,SYN-XXXX-0065,2021-12-27,Dormant,true
ACCT-000066,PERSON-002737,Synthetic Bank B,Current,SYN-XXXX-0066,2022-10-24,Active,true
ACCT-000067,PERSON-000682,Synthetic Digital Bank,Current,SYN-XXXX-0067,2022-09-06,Dormant,true
ACCT-000068,PERSON-000473,Synthetic Bank B,Digital Wallet,SYN-XXXX-0068,2022-09-08,Active,true
ACCT-000069,PERSON-000042,Synthetic Cooperative Bank,Savings,SYN-XXXX-0069,2022-04-14,Active,true
ACCT-000070,PERSON-001807,Synthetic Bank C,Digital Wallet,SYN-XXXX-0070,2022-11-16,Active,true
ACCT-000071,PERSON-000165,Synthetic Bank C,Savings,SYN-XXXX-0071,2022-05-08,Dormant,true
ACCT-000072,PERSON-000275,Synthetic Bank C,Savings,SYN-XXXX-0072,2022-11-22,Active,true
ACCT-000073,PERSON-001481,Synthetic Bank A,Current,SYN-XXXX-0073,2022-10-19,Dormant,true
ACCT-000074,PERSON-002068,Synthetic Bank B,Savings,SYN-XXXX-0074,2022-06-04,Active,true
ACCT-000075,PERSON-000032,Synthetic Cooperative Bank,Current,SYN-XXXX-0075,2022-06-15,Dormant,true
ACCT-000076,PERSON-000032,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0076,2022-02-02,Active,true
ACCT-000077,PERSON-002821,Synthetic Bank A,Savings,SYN-XXXX-0077,2022-03-23,Active,true
ACCT-000078,PERSON-002821,Synthetic Bank C,Current,SYN-XXXX-0078,2022-09-03,Active,true
ACCT-000079,PERSON-001474,Synthetic Bank C,Current,SYN-XXXX-0079,2022-01-29,Active,true
ACCT-000080,PERSON-001474,Synthetic Digital Bank,Current,SYN-XXXX-0080,2023-01-14,Active,true
ACCT-000081,PERSON-001115,Synthetic Cooperative Bank,Savings,SYN-XXXX-0081,2023-05-19,Active,true
ACCT-000082,PERSON-001610,Synthetic Bank C,Current,SYN-XXXX-0082,2022-07-12,Active,true
ACCT-000083,PERSON-000267,Synthetic Bank C,Current,SYN-XXXX-0083,2022-11-11,Active,true
ACCT-000084,PERSON-000792,Synthetic Digital Bank,Current,SYN-XXXX-0084,2023-03-24,Active,true
ACCT-000085,PERSON-000106,Synthetic Bank A,Digital Wallet,SYN-XXXX-0085,2022-08-27,Active,true
ACCT-000086,PERSON-002900,Synthetic Cooperative Bank,Current,SYN-XXXX-0086,2022-04-19,Active,true
ACCT-000087,PERSON-002618,Synthetic Bank B,Savings,SYN-XXXX-0087,2023-04-19,Active,true
ACCT-000088,PERSON-002639,Synthetic Digital Bank,Savings,SYN-XXXX-0088,2022-07-15,Active,true
ACCT-000089,PERSON-002839,Synthetic Bank B,Digital Wallet,SYN-XXXX-0089,2023-01-13,Dormant,true
ACCT-000090,PERSON-000274,Synthetic Bank C,Current,SYN-XXXX-0090,2021-11-09,Active,true
ACCT-000091,PERSON-001610,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0091,2023-02-15,Dormant,true
ACCT-000092,PERSON-002368,Synthetic Bank A,Current,SYN-XXXX-0092,2023-02-15,Active,true
ACCT-000093,PERSON-001705,Synthetic Digital Bank,Savings,SYN-XXXX-0093,2022-01-08,Dormant,true
ACCT-000094,PERSON-000911,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0094,2021-12-26,Dormant,true
ACCT-000095,PERSON-000232,Synthetic Bank C,Current,SYN-XXXX-0095,2022-09-22,Dormant,true
ACCT-000096,PERSON-001691,Synthetic Digital Bank,Current,SYN-XXXX-0096,2023-02-24,Dormant,true
ACCT-000097,PERSON-000842,Synthetic Bank A,Digital Wallet,SYN-XXXX-0097,2022-05-24,Active,true
ACCT-000098,PERSON-001012,Synthetic Digital Bank,Current,SYN-XXXX-0098,2022-04-29,Active,true
ACCT-000099,PERSON-000175,Synthetic Bank C,Digital Wallet,SYN-XXXX-0099,2023-03-22,Dormant,true
ACCT-000100,PERSON-001782,Synthetic Bank A,Current,SYN-XXXX-0100,2022-08-11,Active,true
ACCT-000101,PERSON-002256,Synthetic Bank C,Current,SYN-XXXX-0101,2023-01-09,Dormant,true
ACCT-000102,PERSON-001206,Synthetic Bank A,Current,SYN-XXXX-0102,2022-04-08,Active,true
ACCT-000103,PERSON-002788,Synthetic Bank C,Current,SYN-XXXX-0103,2022-04-10,Dormant,true
ACCT-000104,PERSON-002788,Synthetic Bank B,Current,SYN-XXXX-0104,2022-03-17,Active,true
ACCT-000105,PERSON-000710,Synthetic Cooperative Bank,Savings,SYN-XXXX-0105,2022-12-10,Active,true
ACCT-000106,PERSON-000072,Synthetic Bank B,Digital Wallet,SYN-XXXX-0106,2022-11-30,Dormant,true
ACCT-000107,PERSON-001769,Synthetic Bank C,Savings,SYN-XXXX-0107,2022-04-19,Active,true
ACCT-000108,PERSON-002106,Synthetic Bank C,Current,SYN-XXXX-0108,2022-10-29,Active,true
ACCT-000109,PERSON-001803,Synthetic Bank A,Savings,SYN-XXXX-0109,2023-02-25,Active,true
ACCT-000110,PERSON-002197,Synthetic Bank B,Digital Wallet,SYN-XXXX-0110,2022-06-12,Active,true
ACCT-000111,PERSON-002965,Synthetic Digital Bank,Savings,SYN-XXXX-0111,2022-08-30,Active,true
ACCT-000112,PERSON-000703,Synthetic Digital Bank,Current,SYN-XXXX-0112,2023-03-27,Active,true
ACCT-000113,PERSON-000703,Synthetic Bank A,Savings,SYN-XXXX-0113,2023-03-15,Dormant,true
ACCT-000114,PERSON-001492,Synthetic Bank B,Savings,SYN-XXXX-0114,2023-01-09,Active,true
ACCT-000115,PERSON-001492,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0115,2023-01-03,Active,true
ACCT-000116,PERSON-001544,Synthetic Bank A,Current,SYN-XXXX-0116,2023-02-25,Active,true
ACCT-000117,PERSON-001544,Synthetic Digital Bank,Current,SYN-XXXX-0117,2022-12-20,Active,true
ACCT-000118,PERSON-001898,Synthetic Cooperative Bank,Savings,SYN-XXXX-0118,2023-07-27,Dormant,true
ACCT-000119,PERSON-000621,Synthetic Bank C,Digital Wallet,SYN-XXXX-0119,2022-05-27,Dormant,true
ACCT-000120,PERSON-000621,Synthetic Bank B,Current,SYN-XXXX-0120,2023-04-13,Dormant,true
ACCT-000121,PERSON-000083,Synthetic Digital Bank,Current,SYN-XXXX-0121,2023-01-16,Active,true
ACCT-000122,PERSON-001543,Synthetic Bank C,Digital Wallet,SYN-XXXX-0122,2023-02-05,Active,true
ACCT-000123,PERSON-001543,Synthetic Bank B,Digital Wallet,SYN-XXXX-0123,2022-06-13,Active,true
ACCT-000124,PERSON-001873,Synthetic Cooperative Bank,Savings,SYN-XXXX-0124,2023-03-07,Dormant,true
ACCT-000125,PERSON-002745,Synthetic Cooperative Bank,Current,SYN-XXXX-0125,2023-05-04,Active,true
ACCT-000126,PERSON-001205,Synthetic Bank C,Current,SYN-XXXX-0126,2022-06-16,Active,true
ACCT-000127,PERSON-000260,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0127,2022-03-24,Dormant,true
ACCT-000128,PERSON-000260,Synthetic Bank A,Digital Wallet,SYN-XXXX-0128,2022-07-30,Active,true
ACCT-000129,PERSON-000499,Synthetic Bank C,Digital Wallet,SYN-XXXX-0129,2022-05-24,Dormant,true
ACCT-000130,PERSON-001780,Synthetic Bank B,Digital Wallet,SYN-XXXX-0130,2023-01-26,Active,true
ACCT-000131,PERSON-002397,Synthetic Cooperative Bank,Savings,SYN-XXXX-0131,2022-10-18,Dormant,true
ACCT-000132,PERSON-002646,Synthetic Digital Bank,Current,SYN-XXXX-0132,2022-10-03,Dormant,true
ACCT-000133,PERSON-001747,Synthetic Bank B,Current,SYN-XXXX-0133,2022-06-25,Active,true
ACCT-000134,PERSON-002846,Synthetic Bank A,Savings,SYN-XXXX-0134,2022-07-21,Active,true
ACCT-000135,PERSON-002846,Synthetic Bank B,Current,SYN-XXXX-0135,2022-07-12,Active,true
ACCT-000136,PERSON-000374,Synthetic Bank B,Savings,SYN-XXXX-0136,2022-05-14,Active,true
ACCT-000137,PERSON-002304,Synthetic Digital Bank,Savings,SYN-XXXX-0137,2021-12-20,Active,true
ACCT-000138,PERSON-002304,Synthetic Bank B,Savings,SYN-XXXX-0138,2022-12-28,Active,true
ACCT-000139,PERSON-001691,Synthetic Bank B,Digital Wallet,SYN-XXXX-0139,2022-11-09,Active,true
ACCT-000140,PERSON-001847,Synthetic Bank A,Savings,SYN-XXXX-0140,2022-12-15,Active,true
ACCT-000141,PERSON-000260,Synthetic Bank C,Digital Wallet,SYN-XXXX-0141,2023-02-25,Dormant,true
ACCT-000142,PERSON-000499,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0142,2023-01-05,Active,true
ACCT-000143,PERSON-000943,Synthetic Cooperative Bank,Current,SYN-XXXX-0143,2023-09-25,Dormant,true
ACCT-000144,PERSON-000943,Synthetic Bank B,Current,SYN-XXXX-0144,2022-09-12,Active,true
ACCT-000145,PERSON-001747,Synthetic Cooperative Bank,Savings,SYN-XXXX-0145,2023-04-01,Active,true
ACCT-000146,PERSON-001479,Synthetic Bank C,Savings,SYN-XXXX-0146,2022-12-18,Dormant,true
ACCT-000147,PERSON-002846,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0147,2023-08-09,Active,true
ACCT-000148,PERSON-000374,Synthetic Bank B,Digital Wallet,SYN-XXXX-0148,2022-10-24,Active,true
ACCT-000149,PERSON-000374,Synthetic Bank B,Current,SYN-XXXX-0149,2022-08-25,Dormant,true
ACCT-000150,PERSON-001578,Synthetic Cooperative Bank,Savings,SYN-XXXX-0150,2022-08-02,Dormant,true
ACCT-000151,PERSON-001578,Synthetic Bank C,Digital Wallet,SYN-XXXX-0151,2022-09-20,Active,true
ACCT-000152,PERSON-002393,Synthetic Digital Bank,Current,SYN-XXXX-0152,2023-08-26,Active,true
ACCT-000153,PERSON-002393,Synthetic Bank B,Savings,SYN-XXXX-0153,2022-11-28,Active,true
ACCT-000154,PERSON-000842,Synthetic Bank A,Savings,SYN-XXXX-0154,2022-11-13,Active,true
ACCT-000155,PERSON-002954,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0155,2022-03-30,Dormant,true
ACCT-000156,PERSON-002954,Synthetic Cooperative Bank,Current,SYN-XXXX-0156,2021-12-21,Active,true
ACCT-000157,PERSON-000710,Synthetic Bank B,Current,SYN-XXXX-0157,2022-04-15,Active,true
ACCT-000158,PERSON-001769,Synthetic Bank A,Savings,SYN-XXXX-0158,2022-03-22,Active,true
ACCT-000159,PERSON-000238,Synthetic Cooperative Bank,Current,SYN-XXXX-0159,2023-08-10,Dormant,true
ACCT-000160,PERSON-002343,Synthetic Cooperative Bank,Savings,SYN-XXXX-0160,2023-02-14,Dormant,true
ACCT-000161,PERSON-001007,Synthetic Bank B,Current,SYN-XXXX-0161,2023-02-28,Active,true
ACCT-000162,PERSON-001331,Synthetic Cooperative Bank,Savings,SYN-XXXX-0162,2023-02-20,Active,true
ACCT-000163,PERSON-001331,Synthetic Bank C,Digital Wallet,SYN-XXXX-0163,2023-01-29,Active,true
ACCT-000164,PERSON-001642,Synthetic Bank C,Savings,SYN-XXXX-0164,2023-08-22,Active,true
ACCT-000165,PERSON-001642,Synthetic Bank A,Current,SYN-XXXX-0165,2023-09-16,Active,true
ACCT-000166,PERSON-000524,Synthetic Bank A,Savings,SYN-XXXX-0166,2023-06-17,Active,true
ACCT-000167,PERSON-001547,Synthetic Digital Bank,Savings,SYN-XXXX-0167,2023-07-29,Active,true
ACCT-000168,PERSON-000081,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0168,2021-12-16,Active,true
ACCT-000169,PERSON-001259,Synthetic Bank C,Current,SYN-XXXX-0169,2022-10-09,Active,true
ACCT-000170,PERSON-000850,Synthetic Bank A,Digital Wallet,SYN-XXXX-0170,2022-08-09,Active,true
ACCT-000171,PERSON-000850,Synthetic Bank C,Savings,SYN-XXXX-0171,2022-12-24,Active,true
ACCT-000172,PERSON-001861,Synthetic Bank A,Current,SYN-XXXX-0172,2022-02-10,Dormant,true
ACCT-000173,PERSON-002574,Synthetic Digital Bank,Savings,SYN-XXXX-0173,2022-03-16,Active,true
ACCT-000174,PERSON-002574,Synthetic Cooperative Bank,Savings,SYN-XXXX-0174,2022-06-14,Dormant,true
ACCT-000175,PERSON-000863,Synthetic Bank C,Savings,SYN-XXXX-0175,2021-09-21,Active,true
ACCT-000176,PERSON-000063,Synthetic Bank A,Current,SYN-XXXX-0176,2022-03-22,Dormant,true
ACCT-000177,PERSON-000927,Synthetic Bank B,Digital Wallet,SYN-XXXX-0177,2022-12-26,Dormant,true
ACCT-000178,PERSON-001589,Synthetic Cooperative Bank,Savings,SYN-XXXX-0178,2022-04-13,Dormant,true
ACCT-000179,PERSON-000863,Synthetic Bank A,Savings,SYN-XXXX-0179,2022-06-30,Active,true
ACCT-000180,PERSON-000081,Synthetic Bank C,Current,SYN-XXXX-0180,2023-05-31,Active,true
ACCT-000181,PERSON-000845,Synthetic Digital Bank,Current,SYN-XXXX-0181,2022-08-10,Active,true
ACCT-000182,PERSON-002020,Synthetic Cooperative Bank,Savings,SYN-XXXX-0182,2023-04-26,Active,true
ACCT-000183,PERSON-002517,Synthetic Bank C,Savings,SYN-XXXX-0183,2023-04-06,Active,true
ACCT-000184,PERSON-002517,Synthetic Bank C,Savings,SYN-XXXX-0184,2022-07-19,Active,true
ACCT-000185,PERSON-000062,Synthetic Bank C,Savings,SYN-XXXX-0185,2023-04-07,Active,true
ACCT-000186,PERSON-000921,Synthetic Bank C,Savings,SYN-XXXX-0186,2022-10-17,Active,true
ACCT-000187,PERSON-000357,Synthetic Bank C,Savings,SYN-XXXX-0187,2023-08-05,Active,true
ACCT-000188,PERSON-000682,Synthetic Cooperative Bank,Savings,SYN-XXXX-0188,2022-08-05,Active,true
ACCT-000189,PERSON-002737,Synthetic Bank A,Current,SYN-XXXX-0189,2023-05-30,Active,true
ACCT-000190,PERSON-000473,Synthetic Cooperative Bank,Current,SYN-XXXX-0190,2023-05-22,Active,true
ACCT-000191,PERSON-000042,Synthetic Digital Bank,Savings,SYN-XXXX-0191,2022-11-04,Active,true
ACCT-000192,PERSON-002068,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0192,2023-03-04,Active,true
ACCT-000193,PERSON-000165,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0193,2022-07-17,Active,true
ACCT-000194,PERSON-000165,Synthetic Bank C,Savings,SYN-XXXX-0194,2022-08-22,Active,true
ACCT-000195,PERSON-001481,Synthetic Cooperative Bank,Current,SYN-XXXX-0195,2023-10-09,Dormant,true
ACCT-000196,PERSON-001481,Synthetic Bank C,Current,SYN-XXXX-0196,2023-05-17,Active,true
ACCT-000197,PERSON-000275,Synthetic Bank A,Savings,SYN-XXXX-0197,2023-07-10,Dormant,true
ACCT-000198,PERSON-000032,Synthetic Bank B,Digital Wallet,SYN-XXXX-0198,2022-11-08,Active,true
ACCT-000199,PERSON-000703,Synthetic Bank C,Current,SYN-XXXX-0199,2023-08-24,Active,true
ACCT-000200,PERSON-001558,Synthetic Bank C,Current,SYN-XXXX-0200,2022-03-30,Active,true
ACCT-000201,PERSON-001474,Synthetic Bank C,Savings,SYN-XXXX-0201,2022-08-17,Active,true
ACCT-000202,PERSON-001474,Synthetic Bank C,Digital Wallet,SYN-XXXX-0202,2022-11-14,Dormant,true
ACCT-000203,PERSON-002900,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0203,2022-04-25,Active,true
ACCT-000204,PERSON-002900,Synthetic Cooperative Bank,Current,SYN-XXXX-0204,2022-05-13,Active,true
ACCT-000205,PERSON-001115,Synthetic Bank A,Savings,SYN-XXXX-0205,2022-06-04,Active,true
ACCT-000206,PERSON-001610,Synthetic Digital Bank,Current,SYN-XXXX-0206,2022-07-24,Active,true
ACCT-000207,PERSON-000792,Synthetic Bank C,Digital Wallet,SYN-XXXX-0207,2022-10-15,Dormant,true
ACCT-000208,PERSON-002060,Synthetic Bank A,Savings,SYN-XXXX-0208,2022-05-24,Active,true
ACCT-000209,PERSON-002618,Synthetic Bank B,Digital Wallet,SYN-XXXX-0209,2022-06-19,Dormant,true
ACCT-000210,PERSON-001757,Synthetic Bank A,Digital Wallet,SYN-XXXX-0210,2022-04-15,Active,true
ACCT-000211,PERSON-001757,Synthetic Bank A,Digital Wallet,SYN-XXXX-0211,2021-12-04,Dormant,true
ACCT-000212,PERSON-002277,Synthetic Bank B,Digital Wallet,SYN-XXXX-0212,2021-12-21,Active,true
ACCT-000213,PERSON-000449,Synthetic Bank B,Digital Wallet,SYN-XXXX-0213,2023-03-15,Active,true
ACCT-000214,PERSON-001617,Synthetic Bank A,Current,SYN-XXXX-0214,2022-02-25,Active,true
ACCT-000215,PERSON-001194,Synthetic Cooperative Bank,Savings,SYN-XXXX-0215,2022-07-11,Dormant,true
ACCT-000216,PERSON-000341,Synthetic Cooperative Bank,Current,SYN-XXXX-0216,2022-04-01,Dormant,true
ACCT-000217,PERSON-002930,Synthetic Bank B,Current,SYN-XXXX-0217,2022-08-04,Dormant,true
ACCT-000218,PERSON-000009,Synthetic Bank B,Savings,SYN-XXXX-0218,2022-04-17,Dormant,true
ACCT-000219,PERSON-001899,Synthetic Cooperative Bank,Current,SYN-XXXX-0219,2022-09-29,Active,true
ACCT-000220,PERSON-000106,Synthetic Bank B,Digital Wallet,SYN-XXXX-0220,2023-02-08,Active,true
ACCT-000221,PERSON-002633,Synthetic Bank B,Savings,SYN-XXXX-0221,2023-02-05,Dormant,true
ACCT-000222,PERSON-002246,Synthetic Cooperative Bank,Current,SYN-XXXX-0222,2023-01-21,Active,true
ACCT-000223,PERSON-000538,Synthetic Bank B,Current,SYN-XXXX-0223,2023-01-06,Active,true
ACCT-000224,PERSON-000120,Synthetic Digital Bank,Savings,SYN-XXXX-0224,2022-12-29,Dormant,true
ACCT-000225,PERSON-000921,Synthetic Bank C,Digital Wallet,SYN-XXXX-0225,2022-06-17,Dormant,true
ACCT-000226,PERSON-000863,Synthetic Digital Bank,Current,SYN-XXXX-0226,2023-02-06,Active,true
ACCT-000227,PERSON-000863,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0227,2022-11-03,Dormant,true
ACCT-000228,PERSON-000895,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0228,2022-01-18,Active,true
ACCT-000229,PERSON-002999,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0229,2022-07-02,Active,true
ACCT-000230,PERSON-001210,Synthetic Digital Bank,Savings,SYN-XXXX-0230,2023-04-28,Active,true
ACCT-000231,PERSON-001558,Synthetic Digital Bank,Savings,SYN-XXXX-0231,2022-08-10,Dormant,true
ACCT-000232,PERSON-000351,Synthetic Bank C,Digital Wallet,SYN-XXXX-0232,2022-08-10,Dormant,true
ACCT-000233,PERSON-000351,Synthetic Bank B,Current,SYN-XXXX-0233,2023-03-19,Dormant,true
ACCT-000234,PERSON-002750,Synthetic Bank A,Savings,SYN-XXXX-0234,2023-10-27,Active,true
ACCT-000235,PERSON-001041,Synthetic Bank A,Savings,SYN-XXXX-0235,2023-09-05,Dormant,true
ACCT-000236,PERSON-001041,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0236,2023-11-06,Active,true
ACCT-000237,PERSON-001589,Synthetic Bank C,Digital Wallet,SYN-XXXX-0237,2023-09-06,Active,true
ACCT-000238,PERSON-001670,Synthetic Cooperative Bank,Savings,SYN-XXXX-0238,2022-08-26,Active,true
ACCT-000239,PERSON-002517,Synthetic Bank A,Savings,SYN-XXXX-0239,2022-01-08,Dormant,true
ACCT-000240,PERSON-002132,Synthetic Bank B,Digital Wallet,SYN-XXXX-0240,2023-04-01,Dormant,true
ACCT-000241,PERSON-000621,Synthetic Bank A,Digital Wallet,SYN-XXXX-0241,2022-09-13,Dormant,true
ACCT-000242,PERSON-002745,Synthetic Bank A,Digital Wallet,SYN-XXXX-0242,2022-04-17,Active,true
ACCT-000243,PERSON-002745,Synthetic Bank C,Digital Wallet,SYN-XXXX-0243,2022-09-17,Active,true
ACCT-000244,PERSON-002999,Synthetic Digital Bank,Current,SYN-XXXX-0244,2023-01-21,Dormant,true
ACCT-000245,PERSON-001205,Synthetic Bank C,Digital Wallet,SYN-XXXX-0245,2022-08-16,Active,true
