Sl. No.,Crime Head,Cases Pending Investigation from Previous Year - ( Col.3),Cases Reported during the year - ( Col.4),Cases Reopened for Investigation - ( Col.5),Total Cases for Investigation (Col.3+Col.4+Col.5) - ( Col.6),Cases Not Investigated Under 157_1_b CRPC - ( Col.7),Cases Transferred to Other State or Agency - ( Col.8),Cases Withdrawn by the Govt during Investigation - ( Col.9),Final Report - Cases Ended as FR Non Cognizable - ( Col.10),Final Report - Cases Ended as Final Report False - ( Col.11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - ( Col.12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - ( Col.13),Final Report - Cases Abated during Investigation - ( Col.14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - ( Col.15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - ( Col.16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - ( Col.17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - ( Col.18),Total Cases Disposed Off by Police (Col.7+8+15+18) - ( Col.19),Cases Quashed at Investigation Stage - ( Col.20),Cases Stayed at Investigation Stage - ( Col.21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - ( Col.22),Chargesheeting Rate (Col.18/19*100) - ( Col.23),Pendency Percentage (Col.22/6*100) - ( Col.24)
8.7,Kidnapping and Abduction of Women - Others,4985,8214,29,13228,0,4,0,1,1616,1526,997,9,4149,1054,2525,3579,7732,3,0,5493,46.3,41.5
9,Human Trafficking,636,1211,1,1848,0,1,0,0,12,25,39,0,76,327,702,1029,1106,1,0,741,93,40.1
10,Selling of Minor Girls,37,11,0,48,0,0,0,0,0,1,0,0,1,15,8,23,24,0,0,24,95.8,50
11,Buying of Minor Girls,14,4,0,18,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,15,100,83.3
12,Rape,10703,29670,20,40393,0,93,1,26,3959,627,1308,13,5933,5639,18943,24582,30608,58,37,9726,80.3,24.1
12.1,Women,10120,28821,19,38960,0,92,1,26,3941,606,1272,12,5857,5483,18199,23682,29631,58,37,9270,79.9,23.8
12.2,Girls,583,849,1,1433,0,1,0,0,18,21,36,1,76,156,744,900,977,0,0,456,92.1,31.8
13,Attempt to Commit Rape,1423,2796,3,4222,0,1,0,4,631,82,141,2,860,568,1594,2162,3023,3,9,1196,71.5,28.3
13.1,Women,1247,2702,3,3952,0,1,0,4,622,79,130,2,837,534,1517,2051,2889,1,9,1062,71,26.9
13.2,Girls,176,94,0,270,0,0,0,0,9,3,11,0,23,34,77,111,134,2,0,134,82.8,49.6
14,Assault on Women with Intent to Outrage her Modesty,29490,83891,174,113555,2,70,0,135,6400,2185,3729,59,12508,16592,56254,72846,85426,96,65,28033,85.3,24.7
14.1,Women,28616,82544,173,111333,2,70,0,135,6336,2161,3538,59,12229,16130,55128,71258,83559,87,65,27687,85.3,24.9
14.2,Girls,874,1347,1,2222,0,0,0,0,64,24,191,0,279,462,1126,1588,1867,9,0,346,85.1,15.6
15,Insult to the Modesty of Women,5174,8823,0,13997,0,3,0,9,383,169,351,4,916,1960,5601,7561,8480,3,6,5514,89.2,39.4
15.1,Women,5142,8804,0,13946,0,3,0,9,382,166,350,4,911,1950,5586,7536,8450,3,6,5493,89.2,39.4
15.2,Girls,32,19,0,51,0,0,0,0,1,3,1,0,5,10,15,25,30,0,0,21,83.3,41.2
Total IPC Crimes against Women,Total IPC Crimes against Women,153153,360361,491,514005,4,305,1,498,33645,36226,22532,323,93224,66107,205143,271250,364783,710,261,148511,74.4,28.9
16,Dowry Prohibition Act,7774,15489,453,23716,2,49,0,40,341,572,1432,14,2399,3811,10082,13893,16343,11,45,7362,85,31
17,Immoral Traffic (Prevention) Act,1619,1788,0,3407,0,1,0,1,6,6,30,5,48,344,918,1262,1311,10,0,2086,96.3,61.2
17.1,"Procuring, inducing Children for the sake of prostitution",830,403,0,1233,0,0,0,1,0,1,5,0,7,165,218,383,390,10,0,833,98.2,67.6
17.2,Detaining a person in premises where prostitution is carried on,218,253,0,471,0,0,0,0,1,0,5,2,8,24,138,162,170,0,0,301,95.3,63.9
17.3,Prostitution in or in the vicinity of public places,93,213,0,306,0,0,0,0,1,0,4,0,5,29,140,169,174,0,0,132,97.1,43.1
17.4,Seducing or soliciting for purpose of prostitution,29,124,0,153,0,0,0,0,0,0,2,0,2,10,51,61,63,0,0,90,96.8,58.8
17.5,Other Sections under ITP Act,449,795,0,1244,0,1,0,0,4,5,14,3,26,116,371,487,514,0,0,730,94.7,58.7
18,Protection of Women from Domestic Violence Act,323,632,0,955,0,0,0,0,7,11,46,0,64,96,496,592,656,0,0,299,90.2,31.3
19,Cyber Crimes/Information Technology Act,3570,3678,1,7249,0,4,0,0,69,167,1143,0,1379,439,1388,1827,3210,3,1,4036,56.9,55.7
19.1,Publishing or Transmitting of Sexually Explicit Material,2377,2767,0,5144,0,4,0,0,62,127,817,0,1006,377,1121,1498,2508,2,1,2634,59.7,51.2
19.2,Other Women Centric Cyber Crimes,1193,911,1,2105,0,0,0,0,7,40,326,0,373,62,267,329,702,1,0,1402,46.9,66.6
20,Protection of Children from Sexual Offences Act,19486,66232,42,85760,2,275,1,5,1738,614,1060,31,3448,11229,50857,62086,65811,58,33,19890,94.3,23.2
20.1,POCSO Act Section 4 & 6,10505,40046,28,50579,2,237,1,1,816,217,469,24,1527,6598,31421,38019,39785,42,25,10751,95.6,21.3
20.2,POCSO Act Section 8 & 10,7032,22149,13,29194,0,26,0,3,738,279,518,6,1544,3855,16580,20435,22005,13,7,7176,92.9,24.6
20.3,POCSO Act Section 12,1242,2778,0,4020,0,10,0,1,113,61,42,0,217,529,1967,2496,2723,3,1,1294,91.7,32.2
20.4,POCSO Act Section 14 & 15,500,698,0,1198,0,2,0,0,15,40,8,1,64,187,468,655,721,0,0,477,90.8,39.8
20.5,"POCSO Act Section 17,18,19",185,513,1,699,0,0,0,0,55,16,22,0,93,47,390,437,530,0,0,169,82.5,24.2
20.6,POCSO Act r/w Section 377 IPC,22,48,0,70,0,0,0,0,1,1,1,0,3,13,31,44,47,0,0,23,93.6,32.9
21,Indecent Representation of Women (Prohibition) Act,36,31,0,67,0,0,0,0,2,2,1,0,5,14,13,27,32,0,0,35,84.4,52.2
Total SLL Crimes against Women,Total SLL Crimes against Women,32808,87850,496,121154,4,329,1,46,2163,1372,3712,50,7343,15933,63754,79687,87363,82,79,33708,91.2,27.8
Total Crime against Women,Total Crime against Women,185961,448211,987,635159,8,634,2,544,35808,37598,26244,373,100567,82040,268897,350937,452146,792,340,182219,77.6,28.7
