vehicle_id,registration_number,vehicle_type,owner_person_id,make_model,color,status,case_id,evidence_id
V00029,KA-79-R-2719,SUV,P00148,Bajaj Pulsar,Maroon,Active,C0009,nan
V00030,UP-11-X-7621,Car,P00154,Tata Nexon,White,Active,C0010,nan
V00031,MP-32-M-1880,Truck,P00168,Tata Nexon,Blue,Active,C0011,nan
V00032,DL-11-W-9679,Truck,P00171,Honda City,Green,Active,C0011,nan
V00033,TS-10-O-5182,SUV,P00173,Hyundai i20,Green,Active,C0011,nan
V00034,MP-83-X-9379,Truck,P00181,Mahindra XUV300,Maroon,Active,C0012,nan
V00035,UP-70-V-8051,Car,P00185,Toyota Glanza,Black,Active,C0012,E00130
V00036,HR-61-W-5246,Motorcycle,P00190,Toyota Glanza,Silver,Active,C0012,E00131
V00037,GJ-91-G-4865,Truck,P00193,Toyota Glanza,Silver,Active,C0013,nan
V00038,UP-24-D-2725,Van,P00153,Toyota Glanza,Blue,Active,C0014,nan
V00039,MP-21-N-8091,Truck,P00198,Mahindra XUV300,Maroon,Active,C0014,nan
V00040,MH-90-A-8128,Truck,P00199,Tata Nexon,White,Active,C0014,E00149
V00041,WB-08-A-2525,Car,P00201,Maruti Swift,White,Active,C0014,nan
V00042,TS-08-J-2848,SUV,P00203,Mahindra XUV300,Red,Active,C0014,E00150
V00043,TS-51-K-6457,Motorcycle,P00205,Honda City,Grey,Active,C0014,nan
V00044,TN-04-G-3202,Motorcycle,P00206,Tata Nexon,Maroon,Active,C0014,nan
V00045,TS-34-A-5977,Truck,P00211,Kia Sonet,White,Active,C0014,nan
V00046,MH-89-H-7531,Truck,P00215,Tata Nexon,Green,Active,C0014,E00151
V00047,MP-09-K-6625,Commercial Vehicle,P00219,Honda City,Blue,Active,C0015,nan
V00048,GJ-60-N-2214,Motorcycle,P00223,Tata Nexon,Green,Active,C0015,nan
V00049,KA-12-H-6831,Truck,P00226,Kia Sonet,Blue,Active,C0015,nan
V00050,KL-09-J-7646,Van,P00228,Toyota Glanza,Blue,Active,C0015,E00159
V00051,KA-42-Q-1547,Car,P00230,Honda City,Red,Active,C0015,E00160
V00052,GJ-54-W-6515,Van,P00234,Mahindra XUV300,Grey,Active,C0015,E00161
V00053,MH-14-O-4114,Motorcycle,P00239,Maruti Swift,Green,Inactive,C0016,E00178
V00054,DL-88-T-4543,Motorcycle,P00243,Hyundai i20,Silver,Active,C0016,nan
V00055,HR-98-P-1699,SUV,P00246,Tata Nexon,Green,Active,C0016,nan
V00056,MH-77-J-3444,Motorcycle,P00250,Maruti Swift,Silver,Active,C0016,nan
V00057,TN-56-M-6381,Van,P00257,Hyundai i20,Blue,Active,C0016,nan
V00058,RJ-17-D-5386,Motorcycle,P00275,Hyundai i20,Silver,Active,C0018,nan
V00059,MH-97-S-2161,Truck,P00281,Kia Sonet,Maroon,Active,C0018,nan
V00060,TS-95-S-1177,Commercial Vehicle,P00286,Maruti Swift,Black,Active,C0018,nan
V00061,KL-44-A-9750,Truck,P00288,Hyundai i20,White,Active,C0018,E00201
V00062,KL-45-Y-8927,Commercial Vehicle,P00296,Hyundai i20,Silver,Active,C0019,nan
V00063,TS-01-E-4974,Car,P00298,Toyota Glanza,Grey,Active,C0019,E00207
V00064,UP-89-J-2423,SUV,P00147,Maruti Swift,Red,Active,C0020,E00208
V00065,TS-15-F-6638,Car,P00302,Hyundai i20,Grey,Active,C0020,nan
V00066,TN-83-B-8320,Van,P00304,Tata Nexon,Black,Active,C0020,E00232
V00067,GJ-50-K-2739,Car,P00312,Bajaj Pulsar,Green,Active,C0020,E00233
V00068,TN-40-Y-2140,Van,P00313,Bajaj Pulsar,Black,Active,C0020,E00234
V00069,TN-20-U-6222,Commercial Vehicle,P00324,Maruti Swift,White,Inactive,C0020,nan
V00070,TN-62-L-7833,Commercial Vehicle,P00328,Bajaj Pulsar,Silver,Active,C0020,nan
V00071,MH-03-M-2435,Van,P00334,Kia Sonet,Black,Inactive,C0020,nan
V00072,RJ-68-L-5764,Commercial Vehicle,P00336,Honda City,White,Active,C0021,nan
V00073,WB-89-R-6209,Commercial Vehicle,P00338,Maruti Swift,Green,Active,C0021,nan
V00074,GJ-16-Q-9166,Car,P00339,Toyota Glanza,White,Active,C0021,E00242
V00075,MH-33-A-6176,Commercial Vehicle,P00343,Hyundai i20,Silver,Active,C0022,E00248
V00076,TN-66-Q-2973,Truck,P00066,Kia Sonet,Maroon,Active,C0023,nan
V00077,TN-37-C-8050,Commercial Vehicle,P00363,Honda City,Grey,Inactive,C0024,nan
V00078,MH-18-K-3532,Truck,P00364,Toyota Glanza,Blue,Active,C0024,nan
V00079,MH-22-N-6165,Van,P00366,Honda City,Grey,Inactive,C0024,E00268
V00080,TN-67-J-9661,Commercial Vehicle,P00367,Tata Nexon,Black,Active,C0024,E00269
V00081,GJ-49-R-4314,Motorcycle,P00369,Maruti Swift,Silver,Active,C0024,nan
V00082,WB-64-B-2129,Car,P00376,Toyota Glanza,Red,Active,C0025,nan
V00083,TS-93-H-5377,SUV,P00379,Honda City,Green,Active,C0025,E00281
V00084,WB-80-J-6210,Car,P00380,Maruti Swift,Blue,Inactive,C0025,nan
V00085,MH-85-V-2228,Van,P00382,Bajaj Pulsar,Grey,Active,C0025,nan
V00086,MH-49-Q-8225,SUV,P00281,Bajaj Pulsar,Green,Active,C0026,nan
V00087,TN-64-C-6697,Commercial Vehicle,P00399,Toyota Glanza,Black,Active,C0028,E00289
V00088,KA-91-U-3632,Van,P00404,Toyota Glanza,Silver,Active,C0029,nan
V00089,TN-83-G-4790,Commercial Vehicle,P00405,Hyundai i20,Silver,Active,C0029,nan
V00090,GJ-73-A-6106,Commercial Vehicle,P00410,Maruti Swift,Silver,Active,C0029,nan
V00091,TS-04-I-1445,Car,P00412,Honda City,White,Active,C0029,E00323
V00092,MP-90-J-2474,Commercial Vehicle,P00426,Kia Sonet,Black,Active,C0029,nan
V00093,MH-31-L-8937,SUV,P00431,Toyota Glanza,Red,Active,C0029,nan
V00094,MP-50-E-6297,Car,P00435,Honda City,Grey,Active,C0029,E00324
V00095,TN-93-V-7956,Truck,P00441,Mahindra XUV300,Red,Active,C0029,E00325
V00096,WB-04-A-1334,SUV,P00443,Mahindra XUV300,Maroon,Active,C0029,nan
V00097,DL-12-P-2590,Commercial Vehicle,P00447,Bajaj Pulsar,Red,Active,C0029,E00326
V00098,GJ-40-E-8759,Van,P00176,Toyota Glanza,Grey,Active,C0030,nan
V00099,DL-69-Y-1398,Car,P00466,Maruti Swift,Green,Active,C0031,nan
V00100,TN-91-K-7797,Commercial Vehicle,P00472,Kia Sonet,Red,Active,C0031,nan
V00101,DL-10-S-8818,Car,P00477,Kia Sonet,Grey,Active,C0031,nan
V00102,HR-05-A-6414,Van,P00478,Honda City,Blue,Active,C0031,nan
V00103,GJ-45-V-6360,Truck,P00479,Mahindra XUV300,Blue,Active,C0031,nan
V00104,MH-85-J-1883,SUV,P00485,Honda City,White,Active,C0031,nan
V00105,KL-59-V-6363,SUV,P00488,Mahindra XUV300,Red,Active,C0032,E00354
V00106,RJ-26-Y-8858,SUV,P00499,Hyundai i20,Grey,Active,C0035,nan
V00107,MH-41-U-8460,Car,P00503,Hyundai i20,Silver,Active,C0035,nan
V00108,MP-94-K-6801,Motorcycle,P00511,Hyundai i20,Grey,Active,C0035,nan
V00109,TS-77-J-6713,Motorcycle,P00520,Hyundai i20,Silver,Inactive,C0035,E00374
V00110,MH-55-X-3851,SUV,P00525,Bajaj Pulsar,Black,Active,C0036,nan
V00111,WB-63-O-5306,SUV,P00527,Kia Sonet,Grey,Active,C0036,nan
V00112,UP-12-G-6155,SUV,P00529,Honda City,Silver,Active,C0036,E00377
V00113,UP-52-U-6039,Car,P00535,Toyota Glanza,Red,Active,C0037,E00400
V00114,KA-14-H-1000,Motorcycle,P00547,Kia Sonet,Silver,Active,C0037,nan
V00115,MP-93-X-2295,Van,P00550,Tata Nexon,Maroon,Active,C0037,nan
V00116,DL-31-M-5440,Van,P00556,Hyundai i20,Blue,Active,C0038,nan
V00117,KA-15-E-2611,Commercial Vehicle,P00557,Bajaj Pulsar,Black,Active,C0038,E00419
V00118,TN-23-C-6994,Van,P00568,Tata Nexon,Green,Active,C0038,nan
V00119,GJ-87-F-7489,Van,P00569,Bajaj Pulsar,Maroon,Active,C0038,nan
V00120,MP-83-L-6670,Commercial Vehicle,P00574,Mahindra XUV300,Red,Active,C0039,E00425
V00121,KA-73-B-8519,Truck,P00579,Toyota Glanza,Maroon,Active,C0039,nan
V00122,RJ-05-G-5642,Commercial Vehicle,P00580,Kia Sonet,Silver,Active,C0039,nan
V00123,MH-32-X-4042,SUV,P00589,Kia Sonet,White,Active,C0040,E00433
V00124,MH-69-E-1135,Car,P00592,Toyota Glanza,Maroon,Active,C0040,nan
V00125,MH-62-N-7459,Truck,P00594,Mahindra XUV300,Silver,Inactive,C0040,nan
V00126,MP-59-G-8196,Car,P00532,Maruti Swift,Green,Active,C0041,E00434
V00127,MH-01-B-9814,Van,P00595,Tata Nexon,Maroon,Active,C0041,E00436
V00128,TN-15-N-8669,Car,P00164,Toyota Glanza,Maroon,Active,C0042,E00437
V00129,HR-66-H-3249,Commercial Vehicle,P00064,Bajaj Pulsar,Blue,Active,C0043,nan
V00130,GJ-06-G-4760,Van,P00223,Tata Nexon,Red,Active,C0045,E00450
V00131,MH-28-W-1199,Commercial Vehicle,P00629,Toyota Glanza,Green,Inactive,C0045,E00474
V00132,MP-16-J-2707,SUV,P00630,Kia Sonet,Silver,Active,C0045,nan
V00133,TS-41-D-2266,SUV,P00635,Hyundai i20,Grey,Active,C0045,nan
V00134,MH-63-N-3997,Car,P00638,Maruti Swift,Maroon,Active,C0045,E00475
V00135,WB-75-M-9595,Truck,P00643,Hyundai i20,Green,Active,C0046,nan
V00136,RJ-86-E-6309,Van,P00648,Toyota Glanza,Green,Active,C0046,nan
V00137,MP-45-O-8750,Motorcycle,P00652,Hyundai i20,Red,Inactive,C0046,E00493
V00138,TS-80-Q-5046,Motorcycle,P00655,Toyota Glanza,Maroon,Active,C0046,E00494
V00139,MH-23-Y-6038,Truck,P00656,Tata Nexon,White,Active,C0046,nan
V00140,WB-15-R-2454,Truck,P00657,Maruti Swift,White,Active,C0046,nan
V00141,KL-17-O-5906,SUV,P00241,Bajaj Pulsar,Maroon,Active,C0049,E00500
V00142,HR-76-N-9576,SUV,P00672,Toyota Glanza,Blue,Active,C0049,E00501
V00143,TN-09-H-5938,Commercial Vehicle,P00677,Honda City,Grey,Inactive,C0050,E00518
V00144,RJ-05-S-8283,Car,P00679,Hyundai i20,Blue,Active,C0050,nan
V00145,UP-05-V-2346,Car,P00680,Bajaj Pulsar,White,Active,C0050,nan
V00146,MH-77-P-7074,Car,P00683,Kia Sonet,Green,Active,C0050,E00519
V00147,WB-68-X-9197,Motorcycle,P00689,Honda City,Maroon,Active,C0050,nan
V00148,KA-99-K-6368,Motorcycle,P00285,Bajaj Pulsar,Blue,Active,C0051,E00520
V00149,GJ-83-K-7208,Van,P00697,Maruti Swift,Silver,Active,C0051,nan
V00150,KL-87-H-1613,Motorcycle,P00709,Honda City,Black,Active,C0052,nan
V00151,RJ-94-U-4083,SUV,P00711,Kia Sonet,Black,Active,C0052,nan
V00152,MH-56-Q-4958,Van,P00712,Toyota Glanza,Maroon,Active,C0052,nan
V00153,MH-66-M-5148,Truck,P00719,Mahindra XUV300,Black,Active,C0052,nan
V00154,HR-96-V-3293,Truck,P00725,Toyota Glanza,Blue,Active,C0052,E00541
V00155,KA-95-W-1080,Truck,P00738,Kia Sonet,Red,Active,C0054,nan
V00156,GJ-24-W-1289,Motorcycle,P00739,Mahindra XUV300,Maroon,Active,C0054,nan
V00157,KL-98-A-4960,Motorcycle,P00741,Hyundai i20,Green,Active,C0054,E00562
V00158,MH-59-Q-1340,Motorcycle,P00742,Maruti Swift,Blue,Active,C0054,E00563
V00159,KL-50-O-2653,Commercial Vehicle,P00753,Honda City,Maroon,Inactive,C0055,nan
V00160,MH-97-G-8253,Car,P00759,Mahindra XUV300,White,Active,C0056,nan
V00161,UP-66-B-6087,Car,P00760,Tata Nexon,Grey,Active,C0056,nan
V00162,DL-01-E-5191,Car,P00764,Hyundai i20,Green,Active,C0056,nan
V00163,MH-04-U-5783,Van,P00774,Hyundai i20,White,Inactive,C0057,E00604
V00164,KA-69-Z-1947,Commercial Vehicle,P00776,Bajaj Pulsar,Silver,Active,C0057,E00605
V00165,MH-94-I-7330,Car,P00795,Hyundai i20,Green,Active,C0057,E00606
V00166,TS-45-K-5779,Van,P00797,Mahindra XUV300,Grey,Active,C0057,nan
V00167,KA-08-G-4113,Van,P00801,Kia Sonet,Maroon,Active,C0057,E00607
V00168,KA-90-D-3957,Van,P00802,Bajaj Pulsar,Maroon,Active,C0057,E00608
V00169,UP-11-H-9870,Truck,P00803,Honda City,Maroon,Active,C0057,E00609
V00170,UP-99-J-8555,Truck,P00804,Bajaj Pulsar,White,Active,C0057,E00610
V00171,MP-42-E-8437,SUV,P00806,Toyota Glanza,Red,Active,C0058,nan
V00172,TN-01-H-5430,Van,P00815,Hyundai i20,Silver,Active,C0058,E00621
V00173,MP-84-W-3115,Car,P00819,Mahindra XUV300,Grey,Inactive,C0058,E00622
V00174,DL-96-L-7097,Commercial Vehicle,P00823,Tata Nexon,Red,Active,C0058,nan
V00175,MH-37-K-7541,Commercial Vehicle,P00825,Mahindra XUV300,Blue,Active,C0059,E00639
V00176,MH-66-Z-5569,Truck,P00835,Tata Nexon,Red,Active,C0059,nan
V00177,GJ-95-X-6413,Truck,P00850,Hyundai i20,White,Active,C0060,nan
V00178,UP-96-Z-9323,Van,P00853,Mahindra XUV300,Grey,Active,C0060,E00653
V00179,MP-18-Y-5891,Truck,P00854,Toyota Glanza,White,Inactive,C0060,nan
V00180,TN-13-D-4774,Motorcycle,P00855,Honda City,Black,Active,C0060,nan
V00181,MH-99-E-9838,Car,P00858,Mahindra XUV300,Red,Active,C0060,E00654
V00182,RJ-36-E-8197,Truck,P00863,Honda City,Grey,Active,C0060,E00655
V00183,MP-67-M-1835,SUV,P00869,Toyota Glanza,Silver,Active,C0060,E00656
V00184,UP-74-T-8521,Motorcycle,P00876,Honda City,Maroon,Active,C0061,E00667
V00185,WB-64-S-4668,Commercial Vehicle,P00881,Honda City,Red,Active,C0061,nan
V00186,UP-60-E-1017,Car,P00885,Mahindra XUV300,Blue,Active,C0061,nan
V00187,GJ-45-D-5538,SUV,P00886,Maruti Swift,Green,Active,C0061,nan
V00188,GJ-62-I-1992,Truck,P00891,Hyundai i20,Black,Active,C0061,E00668
V00189,TN-31-Q-7716,Truck,P00893,Toyota Glanza,Red,Active,C0062,E00706
V00190,RJ-42-T-1612,SUV,P00910,Kia Sonet,Grey,Active,C0062,nan
V00191,TS-99-Z-2501,Truck,P00923,Maruti Swift,Silver,Active,C0062,nan
V00192,MH-82-B-2654,Commercial Vehicle,P00931,Hyundai i20,Grey,Active,C0062,E00707
V00193,HR-84-D-4111,Commercial Vehicle,P00944,Kia Sonet,Green,Active,C0063,E00716
V00194,GJ-21-L-8471,Commercial Vehicle,P00948,Toyota Glanza,Black,Inactive,C0063,nan
V00195,TN-59-T-8216,Van,P00951,Mahindra XUV300,Green,Inactive,C0063,nan
V00196,TS-80-Q-7504,Commercial Vehicle,P00953,Honda City,White,Active,C0063,nan
V00197,MH-35-J-1986,Car,P00661,Mahindra XUV300,Grey,Active,C0065,E00720
V00198,GJ-27-P-8885,Car,P00965,Kia Sonet,Red,Inactive,C0065,nan
V00199,RJ-88-D-1486,Truck,P00970,Tata Nexon,Red,Active,C0066,E00741
V00200,UP-32-Y-4023,Car,P00984,Tata Nexon,White,Active,C0066,E00742
V00201,GJ-41-Y-4109,Van,P00991,Toyota Glanza,Green,Active,C0067,E00745
V00202,RJ-48-O-6838,Car,P00994,Bajaj Pulsar,Green,Inactive,C0067,nan
V00203,TN-40-L-7961,Car,P00995,Kia Sonet,Red,Active,C0068,E00764
V00204,TN-65-R-6146,Van,P00999,Bajaj Pulsar,Blue,Active,C0068,nan
V00205,KL-19-Q-1765,Commercial Vehicle,P01014,Kia Sonet,Red,Active,C0068,E00765
V00206,MP-83-L-6342,Commercial Vehicle,P01021,Tata Nexon,Blue,Active,C0068,E00766
V00207,GJ-38-S-3996,Car,P01024,Bajaj Pulsar,Blue,Active,C0069,nan
V00208,MH-10-N-3049,Car,P01029,Mahindra XUV300,Maroon,Active,C0069,E00771
V00209,UP-69-V-9378,Motorcycle,P00217,Hyundai i20,Green,Active,C0070,E00772
V00210,HR-24-Y-8335,Van,P01034,Kia Sonet,Red,Active,C0070,E00780
V00211,MH-36-L-5262,Commercial Vehicle,P01038,Bajaj Pulsar,Black,Active,C0070,nan
V00212,MH-68-O-7957,Truck,P01039,Honda City,Red,Active,C0070,E00781
V00213,UP-79-M-3460,Commercial Vehicle,P01044,Toyota Glanza,Blue,Active,C0071,E00783
V00214,MH-10-H-8384,Van,P01058,Kia Sonet,White,Active,C0072,nan
V00215,WB-01-L-1559,Van,P01064,Bajaj Pulsar,Maroon,Inactive,C0072,nan
V00216,MH-38-W-7727,Car,P01071,Maruti Swift,White,Active,C0072,E00801
V00217,MH-71-M-3657,Commercial Vehicle,P01076,Kia Sonet,Green,Active,C0073,nan
V00218,GJ-71-U-5814,Truck,P01078,Toyota Glanza,Blue,Inactive,C0073,E00839
V00219,KL-42-F-2433,Car,P01080,Bajaj Pulsar,Silver,Inactive,C0073,nan
V00220,KL-90-R-3434,Truck,P01091,Bajaj Pulsar,Silver,Inactive,C0073,nan
V00221,MH-96-Y-3033,Commercial Vehicle,P01098,Hyundai i20,Grey,Active,C0073,E00840
V00222,MP-81-I-5086,Truck,P01108,Maruti Swift,Red,Active,C0073,E00841
V00223,MH-99-Y-3286,Car,P01117,Toyota Glanza,Blue,Inactive,C0073,nan
V00224,GJ-38-Z-7420,Commercial Vehicle,P01119,Bajaj Pulsar,Grey,Active,C0073,nan
V00225,TS-85-H-6230,Commercial Vehicle,P01121,Hyundai i20,Green,Active,C0073,nan
V00226,UP-96-R-9879,Commercial Vehicle,P01134,Bajaj Pulsar,Green,Active,C0075,nan
V00227,MH-07-L-9552,Commercial Vehicle,P00787,Hyundai i20,Blue,Active,C0076,nan
V00228,GJ-83-T-8080,Truck,P01142,Toyota Glanza,White,Active,C0076,E00849
V00229,UP-25-O-5624,SUV,P01143,Mahindra XUV300,Maroon,Active,C0076,nan
V00230,MH-40-Q-6583,Motorcycle,P01145,Honda City,White,Active,C0076,E00850
V00231,TN-62-Q-3640,Car,P01147,Hyundai i20,Blue,Active,C0077,nan
V00232,MH-88-E-2953,Car,P01157,Hyundai i20,Black,Active,C0077,nan
V00233,TN-22-U-8127,Truck,P01170,Kia Sonet,Red,Inactive,C0077,nan
V00234,KA-41-D-9614,Car,P01174,Mahindra XUV300,Green,Active,C0077,nan
V00235,TS-79-X-2410,Truck,P01178,Toyota Glanza,Silver,Inactive,C0077,E00876
V00236,TN-80-L-4596,Van,P01185,Mahindra XUV300,Grey,Active,C0077,E00877
V00237,KA-68-Z-6022,Van,P01188,Maruti Swift,Green,Active,C0077,nan
V00238,UP-10-K-8416,Motorcycle,P01191,Toyota Glanza,Silver,Active,C0077,nan
V00239,MH-55-T-7978,Commercial Vehicle,P01199,Toyota Glanza,Grey,Active,C0078,E00882
V00240,UP-51-U-1727,Car,P01203,Bajaj Pulsar,Black,Active,C0079,E00890
V00241,HR-29-Q-6807,Car,P01223,Hyundai i20,Grey,Active,C0080,E00909
V00242,KA-46-T-4259,SUV,P01226,Hyundai i20,Blue,Active,C0080,nan
V00243,MH-49-L-8753,Van,P01238,Kia Sonet,Grey,Inactive,C0082,nan
V00244,GJ-61-B-5740,Motorcycle,P01244,Tata Nexon,Green,Active,C0084,nan
V00245,MP-27-V-8470,Commercial Vehicle,P01253,Hyundai i20,Black,Active,C0084,nan
V00246,GJ-12-S-2024,Car,P01280,Bajaj Pulsar,Black,Active,C0084,nan
V00247,MH-85-L-5852,Commercial Vehicle,P01284,Mahindra XUV300,Black,Active,C0084,nan
V00248,MH-17-X-8378,Motorcycle,P01286,Mahindra XUV300,Grey,Active,C0084,nan
V00249,HR-87-V-3704,Commercial Vehicle,P01287,Kia Sonet,White,Active,C0084,nan
V00250,MP-22-C-3510,Commercial Vehicle,P01303,Hyundai i20,Silver,Active,C0085,E00955
V00251,RJ-73-S-4357,Car,P01304,Honda City,Silver,Active,C0085,nan
V00252,GJ-76-J-3074,Van,P00059,Toyota Glanza,Silver,Active,C0086,nan
V00253,TN-34-J-6054,Commercial Vehicle,P01307,Honda City,Maroon,Inactive,C0086,E00969
V00254,GJ-28-D-1062,Van,P01314,Maruti Swift,Silver,Inactive,C0086,nan
V00255,WB-49-T-7188,Van,P01315,Hyundai i20,Silver,Active,C0086,nan
V00256,MH-47-C-9295,Car,P01317,Toyota Glanza,Black,Active,C0086,nan
V00257,GJ-31-H-6972,SUV,P01051,Tata Nexon,White,Active,C0088,E00979
V00258,MH-19-W-6250,Motorcycle,P01341,Hyundai i20,Red,Active,C0088,nan
V00259,MP-22-G-8713,Commercial Vehicle,P01354,Toyota Glanza,Maroon,Inactive,C0088,nan
V00260,GJ-92-X-7454,Car,P01360,Bajaj Pulsar,Silver,Inactive,C0089,nan
V00261,KA-79-G-1968,Car,P01367,Mahindra XUV300,Maroon,Active,C0089,nan
V00262,GJ-51-U-7818,Van,P01373,Maruti Swift,Grey,Active,C0089,nan
V00263,RJ-22-Y-7537,Commercial Vehicle,P01376,Honda City,Red,Active,C0090,E01003
V00264,UP-58-K-5718,Car,P01377,Toyota Glanza,Maroon,Active,C0091,E01009
V00265,MH-98-N-2959,SUV,P01378,Bajaj Pulsar,Maroon,Active,C0091,nan
V00266,GJ-73-X-8965,Motorcycle,P01380,Maruti Swift,Green,Active,C0091,E01010
V00267,TS-65-R-5664,Van,P01398,Kia Sonet,Silver,Active,C0092,E01036
V00268,WB-22-O-6557,Motorcycle,P01402,Mahindra XUV300,Green,Active,C0092,E01037
V00269,GJ-39-X-1480,Motorcycle,P01403,Hyundai i20,Green,Active,C0092,nan
V00270,KL-75-H-9993,Motorcycle,P01419,Honda City,Maroon,Active,C0092,E01038
V00271,MH-02-E-7374,Van,P01434,Kia Sonet,Silver,Active,C0093,nan
V00272,MH-79-C-6789,Truck,P01435,Bajaj Pulsar,Blue,Active,C0093,E01046
V00273,MP-15-A-5813,Van,P01443,Bajaj Pulsar,Maroon,Inactive,C0094,nan
V00274,UP-23-Q-8661,Van,P01445,Bajaj Pulsar,Blue,Active,C0094,nan
V00275,MH-06-D-2213,Car,P01447,Maruti Swift,Red,Active,C0094,nan
V00276,KL-57-V-7074,Motorcycle,P01448,Tata Nexon,White,Active,C0094,E01053
V00277,HR-10-B-3741,Motorcycle,P01453,Toyota Glanza,Green,Inactive,C0095,nan
V00278,TS-42-P-6240,Car,P01456,Kia Sonet,Red,Active,C0095,E01058
V00279,MH-15-F-4252,Car,P01458,Tata Nexon,Green,Active,C0096,nan
V00280,MH-82-E-8315,Truck,P01462,Kia Sonet,White,Active,C0096,E01076
V00281,WB-13-H-4311,Van,P01474,Hyundai i20,Maroon,Active,C0096,E01077
V00282,TN-49-U-1254,Car,P01483,Honda City,Grey,Active,C0096,nan
V00283,MH-99-E-7713,SUV,P00024,Kia Sonet,Maroon,Active,C0098,nan
V00284,TN-19-U-9600,SUV,P01497,Tata Nexon,Red,Active,C0101,nan
V00285,MH-04-G-2156,SUV,P01498,Maruti Swift,Maroon,Active,C0101,E01088
V00286,MP-40-L-1203,Commercial Vehicle,P00484,Honda City,Grey,Active,C0102,E01089
V00287,DL-65-F-6418,Commercial Vehicle,P01500,Toyota Glanza,Silver,Active,C0102,nan
V00288,WB-91-C-5835,Truck,P01505,Tata Nexon,White,Inactive,C0102,nan
V00289,TS-16-X-2422,Commercial Vehicle,P01523,Kia Sonet,Silver,Inactive,C0103,E01105
V00290,TN-80-B-2490,SUV,P01525,Hyundai i20,Maroon,Active,C0103,nan
V00291,MH-24-C-9244,Car,P00343,Tata Nexon,Black,Active,C0106,E01116
V00292,MH-63-A-2225,SUV,P01545,Kia Sonet,Blue,Active,C0106,E01127
V00293,GJ-37-T-8880,Commercial Vehicle,P01546,Tata Nexon,White,Inactive,C0106,E01128
V00294,HR-33-U-4063,SUV,P01561,Toyota Glanza,Blue,Active,C0106,E01129
V00295,TS-07-K-5484,SUV,P01563,Kia Sonet,White,Active,C0106,E01130
V00296,MH-47-Z-7251,Car,P01565,Mahindra XUV300,Blue,Active,C0106,E01131
V00297,TN-04-N-1918,Car,P01566,Honda City,Grey,Active,C0106,nan
V00298,MH-72-S-8209,Van,P00494,Hyundai i20,Grey,Active,C0107,E01132
V00299,HR-23-C-7971,Motorcycle,P01568,Kia Sonet,White,Active,C0107,E01135
V00300,WB-38-C-7399,Truck,P01572,Maruti Swift,White,Active,C0108,E01147
V00301,MH-34-Y-4193,Commercial Vehicle,P01574,Mahindra XUV300,Grey,Active,C0108,E01148
