cdr_id,caller_id,receiver_id,start_time,duration_seconds,call_type,location_id,case_id,evidence_id
CDR000023,PH00014,PH00018,2024-08-31T06:55:39,18,Incoming,L0309,C0002,E05766
CDR000024,PH00016,PH00010,2024-08-08T16:19:59,90,Outgoing,L0309,C0002,nan
CDR000025,PH00012,PH00011,2024-08-28T06:45:37,180,Outgoing,L0534,C0002,E05767
CDR000026,PH00007,PH00009,2024-08-28T13:04:45,90,Incoming,L0248,C0002,nan
CDR000027,PH00022,PH00009,2024-08-23T23:53:04,420,Incoming,L0309,C0002,nan
CDR000028,PH00009,PH00014,2024-08-12T08:22:31,310,Outgoing,L0534,C0002,nan
CDR000029,PH00021,PH00008,2024-08-17T12:14:43,47,Incoming,L0309,C0002,nan
CDR000030,PH00009,PH00021,2024-08-01T11:05:51,47,Incoming,L0309,C0002,nan
CDR000031,PH00017,PH00012,2024-07-31T17:20:49,18,Incoming,L0309,C0002,nan
CDR000032,PH00013,PH00009,2024-08-21T13:09:14,600,Incoming,L0534,C0002,nan
CDR000033,PH00023,PH00020,2024-08-18T10:39:04,240,Incoming,L0236,C0002,nan
CDR000034,PH00024,PH00010,2024-08-07T13:55:09,812,Incoming,L0248,C0002,nan
CDR000035,PH00018,PH00020,2024-08-12T05:38:45,90,Outgoing,L0236,C0002,nan
CDR000036,PH00021,PH00017,2024-08-28T07:06:15,25,Outgoing,L0248,C0002,nan
CDR000037,PH00011,PH00012,2024-08-23T14:08:17,900,Incoming,L0534,C0002,nan
CDR000038,PH00009,PH00012,2024-08-14T17:56:17,310,Incoming,L0534,C0002,nan
CDR000039,PH00007,PH00019,2024-08-08T18:04:26,63,Incoming,L0236,C0002,nan
CDR000040,PH00007,PH00017,2024-08-05T19:07:03,512,Incoming,L0236,C0002,nan
CDR000041,PH00017,PH00023,2024-08-03T21:14:50,900,Incoming,L0248,C0002,E05768
CDR000042,PH00007,PH00011,2024-08-22T15:44:18,600,Outgoing,L0236,C0002,nan
CDR000043,PH00021,PH00009,2024-08-26T11:15:31,310,Outgoing,L0534,C0002,nan
CDR000044,PH00016,PH00020,2024-07-31T07:31:18,310,Incoming,L0236,C0002,nan
CDR000045,PH00020,PH00007,2024-08-21T17:59:02,125,Outgoing,L0309,C0002,nan
CDR000046,PH00007,PH00014,2024-08-28T15:25:21,63,Incoming,L0236,C0002,nan
CDR000047,PH00007,PH00019,2024-07-30T10:01:52,180,Outgoing,L0309,C0002,nan
CDR000048,PH00018,PH00012,2024-08-02T09:43:28,720,Incoming,L0248,C0002,nan
CDR000049,PH00007,PH00017,2024-08-25T19:28:19,420,Outgoing,L0248,C0002,E05769
CDR000050,PH00023,PH00014,2024-08-10T05:50:31,512,Outgoing,L0248,C0002,nan
CDR000051,PH00023,PH00018,2024-08-12T07:14:59,310,Incoming,L0534,C0002,nan
CDR000052,PH00021,PH00023,2024-08-07T14:48:24,47,Outgoing,L0309,C0002,nan
CDR000053,PH00024,PH00018,2024-08-16T23:19:06,180,Incoming,L0534,C0002,nan
CDR000054,PH00023,PH00008,2024-08-20T14:49:36,32,Incoming,L0534,C0002,nan
CDR000055,PH00014,PH00009,2024-07-27T16:32:45,900,Incoming,L0309,C0002,nan
CDR000056,PH00013,PH00014,2024-08-04T09:51:20,720,Outgoing,L0534,C0002,nan
CDR000057,PH00019,PH00022,2024-08-07T22:22:47,240,Outgoing,L0248,C0002,E05770
CDR000058,PH00015,PH00007,2024-07-25T05:00:21,32,Outgoing,L0248,C0002,nan
CDR000059,PH00011,PH00017,2024-08-21T10:58:06,240,Incoming,L0309,C0002,E05771
CDR000060,PH00021,PH00015,2024-08-25T04:47:38,512,Outgoing,L0248,C0002,nan
CDR000061,PH00007,PH00019,2024-07-29T21:20:51,25,Incoming,L0236,C0002,nan
CDR000062,PH00023,PH00011,2024-08-19T22:02:42,18,Incoming,L0534,C0002,nan
CDR000063,PH00019,PH00009,2024-07-28T04:25:19,125,Incoming,L0309,C0002,E05772
CDR000064,PH00010,PH00018,2024-07-30T23:36:59,512,Incoming,L0309,C0002,nan
CDR000065,PH00035,PH00042,2024-04-15T03:55:20,720,Incoming,L0210,C0003,nan
CDR000066,PH00034,PH00041,2024-04-08T18:45:59,900,Incoming,L0506,C0003,nan
CDR000067,PH00029,PH00028,2024-11-10T13:48:41,240,Incoming,L0385,C0003,nan
CDR000068,PH00039,PH00043,2024-10-04T04:04:57,720,Incoming,L0210,C0003,nan
CDR000069,PH00042,PH00028,2024-08-28T01:36:15,32,Incoming,L0210,C0003,nan
CDR000070,PH00043,PH00033,2024-06-28T09:01:15,25,Incoming,L0506,C0003,E05786
CDR000071,PH00042,PH00035,2024-05-12T03:39:26,240,Outgoing,L0506,C0003,nan
CDR000072,PH00031,PH00039,2024-06-04T00:15:55,125,Incoming,L0506,C0003,nan
CDR000073,PH00027,PH00037,2024-09-27T16:32:30,125,Outgoing,L0385,C0003,nan
CDR000074,PH00036,PH00027,2024-12-03T21:04:58,63,Outgoing,L0371,C0003,nan
CDR000075,PH00042,PH00030,2024-04-25T12:10:06,720,Outgoing,L0371,C0003,nan
CDR000076,PH00031,PH00028,2024-11-23T10:05:44,18,Incoming,L0385,C0003,nan
CDR000077,PH00031,PH00026,2024-05-05T11:37:27,240,Incoming,L0385,C0003,nan
CDR000078,PH00041,PH00026,2024-08-28T15:01:04,63,Incoming,L0371,C0003,nan
CDR000079,PH00030,PH00034,2024-05-08T22:13:31,240,Outgoing,L0506,C0003,nan
CDR000080,PH00034,PH00041,2024-02-04T20:19:46,125,Incoming,L0371,C0003,nan
CDR000081,PH00025,PH00037,2024-03-17T11:17:16,812,Incoming,L0371,C0003,nan
CDR000082,PH00032,PH00033,2024-08-11T11:34:50,47,Outgoing,L0371,C0003,nan
CDR000083,PH00041,PH00026,2024-04-20T22:05:55,125,Outgoing,L0385,C0003,nan
CDR000084,PH00027,PH00026,2024-12-28T22:38:19,600,Incoming,L0210,C0003,nan
CDR000085,PH00043,PH00028,2024-05-19T02:05:28,47,Outgoing,L0371,C0003,nan
CDR000086,PH00040,PH00025,2024-07-18T08:33:23,90,Outgoing,L0385,C0003,nan
CDR000087,PH00030,PH00031,2024-05-14T00:17:14,25,Incoming,L0385,C0003,nan
CDR000088,PH00026,PH00041,2024-12-09T22:18:44,63,Incoming,L0385,C0003,nan
CDR000089,PH00037,PH00035,2024-07-30T10:19:54,63,Outgoing,L0371,C0003,nan
CDR000090,PH00032,PH00033,2024-12-04T13:56:02,310,Incoming,L0371,C0003,nan
CDR000091,PH00041,PH00040,2024-10-18T09:46:13,47,Outgoing,L0506,C0003,nan
CDR000092,PH00039,PH00036,2024-10-30T05:43:57,47,Outgoing,L0385,C0003,nan
CDR000093,PH00033,PH00038,2024-03-14T20:43:44,420,Incoming,L0371,C0003,nan
CDR000094,PH00037,PH00040,2024-05-26T20:29:04,25,Outgoing,L0371,C0003,nan
CDR000095,PH00028,PH00040,2024-07-18T02:07:49,310,Incoming,L0506,C0003,E05787
CDR000096,PH00043,PH00029,2024-05-26T14:19:05,125,Outgoing,L0506,C0003,nan
CDR000097,PH00034,PH00028,2024-12-05T02:16:19,310,Outgoing,L0506,C0003,nan
CDR000098,PH00043,PH00035,2024-11-17T17:09:45,63,Outgoing,L0210,C0003,nan
CDR000099,PH00035,PH00040,2024-11-15T19:03:52,32,Outgoing,L0371,C0003,nan
CDR000100,PH00044,PH00055,2024-04-29T08:58:45,32,Incoming,L0399,C0004,nan
CDR000101,PH00048,PH00053,2024-08-18T01:40:02,600,Incoming,L0038,C0004,nan
CDR000102,PH00053,PH00050,2024-06-26T08:53:26,600,Incoming,L0040,C0004,nan
CDR000103,PH00049,PH00051,2024-09-09T20:22:44,125,Outgoing,L0340,C0004,nan
CDR000104,PH00045,PH00054,2024-09-19T03:07:52,47,Outgoing,L0038,C0004,nan
CDR000105,PH00046,PH00051,2024-09-30T21:39:41,25,Incoming,L0038,C0004,E05799
CDR000106,PH00055,PH00050,2024-03-16T14:42:22,420,Outgoing,L0038,C0004,nan
CDR000107,PH00048,PH00053,2024-06-16T08:04:14,90,Outgoing,L0038,C0004,nan
CDR000108,PH00047,PH00045,2024-10-24T22:18:58,420,Outgoing,L0038,C0004,nan
CDR000109,PH00046,PH00051,2024-12-01T21:15:23,180,Outgoing,L0399,C0004,nan
CDR000110,PH00052,PH00054,2024-04-01T13:08:21,25,Outgoing,L0340,C0004,nan
CDR000111,PH00045,PH00053,2024-10-09T19:12:57,600,Incoming,L0340,C0004,nan
CDR000112,PH00046,PH00045,2024-04-21T03:11:12,32,Outgoing,L0040,C0004,nan
CDR000113,PH00053,PH00052,2024-08-19T23:10:54,900,Incoming,L0399,C0004,E05800
CDR000114,PH00054,PH00044,2024-04-09T19:31:34,125,Incoming,L0340,C0004,E05801
CDR000115,PH00045,PH00050,2024-04-23T09:53:51,47,Incoming,L0038,C0004,nan
CDR000116,PH00055,PH00046,2024-08-16T09:23:35,47,Outgoing,L0399,C0004,nan
CDR000117,PH00046,PH00047,2024-07-05T08:47:51,125,Incoming,L0399,C0004,nan
CDR000118,PH00047,PH00045,2024-02-10T06:40:38,420,Incoming,L0340,C0004,nan
CDR000119,PH00045,PH00049,2024-07-22T23:14:59,32,Incoming,L0040,C0004,nan
CDR000120,PH00050,PH00047,2024-03-23T15:11:02,240,Incoming,L0038,C0004,nan
CDR000121,PH00048,PH00055,2024-03-23T13:05:57,32,Outgoing,L0399,C0004,E05802
CDR000122,PH00044,PH00052,2024-01-30T12:50:21,125,Incoming,L0340,C0004,nan
CDR000123,PH00044,PH00047,2024-10-05T20:39:47,63,Incoming,L0399,C0004,nan
CDR000124,PH00055,PH00050,2024-07-27T12:16:52,25,Incoming,L0399,C0004,nan
CDR000125,PH00053,PH00055,2024-08-26T04:10:13,18,Incoming,L0038,C0004,nan
CDR000126,PH00047,PH00045,2024-05-23T15:54:37,90,Incoming,L0040,C0004,nan
CDR000127,PH00052,PH00055,2024-08-17T12:23:27,47,Incoming,L0038,C0004,E05803
CDR000128,PH00044,PH00046,2024-12-06T22:50:48,63,Incoming,L0038,C0004,nan
CDR000129,PH00046,PH00051,2024-08-07T11:57:01,420,Incoming,L0340,C0004,nan
CDR000130,PH00055,PH00051,2024-06-30T01:25:39,180,Incoming,L0038,C0004,nan
CDR000131,PH00054,PH00049,2024-02-22T20:45:38,63,Incoming,L0040,C0004,nan
CDR000132,PH00057,PH00056,2024-08-27T07:54:29,18,Outgoing,L0159,C0005,nan
CDR000133,PH00056,PH00057,2024-08-19T21:10:06,180,Outgoing,L0248,C0005,nan
CDR000134,PH00056,PH00057,2024-08-15T16:32:17,63,Outgoing,L0548,C0005,nan
CDR000135,PH00058,PH00057,2024-08-17T09:17:38,812,Outgoing,L0548,C0005,nan
CDR000136,PH00058,PH00056,2024-08-17T21:14:12,180,Outgoing,L0159,C0005,E05812
CDR000137,PH00058,PH00056,2024-08-24T13:10:27,812,Outgoing,L0248,C0005,nan
CDR000138,PH00058,PH00057,2024-08-18T03:51:56,310,Incoming,L0418,C0005,nan
CDR000139,PH00058,PH00057,2024-08-03T07:30:40,25,Outgoing,L0159,C0005,nan
CDR000140,PH00057,PH00058,2024-08-24T04:16:46,90,Outgoing,L0159,C0005,nan
CDR000141,PH00057,PH00056,2024-08-11T05:15:35,720,Outgoing,L0248,C0005,nan
CDR000142,PH00058,PH00056,2024-08-12T10:42:08,720,Incoming,L0159,C0005,E05813
CDR000143,PH00058,PH00056,2024-08-19T16:23:56,18,Outgoing,L0418,C0005,nan
CDR000144,PH00073,PH00059,2024-12-21T09:29:59,25,Incoming,L0131,C0006,nan
CDR000145,PH00066,PH00079,2024-09-19T00:39:01,63,Incoming,L0379,C0006,nan
CDR000146,PH00083,PH00069,2024-02-10T04:03:42,600,Outgoing,L0379,C0006,nan
CDR000147,PH00077,PH00064,2024-01-29T02:51:32,18,Incoming,L0131,C0006,nan
CDR000148,PH00061,PH00082,2024-01-02T12:26:12,180,Outgoing,L0379,C0006,nan
CDR000149,PH00063,PH00068,2024-06-07T05:11:10,600,Outgoing,L0214,C0006,nan
CDR000150,PH00066,PH00080,2024-12-27T21:38:23,18,Outgoing,L0214,C0006,E05816
CDR000151,PH00064,PH00081,2024-02-10T11:16:27,90,Outgoing,L0102,C0006,nan
CDR000152,PH00067,PH00065,2024-02-03T14:26:11,18,Outgoing,L0131,C0006,nan
CDR000153,PH00067,PH00076,2024-04-23T12:41:22,600,Incoming,L0214,C0006,E05817
CDR000154,PH00064,PH00070,2024-08-08T00:28:01,240,Incoming,L0379,C0006,nan
CDR000155,PH00083,PH00067,2024-07-09T18:25:15,812,Incoming,L0214,C0006,nan
CDR000156,PH00069,PH00072,2024-03-19T13:41:14,900,Incoming,L0379,C0006,nan
CDR000157,PH00078,PH00077,2024-09-13T14:44:17,180,Outgoing,L0102,C0006,nan
CDR000158,PH00069,PH00075,2024-08-21T01:39:22,18,Incoming,L0379,C0006,nan
CDR000159,PH00076,PH00064,2024-03-06T14:44:11,812,Outgoing,L0214,C0006,nan
CDR000160,PH00079,PH00069,2024-10-04T03:56:57,63,Incoming,L0379,C0006,E05818
CDR000161,PH00067,PH00081,2024-12-05T20:06:59,90,Incoming,L0214,C0006,nan
CDR000162,PH00060,PH00075,2024-06-29T19:36:39,90,Incoming,L0214,C0006,nan
CDR000163,PH00068,PH00060,2024-09-17T12:01:07,720,Incoming,L0131,C0006,nan
CDR000164,PH00068,PH00069,2024-06-04T22:08:25,420,Incoming,L0131,C0006,nan
CDR000165,PH00082,PH00072,2024-08-01T08:53:01,47,Outgoing,L0131,C0006,E05819
CDR000166,PH00061,PH00072,2024-10-05T18:35:20,18,Incoming,L0131,C0006,nan
CDR000167,PH00083,PH00062,2024-03-29T10:32:32,600,Incoming,L0214,C0006,nan
CDR000168,PH00071,PH00082,2024-04-30T14:28:34,32,Incoming,L0214,C0006,nan
CDR000169,PH00073,PH00069,2024-03-04T21:55:34,240,Outgoing,L0131,C0006,nan
CDR000170,PH00062,PH00066,2024-01-28T15:22:45,63,Outgoing,L0131,C0006,E05820
CDR000171,PH00061,PH00073,2024-12-08T03:05:51,25,Outgoing,L0379,C0006,nan
CDR000172,PH00080,PH00068,2024-04-06T12:00:24,812,Outgoing,L0102,C0006,nan
CDR000173,PH00059,PH00066,2024-02-11T23:49:56,240,Outgoing,L0379,C0006,nan
CDR000174,PH00074,PH00083,2024-09-28T09:49:24,900,Incoming,L0131,C0006,nan
CDR000175,PH00076,PH00077,2024-12-12T10:36:20,600,Outgoing,L0214,C0006,E05821
CDR000176,PH00075,PH00073,2024-12-27T13:52:16,900,Outgoing,L0379,C0006,nan
CDR000177,PH00059,PH00063,2024-09-18T15:44:29,18,Incoming,L0102,C0006,E05822
CDR000178,PH00067,PH00065,2024-07-01T23:37:57,900,Outgoing,L0102,C0006,nan
CDR000179,PH00070,PH00067,2024-05-07T07:51:38,63,Incoming,L0102,C0006,E05823
CDR000180,PH00067,PH00060,2024-04-18T01:53:13,600,Outgoing,L0102,C0006,nan
CDR000181,PH00082,PH00065,2024-03-10T11:58:07,600,Incoming,L0379,C0006,nan
CDR000182,PH00064,PH00065,2024-04-21T20:10:23,240,Incoming,L0102,C0006,E05824
CDR000183,PH00079,PH00072,2024-07-12T21:18:38,600,Incoming,L0102,C0006,nan
CDR000184,PH00078,PH00077,2024-04-09T08:25:16,600,Incoming,L0379,C0006,nan
CDR000185,PH00078,PH00065,2024-06-25T08:50:40,420,Outgoing,L0214,C0006,nan
CDR000186,PH00068,PH00074,2024-02-11T15:07:51,812,Outgoing,L0379,C0006,E05825
CDR000187,PH00063,PH00066,2024-11-06T18:45:27,240,Outgoing,L0214,C0006,nan
CDR000188,PH00061,PH00081,2024-02-08T11:52:55,420,Outgoing,L0379,C0006,nan
CDR000189,PH00060,PH00067,2024-09-02T01:36:46,600,Outgoing,L0379,C0006,nan
CDR000190,PH00079,PH00076,2024-06-23T18:57:32,420,Incoming,L0379,C0006,nan
CDR000191,PH00059,PH00072,2024-10-01T07:15:14,32,Incoming,L0102,C0006,nan
CDR000192,PH00075,PH00083,2024-03-12T20:26:00,812,Incoming,L0214,C0006,nan
CDR000193,PH00061,PH00080,2024-12-10T09:33:06,18,Outgoing,L0214,C0006,nan
CDR000194,PH00059,PH00076,2024-03-10T16:42:18,47,Incoming,L0214,C0006,nan
CDR000195,PH00080,PH00060,2024-06-23T06:54:23,47,Outgoing,L0379,C0006,nan
CDR000196,PH00083,PH00063,2024-12-06T23:44:06,47,Incoming,L0102,C0006,nan
CDR000197,PH00070,PH00065,2024-02-27T21:57:52,310,Outgoing,L0214,C0006,nan
CDR000198,PH00074,PH00065,2024-08-05T07:51:08,180,Outgoing,L0379,C0006,nan
CDR000199,PH00062,PH00077,2024-07-10T16:49:08,310,Outgoing,L0131,C0006,E05826
CDR000200,PH00084,PH00086,2024-04-21T06:19:01,900,Outgoing,L0025,C0007,nan
CDR000201,PH00085,PH00086,2024-03-29T07:04:58,47,Incoming,L0508,C0007,nan
CDR000202,PH00087,PH00085,2024-06-02T19:09:13,512,Incoming,L0376,C0007,nan
CDR000203,PH00086,PH00090,2024-03-31T23:27:54,310,Incoming,L0025,C0007,nan
CDR000204,PH00090,PH00085,2024-03-10T11:16:41,310,Outgoing,L0376,C0007,nan
CDR000205,PH00085,PH00084,2024-04-26T12:54:54,310,Incoming,L0376,C0007,nan
CDR000206,PH00085,PH00089,2024-06-19T20:41:49,420,Incoming,L0025,C0007,nan
CDR000207,PH00088,PH00086,2024-05-19T21:20:33,600,Outgoing,L0376,C0007,nan
CDR000208,PH00086,PH00087,2024-07-30T02:56:56,63,Incoming,L0376,C0007,nan
CDR000209,PH00090,PH00088,2024-03-14T07:20:11,720,Incoming,L0582,C0007,nan
CDR000210,PH00090,PH00087,2024-04-21T00:31:59,18,Outgoing,L0376,C0007,nan
CDR000211,PH00090,PH00088,2024-05-31T15:26:18,32,Incoming,L0376,C0007,E05840
CDR000212,PH00088,PH00086,2024-04-09T02:47:08,240,Outgoing,L0025,C0007,nan
CDR000213,PH00085,PH00084,2024-05-28T08:59:50,180,Incoming,L0376,C0007,E05841
CDR000214,PH00087,PH00084,2024-04-24T02:52:10,240,Incoming,L0508,C0007,nan
CDR000215,PH00090,PH00088,2024-07-19T13:24:03,900,Outgoing,L0025,C0007,nan
CDR000216,PH00088,PH00090,2024-03-15T04:40:38,18,Outgoing,L0508,C0007,E05842
CDR000217,PH00084,PH00089,2024-06-25T11:32:46,600,Incoming,L0376,C0007,nan
CDR000218,PH00103,PH00101,2024-01-12T18:00:23,900,Incoming,L0353,C0008,nan
CDR000219,PH00101,PH00091,2024-05-10T09:56:30,512,Outgoing,L0289,C0008,nan
CDR000220,PH00094,PH00097,2024-11-09T07:25:57,180,Outgoing,L0353,C0008,nan
CDR000221,PH00101,PH00091,2024-08-21T21:30:51,812,Outgoing,L0135,C0008,nan
CDR000222,PH00092,PH00091,2024-06-14T22:27:34,900,Outgoing,L0408,C0008,nan
CDR000223,PH00095,PH00103,2024-04-27T16:30:27,900,Outgoing,L0135,C0008,nan
CDR000224,PH00103,PH00101,2024-06-10T09:41:25,310,Incoming,L0289,C0008,nan
CDR000225,PH00103,PH00094,2024-07-25T21:39:32,63,Outgoing,L0289,C0008,nan
CDR000226,PH00096,PH00095,2024-04-22T15:30:05,720,Outgoing,L0353,C0008,nan
CDR000227,PH00099,PH00098,2024-05-17T16:38:50,125,Outgoing,L0135,C0008,E05850
CDR000228,PH00092,PH00091,2024-04-08T14:24:19,812,Incoming,L0135,C0008,nan
CDR000229,PH00099,PH00097,2024-01-02T10:17:18,512,Incoming,L0289,C0008,nan
CDR000230,PH00092,PH00093,2024-09-18T20:19:59,90,Incoming,L0353,C0008,nan
CDR000231,PH00093,PH00094,2024-12-26T07:49:52,180,Outgoing,L0353,C0008,nan
CDR000232,PH00093,PH00102,2024-07-30T08:11:29,240,Incoming,L0135,C0008,nan
CDR000233,PH00100,PH00102,2024-07-20T01:06:59,32,Incoming,L0408,C0008,nan
CDR000234,PH00101,PH00092,2024-08-23T10:53:14,25,Incoming,L0353,C0008,nan
CDR000235,PH00102,PH00098,2024-05-30T19:06:16,90,Incoming,L0135,C0008,nan
CDR000236,PH00103,PH00091,2024-04-14T19:47:39,900,Incoming,L0289,C0008,nan
CDR000237,PH00099,PH00098,2024-05-25T04:12:51,600,Outgoing,L0289,C0008,nan
CDR000238,PH00092,PH00096,2024-06-30T17:39:52,18,Outgoing,L0353,C0008,nan
CDR000239,PH00091,PH00100,2024-09-02T05:33:16,240,Incoming,L0353,C0008,nan
CDR000240,PH00095,PH00097,2024-06-04T22:18:43,420,Incoming,L0353,C0008,nan
CDR000241,PH00099,PH00103,2024-04-20T14:31:15,600,Incoming,L0289,C0008,nan
CDR000242,PH00097,PH00096,2024-02-13T22:31:19,63,Outgoing,L0289,C0008,nan
CDR000243,PH00103,PH00101,2024-10-04T21:32:30,90,Incoming,L0408,C0008,nan
CDR000244,PH00095,PH00099,2024-04-08T23:29:18,90,Outgoing,L0353,C0008,nan
CDR000245,PH00093,PH00099,2024-11-28T19:37:26,47,Incoming,L0289,C0008,nan
CDR000246,PH00100,PH00101,2024-03-07T14:17:27,25,Outgoing,L0408,C0008,nan
CDR000247,PH00103,PH00099,2024-08-27T00:25:12,32,Outgoing,L0353,C0008,nan
CDR000248,PH00102,PH00098,2024-03-24T15:32:25,25,Outgoing,L0408,C0008,nan
CDR000249,PH00097,PH00092,2024-11-13T21:19:12,420,Incoming,L0408,C0008,nan
CDR000250,PH00098,PH00094,2024-12-24T07:30:46,600,Outgoing,L0135,C0008,nan
CDR000251,PH00098,PH00091,2024-09-29T09:45:33,47,Incoming,L0408,C0008,nan
CDR000252,PH00091,PH00095,2024-10-21T09:23:26,720,Incoming,L0289,C0008,nan
CDR000253,PH00093,PH00092,2024-01-04T00:57:37,720,Outgoing,L0408,C0008,E05851
CDR000254,PH00102,PH00098,2024-03-23T00:20:02,720,Incoming,L0289,C0008,nan
CDR000255,PH00091,PH00093,2024-10-08T00:26:20,512,Outgoing,L0408,C0008,E05852
CDR000256,PH00096,PH00094,2024-07-27T05:20:09,512,Incoming,L0353,C0008,E05853
CDR000257,PH00110,PH00105,2024-06-12T10:35:44,600,Outgoing,L0079,C0009,E05862
CDR000258,PH00105,PH00109,2024-08-09T15:54:43,812,Incoming,L0044,C0009,nan
CDR000259,PH00107,PH00110,2024-07-28T00:26:25,90,Outgoing,L0079,C0009,E05863
CDR000260,PH00108,PH00107,2024-06-14T23:42:03,812,Incoming,L0079,C0009,nan
CDR000261,PH00108,PH00110,2024-08-22T00:59:06,600,Incoming,L0354,C0009,nan
CDR000262,PH00106,PH00104,2024-07-15T03:36:36,720,Outgoing,L0044,C0009,E05864
CDR000263,PH00110,PH00106,2024-07-24T08:39:47,47,Incoming,L0079,C0009,nan
CDR000264,PH00104,PH00105,2024-08-24T08:55:17,25,Incoming,L0537,C0009,nan
CDR000265,PH00108,PH00105,2024-06-24T09:16:50,25,Incoming,L0537,C0009,nan
CDR000266,PH00105,PH00107,2024-06-17T20:48:43,420,Incoming,L0079,C0009,E05865
CDR000267,PH00107,PH00110,2024-07-02T02:05:57,25,Incoming,L0537,C0009,nan
CDR000268,PH00106,PH00110,2024-06-17T07:01:05,90,Incoming,L0537,C0009,nan
CDR000269,PH00106,PH00105,2024-08-20T00:21:59,512,Outgoing,L0537,C0009,nan
CDR000270,PH00104,PH00109,2024-05-30T05:28:18,900,Incoming,L0044,C0009,nan
CDR000271,PH00115,PH00114,2024-03-21T15:19:41,125,Outgoing,L0504,C0010,nan
CDR000272,PH00114,PH00116,2024-07-12T05:14:01,63,Outgoing,L0325,C0010,nan
CDR000273,PH00112,PH00116,2024-07-21T17:39:57,600,Outgoing,L0587,C0010,nan
CDR000274,PH00116,PH00111,2024-03-21T21:46:55,512,Outgoing,L0199,C0010,E05867
CDR000275,PH00116,PH00111,2024-04-09T12:56:28,900,Outgoing,L0199,C0010,E05868
CDR000276,PH00117,PH00112,2024-03-13T11:26:19,720,Incoming,L0587,C0010,nan
CDR000277,PH00113,PH00115,2024-03-20T16:11:05,18,Incoming,L0504,C0010,nan
CDR000278,PH00111,PH00112,2024-06-19T22:57:59,310,Incoming,L0199,C0010,nan
CDR000279,PH00112,PH00116,2024-05-28T13:02:16,32,Outgoing,L0504,C0010,E05869
CDR000280,PH00114,PH00117,2024-02-02T02:46:18,720,Incoming,L0587,C0010,nan
CDR000281,PH00115,PH00111,2024-06-18T12:59:46,125,Incoming,L0325,C0010,nan
CDR000282,PH00116,PH00113,2024-02-05T10:07:27,600,Outgoing,L0325,C0010,nan
CDR000283,PH00116,PH00114,2024-04-18T05:21:07,18,Outgoing,L0325,C0010,nan
CDR000284,PH00115,PH00113,2024-08-22T21:34:59,47,Outgoing,L0504,C0010,nan
CDR000285,PH00117,PH00116,2024-04-17T17:58:38,900,Incoming,L0199,C0010,nan
CDR000286,PH00112,PH00115,2024-07-19T22:10:16,90,Outgoing,L0325,C0010,nan
CDR000287,PH00112,PH00111,2024-06-13T20:16:22,125,Incoming,L0504,C0010,nan
CDR000288,PH00111,PH00112,2024-06-07T03:12:16,180,Outgoing,L0504,C0010,nan
CDR000289,PH00117,PH00113,2024-01-25T01:53:58,240,Incoming,L0199,C0010,nan
CDR000290,PH00117,PH00111,2024-06-02T01:19:53,900,Outgoing,L0199,C0010,nan
CDR000291,PH00111,PH00115,2024-01-20T20:58:58,47,Outgoing,L0199,C0010,nan
CDR000292,PH00117,PH00111,2024-03-24T00:47:50,63,Incoming,L0504,C0010,nan
