transaction_id,source_account_id,target_account_id,amount,currency,timestamp,transaction_type,reference,case_id,evidence_id
TX000022,ACC00011,ACC00008,500,INR,2024-07-23T18:38:10,UPI,TXN-00000022,C0002,E05773
TX000023,ACC00016,ACC00011,150000,INR,2024-08-15T01:39:33,IMPS,TXN-00000023,C0002,nan
TX000024,ACC00011,ACC00005,250000,INR,2024-08-13T02:09:48,NEFT,TXN-00000024,C0002,nan
TX000025,ACC00016,ACC00011,500,INR,2024-07-25T18:03:18,RTGS,TXN-00000025,C0002,nan
TX000026,ACC00009,ACC00016,5000,INR,2024-08-21T16:04:54,UPI,TXN-00000026,C0002,nan
TX000027,ACC00018,ACC00007,50000,INR,2024-08-23T19:59:34,UPI,TXN-00000027,C0002,nan
TX000028,ACC00008,ACC00012,1200,INR,2024-08-15T09:43:31,UPI,TXN-00000028,C0002,nan
TX000029,ACC00010,ACC00013,500,INR,2024-07-20T03:39:57,UPI,TXN-00000029,C0002,nan
TX000030,ACC00017,ACC00004,500,INR,2024-08-21T06:30:08,RTGS,TXN-00000030,C0002,nan
TX000031,ACC00011,ACC00020,8500,INR,2024-08-05T02:23:39,UPI,TXN-00000031,C0002,nan
TX000032,ACC00017,ACC00004,5000,INR,2024-08-23T22:57:11,UPI,TXN-00000032,C0002,nan
TX000033,ACC00009,ACC00014,500000,INR,2024-08-06T17:08:29,UPI,TXN-00000033,C0002,nan
TX000034,ACC00017,ACC00015,15000,INR,2024-08-15T23:42:21,RTGS,TXN-00000034,C0002,nan
TX000035,ACC00007,ACC00018,1000000,INR,2024-08-08T02:31:35,IMPS,TXN-00000035,C0002,nan
TX000036,ACC00009,ACC00015,100000,INR,2024-08-05T08:05:03,IMPS,TXN-00000036,C0002,E05774
TX000037,ACC00008,ACC00009,25000,INR,2024-07-29T11:40:27,IMPS,TXN-00000037,C0002,E05775
TX000038,ACC00010,ACC00018,25000,INR,2024-07-20T05:11:51,UPI,TXN-00000038,C0002,E05776
TX000039,ACC00019,ACC00016,1000000,INR,2024-07-19T05:05:07,RTGS,TXN-00000039,C0002,nan
TX000040,ACC00014,ACC00018,1000000,INR,2024-08-13T23:16:40,UPI,TXN-00000040,C0002,nan
TX000041,ACC00004,ACC00019,100000,INR,2024-08-14T21:34:23,IMPS,TXN-00000041,C0002,E05777
TX000042,ACC00024,ACC00029,25000,INR,2024-03-24T00:17:09,NEFT,TXN-00000042,C0003,nan
TX000043,ACC00021,ACC00028,350000,INR,2024-12-14T20:29:23,RTGS,TXN-00000043,C0003,nan
TX000044,ACC00026,ACC00021,2500,INR,2024-10-10T07:46:56,IMPS,TXN-00000044,C0003,nan
TX000045,ACC00023,ACC00027,2500,INR,2024-01-08T17:27:38,RTGS,TXN-00000045,C0003,nan
TX000046,ACC00030,ACC00027,2500,INR,2024-05-26T08:04:55,NEFT,TXN-00000046,C0003,E05788
TX000047,ACC00024,ACC00022,100000,INR,2024-06-07T05:25:20,IMPS,TXN-00000047,C0003,nan
TX000048,ACC00026,ACC00029,750000,INR,2024-04-29T02:27:51,RTGS,TXN-00000048,C0003,nan
TX000049,ACC00029,ACC00022,75000,INR,2024-12-08T19:16:36,UPI,TXN-00000049,C0003,nan
TX000050,ACC00030,ACC00024,500000,INR,2024-11-01T23:38:39,UPI,TXN-00000050,C0003,E05789
TX000051,ACC00022,ACC00029,15000,INR,2024-12-31T14:55:19,NEFT,TXN-00000051,C0003,E05790
TX000052,ACC00029,ACC00025,500000,INR,2024-09-05T11:38:09,UPI,TXN-00000052,C0003,nan
TX000053,ACC00029,ACC00021,350000,INR,2024-08-30T23:31:34,RTGS,TXN-00000053,C0003,nan
TX000054,ACC00028,ACC00023,750000,INR,2024-10-01T10:57:50,UPI,TXN-00000054,C0003,nan
TX000055,ACC00026,ACC00022,15000,INR,2024-04-12T13:35:00,RTGS,TXN-00000055,C0003,nan
TX000056,ACC00029,ACC00031,2500,INR,2024-10-28T20:11:26,UPI,TXN-00000056,C0003,nan
TX000057,ACC00024,ACC00023,42000,INR,2024-04-06T19:36:12,RTGS,TXN-00000057,C0003,nan
TX000058,ACC00021,ACC00030,500,INR,2024-02-12T12:18:14,IMPS,TXN-00000058,C0003,nan
TX000059,ACC00024,ACC00023,350000,INR,2024-01-12T14:18:00,NEFT,TXN-00000059,C0003,nan
TX000060,ACC00028,ACC00021,50000,INR,2024-11-21T21:14:08,RTGS,TXN-00000060,C0003,nan
TX000061,ACC00030,ACC00027,50000,INR,2024-11-28T12:38:10,UPI,TXN-00000061,C0003,nan
TX000062,ACC00024,ACC00023,1200,INR,2024-11-12T12:01:29,NEFT,TXN-00000062,C0003,nan
TX000063,ACC00024,ACC00028,8500,INR,2024-05-31T23:16:10,RTGS,TXN-00000063,C0003,nan
TX000064,ACC00031,ACC00023,2500,INR,2024-08-06T00:18:43,NEFT,TXN-00000064,C0003,nan
TX000065,ACC00029,ACC00022,1000000,INR,2024-10-26T19:45:26,NEFT,TXN-00000065,C0003,E05791
TX000066,ACC00023,ACC00025,8500,INR,2024-08-18T17:30:36,UPI,TXN-00000066,C0003,nan
TX000067,ACC00030,ACC00031,25000,INR,2024-03-18T10:56:34,UPI,TXN-00000067,C0003,nan
TX000068,ACC00023,ACC00021,25000,INR,2024-06-14T10:58:44,RTGS,TXN-00000068,C0003,nan
TX000069,ACC00040,ACC00035,1200,INR,2024-03-11T21:09:20,IMPS,TXN-00000069,C0004,nan
TX000070,ACC00038,ACC00033,8500,INR,2024-12-16T00:31:58,UPI,TXN-00000070,C0004,nan
TX000071,ACC00042,ACC00032,150000,INR,2024-03-12T21:36:34,RTGS,TXN-00000071,C0004,nan
TX000072,ACC00042,ACC00033,100000,INR,2024-06-10T10:32:39,UPI,TXN-00000072,C0004,nan
TX000073,ACC00039,ACC00037,1200,INR,2024-03-28T22:23:47,IMPS,TXN-00000073,C0004,nan
TX000074,ACC00036,ACC00040,5000,INR,2024-03-22T15:16:28,UPI,TXN-00000074,C0004,nan
TX000075,ACC00038,ACC00036,15000,INR,2024-09-28T18:04:34,IMPS,TXN-00000075,C0004,E05804
TX000076,ACC00034,ACC00036,150000,INR,2024-08-04T03:04:15,IMPS,TXN-00000076,C0004,nan
TX000077,ACC00039,ACC00038,750000,INR,2024-01-18T03:57:43,NEFT,TXN-00000077,C0004,E05805
TX000078,ACC00040,ACC00035,5000,INR,2024-10-03T12:35:17,UPI,TXN-00000078,C0004,nan
TX000079,ACC00038,ACC00040,8500,INR,2024-04-08T01:02:43,IMPS,TXN-00000079,C0004,nan
TX000080,ACC00036,ACC00033,5000,INR,2024-06-08T23:07:34,UPI,TXN-00000080,C0004,E05806
TX000081,ACC00040,ACC00039,100000,INR,2024-07-16T01:01:12,IMPS,TXN-00000081,C0004,nan
TX000082,ACC00040,ACC00039,150000,INR,2024-11-29T04:22:41,NEFT,TXN-00000082,C0004,E05807
TX000083,ACC00036,ACC00034,250000,INR,2024-02-01T11:43:43,RTGS,TXN-00000083,C0004,nan
TX000084,ACC00033,ACC00038,500000,INR,2024-08-11T01:41:39,IMPS,TXN-00000084,C0004,nan
TX000085,ACC00039,ACC00040,500000,INR,2024-06-26T08:09:59,IMPS,TXN-00000085,C0004,nan
TX000086,ACC00035,ACC00033,2500,INR,2024-09-25T16:06:04,NEFT,TXN-00000086,C0004,nan
TX000087,ACC00034,ACC00035,75000,INR,2024-06-04T12:25:28,NEFT,TXN-00000087,C0004,nan
TX000088,ACC00037,ACC00036,150000,INR,2024-10-19T00:41:33,IMPS,TXN-00000088,C0004,nan
TX000089,ACC00037,ACC00034,1000000,INR,2024-12-14T18:57:32,NEFT,TXN-00000089,C0004,E05808
TX000090,ACC00032,ACC00033,42000,INR,2024-08-11T15:07:43,NEFT,TXN-00000090,C0004,nan
TX000091,ACC00041,ACC00033,8500,INR,2024-08-02T00:58:43,RTGS,TXN-00000091,C0004,nan
TX000092,ACC00039,ACC00036,500,INR,2024-02-06T11:08:48,RTGS,TXN-00000092,C0004,nan
TX000093,ACC00032,ACC00039,1000000,INR,2024-04-23T19:01:25,RTGS,TXN-00000093,C0004,nan
TX000094,ACC00040,ACC00039,150000,INR,2024-06-28T20:32:25,UPI,TXN-00000094,C0004,nan
TX000095,ACC00033,ACC00038,500000,INR,2024-12-11T01:03:38,IMPS,TXN-00000095,C0004,nan
TX000096,ACC00033,ACC00039,5000,INR,2024-12-14T21:30:53,IMPS,TXN-00000096,C0004,nan
TX000097,ACC00040,ACC00037,500000,INR,2024-02-18T12:10:27,UPI,TXN-00000097,C0004,nan
TX000098,ACC00042,ACC00041,25000,INR,2024-10-05T23:08:09,UPI,TXN-00000098,C0004,nan
TX000099,ACC00045,ACC00044,50000,INR,2024-08-03T15:18:06,IMPS,TXN-00000099,C0005,nan
TX000100,ACC00044,ACC00043,15000,INR,2024-07-28T07:37:20,RTGS,TXN-00000100,C0005,E05814
TX000101,ACC00044,ACC00045,500000,INR,2024-08-09T02:20:27,NEFT,TXN-00000101,C0005,nan
TX000102,ACC00045,ACC00044,500000,INR,2024-08-27T19:01:33,UPI,TXN-00000102,C0005,nan
TX000103,ACC00043,ACC00045,350000,INR,2024-08-09T21:19:24,NEFT,TXN-00000103,C0005,nan
TX000104,ACC00045,ACC00044,25000,INR,2024-08-29T09:30:41,UPI,TXN-00000104,C0005,nan
TX000105,ACC00060,ACC00064,1200,INR,2024-04-19T05:30:25,UPI,TXN-00000105,C0006,nan
TX000106,ACC00060,ACC00058,75000,INR,2024-09-02T21:44:31,UPI,TXN-00000106,C0006,nan
TX000107,ACC00057,ACC00049,15000,INR,2024-02-11T02:05:35,RTGS,TXN-00000107,C0006,nan
TX000108,ACC00049,ACC00051,1000000,INR,2024-05-02T09:04:56,RTGS,TXN-00000108,C0006,nan
TX000109,ACC00047,ACC00052,350000,INR,2024-11-17T05:41:18,RTGS,TXN-00000109,C0006,nan
TX000110,ACC00057,ACC00059,250000,INR,2024-03-14T21:01:47,RTGS,TXN-00000110,C0006,nan
TX000111,ACC00064,ACC00059,8500,INR,2024-11-06T11:08:10,UPI,TXN-00000111,C0006,nan
TX000112,ACC00056,ACC00049,2500,INR,2024-11-20T02:17:17,UPI,TXN-00000112,C0006,E05827
TX000113,ACC00060,ACC00063,1200,INR,2024-08-12T09:08:17,RTGS,TXN-00000113,C0006,nan
TX000114,ACC00057,ACC00058,100000,INR,2024-04-07T14:41:34,NEFT,TXN-00000114,C0006,nan
TX000115,ACC00062,ACC00050,15000,INR,2024-11-14T10:32:35,IMPS,TXN-00000115,C0006,nan
TX000116,ACC00047,ACC00055,1000000,INR,2024-04-03T11:10:10,IMPS,TXN-00000116,C0006,nan
TX000117,ACC00058,ACC00054,15000,INR,2024-06-01T02:02:20,UPI,TXN-00000117,C0006,nan
TX000118,ACC00064,ACC00060,5000,INR,2024-04-16T08:00:49,IMPS,TXN-00000118,C0006,nan
TX000119,ACC00053,ACC00047,2500,INR,2024-07-05T15:10:46,RTGS,TXN-00000119,C0006,nan
TX000120,ACC00058,ACC00063,1000000,INR,2024-05-19T14:11:19,RTGS,TXN-00000120,C0006,nan
TX000121,ACC00050,ACC00057,42000,INR,2024-12-31T20:08:16,NEFT,TXN-00000121,C0006,nan
TX000122,ACC00050,ACC00053,42000,INR,2024-07-26T02:04:32,IMPS,TXN-00000122,C0006,nan
TX000123,ACC00051,ACC00048,100000,INR,2024-08-29T02:43:42,IMPS,TXN-00000123,C0006,nan
TX000124,ACC00063,ACC00046,500000,INR,2024-07-22T19:38:35,UPI,TXN-00000124,C0006,nan
TX000125,ACC00057,ACC00056,350000,INR,2024-03-04T23:57:11,IMPS,TXN-00000125,C0006,nan
TX000126,ACC00052,ACC00060,750000,INR,2024-06-27T22:24:36,RTGS,TXN-00000126,C0006,nan
TX000127,ACC00053,ACC00051,75000,INR,2024-04-25T19:13:23,NEFT,TXN-00000127,C0006,nan
TX000128,ACC00059,ACC00050,750000,INR,2024-11-30T08:45:16,RTGS,TXN-00000128,C0006,nan
TX000129,ACC00052,ACC00061,500,INR,2024-04-28T21:53:53,IMPS,TXN-00000129,C0006,nan
TX000130,ACC00052,ACC00053,15000,INR,2024-05-15T14:35:50,NEFT,TXN-00000130,C0006,nan
TX000131,ACC00051,ACC00059,350000,INR,2024-07-17T00:35:20,NEFT,TXN-00000131,C0006,nan
TX000132,ACC00051,ACC00048,500000,INR,2024-03-25T23:02:04,NEFT,TXN-00000132,C0006,nan
TX000133,ACC00057,ACC00047,1000000,INR,2024-04-20T19:58:35,UPI,TXN-00000133,C0006,nan
TX000134,ACC00061,ACC00050,750000,INR,2024-05-27T14:01:32,NEFT,TXN-00000134,C0006,nan
TX000135,ACC00053,ACC00051,500,INR,2024-10-22T15:05:04,UPI,TXN-00000135,C0006,nan
TX000136,ACC00050,ACC00054,500,INR,2024-06-05T02:23:15,IMPS,TXN-00000136,C0006,E05828
TX000137,ACC00055,ACC00054,150000,INR,2024-04-24T08:41:52,RTGS,TXN-00000137,C0006,nan
TX000138,ACC00056,ACC00054,2500,INR,2024-05-06T04:39:35,NEFT,TXN-00000138,C0006,nan
TX000139,ACC00048,ACC00064,150000,INR,2024-11-20T08:12:33,IMPS,TXN-00000139,C0006,nan
TX000140,ACC00046,ACC00052,50000,INR,2024-08-26T09:23:38,NEFT,TXN-00000140,C0006,nan
TX000141,ACC00059,ACC00058,8500,INR,2024-06-16T18:56:00,IMPS,TXN-00000141,C0006,E05829
TX000142,ACC00048,ACC00062,150000,INR,2024-05-12T13:17:05,IMPS,TXN-00000142,C0006,nan
TX000143,ACC00054,ACC00062,75000,INR,2024-05-04T10:47:10,NEFT,TXN-00000143,C0006,nan
TX000144,ACC00056,ACC00050,2500,INR,2024-09-25T15:29:38,NEFT,TXN-00000144,C0006,nan
TX000145,ACC00056,ACC00054,750000,INR,2024-09-09T22:47:21,RTGS,TXN-00000145,C0006,nan
TX000146,ACC00046,ACC00051,25000,INR,2024-05-17T19:01:56,IMPS,TXN-00000146,C0006,E05830
TX000147,ACC00062,ACC00053,1200,INR,2024-03-07T01:28:57,NEFT,TXN-00000147,C0006,nan
TX000148,ACC00052,ACC00057,75000,INR,2024-09-01T05:23:55,NEFT,TXN-00000148,C0006,nan
TX000149,ACC00051,ACC00054,42000,INR,2024-04-16T12:52:38,UPI,TXN-00000149,C0006,nan
TX000150,ACC00047,ACC00046,2500,INR,2024-10-30T01:28:47,RTGS,TXN-00000150,C0006,nan
TX000151,ACC00048,ACC00052,250000,INR,2024-02-21T21:01:32,UPI,TXN-00000151,C0006,nan
TX000152,ACC00050,ACC00047,1200,INR,2024-11-22T00:05:14,IMPS,TXN-00000152,C0006,nan
TX000153,ACC00055,ACC00049,50000,INR,2024-03-22T16:38:21,IMPS,TXN-00000153,C0006,nan
TX000154,ACC00066,ACC00069,8500,INR,2024-04-23T06:48:58,RTGS,TXN-00000154,C0007,nan
TX000155,ACC00069,ACC00068,8500,INR,2024-07-03T22:37:34,NEFT,TXN-00000155,C0007,nan
TX000156,ACC00068,ACC00065,250000,INR,2024-05-11T11:12:43,IMPS,TXN-00000156,C0007,nan
TX000157,ACC00069,ACC00068,25000,INR,2024-07-12T07:48:02,UPI,TXN-00000157,C0007,nan
TX000158,ACC00070,ACC00067,25000,INR,2024-03-07T01:54:01,RTGS,TXN-00000158,C0007,E05843
TX000159,ACC00066,ACC00067,500,INR,2024-06-10T20:39:00,NEFT,TXN-00000159,C0007,nan
TX000160,ACC00065,ACC00068,750000,INR,2024-06-13T16:42:49,NEFT,TXN-00000160,C0007,nan
TX000161,ACC00069,ACC00065,250000,INR,2024-04-02T05:14:39,UPI,TXN-00000161,C0007,nan
TX000162,ACC00070,ACC00065,350000,INR,2024-02-13T04:13:42,UPI,TXN-00000162,C0007,nan
TX000163,ACC00067,ACC00066,1200,INR,2024-08-10T08:38:21,RTGS,TXN-00000163,C0007,nan
TX000164,ACC00065,ACC00070,75000,INR,2024-06-24T17:02:51,IMPS,TXN-00000164,C0007,E05844
TX000165,ACC00067,ACC00068,500,INR,2024-08-11T20:05:36,UPI,TXN-00000165,C0007,nan
TX000166,ACC00065,ACC00067,75000,INR,2024-06-09T12:29:36,RTGS,TXN-00000166,C0007,E05845
TX000167,ACC00068,ACC00070,1000000,INR,2024-05-22T21:08:04,RTGS,TXN-00000167,C0007,E05846
TX000168,ACC00079,ACC00078,75000,INR,2024-08-28T01:30:51,NEFT,TXN-00000168,C0008,nan
TX000169,ACC00082,ACC00083,1000000,INR,2024-10-10T14:18:29,NEFT,TXN-00000169,C0008,nan
TX000170,ACC00076,ACC00078,750000,INR,2024-05-23T04:44:12,UPI,TXN-00000170,C0008,nan
TX000171,ACC00081,ACC00085,150000,INR,2024-11-18T22:10:38,RTGS,TXN-00000171,C0008,nan
TX000172,ACC00071,ACC00080,150000,INR,2024-03-25T22:58:28,NEFT,TXN-00000172,C0008,E05854
TX000173,ACC00078,ACC00084,8500,INR,2024-11-01T19:29:42,UPI,TXN-00000173,C0008,E05855
TX000174,ACC00078,ACC00074,5000,INR,2024-07-11T14:21:57,NEFT,TXN-00000174,C0008,nan
TX000175,ACC00078,ACC00083,15000,INR,2024-04-16T16:46:35,UPI,TXN-00000175,C0008,nan
TX000176,ACC00076,ACC00083,75000,INR,2024-07-29T00:12:37,NEFT,TXN-00000176,C0008,nan
TX000177,ACC00077,ACC00081,50000,INR,2024-02-09T17:37:43,RTGS,TXN-00000177,C0008,nan
TX000178,ACC00079,ACC00071,750000,INR,2024-06-06T04:40:54,NEFT,TXN-00000178,C0008,nan
TX000179,ACC00072,ACC00077,5000,INR,2024-09-10T20:00:19,RTGS,TXN-00000179,C0008,nan
TX000180,ACC00073,ACC00084,250000,INR,2024-07-15T02:22:37,NEFT,TXN-00000180,C0008,nan
TX000181,ACC00078,ACC00077,500,INR,2024-07-27T00:08:48,IMPS,TXN-00000181,C0008,nan
TX000182,ACC00081,ACC00073,1000000,INR,2024-02-21T07:28:14,RTGS,TXN-00000182,C0008,nan
TX000183,ACC00084,ACC00072,5000,INR,2024-06-08T17:26:17,IMPS,TXN-00000183,C0008,nan
TX000184,ACC00073,ACC00077,250000,INR,2024-07-30T12:10:04,RTGS,TXN-00000184,C0008,nan
TX000185,ACC00072,ACC00085,5000,INR,2024-06-23T18:44:17,RTGS,TXN-00000185,C0008,nan
TX000186,ACC00073,ACC00075,350000,INR,2024-05-10T00:42:32,NEFT,TXN-00000186,C0008,nan
TX000187,ACC00071,ACC00076,8500,INR,2024-05-19T17:26:48,IMPS,TXN-00000187,C0008,nan
TX000188,ACC00073,ACC00083,5000,INR,2024-06-07T07:13:27,RTGS,TXN-00000188,C0008,nan
TX000189,ACC00072,ACC00078,1200,INR,2024-04-25T04:53:47,UPI,TXN-00000189,C0008,nan
TX000190,ACC00071,ACC00075,1000000,INR,2024-05-11T05:08:34,RTGS,TXN-00000190,C0008,nan
TX000191,ACC00084,ACC00085,350000,INR,2024-05-09T18:11:45,UPI,TXN-00000191,C0008,nan
TX000192,ACC00076,ACC00083,100000,INR,2024-02-09T04:38:32,RTGS,TXN-00000192,C0008,nan
TX000193,ACC00079,ACC00076,1000000,INR,2024-03-26T22:35:36,RTGS,TXN-00000193,C0008,nan
TX000194,ACC00084,ACC00083,50000,INR,2024-05-07T14:29:46,RTGS,TXN-00000194,C0008,nan
TX000195,ACC00072,ACC00079,1000000,INR,2024-12-19T18:43:54,IMPS,TXN-00000195,C0008,nan
TX000196,ACC00085,ACC00079,250000,INR,2024-10-16T01:58:50,NEFT,TXN-00000196,C0008,nan
TX000197,ACC00078,ACC00077,150000,INR,2024-01-24T14:33:39,IMPS,TXN-00000197,C0008,nan
TX000198,ACC00076,ACC00082,15000,INR,2024-02-04T04:00:42,NEFT,TXN-00000198,C0008,nan
TX000199,ACC00080,ACC00079,350000,INR,2024-01-10T03:05:21,UPI,TXN-00000199,C0008,nan
TX000200,ACC00084,ACC00074,2500,INR,2024-05-18T08:12:41,NEFT,TXN-00000200,C0008,nan
TX000201,ACC00080,ACC00082,2500,INR,2024-05-30T22:28:44,RTGS,TXN-00000201,C0008,E05856
TX000202,ACC00077,ACC00084,750000,INR,2024-03-21T14:04:04,UPI,TXN-00000202,C0008,E05857
TX000203,ACC00082,ACC00079,150000,INR,2024-06-21T19:49:58,UPI,TXN-00000203,C0008,nan
TX000204,ACC00087,ACC00089,25000,INR,2024-04-06T14:23:41,RTGS,TXN-00000204,C0010,nan
TX000205,ACC00087,ACC00086,100000,INR,2024-02-27T02:59:30,RTGS,TXN-00000205,C0010,nan
TX000206,ACC00087,ACC00090,100000,INR,2024-08-27T06:34:01,IMPS,TXN-00000206,C0010,nan
TX000207,ACC00090,ACC00087,1200,INR,2024-01-28T05:50:56,RTGS,TXN-00000207,C0010,nan
TX000208,ACC00088,ACC00092,50000,INR,2024-05-27T13:07:50,RTGS,TXN-00000208,C0010,nan
TX000209,ACC00087,ACC00089,250000,INR,2024-05-23T12:35:17,UPI,TXN-00000209,C0010,nan
TX000210,ACC00086,ACC00092,150000,INR,2024-07-08T19:56:05,RTGS,TXN-00000210,C0010,E05870
TX000211,ACC00088,ACC00086,5000,INR,2024-04-11T08:16:39,UPI,TXN-00000211,C0010,nan
TX000212,ACC00090,ACC00092,75000,INR,2024-05-29T11:30:06,NEFT,TXN-00000212,C0010,nan
TX000213,ACC00087,ACC00088,25000,INR,2024-03-22T14:37:30,RTGS,TXN-00000213,C0010,nan
TX000214,ACC00087,ACC00088,1000000,INR,2024-07-10T10:54:45,RTGS,TXN-00000214,C0010,nan
TX000215,ACC00088,ACC00087,100000,INR,2024-08-25T16:03:38,NEFT,TXN-00000215,C0010,nan
TX000216,ACC00089,ACC00092,1000000,INR,2024-04-04T19:58:04,UPI,TXN-00000216,C0010,nan
TX000217,ACC00091,ACC00086,25000,INR,2024-02-13T17:32:41,IMPS,TXN-00000217,C0010,nan
TX000218,ACC00096,ACC00097,8500,INR,2024-07-12T05:27:44,RTGS,TXN-00000218,C0011,nan
TX000219,ACC00093,ACC00094,2500,INR,2024-08-24T08:32:41,UPI,TXN-00000219,C0011,nan
TX000220,ACC00096,ACC00098,350000,INR,2024-07-09T13:25:28,IMPS,TXN-00000220,C0011,nan
TX000221,ACC00097,ACC00096,8500,INR,2024-08-18T21:57:10,UPI,TXN-00000221,C0011,nan
TX000222,ACC00097,ACC00093,5000,INR,2024-07-26T11:15:39,RTGS,TXN-00000222,C0011,nan
TX000223,ACC00096,ACC00095,500000,INR,2024-08-09T10:35:12,RTGS,TXN-00000223,C0011,E05878
TX000224,ACC00095,ACC00093,15000,INR,2024-07-25T02:36:21,UPI,TXN-00000224,C0011,nan
TX000225,ACC00097,ACC00098,250000,INR,2024-07-20T10:46:52,IMPS,TXN-00000225,C0011,nan
TX000226,ACC00098,ACC00095,150000,INR,2024-08-17T19:02:25,NEFT,TXN-00000226,C0011,nan
TX000227,ACC00095,ACC00096,15000,INR,2024-06-26T00:51:12,NEFT,TXN-00000227,C0011,nan
TX000228,ACC00096,ACC00095,50000,INR,2024-07-05T04:43:37,UPI,TXN-00000228,C0011,E05879
TX000229,ACC00095,ACC00094,75000,INR,2024-06-16T17:12:59,NEFT,TXN-00000229,C0011,E05880
TX000230,ACC00096,ACC00094,25000,INR,2024-07-07T14:28:09,IMPS,TXN-00000230,C0011,nan
TX000231,ACC00093,ACC00097,5000,INR,2024-07-08T04:50:13,IMPS,TXN-00000231,C0011,nan
TX000232,ACC00094,ACC00096,100000,INR,2024-07-18T11:25:48,IMPS,TXN-00000232,C0011,nan
TX000233,ACC00094,ACC00093,500000,INR,2024-08-21T23:42:27,IMPS,TXN-00000233,C0011,nan
TX000234,ACC00095,ACC00096,100000,INR,2024-06-22T21:32:40,IMPS,TXN-00000234,C0011,nan
TX000235,ACC00098,ACC00093,25000,INR,2024-07-29T16:37:32,RTGS,TXN-00000235,C0011,nan
TX000236,ACC00094,ACC00098,75000,INR,2024-07-19T02:13:41,UPI,TXN-00000236,C0011,nan
TX000237,ACC00097,ACC00093,42000,INR,2024-07-05T14:31:00,IMPS,TXN-00000237,C0011,nan
TX000238,ACC00093,ACC00094,500000,INR,2024-08-15T07:04:40,UPI,TXN-00000238,C0011,nan
TX000239,ACC00094,ACC00097,350000,INR,2024-08-24T12:23:06,IMPS,TXN-00000239,C0011,nan
TX000240,ACC00094,ACC00098,5000,INR,2024-08-15T23:21:23,NEFT,TXN-00000240,C0011,nan
TX000241,ACC00095,ACC00093,2500,INR,2024-06-27T13:21:11,UPI,TXN-00000241,C0011,nan
TX000242,ACC00097,ACC00093,2500,INR,2024-07-28T22:47:16,UPI,TXN-00000242,C0011,nan
TX000243,ACC00101,ACC00099,1000000,INR,2024-06-17T12:01:40,RTGS,TXN-00000243,C0012,nan
TX000244,ACC00102,ACC00100,75000,INR,2024-04-06T16:03:58,UPI,TXN-00000244,C0012,nan
TX000245,ACC00101,ACC00099,500,INR,2024-11-05T19:21:53,UPI,TXN-00000245,C0012,nan
TX000246,ACC00101,ACC00102,2500,INR,2024-11-02T01:22:48,RTGS,TXN-00000246,C0012,nan
TX000247,ACC00101,ACC00100,1000000,INR,2024-08-18T18:45:09,UPI,TXN-00000247,C0012,nan
TX000248,ACC00100,ACC00102,15000,INR,2024-05-06T22:21:21,NEFT,TXN-00000248,C0012,nan
