relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,timestamp,case_id,evidence_id,confidence,source
R000028,P00013,person,PH00011,phone,OWNED_BY,2024-08-24T05:17:05,C0002,nan,0.8,nan
R000029,P00013,person,ACC00008,account,OWNED_BY,2024-08-16T23:35:38,C0002,nan,0.93,nan
R000030,P00013,person,L0380,location,OPERATED_IN,2024-08-23T12:10:03,C0002,nan,0.91,nan
R000031,P00014,person,PH00012,phone,OWNED_BY,2024-08-30T10:01:15,C0002,nan,0.71,nan
R000032,P00014,person,ACC00009,account,OWNED_BY,2024-08-12T07:17:05,C0002,nan,0.98,nan
R000033,P00015,person,PH00013,phone,OWNED_BY,2024-08-22T09:25:32,C0002,nan,0.68,nan
R000034,P00015,person,L0295,location,OPERATED_IN,2024-08-27T03:32:51,C0002,nan,0.9,nan
R000035,P00016,person,PH00014,phone,OWNED_BY,2024-08-15T21:29:05,C0002,nan,0.95,nan
R000036,P00016,person,PH00015,phone,OWNED_BY,2024-08-31T04:49:45,C0002,nan,0.66,nan
R000037,P00017,person,ACC00010,account,OWNED_BY,2024-08-24T01:57:45,C0002,nan,0.9,nan
R000038,P00018,person,PH00016,phone,OWNED_BY,2024-08-11T04:49:55,C0002,nan,0.72,nan
R000039,P00019,person,PH00017,phone,OWNED_BY,2024-08-22T02:04:11,C0002,nan,0.88,nan
R000040,P00021,person,PH00018,phone,OWNED_BY,2024-08-27T19:20:23,C0002,nan,0.63,nan
R000041,P00021,person,ACC00011,account,OWNED_BY,2024-08-28T00:09:54,C0002,nan,0.64,nan
R000042,P00021,person,D00005,device,OWNED_BY,2024-08-13T11:29:29,C0002,nan,0.85,nan
R000043,P00022,person,PH00019,phone,OWNED_BY,2024-08-17T12:21:04,C0002,nan,0.72,nan
R000044,P00022,person,ACC00012,account,OWNED_BY,2024-08-15T15:09:40,C0002,nan,0.68,nan
R000045,P00023,person,PH00020,phone,OWNED_BY,2024-08-17T00:48:43,C0002,nan,0.76,nan
R000046,P00023,person,ACC00013,account,OWNED_BY,2024-08-25T13:33:13,C0002,nan,0.86,nan
R000047,P00023,person,D00006,device,OWNED_BY,2024-08-20T05:12:22,C0002,nan,0.97,nan
R000048,P00025,person,V00003,vehicle,OWNED_BY,2024-08-26T10:07:50,C0002,nan,0.98,nan
R000049,P00026,person,PH00021,phone,OWNED_BY,2024-08-31T18:06:02,C0002,nan,0.69,nan
R000050,P00026,person,ACC00014,account,OWNED_BY,2024-08-17T06:43:36,C0002,nan,0.97,nan
R000051,P00026,person,D00007,device,OWNED_BY,2024-08-14T22:31:41,C0002,nan,0.99,nan
R000052,P00027,person,ACC00015,account,OWNED_BY,2024-08-16T17:38:10,C0002,nan,0.81,nan
R000053,P00028,person,PH00022,phone,OWNED_BY,2024-08-14T02:41:01,C0002,nan,0.84,nan
R000054,P00028,person,ACC00016,account,OWNED_BY,2024-08-12T21:18:54,C0002,nan,0.76,nan
R000055,P00028,person,D00008,device,OWNED_BY,2024-08-26T03:22:50,C0002,nan,0.96,nan
R000056,P00029,person,D00009,device,OWNED_BY,2024-08-19T09:53:57,C0002,nan,0.91,nan
R000057,P00029,person,L0417,location,OPERATED_IN,2024-08-12T00:01:09,C0002,nan,0.91,nan
R000058,P00030,person,ACC00017,account,OWNED_BY,2024-08-18T17:25:12,C0002,nan,0.84,nan
R000059,P00030,person,V00004,vehicle,OWNED_BY,2024-08-27T05:27:14,C0002,nan,0.64,nan
R000060,P00031,person,PH00023,phone,OWNED_BY,2024-08-31T08:53:35,C0002,nan,0.66,nan
R000061,P00031,person,ACC00018,account,OWNED_BY,2024-08-30T22:34:58,C0002,nan,0.98,nan
R000062,P00031,person,V00005,vehicle,OWNED_BY,2024-08-28T07:46:49,C0002,nan,0.91,nan
R000063,P00032,person,PH00024,phone,OWNED_BY,2024-08-31T18:55:06,C0002,nan,0.64,nan
R000064,P00032,person,ACC00019,account,OWNED_BY,2024-08-26T11:58:53,C0002,nan,0.68,nan
R000065,P00032,person,D00010,device,OWNED_BY,2024-08-13T06:43:26,C0002,nan,0.75,nan
R000066,P00033,person,ACC00020,account,OWNED_BY,2024-08-12T03:21:22,C0002,nan,0.79,nan
R000067,P00033,person,L0205,location,OPERATED_IN,2024-08-14T06:38:01,C0002,nan,0.81,nan
R000068,P00034,person,PH00025,phone,OWNED_BY,2024-06-19T06:05:37,C0003,nan,0.61,nan
R000069,P00034,person,ACC00021,account,OWNED_BY,2024-07-09T17:55:04,C0003,nan,0.73,nan
R000070,P00035,person,PH00026,phone,OWNED_BY,2024-03-23T19:57:35,C0003,nan,0.93,nan
R000071,P00035,person,ACC00022,account,OWNED_BY,2024-06-13T09:06:07,C0003,nan,0.79,nan
R000072,P00035,person,D00011,device,OWNED_BY,2024-01-28T12:45:22,C0003,nan,0.63,nan
R000073,P00035,person,L0325,location,OPERATED_IN,2024-06-14T19:32:19,C0003,nan,0.76,nan
R000074,P00036,person,PH00027,phone,OWNED_BY,2024-02-03T20:01:02,C0003,nan,0.73,nan
R000075,P00036,person,ACC00023,account,OWNED_BY,2024-03-09T21:58:56,C0003,nan,0.62,nan
R000076,P00037,person,D00012,device,OWNED_BY,2024-11-02T17:30:08,C0003,nan,0.71,nan
R000077,P00037,person,V00006,vehicle,OWNED_BY,2024-01-16T00:59:03,C0003,nan,0.61,nan
R000078,P00037,person,L0545,location,OPERATED_IN,2024-04-04T21:43:47,C0003,nan,0.61,nan
R000079,P00038,person,PH00028,phone,OWNED_BY,2024-04-28T17:08:07,C0003,nan,0.77,nan
R000080,P00038,person,D00013,device,OWNED_BY,2024-01-18T02:37:00,C0003,nan,0.69,nan
R000081,P00039,person,PH00029,phone,OWNED_BY,2024-10-31T01:08:28,C0003,nan,0.67,nan
R000082,P00039,person,PH00030,phone,OWNED_BY,2024-11-27T19:25:30,C0003,nan,0.86,nan
R000083,P00039,person,D00014,device,OWNED_BY,2024-01-12T14:45:19,C0003,nan,0.97,nan
R000084,P00039,person,O0002,organization,MEMBER_OF,2024-08-22T07:33:57,C0003,nan,0.7,nan
R000085,P00040,person,PH00031,phone,OWNED_BY,2024-08-06T15:17:05,C0003,nan,0.68,nan
R000086,P00040,person,D00015,device,OWNED_BY,2024-12-03T01:15:44,C0003,nan,0.77,nan
R000087,P00040,person,L0039,location,OPERATED_IN,2024-02-07T08:37:24,C0003,nan,0.72,nan
R000088,P00041,person,ACC00024,account,OWNED_BY,2024-10-14T07:13:24,C0003,nan,0.67,nan
R000089,P00041,person,V00007,vehicle,OWNED_BY,2024-08-06T13:55:27,C0003,nan,0.91,nan
R000090,P00042,person,O0002,organization,MEMBER_OF,2024-06-22T14:27:36,C0003,nan,0.88,nan
R000091,P00043,person,PH00032,phone,OWNED_BY,2024-09-29T08:51:43,C0003,nan,0.97,nan
R000092,P00043,person,PH00033,phone,OWNED_BY,2024-04-12T01:39:17,C0003,nan,0.74,nan
R000093,P00043,person,L0544,location,OPERATED_IN,2024-08-26T10:53:16,C0003,nan,0.93,nan
R000094,P00044,person,PH00034,phone,OWNED_BY,2024-03-24T15:40:54,C0003,nan,0.82,nan
R000095,P00044,person,D00016,device,OWNED_BY,2024-02-10T08:55:31,C0003,nan,0.65,nan
R000096,P00044,person,O0002,organization,MEMBER_OF,2024-08-04T20:03:14,C0003,nan,0.64,nan
R000097,P00044,person,L0525,location,OPERATED_IN,2024-05-05T18:20:02,C0003,nan,0.82,nan
R000098,P00045,person,PH00035,phone,OWNED_BY,2024-03-21T17:45:02,C0003,nan,0.83,nan
R000099,P00045,person,ACC00025,account,OWNED_BY,2024-03-07T18:23:53,C0003,nan,0.92,nan
R000100,P00045,person,L0376,location,OPERATED_IN,2024-07-29T11:21:26,C0003,nan,0.95,nan
R000101,P00046,person,PH00036,phone,OWNED_BY,2024-02-17T04:58:37,C0003,nan,0.61,nan
R000102,P00047,person,PH00037,phone,OWNED_BY,2024-12-07T12:48:41,C0003,nan,0.63,nan
R000103,P00047,person,PH00038,phone,OWNED_BY,2024-11-23T16:51:03,C0003,nan,0.84,nan
R000104,P00047,person,O0002,organization,MEMBER_OF,2024-07-13T09:58:15,C0003,nan,0.73,nan
R000105,P00048,person,ACC00026,account,OWNED_BY,2024-04-19T11:05:22,C0003,nan,0.82,nan
R000106,P00048,person,D00017,device,OWNED_BY,2024-04-24T07:36:52,C0003,nan,0.92,nan
R000107,P00048,person,V00008,vehicle,OWNED_BY,2024-04-19T13:32:09,C0003,nan,0.82,nan
R000108,P00049,person,D00018,device,OWNED_BY,2024-05-20T23:06:08,C0003,nan,0.94,nan
R000109,P00049,person,O0002,organization,MEMBER_OF,2024-12-16T02:08:32,C0003,nan,0.94,nan
R000110,P00050,person,ACC00027,account,OWNED_BY,2024-03-13T18:38:39,C0003,nan,0.64,nan
R000111,P00050,person,V00009,vehicle,OWNED_BY,2024-11-29T23:11:46,C0003,nan,0.9,nan
R000112,P00051,person,PH00039,phone,OWNED_BY,2024-05-12T12:20:28,C0003,nan,0.67,nan
R000113,P00051,person,ACC00028,account,OWNED_BY,2024-07-07T16:57:33,C0003,nan,0.83,nan
R000114,P00051,person,O0002,organization,MEMBER_OF,2024-03-04T05:09:02,C0003,nan,0.92,nan
R000115,P00052,person,ACC00029,account,OWNED_BY,2024-02-14T05:07:18,C0003,nan,0.71,nan
R000116,P00052,person,O0002,organization,MEMBER_OF,2024-02-01T19:48:06,C0003,nan,0.96,nan
R000117,P00053,person,PH00040,phone,OWNED_BY,2024-10-12T17:34:51,C0003,nan,0.68,nan
R000118,P00053,person,D00019,device,OWNED_BY,2024-11-25T14:18:58,C0003,nan,0.64,nan
R000119,P00054,person,PH00041,phone,OWNED_BY,2024-08-30T03:22:51,C0003,nan,0.63,nan
R000120,P00054,person,D00020,device,OWNED_BY,2024-06-11T21:49:04,C0003,nan,0.88,nan
R000121,P00055,person,D00021,device,OWNED_BY,2024-01-12T21:12:16,C0003,nan,0.78,nan
R000122,P00055,person,O0002,organization,MEMBER_OF,2024-06-03T09:08:12,C0003,nan,0.85,nan
R000123,P00055,person,L0440,location,OPERATED_IN,2024-01-09T00:27:04,C0003,nan,0.79,nan
R000124,P00056,person,PH00042,phone,OWNED_BY,2024-08-02T12:40:37,C0003,nan,0.69,nan
R000125,P00056,person,ACC00030,account,OWNED_BY,2024-05-30T20:25:38,C0003,nan,0.74,nan
R000126,P00056,person,V00010,vehicle,OWNED_BY,2024-04-27T03:11:29,C0003,nan,0.97,nan
R000127,P00056,person,L0450,location,OPERATED_IN,2024-11-26T15:53:51,C0003,nan,0.94,nan
R000128,P00057,person,PH00043,phone,OWNED_BY,2024-01-10T13:03:35,C0003,nan,0.9,nan
R000129,P00057,person,ACC00031,account,OWNED_BY,2024-10-19T08:31:46,C0003,nan,0.69,nan
R000130,P00057,person,V00011,vehicle,OWNED_BY,2024-08-02T19:21:08,C0003,nan,0.84,nan
R000131,P00057,person,O0002,organization,MEMBER_OF,2024-10-02T12:05:49,C0003,nan,0.87,nan
R000132,P00058,person,ACC00032,account,OWNED_BY,2024-09-30T15:35:43,C0004,nan,0.75,nan
R000133,P00058,person,D00022,device,OWNED_BY,2024-12-12T03:24:08,C0004,nan,0.72,nan
R000134,P00059,person,PH00044,phone,OWNED_BY,2024-05-10T02:22:31,C0004,nan,0.86,nan
R000135,P00059,person,ACC00033,account,OWNED_BY,2024-08-10T19:38:48,C0004,nan,0.76,nan
R000136,P00059,person,D00023,device,OWNED_BY,2024-01-11T13:05:21,C0004,nan,0.75,nan
R000137,P00059,person,V00012,vehicle,OWNED_BY,2024-05-01T03:29:51,C0004,nan,0.63,nan
R000138,P00060,person,PH00045,phone,OWNED_BY,2024-10-14T18:32:24,C0004,nan,0.87,nan
R000139,P00060,person,PH00046,phone,OWNED_BY,2024-09-06T09:27:16,C0004,nan,0.89,nan
R000140,P00060,person,ACC00034,account,OWNED_BY,2024-02-12T03:50:11,C0004,nan,0.98,nan
R000141,P00061,person,PH00047,phone,OWNED_BY,2024-06-20T23:55:29,C0004,nan,0.77,nan
R000142,P00061,person,ACC00035,account,OWNED_BY,2024-07-27T11:16:27,C0004,nan,0.73,nan
R000143,P00061,person,D00024,device,OWNED_BY,2024-03-11T00:28:20,C0004,nan,0.72,nan
R000144,P00061,person,V00013,vehicle,OWNED_BY,2024-06-30T15:27:57,C0004,nan,0.71,nan
R000145,P00062,person,ACC00036,account,OWNED_BY,2024-08-29T04:38:46,C0004,nan,0.85,nan
R000146,P00063,person,PH00048,phone,OWNED_BY,2024-11-12T23:16:46,C0004,nan,0.85,nan
R000147,P00063,person,V00014,vehicle,OWNED_BY,2024-04-09T06:48:59,C0004,nan,0.77,nan
R000148,P00064,person,ACC00037,account,OWNED_BY,2024-03-06T06:01:50,C0004,nan,0.76,nan
R000149,P00064,person,D00025,device,OWNED_BY,2024-01-19T03:14:14,C0004,nan,0.61,nan
R000150,P00064,person,L0264,location,OPERATED_IN,2024-08-17T22:38:52,C0004,nan,0.78,nan
R000151,P00065,person,PH00049,phone,OWNED_BY,2024-05-22T00:21:21,C0004,nan,0.72,nan
R000152,P00065,person,ACC00038,account,OWNED_BY,2024-12-18T12:02:42,C0004,nan,0.93,nan
R000153,P00066,person,PH00050,phone,OWNED_BY,2024-08-29T10:28:43,C0004,nan,0.78,nan
R000154,P00067,person,D00026,device,OWNED_BY,2024-02-19T19:54:07,C0004,nan,0.64,nan
R000155,P00068,person,PH00051,phone,OWNED_BY,2024-02-06T06:26:57,C0004,nan,0.83,nan
R000156,P00068,person,ACC00039,account,OWNED_BY,2024-12-03T12:31:48,C0004,nan,0.78,nan
R000157,P00069,person,PH00052,phone,OWNED_BY,2024-07-11T05:43:58,C0004,nan,0.64,nan
R000158,P00069,person,ACC00040,account,OWNED_BY,2024-10-19T19:39:32,C0004,nan,0.99,nan
R000159,P00070,person,PH00053,phone,OWNED_BY,2024-02-15T00:47:38,C0004,nan,0.94,nan
R000160,P00070,person,L0343,location,OPERATED_IN,2024-08-15T07:11:30,C0004,nan,0.97,nan
R000161,P00071,person,ACC00041,account,OWNED_BY,2024-04-02T07:43:38,C0004,nan,0.77,nan
R000162,P00071,person,D00027,device,OWNED_BY,2024-06-15T10:55:58,C0004,nan,0.95,nan
R000163,P00072,person,PH00054,phone,OWNED_BY,2024-04-07T12:04:50,C0004,nan,0.76,nan
R000164,P00072,person,D00028,device,OWNED_BY,2024-08-16T01:18:51,C0004,nan,0.76,nan
R000165,P00073,person,PH00055,phone,OWNED_BY,2024-10-12T03:09:54,C0004,nan,0.7,nan
R000166,P00073,person,D00029,device,OWNED_BY,2024-12-12T15:13:16,C0004,nan,0.64,nan
R000167,P00073,person,L0565,location,OPERATED_IN,2024-08-30T07:48:16,C0004,nan,0.73,nan
R000168,P00074,person,ACC00042,account,OWNED_BY,2024-10-20T04:33:18,C0004,nan,0.61,nan
R000169,P00075,person,PH00056,phone,OWNED_BY,2024-08-24T10:49:33,C0005,nan,0.78,nan
R000170,P00075,person,D00030,device,OWNED_BY,2024-08-22T05:39:42,C0005,nan,0.66,nan
R000171,P00076,person,D00031,device,OWNED_BY,2024-08-25T23:22:53,C0005,nan,0.89,nan
R000172,P00076,person,O0003,organization,MEMBER_OF,2024-08-26T13:00:48,C0005,nan,0.97,nan
R000173,P00076,person,L0453,location,OPERATED_IN,2024-08-25T20:51:08,C0005,nan,0.98,nan
R000174,P00077,person,ACC00043,account,OWNED_BY,2024-08-25T00:20:27,C0005,nan,0.91,nan
R000175,P00077,person,D00032,device,OWNED_BY,2024-08-24T03:04:15,C0005,nan,0.66,nan
R000176,P00079,person,PH00057,phone,OWNED_BY,2024-08-30T10:17:34,C0005,nan,0.74,nan
R000177,P00079,person,ACC00044,account,OWNED_BY,2024-08-22T18:19:36,C0005,nan,0.68,nan
R000178,P00079,person,D00033,device,OWNED_BY,2024-08-24T17:33:52,C0005,nan,0.71,nan
R000179,P00079,person,V00015,vehicle,OWNED_BY,2024-08-27T07:29:23,C0005,nan,0.73,nan
R000180,P00080,person,PH00058,phone,OWNED_BY,2024-08-27T01:53:33,C0005,nan,0.62,nan
R000181,P00080,person,ACC00045,account,OWNED_BY,2024-08-25T17:31:18,C0005,nan,0.82,nan
R000182,P00081,person,PH00059,phone,OWNED_BY,2024-03-29T19:46:10,C0006,nan,0.88,nan
R000183,P00081,person,ACC00046,account,OWNED_BY,2024-05-10T12:49:36,C0006,nan,0.65,nan
R000184,P00081,person,D00034,device,OWNED_BY,2024-07-12T18:41:24,C0006,nan,0.71,nan
R000185,P00083,person,PH00060,phone,OWNED_BY,2024-12-30T20:46:11,C0006,nan,0.98,nan
R000186,P00083,person,ACC00047,account,OWNED_BY,2024-01-13T04:02:29,C0006,nan,0.76,nan
R000187,P00084,person,PH00061,phone,OWNED_BY,2024-05-13T14:46:28,C0006,nan,0.77,nan
R000188,P00084,person,ACC00048,account,OWNED_BY,2024-10-20T22:12:36,C0006,nan,0.68,nan
R000189,P00085,person,ACC00049,account,OWNED_BY,2024-08-03T15:06:34,C0006,nan,0.85,nan
R000190,P00085,person,D00035,device,OWNED_BY,2024-08-19T21:24:59,C0006,nan,0.8,nan
R000191,P00085,person,V00016,vehicle,OWNED_BY,2024-09-30T04:26:20,C0006,nan,0.78,nan
R000192,P00086,person,PH00062,phone,OWNED_BY,2024-05-17T02:01:00,C0006,nan,0.96,nan
R000193,P00086,person,ACC00050,account,OWNED_BY,2024-10-16T09:53:04,C0006,nan,0.74,nan
R000194,P00087,person,PH00063,phone,OWNED_BY,2024-08-22T04:10:26,C0006,nan,0.65,nan
R000195,P00087,person,ACC00051,account,OWNED_BY,2024-11-22T03:42:09,C0006,nan,0.95,nan
R000196,P00087,person,D00036,device,OWNED_BY,2024-09-02T00:37:44,C0006,nan,0.99,nan
R000197,P00088,person,PH00064,phone,OWNED_BY,2024-02-27T10:05:56,C0006,nan,0.74,nan
R000198,P00088,person,L0194,location,OPERATED_IN,2024-02-03T09:45:50,C0006,nan,0.97,nan
R000199,P00089,person,PH00065,phone,OWNED_BY,2024-05-13T05:23:54,C0006,nan,0.7,nan
R000200,P00089,person,V00017,vehicle,OWNED_BY,2024-05-29T10:02:17,C0006,nan,0.89,nan
R000201,P00090,person,PH00066,phone,OWNED_BY,2024-03-22T23:36:01,C0006,nan,0.72,nan
R000202,P00090,person,ACC00052,account,OWNED_BY,2024-02-18T11:51:32,C0006,nan,0.93,nan
R000203,P00090,person,L0173,location,OPERATED_IN,2024-12-04T17:12:31,C0006,nan,0.71,nan
R000204,P00091,person,PH00067,phone,OWNED_BY,2024-02-01T16:57:07,C0006,nan,0.61,nan
R000205,P00091,person,D00037,device,OWNED_BY,2024-11-09T02:55:04,C0006,nan,0.6,nan
R000206,P00091,person,V00018,vehicle,OWNED_BY,2024-06-28T19:07:03,C0006,nan,0.87,nan
R000207,P00091,person,L0057,location,OPERATED_IN,2024-09-18T02:45:05,C0006,nan,0.6,nan
R000208,P00092,person,ACC00053,account,OWNED_BY,2024-09-25T15:52:12,C0006,nan,0.88,nan
R000209,P00094,person,PH00068,phone,OWNED_BY,2024-05-28T06:11:54,C0006,nan,0.73,nan
R000210,P00094,person,ACC00054,account,OWNED_BY,2024-12-29T06:27:16,C0006,nan,0.92,nan
R000211,P00095,person,ACC00055,account,OWNED_BY,2024-05-12T19:48:52,C0006,nan,0.77,nan
R000212,P00096,person,D00038,device,OWNED_BY,2024-02-01T14:22:47,C0006,nan,0.92,nan
R000213,P00096,person,L0372,location,OPERATED_IN,2024-01-26T17:47:12,C0006,nan,0.69,nan
R000214,P00097,person,PH00069,phone,OWNED_BY,2024-02-07T12:29:55,C0006,nan,0.95,nan
R000215,P00097,person,ACC00056,account,OWNED_BY,2024-04-06T20:09:25,C0006,nan,0.74,nan
R000216,P00098,person,PH00070,phone,OWNED_BY,2024-08-12T08:21:12,C0006,nan,0.61,nan
R000217,P00098,person,ACC00057,account,OWNED_BY,2024-08-05T13:27:54,C0006,nan,0.66,nan
R000218,P00098,person,V00019,vehicle,OWNED_BY,2024-05-12T15:00:19,C0006,nan,0.85,nan
R000219,P00098,person,L0244,location,OPERATED_IN,2024-05-25T19:07:38,C0006,nan,0.65,nan
R000220,P00099,person,PH00071,phone,OWNED_BY,2024-07-09T02:01:28,C0006,nan,0.74,nan
R000221,P00100,person,PH00072,phone,OWNED_BY,2024-02-14T22:12:57,C0006,nan,0.65,nan
R000222,P00101,person,PH00073,phone,OWNED_BY,2024-01-26T16:56:06,C0006,nan,0.75,nan
R000223,P00101,person,ACC00058,account,OWNED_BY,2024-12-09T02:28:24,C0006,nan,0.9,nan
R000224,P00101,person,L0101,location,OPERATED_IN,2024-07-10T07:14:40,C0006,nan,0.6,nan
R000225,P00102,person,PH00074,phone,OWNED_BY,2024-02-02T15:20:38,C0006,nan,0.94,nan
R000226,P00102,person,D00039,device,OWNED_BY,2024-08-30T16:18:15,C0006,nan,0.91,nan
R000227,P00103,person,PH00075,phone,OWNED_BY,2024-05-17T02:23:29,C0006,nan,0.9,nan
R000228,P00103,person,ACC00059,account,OWNED_BY,2024-06-30T08:29:17,C0006,nan,0.68,nan
R000229,P00104,person,PH00076,phone,OWNED_BY,2024-03-24T04:20:53,C0006,nan,0.88,nan
R000230,P00104,person,L0531,location,OPERATED_IN,2024-04-16T20:18:20,C0006,nan,0.82,nan
R000231,P00105,person,PH00077,phone,OWNED_BY,2024-05-20T04:09:06,C0006,nan,0.8,nan
R000232,P00105,person,ACC00060,account,OWNED_BY,2024-05-22T15:25:34,C0006,nan,0.62,nan
R000233,P00106,person,PH00078,phone,OWNED_BY,2024-12-04T07:15:03,C0006,nan,0.85,nan
R000234,P00106,person,ACC00061,account,OWNED_BY,2024-11-05T04:55:08,C0006,nan,0.8,nan
R000235,P00106,person,D00040,device,OWNED_BY,2024-04-05T21:45:44,C0006,nan,0.76,nan
R000236,P00106,person,V00020,vehicle,OWNED_BY,2024-06-02T18:56:23,C0006,nan,0.8,nan
R000237,P00107,person,PH00079,phone,OWNED_BY,2024-03-30T16:24:10,C0006,nan,0.93,nan
R000238,P00107,person,ACC00062,account,OWNED_BY,2024-12-29T14:01:28,C0006,nan,0.84,nan
R000239,P00108,person,PH00080,phone,OWNED_BY,2024-10-08T06:48:36,C0006,nan,0.89,nan
R000240,P00108,person,D00041,device,OWNED_BY,2024-11-02T18:56:56,C0006,nan,0.93,nan
R000241,P00108,person,L0026,location,OPERATED_IN,2024-10-19T05:55:21,C0006,nan,0.68,nan
R000242,P00109,person,ACC00063,account,OWNED_BY,2024-07-28T15:35:38,C0006,nan,0.71,nan
R000243,P00109,person,L0162,location,OPERATED_IN,2024-03-12T00:39:03,C0006,nan,0.93,nan
R000244,P00110,person,D00042,device,OWNED_BY,2024-09-23T13:47:56,C0006,nan,0.75,nan
R000245,P00111,person,PH00081,phone,OWNED_BY,2024-06-22T06:07:58,C0006,nan,0.85,nan
R000246,P00111,person,L0081,location,OPERATED_IN,2024-06-08T23:15:29,C0006,nan,0.94,nan
R000247,P00112,person,PH00082,phone,OWNED_BY,2024-07-16T02:46:44,C0006,nan,0.66,nan
R000248,P00112,person,PH00083,phone,OWNED_BY,2024-07-01T13:11:00,C0006,nan,0.82,nan
R000249,P00112,person,ACC00064,account,OWNED_BY,2024-10-05T08:01:42,C0006,nan,0.71,nan
R000250,P00113,person,PH00084,phone,OWNED_BY,2024-04-12T02:30:32,C0007,nan,0.99,nan
R000251,P00113,person,PH00085,phone,OWNED_BY,2024-06-06T07:52:16,C0007,nan,0.76,nan
R000252,P00113,person,D00043,device,OWNED_BY,2024-06-09T12:28:38,C0007,nan,0.93,nan
R000253,P00114,person,ACC00065,account,OWNED_BY,2024-07-11T02:27:38,C0007,nan,0.61,nan
R000254,P00114,person,D00044,device,OWNED_BY,2024-05-16T14:41:51,C0007,nan,0.98,nan
R000255,P00116,person,PH00086,phone,OWNED_BY,2024-03-29T22:31:21,C0007,nan,0.81,nan
R000256,P00116,person,ACC00066,account,OWNED_BY,2024-05-25T10:58:15,C0007,nan,0.82,nan
R000257,P00116,person,D00045,device,OWNED_BY,2024-05-16T08:38:27,C0007,nan,0.86,nan
R000258,P00116,person,V00021,vehicle,OWNED_BY,2024-07-02T18:33:11,C0007,nan,0.65,nan
R000259,P00116,person,L0156,location,OPERATED_IN,2024-04-27T19:50:40,C0007,nan,0.92,nan
R000260,P00117,person,PH00087,phone,OWNED_BY,2024-07-07T22:17:59,C0007,nan,0.82,nan
R000261,P00117,person,ACC00067,account,OWNED_BY,2024-06-14T00:04:12,C0007,nan,0.92,nan
R000262,P00117,person,D00046,device,OWNED_BY,2024-07-14T18:26:12,C0007,nan,0.7,nan
R000263,P00118,person,PH00088,phone,OWNED_BY,2024-04-06T11:48:51,C0007,nan,0.99,nan
