alias_id,person_id,alias,alias_type,source,evidence_id,confidence
A00039,P00192,raj54,Nickname,Business Listing,nan,0.59
A00040,P00195,rahul62,Social Media Username,Public Directory,E00134,0.79
A00041,P00198,manav73,Social Media Username,Public Directory,nan,0.85
A00042,P00211,rohan63,Social Media Username,Business Listing,nan,0.93
A00043,P00213,aditya71,Nickname,Business Listing,E00147,0.66
A00044,P00219,kiara46,Social Media Username,Public Directory,nan,0.68
A00045,P00220,karan73,Business Alias,Social Platform,nan,0.9
A00046,P00229,kabir83,Social Media Username,Social Platform,nan,0.76
A00047,P00232,karan85,Nickname,Public Directory,nan,0.81
A00048,P00238,rhea93,Nickname,Public Directory,nan,0.78
A00049,P00240,akash36,Business Alias,Public Directory,E00164,0.59
A00050,P00241,harsh82,Social Media Username,Social Platform,E00165,0.87
A00051,P00247,avni95,Nickname,Business Listing,E00169,0.63
A00052,P00248,simran26,Business Alias,Public Directory,nan,0.79
A00053,P00253,naveen63,Nickname,Business Listing,nan,0.93
A00054,P00257,aniket19,Nickname,Business Listing,nan,0.73
A00055,P00262,naina72,Nickname,Public Directory,nan,0.81
A00056,P00266,kunal59,Social Media Username,Business Listing,E00181,0.63
A00057,P00270,mohit74,Business Alias,Public Directory,E00184,0.63
A00058,P00277,karan66,Social Media Username,Social Platform,nan,0.81
A00059,P00280,yamini17,Business Alias,Public Directory,E00195,0.55
A00060,P00281,diya66,Nickname,Business Listing,nan,0.98
A00061,P00290,tanvi90,Business Alias,Business Listing,nan,0.66
A00062,P00294,akash74,Nickname,Business Listing,E00203,0.83
A00063,P00301,ananya63,Business Alias,Public Directory,nan,0.7
A00064,P00306,aman24,Social Media Username,Public Directory,nan,0.68
A00065,P00309,vikram54,Nickname,Business Listing,nan,0.64
A00066,P00311,rohan77,Business Alias,Business Listing,E00210,0.61
A00067,P00312,sneha99,Business Alias,Public Directory,E00211,0.7
A00068,P00313,varun22,Social Media Username,Social Platform,nan,0.58
A00069,P00318,pranav90,Business Alias,Social Platform,nan,0.65
A00070,P00325,mohit32,Nickname,Business Listing,nan,0.74
A00071,P00328,tanvi45,Nickname,Social Platform,nan,0.69
A00072,P00330,siddharth95,Social Media Username,Business Listing,E00227,0.97
A00073,P00340,sana44,Nickname,Public Directory,nan,0.59
A00074,P00342,ishaan64,Social Media Username,Public Directory,E00244,0.58
A00075,P00346,pranav13,Nickname,Business Listing,E00247,0.9
A00076,P00356,siddharth61,Nickname,Public Directory,nan,0.71
A00077,P00374,naina40,Nickname,Public Directory,nan,0.8
A00078,P00404,aniket69,Business Alias,Public Directory,nan,0.92
A00079,P00414,zoya90,Business Alias,Public Directory,nan,0.62
A00080,P00420,aniket58,Nickname,Business Listing,nan,0.67
A00081,P00438,sana29,Social Media Username,Public Directory,nan,0.85
A00082,P00442,tanvi60,Business Alias,Public Directory,E00311,0.75
A00083,P00443,harsh16,Social Media Username,Business Listing,E00313,0.79
A00084,P00447,avni95,Nickname,Business Listing,nan,0.85
A00085,P00448,shreya65,Nickname,Business Listing,E00318,0.74
A00086,P00449,rohan93,Social Media Username,Business Listing,nan,0.75
A00087,P00453,tanvi54,Nickname,Social Platform,E00321,0.66
A00088,P00460,avni84,Social Media Username,Social Platform,nan,0.73
A00089,P00461,harsh63,Social Media Username,Business Listing,E00332,0.96
A00090,P00466,sneha39,Social Media Username,Public Directory,E00334,0.84
A00091,P00471,avni58,Social Media Username,Public Directory,E00337,0.88
A00092,P00479,aditya76,Social Media Username,Business Listing,nan,0.89
A00093,P00481,manav21,Nickname,Social Platform,E00348,0.87
A00094,P00482,riya64,Nickname,Social Platform,nan,0.59
A00095,P00487,raj11,Social Media Username,Business Listing,nan,0.71
A00096,P00490,nisha63,Nickname,Public Directory,nan,0.93
A00097,P00492,naveen50,Social Media Username,Business Listing,nan,0.59
A00098,P00495,karan70,Social Media Username,Business Listing,nan,0.6
A00099,P00505,mahi78,Nickname,Social Platform,E00365,0.83
A00100,P00513,pallavi55,Nickname,Public Directory,nan,0.62
A00101,P00515,isha57,Social Media Username,Social Platform,nan,0.87
A00102,P00522,yamini41,Social Media Username,Social Platform,nan,0.63
A00103,P00528,siddharth29,Social Media Username,Business Listing,E00376,0.84
A00104,P00531,aditi12,Social Media Username,Public Directory,nan,0.83
A00105,P00535,sana44,Social Media Username,Public Directory,nan,0.73
A00106,P00538,mohit89,Social Media Username,Public Directory,nan,0.63
A00107,P00539,karan69,Nickname,Social Platform,nan,0.86
A00108,P00544,simran34,Social Media Username,Business Listing,E00390,0.93
A00109,P00550,manav35,Nickname,Public Directory,E00396,0.92
A00110,P00555,ishaan37,Business Alias,Social Platform,nan,0.85
A00111,P00557,ishaan54,Business Alias,Public Directory,E00402,0.76
A00112,P00566,avni15,Social Media Username,Social Platform,nan,0.76
A00113,P00572,kiara44,Business Alias,Social Platform,nan,0.97
A00114,P00576,aditya51,Business Alias,Public Directory,nan,0.56
A00115,P00582,tara44,Nickname,Business Listing,nan,0.56
A00116,P00591,pranav93,Social Media Username,Public Directory,E00431,0.82
A00117,P00592,manav76,Business Alias,Public Directory,E00432,0.65
A00118,P00599,diya31,Nickname,Business Listing,nan,0.84
A00119,P00603,kabir32,Business Alias,Public Directory,nan,0.62
A00120,P00605,tara81,Business Alias,Public Directory,nan,0.89
A00121,P00607,sneha76,Business Alias,Business Listing,E00445,0.58
A00122,P00615,ishita70,Social Media Username,Social Platform,E00453,0.88
A00123,P00621,saurabh43,Nickname,Social Platform,nan,0.83
A00124,P00622,aniket12,Nickname,Social Platform,nan,0.67
A00125,P00623,saurabh15,Social Media Username,Social Platform,nan,0.85
A00126,P00629,kabir55,Nickname,Social Platform,nan,0.67
A00127,P00633,vanya69,Business Alias,Public Directory,nan,0.82
A00128,P00635,vidhi12,Social Media Username,Business Listing,nan,0.59
A00129,P00649,pooja19,Nickname,Social Platform,E00478,0.81
A00130,P00654,rohan75,Business Alias,Social Platform,E00481,0.57
A00131,P00658,kabir67,Business Alias,Business Listing,E00485,0.86
A00132,P00659,aman43,Business Alias,Social Platform,E00486,0.74
A00133,P00661,raj72,Social Media Username,Social Platform,E00489,0.9
A00134,P00671,ishita79,Business Alias,Public Directory,nan,0.83
A00135,P00683,mahi53,Business Alias,Business Listing,E00507,0.58
A00136,P00684,nisha82,Social Media Username,Social Platform,E00508,0.76
A00137,P00685,simran41,Nickname,Business Listing,E00509,0.82
A00138,P00688,arjun71,Social Media Username,Public Directory,E00514,0.72
A00139,P00689,rhea37,Nickname,Business Listing,E00515,0.6
A00140,P00695,vanya14,Business Alias,Social Platform,nan,0.57
A00141,P00701,rhea21,Social Media Username,Business Listing,E00526,0.56
A00142,P00705,karan84,Business Alias,Public Directory,E00530,0.83
A00143,P00706,saurabh73,Social Media Username,Public Directory,E00531,0.68
A00144,P00708,mahi26,Nickname,Business Listing,nan,0.9
A00145,P00728,isha22,Nickname,Business Listing,nan,0.84
A00146,P00732,arnav97,Business Alias,Social Platform,E00548,0.82
A00147,P00738,mahi74,Nickname,Public Directory,E00553,0.6
A00148,P00743,tara64,Business Alias,Business Listing,E00560,0.72
A00149,P00744,simran88,Nickname,Business Listing,nan,0.97
A00150,P00749,raj60,Business Alias,Business Listing,E00568,0.74
A00151,P00764,ritesh98,Social Media Username,Public Directory,nan,0.93
A00152,P00768,mohit24,Social Media Username,Public Directory,nan,0.82
A00153,P00772,rhea40,Social Media Username,Public Directory,nan,0.75
A00154,P00776,aman92,Business Alias,Public Directory,E00585,0.55
A00155,P00783,naina99,Business Alias,Social Platform,E00590,0.87
A00156,P00785,arnav90,Social Media Username,Business Listing,nan,0.87
A00157,P00787,rahul78,Nickname,Public Directory,E00595,0.88
A00158,P00791,rhea37,Nickname,Business Listing,nan,0.64
A00159,P00793,sneha33,Social Media Username,Business Listing,nan,0.88
A00160,P00795,vanya51,Social Media Username,Public Directory,nan,0.61
A00161,P00797,raj32,Business Alias,Public Directory,nan,0.62
A00162,P00804,tara17,Nickname,Social Platform,nan,0.55
A00163,P00809,shreya86,Business Alias,Business Listing,nan,0.63
A00164,P00819,kunal38,Nickname,Business Listing,nan,0.61
A00165,P00820,ishita79,Nickname,Business Listing,nan,0.89
A00166,P00829,aniket72,Social Media Username,Public Directory,E00626,0.76
A00167,P00838,pallavi32,Social Media Username,Social Platform,E00629,0.94
A00168,P00843,sneha76,Business Alias,Social Platform,nan,0.94
A00169,P00846,nisha94,Social Media Username,Social Platform,nan,0.68
A00170,P00855,ishita94,Nickname,Public Directory,E00645,0.68
A00171,P00871,aarav97,Nickname,Public Directory,nan,0.76
A00172,P00878,aanya38,Business Alias,Social Platform,nan,0.7
A00173,P00885,shreya53,Social Media Username,Public Directory,E00660,0.78
A00174,P00891,karan49,Business Alias,Social Platform,E00666,0.87
A00175,P00896,kiara22,Social Media Username,Business Listing,E00670,0.61
A00176,P00897,ananya34,Social Media Username,Business Listing,E00671,0.68
A00177,P00900,shreya13,Nickname,Public Directory,nan,0.82
A00178,P00909,raj69,Social Media Username,Social Platform,E00681,0.75
A00179,P00910,aditi38,Nickname,Public Directory,nan,0.64
A00180,P00911,raj92,Nickname,Public Directory,E00684,0.89
A00181,P00919,tara89,Nickname,Social Platform,nan,0.94
A00182,P00922,rahul96,Business Alias,Social Platform,nan,0.64
A00183,P00924,aarav17,Social Media Username,Business Listing,nan,0.7
A00184,P00925,ishaan65,Nickname,Business Listing,E00691,0.93
A00185,P00932,kiara78,Business Alias,Business Listing,E00695,0.65
A00186,P00933,pooja75,Nickname,Business Listing,E00697,0.79
A00187,P00937,rahul94,Social Media Username,Business Listing,nan,0.82
A00188,P00939,sameer46,Social Media Username,Social Platform,E00705,0.56
A00189,P00942,aniket32,Social Media Username,Public Directory,nan,0.83
A00190,P00946,pranav57,Nickname,Business Listing,E00709,0.94
A00191,P00959,kiara68,Business Alias,Business Listing,nan,0.61
A00192,P00961,avni77,Business Alias,Public Directory,E00719,0.69
A00193,P00966,aditya13,Social Media Username,Public Directory,nan,0.75
A00194,P00972,avni29,Nickname,Business Listing,nan,0.72
A00195,P00978,tara40,Nickname,Business Listing,E00732,0.57
A00196,P00980,pooja91,Social Media Username,Public Directory,nan,0.73
A00197,P00982,akash33,Social Media Username,Business Listing,nan,0.83
A00198,P00988,kunal51,Business Alias,Public Directory,E00738,0.76
A00199,P00990,manav48,Nickname,Public Directory,nan,0.79
A00200,P00995,riya86,Social Media Username,Public Directory,E00747,0.84
A00201,P01001,meera60,Social Media Username,Public Directory,E00751,0.57
A00202,P01005,siddharth51,Social Media Username,Social Platform,nan,0.91
A00203,P01012,anushka65,Business Alias,Social Platform,E00755,0.86
A00204,P01013,pranav23,Business Alias,Business Listing,E00756,0.74
A00205,P01015,akash96,Social Media Username,Public Directory,E00757,0.8
A00206,P01019,avni86,Social Media Username,Business Listing,E00761,0.62
A00207,P01023,dhruv96,Nickname,Public Directory,E00763,0.97
A00208,P01027,aditya66,Business Alias,Public Directory,E00769,0.58
A00209,P01036,manav87,Nickname,Business Listing,nan,0.82
A00210,P01042,kiara99,Nickname,Social Platform,nan,0.76
A00211,P01054,dev70,Business Alias,Social Platform,nan,0.85
A00212,P01056,pallavi13,Business Alias,Social Platform,E00787,0.9
A00213,P01062,diya90,Nickname,Public Directory,nan,0.69
A00214,P01066,kabir78,Business Alias,Social Platform,nan,0.91
A00215,P01077,siddharth49,Nickname,Social Platform,E00807,0.97
A00216,P01080,vikram87,Business Alias,Public Directory,nan,0.67
A00217,P01083,pallavi39,Social Media Username,Public Directory,nan,0.91
A00218,P01089,diya11,Nickname,Public Directory,nan,0.9
A00219,P01093,manav80,Social Media Username,Social Platform,nan,0.84
A00220,P01096,kavya46,Nickname,Social Platform,E00818,0.74
A00221,P01101,vivek46,Business Alias,Business Listing,nan,0.95
A00222,P01105,vikram77,Social Media Username,Social Platform,E00822,0.69
A00223,P01109,tara94,Business Alias,Business Listing,nan,0.66
A00224,P01118,dhruv46,Social Media Username,Business Listing,nan,0.77
A00225,P01119,trisha18,Nickname,Business Listing,nan,0.65
A00226,P01126,pallavi83,Business Alias,Public Directory,E00838,0.61
A00227,P01134,mohit76,Nickname,Business Listing,nan,0.88
A00228,P01135,mohit96,Nickname,Public Directory,nan,0.57
A00229,P01137,ishita51,Nickname,Public Directory,nan,0.58
A00230,P01138,kabir22,Social Media Username,Social Platform,E00847,0.74
A00231,P01148,yash80,Social Media Username,Public Directory,nan,0.63
A00232,P01159,anushka39,Nickname,Public Directory,nan,0.96
A00233,P01166,manav80,Social Media Username,Business Listing,nan,0.79
A00234,P01170,saurabh70,Nickname,Public Directory,E00857,0.83
A00235,P01173,karan72,Business Alias,Public Directory,E00859,0.65
A00236,P01174,mahi65,Business Alias,Business Listing,nan,0.67
A00237,P01180,siddharth50,Business Alias,Business Listing,nan,0.74
A00238,P01190,aniket29,Business Alias,Business Listing,nan,0.7
A00239,P01202,shreya57,Business Alias,Business Listing,E00884,0.87
A00240,P01204,naina59,Nickname,Public Directory,nan,0.83
A00241,P01205,tara51,Nickname,Public Directory,nan,0.96
A00242,P01212,tara16,Business Alias,Business Listing,E00895,0.85
A00243,P01218,mohit25,Nickname,Business Listing,nan,0.6
A00244,P01220,kabir83,Business Alias,Business Listing,nan,0.91
A00245,P01226,tara49,Nickname,Business Listing,nan,0.79
A00246,P01232,isha95,Nickname,Social Platform,nan,0.58
A00247,P01237,tara43,Social Media Username,Public Directory,E00911,0.74
A00248,P01238,rhea67,Social Media Username,Business Listing,nan,0.83
A00249,P01241,rahul88,Social Media Username,Public Directory,nan,0.64
A00250,P01244,kunal14,Nickname,Social Platform,E00917,0.67
A00251,P01245,dev38,Social Media Username,Public Directory,nan,0.87
A00252,P01249,akash41,Business Alias,Social Platform,E00922,0.66
A00253,P01264,sana58,Business Alias,Social Platform,nan,0.81
A00254,P01267,aman90,Business Alias,Public Directory,E00933,0.6
A00255,P01274,yash29,Nickname,Business Listing,nan,0.87
A00256,P01278,diya14,Business Alias,Social Platform,nan,0.82
A00257,P01281,zoya22,Business Alias,Business Listing,nan,0.86
A00258,P01283,kabir59,Business Alias,Social Platform,E00941,0.87
A00259,P01299,tanvi20,Business Alias,Business Listing,nan,0.86
A00260,P01305,ananya20,Social Media Username,Social Platform,E00958,0.94
A00261,P01308,dev60,Social Media Username,Social Platform,nan,0.58
A00262,P01311,arjun36,Social Media Username,Social Platform,nan,0.77
A00263,P01317,aniket77,Business Alias,Public Directory,nan,0.6
A00264,P01324,dev86,Business Alias,Social Platform,nan,0.78
A00265,P01335,pranav64,Nickname,Public Directory,nan,0.92
A00266,P01336,vanya63,Nickname,Social Platform,nan,0.59
A00267,P01338,naina35,Business Alias,Business Listing,nan,0.89
A00268,P01340,pranav92,Social Media Username,Public Directory,nan,0.57
A00269,P01346,kavya12,Social Media Username,Social Platform,nan,0.67
A00270,P01356,kiara42,Nickname,Public Directory,E00991,0.55
A00271,P01361,tara91,Business Alias,Social Platform,E00994,0.6
A00272,P01364,sneha73,Business Alias,Public Directory,nan,0.83
A00273,P01365,dhruv77,Business Alias,Public Directory,nan,0.83
A00274,P01376,zoya15,Social Media Username,Business Listing,nan,0.89
A00275,P01378,siddharth81,Business Alias,Social Platform,nan,0.72
A00276,P01382,sana19,Nickname,Social Platform,nan,0.96
A00277,P01385,akash27,Social Media Username,Public Directory,nan,0.55
A00278,P01390,ritesh28,Social Media Username,Social Platform,nan,0.84
A00279,P01394,sneha52,Business Alias,Public Directory,nan,0.67
A00280,P01398,isha90,Business Alias,Social Platform,nan,0.69
A00281,P01404,arjun29,Social Media Username,Business Listing,nan,0.88
A00282,P01411,aarav86,Social Media Username,Social Platform,nan,0.72
A00283,P01446,raj76,Social Media Username,Social Platform,nan,0.59
A00284,P01455,saurabh17,Business Alias,Social Platform,nan,0.86
A00285,P01467,rohan63,Nickname,Business Listing,nan,0.62
A00286,P01477,dev11,Social Media Username,Social Platform,nan,0.81
A00287,P01490,saurabh69,Social Media Username,Public Directory,nan,0.6
A00288,P01498,raj91,Business Alias,Social Platform,nan,0.89
A00289,P01499,arjun17,Social Media Username,Social Platform,E01087,0.76
A00290,P01518,avni70,Business Alias,Public Directory,nan,0.91
A00291,P01536,tanvi33,Nickname,Business Listing,nan,0.75
A00292,P01541,anushka21,Nickname,Social Platform,nan,0.78
A00293,P01544,ishaan41,Business Alias,Social Platform,E01118,0.65
A00294,P01548,aarav17,Social Media Username,Social Platform,nan,0.79
A00295,P01564,kunal83,Social Media Username,Public Directory,E01126,0.85
A00296,P01567,aditi20,Business Alias,Public Directory,nan,0.76
A00297,P01579,sameer83,Nickname,Business Listing,nan,0.86
A00298,P01581,rhea80,Social Media Username,Social Platform,E01142,0.71
A00299,P01604,raj62,Social Media Username,Social Platform,nan,0.77
A00300,P01608,mahi35,Nickname,Business Listing,E01170,0.88
A00301,P01617,arnav29,Social Media Username,Public Directory,nan,0.69
A00302,P01619,ritesh20,Social Media Username,Public Directory,E01175,0.7
A00303,P01620,kabir70,Social Media Username,Public Directory,nan,0.7
A00304,P01621,arnav17,Social Media Username,Social Platform,E01177,0.67
A00305,P01623,mohit49,Social Media Username,Business Listing,nan,0.98
A00306,P01624,vivek76,Nickname,Business Listing,E01181,0.87
A00307,P01628,diya86,Nickname,Public Directory,nan,0.77
A00308,P01629,rahul75,Nickname,Business Listing,nan,0.77
A00309,P01632,karan11,Business Alias,Business Listing,E01188,0.93
A00310,P01634,sneha14,Nickname,Business Listing,E01190,0.79
A00311,P01637,anushka19,Social Media Username,Social Platform,nan,0.59
A00312,P01645,simran95,Nickname,Business Listing,nan,0.63
A00313,P01649,vivek39,Social Media Username,Public Directory,nan,0.62
A00314,P01657,saurabh38,Social Media Username,Social Platform,nan,0.84
A00315,P01661,kabir91,Business Alias,Social Platform,E01209,0.82
A00316,P01666,yamini56,Nickname,Public Directory,E01212,0.64
A00317,P01681,karan43,Business Alias,Business Listing,nan,0.56
A00318,P01699,simran74,Social Media Username,Social Platform,E01239,0.72
A00319,P01701,simran60,Business Alias,Social Platform,E01242,0.92
A00320,P01702,naina93,Nickname,Business Listing,nan,0.82
A00321,P01706,manav37,Nickname,Social Platform,nan,0.89
A00322,P01707,aniket30,Social Media Username,Public Directory,E01248,0.65
A00323,P01716,vivek58,Business Alias,Business Listing,E01256,0.79
A00324,P01727,simran15,Nickname,Social Platform,E01265,0.67
A00325,P01734,saurabh17,Social Media Username,Public Directory,E01271,0.69
A00326,P01735,raj87,Social Media Username,Social Platform,E01272,0.62
A00327,P01756,arnav98,Nickname,Business Listing,nan,0.66
A00328,P01767,ishaan19,Social Media Username,Business Listing,E01298,0.57
A00329,P01775,kiara86,Nickname,Social Platform,E01305,0.9
A00330,P01780,tanvi18,Business Alias,Business Listing,nan,0.84
A00331,P01781,akash70,Social Media Username,Business Listing,nan,0.61
A00332,P01784,aanya52,Social Media Username,Social Platform,E01312,0.92
A00333,P01793,ishita43,Business Alias,Business Listing,nan,0.61
A00334,P01797,ishaan79,Business Alias,Business Listing,E01323,0.56
A00335,P01808,avni63,Social Media Username,Social Platform,E01329,0.61
A00336,P01811,rhea32,Business Alias,Business Listing,nan,0.84
A00337,P01843,kabir92,Nickname,Public Directory,nan,0.93
A00338,P01857,arnav30,Social Media Username,Public Directory,E01368,0.92
A00339,P01859,isha87,Business Alias,Business Listing,E01370,0.81
A00340,P01861,anushka53,Business Alias,Public Directory,nan,0.96
A00341,P01865,akash20,Nickname,Public Directory,nan,0.95
A00342,P01869,raj38,Social Media Username,Social Platform,nan,0.59
A00343,P01878,anushka22,Nickname,Business Listing,nan,0.91
A00344,P01887,manav44,Social Media Username,Public Directory,nan,0.63
A00345,P01888,harsh53,Nickname,Social Platform,E01387,0.81
A00346,P01893,sana53,Business Alias,Business Listing,nan,0.72
A00347,P01896,zoya43,Nickname,Business Listing,nan,0.85
A00348,P01898,harsh16,Social Media Username,Business Listing,E01393,0.69
A00349,P01902,yamini77,Nickname,Business Listing,E01396,0.97
A00350,P01906,mohit48,Business Alias,Business Listing,E01401,0.61
A00351,P01909,arnav14,Nickname,Business Listing,E01405,0.56
A00352,P01926,anushka87,Social Media Username,Social Platform,E01421,0.61
A00353,P01927,mahi86,Social Media Username,Social Platform,nan,0.89
A00354,P01937,kiara46,Social Media Username,Business Listing,nan,0.66
A00355,P01941,avni52,Business Alias,Business Listing,nan,0.81
A00356,P01946,vivek71,Nickname,Business Listing,nan,0.92
A00357,P01950,vidhi12,Social Media Username,Business Listing,E01443,0.73
A00358,P01952,aditi55,Nickname,Public Directory,nan,0.57
A00359,P01969,simran50,Business Alias,Public Directory,nan,0.76
A00360,P01970,naina34,Business Alias,Business Listing,E01455,0.72
A00361,P01979,aniket57,Social Media Username,Social Platform,nan,0.93
A00362,P01986,rhea19,Nickname,Social Platform,E01473,0.88
A00363,P01987,kiara33,Business Alias,Social Platform,nan,0.74
A00364,P01995,rhea59,Social Media Username,Business Listing,E01477,0.89
A00365,P01997,simran53,Nickname,Social Platform,E01479,0.71
A00366,P01998,anushka70,Social Media Username,Public Directory,nan,0.77
A00367,P02012,vivek95,Business Alias,Business Listing,E01490,0.9
A00368,P02016,anushka39,Nickname,Social Platform,E01493,0.91
A00369,P02018,ananya10,Nickname,Business Listing,nan,0.95
A00370,P02027,ritesh80,Business Alias,Social Platform,nan,0.61
A00371,P02033,manav52,Nickname,Business Listing,nan,0.81
A00372,P02041,karan23,Nickname,Business Listing,nan,0.85
A00373,P02046,ananya12,Business Alias,Social Platform,E01515,0.76
A00374,P02053,kiara62,Nickname,Business Listing,E01521,0.65
A00375,P02055,naveen53,Nickname,Business Listing,nan,0.95
A00376,P02060,nikhil94,Business Alias,Business Listing,nan,0.56
A00377,P02062,kiara57,Nickname,Public Directory,nan,0.86
A00378,P02066,mahi23,Social Media Username,Public Directory,nan,0.57
A00379,P02069,aniket95,Nickname,Social Platform,E01535,0.66
A00380,P02070,vanya56,Social Media Username,Social Platform,nan,0.61
A00381,P02072,isha62,Nickname,Social Platform,nan,0.82
A00382,P02081,vidhi82,Nickname,Social Platform,nan,0.71
A00383,P02094,sana64,Nickname,Business Listing,nan,0.79
A00384,P02105,kavya46,Social Media Username,Social Platform,E01565,0.85
A00385,P02110,nikhil62,Business Alias,Public Directory,nan,0.91
A00386,P02122,avni53,Nickname,Business Listing,E01579,0.81
A00387,P02125,aarav66,Social Media Username,Social Platform,nan,0.93
A00388,P02129,aanya15,Business Alias,Public Directory,nan,0.7
A00389,P02133,simran81,Business Alias,Public Directory,E01588,0.72
A00390,P02141,yash10,Business Alias,Public Directory,nan,0.89
A00391,P02144,vivek41,Nickname,Social Platform,nan,0.71
A00392,P02148,tanvi24,Nickname,Public Directory,nan,0.93
A00393,P02155,vidhi98,Social Media Username,Business Listing,E01597,0.77
A00394,P02159,riya65,Business Alias,Business Listing,E01602,0.88
A00395,P02161,aniket54,Social Media Username,Public Directory,E01605,0.96
A00396,P02164,naveen84,Social Media Username,Social Platform,nan,0.92
A00397,P02178,kiara89,Social Media Username,Public Directory,E01618,0.71
A00398,P02193,sameer90,Business Alias,Social Platform,E01632,0.7
A00399,P02198,naveen46,Social Media Username,Social Platform,nan,0.94
A00400,P02204,vanya25,Nickname,Business Listing,E01638,0.66
A00401,P02209,yamini17,Business Alias,Public Directory,E01644,0.65
A00402,P02213,arjun89,Business Alias,Public Directory,E01646,0.8
A00403,P02226,shreya53,Social Media Username,Social Platform,nan,0.77
A00404,P02227,ishita62,Nickname,Public Directory,E01659,0.57
A00405,P02240,rhea98,Business Alias,Social Platform,E01670,0.87
A00406,P02242,vanya69,Social Media Username,Social Platform,nan,0.86
A00407,P02243,rohan84,Business Alias,Public Directory,E01673,0.68
A00408,P02259,mahi11,Nickname,Business Listing,E01685,0.95
A00409,P02261,karan52,Social Media Username,Public Directory,E01690,0.79
A00410,P02274,sneha92,Business Alias,Public Directory,E01703,0.6
A00411,P02286,aanya76,Social Media Username,Social Platform,nan,0.71
A00412,P02288,nisha52,Social Media Username,Social Platform,nan,0.8
A00413,P02295,mahi37,Social Media Username,Social Platform,nan,0.9
A00414,P02310,yamini24,Social Media Username,Public Directory,nan,0.62
A00415,P02318,vanya81,Business Alias,Business Listing,nan,0.65
A00416,P02325,kiara17,Nickname,Social Platform,nan,0.98
A00417,P02331,rahul83,Nickname,Public Directory,nan,0.76
A00418,P02333,nisha82,Nickname,Public Directory,E01739,0.61
A00419,P02335,rohan77,Business Alias,Social Platform,nan,0.75
A00420,P02345,rahul18,Social Media Username,Business Listing,nan,0.7
A00421,P02348,isha53,Business Alias,Public Directory,nan,0.82
A00422,P02352,meera89,Business Alias,Public Directory,nan,0.73
A00423,P02355,saurabh12,Business Alias,Business Listing,nan,0.63
A00424,P02361,vidhi85,Social Media Username,Public Directory,nan,0.59
A00425,P02363,kiara41,Nickname,Public Directory,E01755,0.76
A00426,P02364,yamini66,Social Media Username,Business Listing,E01756,0.92
A00427,P02369,zoya14,Social Media Username,Social Platform,nan,0.86
A00428,P02372,sneha25,Nickname,Public Directory,nan,0.91
A00429,P02378,tara30,Social Media Username,Business Listing,E01768,0.91
A00430,P02395,naveen65,Nickname,Business Listing,nan,0.93
A00431,P02396,kiara30,Nickname,Social Platform,E01785,0.96
A00432,P02405,kiara41,Business Alias,Social Platform,E01792,0.92
