hidden_relationship_id,source_person_id,target_person_id,relationship_class,observable_evidence_types,shared_case_ids,shared_network_ids,expected_min_hops,should_be_direct_edge,synthetic_flag
HREL-000124,PERSON-000109,PERSON-002920,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|ASSET|CASE_OVERLAP,,,4,false,true
HREL-000125,PERSON-001842,PERSON-000457,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000126,PERSON-000723,PERSON-001610,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000127,PERSON-000698,PERSON-002113,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000128,PERSON-000876,PERSON-000245,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000129,PERSON-002601,PERSON-000636,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000130,PERSON-001746,PERSON-000756,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000131,PERSON-000135,PERSON-000003,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000132,PERSON-003000,PERSON-001004,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000133,PERSON-000488,PERSON-002126,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000134,PERSON-000815,PERSON-001556,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000135,PERSON-001422,PERSON-002573,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000136,PERSON-000479,PERSON-000728,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000137,PERSON-001785,PERSON-002699,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000138,PERSON-002714,PERSON-001705,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000139,PERSON-002537,PERSON-000352,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000140,PERSON-000260,PERSON-000076,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000141,PERSON-000644,PERSON-001102,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000142,PERSON-002175,PERSON-001714,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000143,PERSON-001792,PERSON-001484,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000144,PERSON-001208,PERSON-001253,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000145,PERSON-000988,PERSON-002753,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000146,PERSON-001250,PERSON-000837,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000147,PERSON-002700,PERSON-002981,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000148,PERSON-000222,PERSON-000292,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000149,PERSON-000962,PERSON-001956,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000150,PERSON-002133,PERSON-001969,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000151,PERSON-002807,PERSON-000623,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000152,PERSON-000996,PERSON-002137,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000153,PERSON-001877,PERSON-000885,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000154,PERSON-000329,PERSON-001818,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000155,PERSON-000788,PERSON-002481,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000156,PERSON-002072,PERSON-002806,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000157,PERSON-000637,PERSON-001249,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000158,PERSON-001322,PERSON-001552,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000159,PERSON-002073,PERSON-001038,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000160,PERSON-000068,PERSON-002541,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000161,PERSON-001964,PERSON-002107,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000162,PERSON-002304,PERSON-002011,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000163,PERSON-001993,PERSON-001516,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000164,PERSON-001167,PERSON-001732,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000165,PERSON-000752,PERSON-000745,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000166,PERSON-001365,PERSON-000731,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000167,PERSON-002994,PERSON-000525,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000168,PERSON-001027,PERSON-000325,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000169,PERSON-002811,PERSON-001511,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000170,PERSON-000281,PERSON-000226,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000171,PERSON-001576,PERSON-002473,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000172,PERSON-001914,PERSON-000268,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000173,PERSON-000535,PERSON-000761,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000174,PERSON-000017,PERSON-000908,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000175,PERSON-000674,PERSON-002911,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000176,PERSON-000836,PERSON-002682,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000177,PERSON-001717,PERSON-001377,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000178,PERSON-000797,PERSON-001504,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000179,PERSON-000054,PERSON-002876,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000180,PERSON-002995,PERSON-000267,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000181,PERSON-002581,PERSON-001515,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000182,PERSON-001847,PERSON-002597,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000183,PERSON-000945,PERSON-001635,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000184,PERSON-002944,PERSON-000821,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000185,PERSON-001458,PERSON-002662,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
