network_id,network_type,person_id,ground_truth_role,synthetic_flag
NET-000010,HUMAN_TRAFFICKING,PERSON-001519,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000438,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002948,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000997,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002247,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001141,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000604,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000285,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002704,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001885,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001258,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000599,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000634,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002829,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001908,bridge,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000812,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002481,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000901,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002826,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002715,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000193,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-001478,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-001043,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-002507,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-000676,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-002725,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-002160,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-001311,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000683,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-000507,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-000919,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-002764,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-000497,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-001686,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-000393,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000132,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-002653,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-002947,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000072,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-000575,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-001968,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000479,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-001861,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-000216,coordinator,true
NET-000011,FINANCIAL_FRAUD,PERSON-001846,associate,true
NET-000011,FINANCIAL_FRAUD,PERSON-000484,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-002901,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-002124,bridge,true
NET-000011,FINANCIAL_FRAUD,PERSON-000488,member,true
NET-000011,FINANCIAL_FRAUD,PERSON-001860,member,true
NET-000012,ROBBERY_DACOITY,PERSON-002450,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000092,member,true
NET-000012,ROBBERY_DACOITY,PERSON-000769,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000860,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000817,associate,true
NET-000012,ROBBERY_DACOITY,PERSON-000647,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-002457,member,true
NET-000012,ROBBERY_DACOITY,PERSON-002335,associate,true
NET-000012,ROBBERY_DACOITY,PERSON-002039,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000597,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000062,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-001894,coordinator,true
NET-000012,ROBBERY_DACOITY,PERSON-000405,associate,true
NET-000012,ROBBERY_DACOITY,PERSON-002879,member,true
NET-000012,ROBBERY_DACOITY,PERSON-000927,member,true
NET-000012,ROBBERY_DACOITY,PERSON-001326,associate,true
NET-000012,ROBBERY_DACOITY,PERSON-001367,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000506,coordinator,true
NET-000012,ROBBERY_DACOITY,PERSON-001135,member,true
NET-000012,ROBBERY_DACOITY,PERSON-001507,associate,true
NET-000012,ROBBERY_DACOITY,PERSON-000920,coordinator,true
NET-000012,ROBBERY_DACOITY,PERSON-000390,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-002660,member,true
NET-000012,ROBBERY_DACOITY,PERSON-001873,member,true
NET-000012,ROBBERY_DACOITY,PERSON-001581,member,true
NET-000012,ROBBERY_DACOITY,PERSON-000544,coordinator,true
NET-000012,ROBBERY_DACOITY,PERSON-002576,coordinator,true
NET-000012,ROBBERY_DACOITY,PERSON-002872,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000979,bridge,true
NET-000012,ROBBERY_DACOITY,PERSON-000046,member,true
NET-000012,ROBBERY_DACOITY,PERSON-001337,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002442,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000272,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001043,coordinator,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000524,coordinator,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002114,coordinator,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001007,coordinator,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001521,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001679,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002735,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002017,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001654,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001547,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000916,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000783,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000238,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001994,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002343,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001112,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000628,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000950,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001642,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002703,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001457,bridge,true
NET-000013,HUMAN_TRAFFICKING,PERSON-000130,associate,true
NET-000013,HUMAN_TRAFFICKING,PERSON-001331,member,true
NET-000013,HUMAN_TRAFFICKING,PERSON-002728,member,true
NET-000014,KIDNAPPING,PERSON-002558,bridge,true
NET-000014,KIDNAPPING,PERSON-000580,coordinator,true
NET-000014,KIDNAPPING,PERSON-001182,coordinator,true
NET-000014,KIDNAPPING,PERSON-000622,associate,true
NET-000014,KIDNAPPING,PERSON-002004,associate,true
NET-000014,KIDNAPPING,PERSON-000667,bridge,true
NET-000014,KIDNAPPING,PERSON-000405,coordinator,true
NET-000014,KIDNAPPING,PERSON-001107,member,true
NET-000014,KIDNAPPING,PERSON-002136,member,true
NET-000014,KIDNAPPING,PERSON-000397,bridge,true
NET-000014,KIDNAPPING,PERSON-000717,associate,true
NET-000014,KIDNAPPING,PERSON-001234,associate,true
NET-000014,KIDNAPPING,PERSON-001890,coordinator,true
NET-000014,KIDNAPPING,PERSON-000074,member,true
NET-000014,KIDNAPPING,PERSON-002215,member,true
NET-000014,KIDNAPPING,PERSON-000784,associate,true
NET-000014,KIDNAPPING,PERSON-001131,associate,true
NET-000014,KIDNAPPING,PERSON-002164,member,true
NET-000014,KIDNAPPING,PERSON-002499,member,true
NET-000014,KIDNAPPING,PERSON-000154,bridge,true
NET-000015,ROBBERY_DACOITY,PERSON-000175,associate,true
NET-000015,ROBBERY_DACOITY,PERSON-000842,bridge,true
NET-000015,ROBBERY_DACOITY,PERSON-001769,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-001478,associate,true
NET-000015,ROBBERY_DACOITY,PERSON-002788,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-001262,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-002428,bridge,true
NET-000015,ROBBERY_DACOITY,PERSON-002845,member,true
NET-000015,ROBBERY_DACOITY,PERSON-000001,associate,true
NET-000015,ROBBERY_DACOITY,PERSON-000712,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-002684,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-000763,member,true
NET-000015,ROBBERY_DACOITY,PERSON-002444,bridge,true
NET-000015,ROBBERY_DACOITY,PERSON-001385,bridge,true
NET-000015,ROBBERY_DACOITY,PERSON-002954,associate,true
NET-000015,ROBBERY_DACOITY,PERSON-000222,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-001206,member,true
NET-000015,ROBBERY_DACOITY,PERSON-000734,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-000072,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-001012,coordinator,true
NET-000015,ROBBERY_DACOITY,PERSON-001944,member,true
NET-000015,ROBBERY_DACOITY,PERSON-002256,associate,true
NET-000015,ROBBERY_DACOITY,PERSON-000710,member,true
NET-000015,ROBBERY_DACOITY,PERSON-000455,coordinator,true
NET-000016,NARCOTICS,PERSON-001369,associate,true
NET-000016,NARCOTICS,PERSON-001886,member,true
NET-000016,NARCOTICS,PERSON-002740,bridge,true
NET-000016,NARCOTICS,PERSON-002150,coordinator,true
NET-000016,NARCOTICS,PERSON-002944,bridge,true
NET-000016,NARCOTICS,PERSON-002132,member,true
NET-000016,NARCOTICS,PERSON-001796,associate,true
NET-000016,NARCOTICS,PERSON-002077,member,true
NET-000016,NARCOTICS,PERSON-000140,coordinator,true
NET-000016,NARCOTICS,PERSON-001301,bridge,true
NET-000016,NARCOTICS,PERSON-000049,coordinator,true
NET-000016,NARCOTICS,PERSON-000423,bridge,true
NET-000016,NARCOTICS,PERSON-000955,associate,true
NET-000016,NARCOTICS,PERSON-002771,associate,true
NET-000016,NARCOTICS,PERSON-001479,bridge,true
NET-000016,NARCOTICS,PERSON-000991,bridge,true
NET-000016,NARCOTICS,PERSON-001205,coordinator,true
NET-000016,NARCOTICS,PERSON-001863,member,true
NET-000016,NARCOTICS,PERSON-000845,coordinator,true
NET-000016,NARCOTICS,PERSON-001419,coordinator,true
NET-000016,NARCOTICS,PERSON-000121,coordinator,true
NET-000016,NARCOTICS,PERSON-001172,associate,true
NET-000016,NARCOTICS,PERSON-002066,bridge,true
NET-000016,NARCOTICS,PERSON-000181,associate,true
NET-000016,NARCOTICS,PERSON-001805,member,true
NET-000016,NARCOTICS,PERSON-000096,coordinator,true
NET-000016,NARCOTICS,PERSON-002197,bridge,true
NET-000016,NARCOTICS,PERSON-000288,coordinator,true
NET-000016,NARCOTICS,PERSON-002304,associate,true
NET-000016,NARCOTICS,PERSON-002418,bridge,true
NET-000016,NARCOTICS,PERSON-000957,coordinator,true
NET-000017,MIXED_CRIME,PERSON-000120,coordinator,true
NET-000017,MIXED_CRIME,PERSON-001540,bridge,true
NET-000017,MIXED_CRIME,PERSON-001965,member,true
NET-000017,MIXED_CRIME,PERSON-001992,member,true
NET-000017,MIXED_CRIME,PERSON-000083,coordinator,true
NET-000017,MIXED_CRIME,PERSON-000765,bridge,true
NET-000017,MIXED_CRIME,PERSON-002517,associate,true
NET-000017,MIXED_CRIME,PERSON-000921,coordinator,true
NET-000017,MIXED_CRIME,PERSON-001543,member,true
NET-000017,MIXED_CRIME,PERSON-002999,coordinator,true
NET-000017,MIXED_CRIME,PERSON-000621,coordinator,true
NET-000017,MIXED_CRIME,PERSON-002020,member,true
NET-000017,MIXED_CRIME,PERSON-002279,coordinator,true
NET-000017,MIXED_CRIME,PERSON-001544,coordinator,true
NET-000017,MIXED_CRIME,PERSON-001898,coordinator,true
NET-000017,MIXED_CRIME,PERSON-002745,associate,true
NET-000017,MIXED_CRIME,PERSON-001205,associate,true
NET-000017,MIXED_CRIME,PERSON-000357,associate,true
NET-000017,MIXED_CRIME,PERSON-000538,bridge,true
NET-000017,MIXED_CRIME,PERSON-002873,associate,true
NET-000017,MIXED_CRIME,PERSON-000863,associate,true
NET-000017,MIXED_CRIME,PERSON-000488,associate,true
NET-000018,ORGANIZED_CRIME,PERSON-000611,coordinator,true
NET-000018,ORGANIZED_CRIME,PERSON-002438,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-001596,member,true
NET-000018,ORGANIZED_CRIME,PERSON-002675,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-001363,coordinator,true
NET-000018,ORGANIZED_CRIME,PERSON-000060,coordinator,true
NET-000018,ORGANIZED_CRIME,PERSON-001542,associate,true
NET-000018,ORGANIZED_CRIME,PERSON-000832,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-000635,coordinator,true
NET-000018,ORGANIZED_CRIME,PERSON-000886,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-002896,member,true
NET-000018,ORGANIZED_CRIME,PERSON-002713,member,true
NET-000018,ORGANIZED_CRIME,PERSON-000497,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-002847,bridge,true
NET-000018,ORGANIZED_CRIME,PERSON-001847,associate,true
NET-000018,ORGANIZED_CRIME,PERSON-001480,coordinator,true
NET-000018,ORGANIZED_CRIME,PERSON-002922,associate,true
NET-000019,KIDNAPPING,PERSON-001066,coordinator,true
NET-000019,KIDNAPPING,PERSON-002739,coordinator,true
NET-000019,KIDNAPPING,PERSON-001516,bridge,true
NET-000019,KIDNAPPING,PERSON-002965,bridge,true
NET-000019,KIDNAPPING,PERSON-002654,associate,true
NET-000019,KIDNAPPING,PERSON-000295,coordinator,true
NET-000019,KIDNAPPING,PERSON-001013,member,true
NET-000019,KIDNAPPING,PERSON-000846,member,true
NET-000019,KIDNAPPING,PERSON-002106,coordinator,true
NET-000019,KIDNAPPING,PERSON-000569,associate,true
NET-000019,KIDNAPPING,PERSON-001387,bridge,true
NET-000019,KIDNAPPING,PERSON-000838,associate,true
NET-000019,KIDNAPPING,PERSON-002009,coordinator,true
NET-000019,KIDNAPPING,PERSON-001431,bridge,true
NET-000019,KIDNAPPING,PERSON-001701,coordinator,true
NET-000019,KIDNAPPING,PERSON-002449,coordinator,true
NET-000019,KIDNAPPING,PERSON-001803,associate,true
NET-000019,KIDNAPPING,PERSON-000862,associate,true
NET-000019,KIDNAPPING,PERSON-000479,associate,true
NET-000019,KIDNAPPING,PERSON-002646,bridge,true
NET-000019,KIDNAPPING,PERSON-002197,associate,true
NET-000019,KIDNAPPING,PERSON-000823,member,true
NET-000019,KIDNAPPING,PERSON-000484,associate,true
NET-000019,KIDNAPPING,PERSON-000703,coordinator,true
NET-000019,KIDNAPPING,PERSON-001492,coordinator,true
NET-000019,KIDNAPPING,PERSON-001152,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-001664,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-002675,associate,true
NET-000020,ORGANIZED_CRIME,PERSON-001343,coordinator,true
NET-000020,ORGANIZED_CRIME,PERSON-002998,member,true
NET-000020,ORGANIZED_CRIME,PERSON-000106,associate,true
NET-000020,ORGANIZED_CRIME,PERSON-002835,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-000948,coordinator,true
NET-000020,ORGANIZED_CRIME,PERSON-000576,associate,true
NET-000020,ORGANIZED_CRIME,PERSON-001315,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-002757,associate,true
NET-000020,ORGANIZED_CRIME,PERSON-000904,coordinator,true
NET-000020,ORGANIZED_CRIME,PERSON-000584,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-000697,bridge,true
NET-000020,ORGANIZED_CRIME,PERSON-000230,associate,true
NET-000020,ORGANIZED_CRIME,PERSON-002715,associate,true
NET-000021,CYBERCRIME,PERSON-000232,associate,true
NET-000021,CYBERCRIME,PERSON-002453,associate,true
NET-000021,CYBERCRIME,PERSON-000540,member,true
NET-000021,CYBERCRIME,PERSON-002839,associate,true
NET-000021,CYBERCRIME,PERSON-000789,associate,true
NET-000021,CYBERCRIME,PERSON-002547,member,true
NET-000021,CYBERCRIME,PERSON-001309,member,true
NET-000021,CYBERCRIME,PERSON-002270,coordinator,true
NET-000021,CYBERCRIME,PERSON-000406,bridge,true
NET-000021,CYBERCRIME,PERSON-001876,associate,true
NET-000021,CYBERCRIME,PERSON-000109,member,true
NET-000021,CYBERCRIME,PERSON-001691,coordinator,true
NET-000021,CYBERCRIME,PERSON-000040,member,true
NET-000021,CYBERCRIME,PERSON-002639,associate,true
NET-000021,CYBERCRIME,PERSON-001610,coordinator,true
NET-000021,CYBERCRIME,PERSON-000274,associate,true
NET-000021,CYBERCRIME,PERSON-002368,associate,true
NET-000021,CYBERCRIME,PERSON-001705,associate,true
NET-000021,CYBERCRIME,PERSON-000911,coordinator,true
NET-000021,CYBERCRIME,PERSON-001277,member,true
NET-000022,FINANCIAL_FRAUD,PERSON-001774,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-000419,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-002737,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-000366,associate,true
NET-000022,FINANCIAL_FRAUD,PERSON-000414,associate,true
NET-000022,FINANCIAL_FRAUD,PERSON-000407,associate,true
NET-000022,FINANCIAL_FRAUD,PERSON-002417,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-002094,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-001687,member,true
NET-000022,FINANCIAL_FRAUD,PERSON-001758,coordinator,true
NET-000022,FINANCIAL_FRAUD,PERSON-001381,associate,true
NET-000022,FINANCIAL_FRAUD,PERSON-000207,coordinator,true
NET-000022,FINANCIAL_FRAUD,PERSON-002105,member,true
NET-000022,FINANCIAL_FRAUD,PERSON-000111,bridge,true
NET-000022,FINANCIAL_FRAUD,PERSON-000103,associate,true
NET-000022,FINANCIAL_FRAUD,PERSON-001869,associate,true
NET-000023,NARCOTICS,PERSON-002159,member,true
NET-000023,NARCOTICS,PERSON-002309,bridge,true
NET-000023,NARCOTICS,PERSON-000566,member,true
NET-000023,NARCOTICS,PERSON-000223,member,true
NET-000023,NARCOTICS,PERSON-000022,member,true
NET-000023,NARCOTICS,PERSON-001360,coordinator,true
NET-000023,NARCOTICS,PERSON-001552,associate,true
NET-000023,NARCOTICS,PERSON-000526,bridge,true
NET-000023,NARCOTICS,PERSON-002758,associate,true
NET-000023,NARCOTICS,PERSON-001255,bridge,true
NET-000023,NARCOTICS,PERSON-002982,bridge,true
NET-000023,NARCOTICS,PERSON-000955,coordinator,true
NET-000023,NARCOTICS,PERSON-001127,bridge,true
NET-000023,NARCOTICS,PERSON-002847,bridge,true
NET-000023,NARCOTICS,PERSON-001110,coordinator,true
NET-000023,NARCOTICS,PERSON-001054,member,true
NET-000023,NARCOTICS,PERSON-000906,coordinator,true
NET-000023,NARCOTICS,PERSON-001131,member,true
NET-000023,NARCOTICS,PERSON-001214,associate,true
NET-000024,HUMAN_TRAFFICKING,PERSON-002277,bridge,true
