person_id,case_id_a,case_id_b,continuity_ground_truth,synthetic_flag
PERSON-001670,CASE-000061,CASE-000086,true,true
PERSON-001670,CASE-000086,CASE-000101,true,true
PERSON-001670,CASE-000101,CASE-000145,true,true
PERSON-001670,CASE-000145,CASE-000151,true,true
PERSON-001670,CASE-000151,CASE-000154,true,true
PERSON-001670,CASE-000154,CASE-000159,true,true
PERSON-001670,CASE-000159,CASE-000182,true,true
PERSON-001670,CASE-000182,CASE-000184,true,true
PERSON-001670,CASE-000184,CASE-000192,true,true
PERSON-001670,CASE-000192,CASE-000211,true,true
PERSON-001670,CASE-000211,CASE-000224,true,true
PERSON-001670,CASE-000224,CASE-000227,true,true
PERSON-001670,CASE-000227,CASE-000249,true,true
PERSON-001670,CASE-000249,CASE-000257,true,true
PERSON-001670,CASE-000257,CASE-000309,true,true
PERSON-001670,CASE-000309,CASE-000321,true,true
PERSON-001670,CASE-000321,CASE-000344,true,true
PERSON-001670,CASE-000344,CASE-000352,true,true
PERSON-001670,CASE-000352,CASE-000360,true,true
PERSON-001670,CASE-000360,CASE-000387,true,true
PERSON-001670,CASE-000387,CASE-000390,true,true
PERSON-001670,CASE-000390,CASE-000394,true,true
PERSON-001670,CASE-000394,CASE-000396,true,true
PERSON-001670,CASE-000396,CASE-000400,true,true
PERSON-001670,CASE-000400,CASE-000403,true,true
PERSON-001670,CASE-000403,CASE-000407,true,true
PERSON-001670,CASE-000407,CASE-000431,true,true
PERSON-001670,CASE-000431,CASE-000466,true,true
PERSON-001670,CASE-000466,CASE-000469,true,true
PERSON-001670,CASE-000469,CASE-000470,true,true
PERSON-001670,CASE-000470,CASE-000474,true,true
PERSON-001670,CASE-000474,CASE-000478,true,true
PERSON-001670,CASE-000478,CASE-000519,true,true
PERSON-001670,CASE-000519,CASE-000528,true,true
PERSON-001670,CASE-000528,CASE-000540,true,true
PERSON-001670,CASE-000540,CASE-000547,true,true
PERSON-001670,CASE-000547,CASE-000548,true,true
PERSON-001670,CASE-000548,CASE-000554,true,true
PERSON-001670,CASE-000554,CASE-000565,true,true
PERSON-001670,CASE-000565,CASE-000584,true,true
PERSON-001670,CASE-000584,CASE-000603,true,true
PERSON-001670,CASE-000603,CASE-000604,true,true
PERSON-001670,CASE-000604,CASE-000610,true,true
PERSON-001670,CASE-000610,CASE-000647,true,true
PERSON-001670,CASE-000647,CASE-000652,true,true
PERSON-001670,CASE-000652,CASE-000670,true,true
PERSON-001670,CASE-000670,CASE-000676,true,true
PERSON-001670,CASE-000676,CASE-000679,true,true
PERSON-001670,CASE-000679,CASE-000769,true,true
PERSON-001670,CASE-000769,CASE-000781,true,true
PERSON-001670,CASE-000781,CASE-000786,true,true
PERSON-001670,CASE-000786,CASE-000857,true,true
PERSON-001670,CASE-000857,CASE-000897,true,true
PERSON-001670,CASE-000897,CASE-000918,true,true
PERSON-001670,CASE-000918,CASE-000954,true,true
PERSON-001670,CASE-000954,CASE-000971,true,true
PERSON-001670,CASE-000971,CASE-000987,true,true
PERSON-001670,CASE-000987,CASE-000990,true,true
PERSON-001589,CASE-000001,CASE-000019,true,true
PERSON-001589,CASE-000019,CASE-000026,true,true
PERSON-001589,CASE-000026,CASE-000030,true,true
PERSON-001589,CASE-000030,CASE-000032,true,true
PERSON-001589,CASE-000032,CASE-000034,true,true
PERSON-001589,CASE-000034,CASE-000053,true,true
PERSON-001589,CASE-000053,CASE-000061,true,true
PERSON-001589,CASE-000061,CASE-000073,true,true
PERSON-001589,CASE-000073,CASE-000086,true,true
PERSON-001589,CASE-000086,CASE-000087,true,true
PERSON-001589,CASE-000087,CASE-000088,true,true
PERSON-001589,CASE-000088,CASE-000091,true,true
PERSON-001589,CASE-000091,CASE-000101,true,true
PERSON-001589,CASE-000101,CASE-000138,true,true
PERSON-001589,CASE-000138,CASE-000145,true,true
PERSON-001589,CASE-000145,CASE-000148,true,true
PERSON-001589,CASE-000148,CASE-000151,true,true
PERSON-001589,CASE-000151,CASE-000154,true,true
PERSON-001589,CASE-000154,CASE-000157,true,true
PERSON-001589,CASE-000157,CASE-000159,true,true
PERSON-001589,CASE-000159,CASE-000182,true,true
PERSON-001589,CASE-000182,CASE-000194,true,true
PERSON-001589,CASE-000194,CASE-000201,true,true
PERSON-001589,CASE-000201,CASE-000211,true,true
PERSON-001589,CASE-000211,CASE-000220,true,true
PERSON-001589,CASE-000220,CASE-000232,true,true
PERSON-001589,CASE-000232,CASE-000245,true,true
PERSON-001589,CASE-000245,CASE-000246,true,true
PERSON-001589,CASE-000246,CASE-000249,true,true
PERSON-001589,CASE-000249,CASE-000250,true,true
PERSON-001589,CASE-000250,CASE-000257,true,true
PERSON-001589,CASE-000257,CASE-000265,true,true
PERSON-001589,CASE-000265,CASE-000268,true,true
PERSON-001589,CASE-000268,CASE-000272,true,true
PERSON-001589,CASE-000272,CASE-000284,true,true
PERSON-001589,CASE-000284,CASE-000292,true,true
PERSON-001589,CASE-000292,CASE-000298,true,true
PERSON-001589,CASE-000298,CASE-000302,true,true
PERSON-001589,CASE-000302,CASE-000309,true,true
PERSON-001589,CASE-000309,CASE-000314,true,true
PERSON-001589,CASE-000314,CASE-000318,true,true
PERSON-001589,CASE-000318,CASE-000321,true,true
PERSON-001589,CASE-000321,CASE-000328,true,true
PERSON-001589,CASE-000328,CASE-000330,true,true
PERSON-001589,CASE-000330,CASE-000341,true,true
PERSON-001589,CASE-000341,CASE-000352,true,true
PERSON-001589,CASE-000352,CASE-000360,true,true
PERSON-001589,CASE-000360,CASE-000375,true,true
PERSON-001589,CASE-000375,CASE-000390,true,true
PERSON-001589,CASE-000390,CASE-000394,true,true
PERSON-001589,CASE-000394,CASE-000400,true,true
PERSON-001589,CASE-000400,CASE-000403,true,true
PERSON-001589,CASE-000403,CASE-000404,true,true
PERSON-001589,CASE-000404,CASE-000431,true,true
PERSON-001589,CASE-000431,CASE-000435,true,true
PERSON-001589,CASE-000435,CASE-000437,true,true
PERSON-001589,CASE-000437,CASE-000448,true,true
PERSON-001589,CASE-000448,CASE-000454,true,true
PERSON-001589,CASE-000454,CASE-000455,true,true
PERSON-001589,CASE-000455,CASE-000469,true,true
PERSON-001589,CASE-000469,CASE-000474,true,true
PERSON-001589,CASE-000474,CASE-000478,true,true
PERSON-001589,CASE-000478,CASE-000483,true,true
PERSON-001589,CASE-000483,CASE-000494,true,true
PERSON-001589,CASE-000494,CASE-000504,true,true
PERSON-001589,CASE-000504,CASE-000522,true,true
PERSON-001589,CASE-000522,CASE-000532,true,true
PERSON-001589,CASE-000532,CASE-000548,true,true
PERSON-001589,CASE-000548,CASE-000554,true,true
PERSON-001589,CASE-000554,CASE-000557,true,true
PERSON-001589,CASE-000557,CASE-000561,true,true
PERSON-001589,CASE-000561,CASE-000565,true,true
PERSON-001589,CASE-000565,CASE-000569,true,true
PERSON-001589,CASE-000569,CASE-000577,true,true
PERSON-001589,CASE-000577,CASE-000581,true,true
PERSON-001589,CASE-000581,CASE-000603,true,true
PERSON-001589,CASE-000603,CASE-000604,true,true
PERSON-001589,CASE-000604,CASE-000607,true,true
PERSON-001589,CASE-000607,CASE-000610,true,true
PERSON-001589,CASE-000610,CASE-000622,true,true
PERSON-001589,CASE-000622,CASE-000631,true,true
PERSON-001589,CASE-000631,CASE-000637,true,true
PERSON-001589,CASE-000637,CASE-000660,true,true
PERSON-001589,CASE-000660,CASE-000662,true,true
PERSON-001589,CASE-000662,CASE-000663,true,true
PERSON-001589,CASE-000663,CASE-000664,true,true
PERSON-001589,CASE-000664,CASE-000670,true,true
PERSON-001589,CASE-000670,CASE-000674,true,true
PERSON-001589,CASE-000674,CASE-000676,true,true
PERSON-001589,CASE-000676,CASE-000679,true,true
PERSON-001589,CASE-000679,CASE-000683,true,true
PERSON-001589,CASE-000683,CASE-000695,true,true
PERSON-001589,CASE-000695,CASE-000710,true,true
PERSON-001589,CASE-000710,CASE-000712,true,true
PERSON-001589,CASE-000712,CASE-000715,true,true
PERSON-001589,CASE-000715,CASE-000722,true,true
PERSON-001589,CASE-000722,CASE-000724,true,true
PERSON-001589,CASE-000724,CASE-000731,true,true
PERSON-001589,CASE-000731,CASE-000744,true,true
PERSON-001589,CASE-000744,CASE-000754,true,true
PERSON-001589,CASE-000754,CASE-000759,true,true
PERSON-001589,CASE-000759,CASE-000769,true,true
PERSON-001589,CASE-000769,CASE-000776,true,true
PERSON-001589,CASE-000776,CASE-000779,true,true
PERSON-001589,CASE-000779,CASE-000781,true,true
PERSON-001589,CASE-000781,CASE-000782,true,true
PERSON-001589,CASE-000782,CASE-000786,true,true
PERSON-001589,CASE-000786,CASE-000787,true,true
PERSON-001589,CASE-000787,CASE-000815,true,true
PERSON-001589,CASE-000815,CASE-000818,true,true
PERSON-001589,CASE-000818,CASE-000836,true,true
PERSON-001589,CASE-000836,CASE-000840,true,true
PERSON-001589,CASE-000840,CASE-000857,true,true
PERSON-001589,CASE-000857,CASE-000878,true,true
PERSON-001589,CASE-000878,CASE-000906,true,true
PERSON-001589,CASE-000906,CASE-000908,true,true
PERSON-001589,CASE-000908,CASE-000911,true,true
PERSON-001589,CASE-000911,CASE-000918,true,true
PERSON-001589,CASE-000918,CASE-000935,true,true
PERSON-001589,CASE-000935,CASE-000954,true,true
PERSON-001589,CASE-000954,CASE-000962,true,true
PERSON-001589,CASE-000962,CASE-000980,true,true
PERSON-001589,CASE-000980,CASE-000983,true,true
PERSON-001589,CASE-000983,CASE-000987,true,true
PERSON-001589,CASE-000987,CASE-000990,true,true
PERSON-001589,CASE-000990,CASE-001000,true,true
PERSON-000193,CASE-000001,CASE-000085,true,true
PERSON-000193,CASE-000085,CASE-000308,true,true
PERSON-000193,CASE-000308,CASE-000612,true,true
PERSON-000193,CASE-000612,CASE-000651,true,true
PERSON-000245,CASE-000002,CASE-000049,true,true
PERSON-000245,CASE-000049,CASE-000056,true,true
PERSON-000245,CASE-000056,CASE-000070,true,true
PERSON-000245,CASE-000070,CASE-000074,true,true
PERSON-000245,CASE-000074,CASE-000118,true,true
PERSON-000245,CASE-000118,CASE-000162,true,true
PERSON-000245,CASE-000162,CASE-000238,true,true
PERSON-000245,CASE-000238,CASE-000261,true,true
PERSON-000245,CASE-000261,CASE-000270,true,true
PERSON-000245,CASE-000270,CASE-000320,true,true
PERSON-000245,CASE-000320,CASE-000367,true,true
PERSON-000245,CASE-000367,CASE-000421,true,true
PERSON-000245,CASE-000421,CASE-000428,true,true
PERSON-000245,CASE-000428,CASE-000434,true,true
PERSON-000245,CASE-000434,CASE-000485,true,true
PERSON-000245,CASE-000485,CASE-000516,true,true
PERSON-000245,CASE-000516,CASE-000529,true,true
PERSON-000245,CASE-000529,CASE-000601,true,true
PERSON-000245,CASE-000601,CASE-000669,true,true
PERSON-000245,CASE-000669,CASE-000734,true,true
PERSON-000245,CASE-000734,CASE-000761,true,true
PERSON-000245,CASE-000761,CASE-000780,true,true
PERSON-000245,CASE-000780,CASE-000841,true,true
PERSON-000245,CASE-000841,CASE-000864,true,true
PERSON-000245,CASE-000864,CASE-000882,true,true
PERSON-000245,CASE-000882,CASE-000899,true,true
PERSON-000245,CASE-000899,CASE-000916,true,true
PERSON-000245,CASE-000916,CASE-000927,true,true
PERSON-000245,CASE-000927,CASE-000932,true,true
PERSON-000245,CASE-000932,CASE-000937,true,true
PERSON-000245,CASE-000937,CASE-000957,true,true
PERSON-000245,CASE-000957,CASE-000959,true,true
PERSON-001941,CASE-000002,CASE-000426,true,true
PERSON-001941,CASE-000426,CASE-000553,true,true
PERSON-001941,CASE-000553,CASE-000689,true,true
PERSON-001941,CASE-000689,CASE-000876,true,true
PERSON-002397,CASE-000002,CASE-000015,true,true
PERSON-002397,CASE-000015,CASE-000074,true,true
PERSON-002397,CASE-000074,CASE-000090,true,true
PERSON-002397,CASE-000090,CASE-000162,true,true
PERSON-002397,CASE-000162,CASE-000166,true,true
PERSON-002397,CASE-000166,CASE-000209,true,true
PERSON-002397,CASE-000209,CASE-000243,true,true
PERSON-002397,CASE-000243,CASE-000281,true,true
PERSON-002397,CASE-000281,CASE-000320,true,true
PERSON-002397,CASE-000320,CASE-000325,true,true
PERSON-002397,CASE-000325,CASE-000367,true,true
PERSON-002397,CASE-000367,CASE-000408,true,true
PERSON-002397,CASE-000408,CASE-000410,true,true
PERSON-002397,CASE-000410,CASE-000428,true,true
PERSON-002397,CASE-000428,CASE-000434,true,true
PERSON-002397,CASE-000434,CASE-000473,true,true
PERSON-002397,CASE-000473,CASE-000485,true,true
PERSON-002397,CASE-000485,CASE-000529,true,true
PERSON-002397,CASE-000529,CASE-000539,true,true
PERSON-002397,CASE-000539,CASE-000559,true,true
PERSON-002397,CASE-000559,CASE-000588,true,true
PERSON-002397,CASE-000588,CASE-000601,true,true
PERSON-002397,CASE-000601,CASE-000613,true,true
PERSON-002397,CASE-000613,CASE-000705,true,true
PERSON-002397,CASE-000705,CASE-000816,true,true
PERSON-002397,CASE-000816,CASE-000822,true,true
PERSON-002397,CASE-000822,CASE-000864,true,true
PERSON-002397,CASE-000864,CASE-000882,true,true
PERSON-002397,CASE-000882,CASE-000901,true,true
PERSON-002397,CASE-000901,CASE-000932,true,true
PERSON-001578,CASE-000002,CASE-000016,true,true
PERSON-001578,CASE-000016,CASE-000053,true,true
PERSON-001578,CASE-000053,CASE-000061,true,true
PERSON-001578,CASE-000061,CASE-000063,true,true
PERSON-001578,CASE-000063,CASE-000070,true,true
PERSON-001578,CASE-000070,CASE-000074,true,true
PERSON-001578,CASE-000074,CASE-000090,true,true
PERSON-001578,CASE-000090,CASE-000118,true,true
PERSON-001578,CASE-000118,CASE-000130,true,true
PERSON-001578,CASE-000130,CASE-000131,true,true
PERSON-001578,CASE-000131,CASE-000146,true,true
PERSON-001578,CASE-000146,CASE-000162,true,true
PERSON-001578,CASE-000162,CASE-000172,true,true
PERSON-001578,CASE-000172,CASE-000209,true,true
PERSON-001578,CASE-000209,CASE-000239,true,true
PERSON-001578,CASE-000239,CASE-000243,true,true
PERSON-001578,CASE-000243,CASE-000260,true,true
PERSON-001578,CASE-000260,CASE-000275,true,true
PERSON-001578,CASE-000275,CASE-000281,true,true
PERSON-001578,CASE-000281,CASE-000297,true,true
PERSON-001578,CASE-000297,CASE-000325,true,true
PERSON-001578,CASE-000325,CASE-000342,true,true
PERSON-001578,CASE-000342,CASE-000347,true,true
PERSON-001578,CASE-000347,CASE-000350,true,true
PERSON-001578,CASE-000350,CASE-000410,true,true
PERSON-001578,CASE-000410,CASE-000434,true,true
PERSON-001578,CASE-000434,CASE-000447,true,true
PERSON-001578,CASE-000447,CASE-000496,true,true
PERSON-001578,CASE-000496,CASE-000505,true,true
PERSON-001578,CASE-000505,CASE-000517,true,true
PERSON-001578,CASE-000517,CASE-000526,true,true
PERSON-001578,CASE-000526,CASE-000529,true,true
PERSON-001578,CASE-000529,CASE-000571,true,true
PERSON-001578,CASE-000571,CASE-000601,true,true
PERSON-001578,CASE-000601,CASE-000605,true,true
PERSON-001578,CASE-000605,CASE-000613,true,true
PERSON-001578,CASE-000613,CASE-000624,true,true
PERSON-001578,CASE-000624,CASE-000638,true,true
PERSON-001578,CASE-000638,CASE-000653,true,true
PERSON-001578,CASE-000653,CASE-000658,true,true
PERSON-001578,CASE-000658,CASE-000666,true,true
PERSON-001578,CASE-000666,CASE-000686,true,true
PERSON-001578,CASE-000686,CASE-000737,true,true
PERSON-001578,CASE-000737,CASE-000741,true,true
PERSON-001578,CASE-000741,CASE-000761,true,true
PERSON-001578,CASE-000761,CASE-000780,true,true
PERSON-001578,CASE-000780,CASE-000820,true,true
PERSON-001578,CASE-000820,CASE-000850,true,true
PERSON-001578,CASE-000850,CASE-000856,true,true
PERSON-001578,CASE-000856,CASE-000862,true,true
PERSON-001578,CASE-000862,CASE-000882,true,true
PERSON-001578,CASE-000882,CASE-000901,true,true
PERSON-001578,CASE-000901,CASE-000916,true,true
PERSON-001578,CASE-000916,CASE-000927,true,true
PERSON-001578,CASE-000927,CASE-000932,true,true
PERSON-001578,CASE-000932,CASE-000957,true,true
PERSON-001578,CASE-000957,CASE-000993,true,true
PERSON-001578,CASE-000993,CASE-000995,true,true
PERSON-002304,CASE-000002,CASE-000015,true,true
PERSON-002304,CASE-000015,CASE-000056,true,true
PERSON-002304,CASE-000056,CASE-000075,true,true
PERSON-002304,CASE-000075,CASE-000099,true,true
PERSON-002304,CASE-000099,CASE-000146,true,true
PERSON-002304,CASE-000146,CASE-000209,true,true
PERSON-002304,CASE-000209,CASE-000238,true,true
PERSON-002304,CASE-000238,CASE-000270,true,true
PERSON-002304,CASE-000270,CASE-000281,true,true
PERSON-002304,CASE-000281,CASE-000290,true,true
PERSON-002304,CASE-000290,CASE-000320,true,true
PERSON-002304,CASE-000320,CASE-000347,true,true
PERSON-002304,CASE-000347,CASE-000397,true,true
PERSON-002304,CASE-000397,CASE-000428,true,true
PERSON-002304,CASE-000428,CASE-000485,true,true
PERSON-002304,CASE-000485,CASE-000496,true,true
PERSON-002304,CASE-000496,CASE-000516,true,true
PERSON-002304,CASE-000516,CASE-000521,true,true
PERSON-002304,CASE-000521,CASE-000539,true,true
PERSON-002304,CASE-000539,CASE-000559,true,true
PERSON-002304,CASE-000559,CASE-000608,true,true
PERSON-002304,CASE-000608,CASE-000609,true,true
PERSON-002304,CASE-000609,CASE-000613,true,true
PERSON-002304,CASE-000613,CASE-000666,true,true
PERSON-002304,CASE-000666,CASE-000669,true,true
PERSON-002304,CASE-000669,CASE-000734,true,true
PERSON-002304,CASE-000734,CASE-000742,true,true
PERSON-002304,CASE-000742,CASE-000761,true,true
PERSON-002304,CASE-000761,CASE-000780,true,true
PERSON-002304,CASE-000780,CASE-000803,true,true
PERSON-002304,CASE-000803,CASE-000816,true,true
PERSON-002304,CASE-000816,CASE-000856,true,true
PERSON-002304,CASE-000856,CASE-000864,true,true
PERSON-002304,CASE-000864,CASE-000899,true,true
PERSON-002304,CASE-000899,CASE-000902,true,true
PERSON-002304,CASE-000902,CASE-000907,true,true
PERSON-002304,CASE-000907,CASE-000916,true,true
PERSON-002304,CASE-000916,CASE-000932,true,true
PERSON-002304,CASE-000932,CASE-000937,true,true
PERSON-001847,CASE-000002,CASE-000015,true,true
PERSON-001847,CASE-000015,CASE-000037,true,true
PERSON-001847,CASE-000037,CASE-000056,true,true
PERSON-001847,CASE-000056,CASE-000067,true,true
PERSON-001847,CASE-000067,CASE-000070,true,true
PERSON-001847,CASE-000070,CASE-000074,true,true
PERSON-001847,CASE-000074,CASE-000098,true,true
PERSON-001847,CASE-000098,CASE-000099,true,true
PERSON-001847,CASE-000099,CASE-000119,true,true
PERSON-001847,CASE-000119,CASE-000142,true,true
PERSON-001847,CASE-000142,CASE-000164,true,true
PERSON-001847,CASE-000164,CASE-000166,true,true
PERSON-001847,CASE-000166,CASE-000186,true,true
PERSON-001847,CASE-000186,CASE-000207,true,true
PERSON-001847,CASE-000207,CASE-000228,true,true
PERSON-001847,CASE-000228,CASE-000238,true,true
PERSON-001847,CASE-000238,CASE-000241,true,true
PERSON-001847,CASE-000241,CASE-000247,true,true
PERSON-001847,CASE-000247,CASE-000270,true,true
PERSON-001847,CASE-000270,CASE-000281,true,true
PERSON-001847,CASE-000281,CASE-000290,true,true
PERSON-001847,CASE-000290,CASE-000325,true,true
PERSON-001847,CASE-000325,CASE-000331,true,true
PERSON-001847,CASE-000331,CASE-000347,true,true
PERSON-001847,CASE-000347,CASE-000408,true,true
PERSON-001847,CASE-000408,CASE-000410,true,true
PERSON-001847,CASE-000410,CASE-000450,true,true
PERSON-001847,CASE-000450,CASE-000511,true,true
PERSON-001847,CASE-000511,CASE-000516,true,true
PERSON-001847,CASE-000516,CASE-000521,true,true
PERSON-001847,CASE-000521,CASE-000530,true,true
PERSON-001847,CASE-000530,CASE-000539,true,true
PERSON-001847,CASE-000539,CASE-000559,true,true
PERSON-001847,CASE-000559,CASE-000588,true,true
PERSON-001847,CASE-000588,CASE-000609,true,true
PERSON-001847,CASE-000609,CASE-000653,true,true
PERSON-001847,CASE-000653,CASE-000666,true,true
PERSON-001847,CASE-000666,CASE-000669,true,true
PERSON-001847,CASE-000669,CASE-000694,true,true
PERSON-001847,CASE-000694,CASE-000705,true,true
PERSON-001847,CASE-000705,CASE-000734,true,true
PERSON-001847,CASE-000734,CASE-000735,true,true
PERSON-001847,CASE-000735,CASE-000741,true,true
PERSON-001847,CASE-000741,CASE-000757,true,true
PERSON-001847,CASE-000757,CASE-000780,true,true
PERSON-001847,CASE-000780,CASE-000802,true,true
PERSON-001847,CASE-000802,CASE-000803,true,true
PERSON-001847,CASE-000803,CASE-000816,true,true
PERSON-001847,CASE-000816,CASE-000817,true,true
PERSON-001847,CASE-000817,CASE-000821,true,true
PERSON-001847,CASE-000821,CASE-000822,true,true
PERSON-001847,CASE-000822,CASE-000843,true,true
PERSON-001847,CASE-000843,CASE-000849,true,true
PERSON-001847,CASE-000849,CASE-000856,true,true
PERSON-001847,CASE-000856,CASE-000890,true,true
PERSON-001847,CASE-000890,CASE-000896,true,true
PERSON-001847,CASE-000896,CASE-000899,true,true
PERSON-001847,CASE-000899,CASE-000902,true,true
PERSON-001847,CASE-000902,CASE-000903,true,true
PERSON-001847,CASE-000903,CASE-000927,true,true
PERSON-001847,CASE-000927,CASE-000932,true,true
PERSON-001847,CASE-000932,CASE-000939,true,true
PERSON-001847,CASE-000939,CASE-000984,true,true
PERSON-000862,CASE-000003,CASE-000178,true,true
PERSON-000862,CASE-000178,CASE-000199,true,true
PERSON-000862,CASE-000199,CASE-000287,true,true
PERSON-000862,CASE-000287,CASE-000353,true,true
PERSON-000862,CASE-000353,CASE-000456,true,true
PERSON-000862,CASE-000456,CASE-000472,true,true
PERSON-000862,CASE-000472,CASE-000484,true,true
PERSON-000862,CASE-000484,CASE-000491,true,true
PERSON-000862,CASE-000491,CASE-000502,true,true
PERSON-000862,CASE-000502,CASE-000542,true,true
PERSON-000862,CASE-000542,CASE-000647,true,true
PERSON-000862,CASE-000647,CASE-000727,true,true
PERSON-000862,CASE-000727,CASE-000814,true,true
PERSON-001431,CASE-000003,CASE-000267,true,true
PERSON-001431,CASE-000267,CASE-000353,true,true
PERSON-001431,CASE-000353,CASE-000377,true,true
PERSON-001431,CASE-000377,CASE-000398,true,true
PERSON-001431,CASE-000398,CASE-000886,true,true
PERSON-001431,CASE-000886,CASE-000948,true,true
PERSON-001431,CASE-000948,CASE-000966,true,true
PERSON-001701,CASE-000003,CASE-000067,true,true
PERSON-001701,CASE-000067,CASE-000183,true,true
PERSON-001701,CASE-000183,CASE-000282,true,true
PERSON-001701,CASE-000282,CASE-000353,true,true
PERSON-001701,CASE-000353,CASE-000491,true,true
PERSON-001701,CASE-000491,CASE-000502,true,true
PERSON-001701,CASE-000502,CASE-000647,true,true
PERSON-001701,CASE-000647,CASE-000958,true,true
PERSON-001701,CASE-000958,CASE-000981,true,true
PERSON-002106,CASE-000003,CASE-000013,true,true
PERSON-002106,CASE-000013,CASE-000178,true,true
PERSON-002106,CASE-000178,CASE-000282,true,true
PERSON-002106,CASE-000282,CASE-000287,true,true
PERSON-002106,CASE-000287,CASE-000385,true,true
PERSON-002106,CASE-000385,CASE-000398,true,true
PERSON-002106,CASE-000398,CASE-000472,true,true
PERSON-002106,CASE-000472,CASE-000484,true,true
PERSON-002106,CASE-000484,CASE-000694,true,true
PERSON-002106,CASE-000694,CASE-000886,true,true
PERSON-002106,CASE-000886,CASE-000888,true,true
PERSON-002106,CASE-000888,CASE-000981,true,true
PERSON-001803,CASE-000003,CASE-000013,true,true
PERSON-001803,CASE-000013,CASE-000093,true,true
PERSON-001803,CASE-000093,CASE-000102,true,true
PERSON-001803,CASE-000102,CASE-000287,true,true
PERSON-001803,CASE-000287,CASE-000312,true,true
PERSON-001803,CASE-000312,CASE-000377,true,true
PERSON-001803,CASE-000377,CASE-000385,true,true
PERSON-001803,CASE-000385,CASE-000453,true,true
PERSON-001803,CASE-000453,CASE-000491,true,true
PERSON-001803,CASE-000491,CASE-000647,true,true
PERSON-001803,CASE-000647,CASE-000835,true,true
PERSON-001803,CASE-000835,CASE-000886,true,true
PERSON-001803,CASE-000886,CASE-000981,true,true
PERSON-000484,CASE-000003,CASE-000255,true,true
PERSON-000484,CASE-000255,CASE-000267,true,true
PERSON-000484,CASE-000267,CASE-000271,true,true
PERSON-000484,CASE-000271,CASE-000282,true,true
PERSON-000484,CASE-000282,CASE-000312,true,true
PERSON-000484,CASE-000312,CASE-000377,true,true
PERSON-000484,CASE-000377,CASE-000402,true,true
PERSON-000484,CASE-000402,CASE-000453,true,true
PERSON-000484,CASE-000453,CASE-000484,true,true
PERSON-000484,CASE-000484,CASE-000502,true,true
PERSON-000484,CASE-000502,CASE-000541,true,true
PERSON-000484,CASE-000541,CASE-000615,true,true
PERSON-000484,CASE-000615,CASE-000644,true,true
PERSON-000484,CASE-000644,CASE-000651,true,true
